ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031012,extracellular matrix,110/971,457/16088,0.240700218818381,3.98803822899084,16.4234808096236,1.17954877082599e-37,3.62557213614284e-35,3.12109768378799e-35,ESM1/PLOD1/MFAP2/WNT2/MMP12/P3H1/MMP13/MMP3/HAPLN3/MMP11/CTHRC1/SERPINH1/AGRN/BGN/COL11A1/LOX/ANOS1/THBS2/ADAMTS12/ADAMTS2/MDK/LAMA1/CCN4/COL27A1/OLFML2B/LEFTY2/C1QB/COL3A1/ADAMDEC1/TGFBI/ADAMTS14/APOE/CTSZ/COL4A1/COL1A1/COL6A3/MMP1/ASPN/CHI3L1/LUM/COL8A1/SULF1/MMP2/COL7A1/POSTN/COL5A1/CTSC/VCAN/ACAN/COL1A2/PLOD3/TNC/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/COL4A2/EGFL6/ADAMTS20/TIMP1/MATN3/MMP14/LAMB1/COL9A3/SPOCK1/LOXL2/MMP10/ADAMTS7/NID2/COL9A2/PCOLCE/ADAMTS6/SPARC/MMP7/EMILIN2/GREM1/IGFBP7/MXRA5/COL24A1/FIBCD1/HTRA1/EMID1/COCH/COL12A1/AEBP1/COL6A1/IGFBPL1/MMP16/COL22A1/NID1/DMP1/LGALS1/FREM2/SERPINA1/TNFRSF11B/RARRES2/COL6A2/FN1/EMILIN1/FBN1/CSPG4/ADAMTS18/THBS1/CDH2,110
GO:0030312,external encapsulating structure,110/971,458/16088,0.240174672489083,3.97933072194065,16.3940518481622,1.46784297009831e-37,3.62557213614284e-35,3.12109768378799e-35,ESM1/PLOD1/MFAP2/WNT2/MMP12/P3H1/MMP13/MMP3/HAPLN3/MMP11/CTHRC1/SERPINH1/AGRN/BGN/COL11A1/LOX/ANOS1/THBS2/ADAMTS12/ADAMTS2/MDK/LAMA1/CCN4/COL27A1/OLFML2B/LEFTY2/C1QB/COL3A1/ADAMDEC1/TGFBI/ADAMTS14/APOE/CTSZ/COL4A1/COL1A1/COL6A3/MMP1/ASPN/CHI3L1/LUM/COL8A1/SULF1/MMP2/COL7A1/POSTN/COL5A1/CTSC/VCAN/ACAN/COL1A2/PLOD3/TNC/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/COL4A2/EGFL6/ADAMTS20/TIMP1/MATN3/MMP14/LAMB1/COL9A3/SPOCK1/LOXL2/MMP10/ADAMTS7/NID2/COL9A2/PCOLCE/ADAMTS6/SPARC/MMP7/EMILIN2/GREM1/IGFBP7/MXRA5/COL24A1/FIBCD1/HTRA1/EMID1/COCH/COL12A1/AEBP1/COL6A1/IGFBPL1/MMP16/COL22A1/NID1/DMP1/LGALS1/FREM2/SERPINA1/TNFRSF11B/RARRES2/COL6A2/FN1/EMILIN1/FBN1/CSPG4/ADAMTS18/THBS1/CDH2,110
GO:0005788,endoplasmic reticulum lumen,70/971,299/16088,0.234113712374582,3.87890978855023,12.7350506759582,2.01543988140718e-23,3.31875767138383e-21,2.85697442838071e-21,POGLUT2/P3H1/SPP1/MELTF/COLGALT1/SERPINH1/COL11A1/STC2/DNAJB11/EVA1A/GPX8/COL27A1/PCSK9/P4HA3/COL3A1/APOE/CTSZ/COL4A1/COL1A1/COL6A3/COL8A1/IGFBP3/FKBP10/ARSI/COL7A1/COL5A1/CTSC/VCAN/RCN3/COL1A2/PLOD3/TNC/COL10A1/NOTUM/PDIA5/COL5A2/COL4A2/TMEM132A/TIMP1/MATN3/LAMB1/GPC3/C4A/COL9A3/PROC/IGFBP1/PDGFA/ADAMTS7/COL9A2/PLAUR/IGFBP7/CERCAM/COL24A1/COL12A1/COL6A1/APOL1/COL22A1/PTGS2/DMP1/LGALS1/PRSS23/SERPINA1/WNT7B/COL6A2/FN1/FBN1/WNT3A/THBS1/FSTL1/CDH2,70
GO:0005581,collagen trimer,30/971,77/16088,0.38961038961039,6.45525432343146,12.1608932252949,2.34853853714057e-17,2.9004450933686e-15,2.49686728685471e-15,CTHRC1/COL11A1/LOX/COL27A1/C1QTNF5/C1QB/COL3A1/COL4A1/COL1A1/COL6A3/LUM/COL8A1/COL7A1/MSR1/COL5A1/COL1A2/C1QTNF6/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/EMILIN2/COL24A1/EMID1/COL12A1/COL6A1/COL22A1/COL6A2/EMILIN1,30
GO:0098644,complex of collagen trimers,16/971,27/16088,0.592592592592593,9.81836213144143,11.6224546368429,1.91094869749618e-13,1.88801731312623e-11,1.62531215534412e-11,COL11A1/COL27A1/COL3A1/COL4A1/COL1A1/LUM/COL8A1/COL7A1/COL5A1/COL1A2/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/COL12A1,16
GO:0005604,basement membrane,27/971,98/16088,0.275510204081633,4.5647869858551,8.97091473623878,1.38239646781315e-11,1.13817309183283e-09,9.79803812274584e-10,AGRN/THBS2/LAMA1/TGFBI/COL4A1/COL8A1/COL7A1/COL5A1/TNC/LAMC2/PXDN/LAMB3/COL4A2/EGFL6/TIMP1/LAMB1/COL9A3/LOXL2/NID2/SPARC/COL24A1/COL6A1/COL22A1/NID1/FREM2/FN1/FBN1,27
GO:0000776,kinetochore,34/971,170/16088,0.2,3.31369721936148,7.68601228824972,4.83982592932803e-10,3.02580361887429e-08,2.60478300026681e-08,CENPW/NDC80/CENPL/AURKA/BIRC5/CDT1/SKA1/SPAG5/KIF2C/CDC20/PLK1/AURKB/CENPI/HJURP/KNSTRN/KIF18A/ACTL6A/MAD2L1/MTBP/SPC25/NEK2/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/CCNB1/TTK/NUF2/DYNC1I1,34
GO:0000775,"chromosome, centromeric region",44/971,261/16088,0.168582375478927,2.79315474428937,7.40206784537839,4.90008683218508e-10,3.02580361887429e-08,2.60478300026681e-08,DSCC1/CENPW/NDC80/CENPL/CDCA5/AURKA/CENPA/BIRC5/CDT1/SKA1/SPAG5/KIF2C/CDC20/PLK1/AURKB/CENPI/HJURP/KNSTRN/KIF18A/CDCA8/TOP2A/ACTL6A/MAD2L1/MTBP/SPC25/NEK2/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/OIP5/BUB1B/CENPF/HELLS/CENPE/H2AC4/CCNB1/ESCO2/TTK/SNAI1/NUF2/DYNC1I1,44
GO:0000779,"condensed chromosome, centromeric region",35/971,182/16088,0.192307692307692,3.18624732630912,7.51742035595375,8.20156579516323e-10,4.50174833645626e-08,3.8753597441473e-08,CENPW/NDC80/CENPL/AURKA/CENPA/BIRC5/CDT1/SKA1/SPAG5/KIF2C/CDC20/PLK1/AURKB/CENPI/HJURP/KNSTRN/KIF18A/ACTL6A/MAD2L1/MTBP/SPC25/NEK2/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/CCNB1/TTK/NUF2/DYNC1I1,35
GO:0000940,outer kinetochore,11/971,20/16088,0.55,9.11266735324408,9.20051408299876,3.71696412569496e-09,1.83618027809331e-07,1.58068790187449e-07,NDC80/SKA1/PLK1/SPC25/BUB1/KNL1/ZWINT/BUB1B/CENPF/CCNB1/NUF2,11
GO:0000793,condensed chromosome,43/971,273/16088,0.157509157509158,2.60968828631033,6.79833949297709,6.53229832532927e-09,2.93359579337514e-07,2.52540528558184e-07,CENPW/NDC80/CENPL/AURKA/RAD51/P3H4/CENPA/BIRC5/CDT1/SKA1/SPAG5/BRCA1/BLM/KIF2C/CDC20/PLK1/AURKB/CENPI/HJURP/NCAPH/KNSTRN/KIF18A/TOP2A/ACTL6A/MAD2L1/MTBP/SPC25/NEK2/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/MKI67/CENPE/CCNB1/TTK/NUF2/SHOC1/DYNC1I1,43
GO:0005583,fibrillar collagen trimer,8/971,11/16088,0.727272727272727,12.0498080704054,9.29100963889559,2.39992279214382e-08,9.11970661014652e-07,7.85075957915873e-07,COL11A1/COL27A1/COL3A1/COL1A1/LUM/COL5A1/COL1A2/COL5A2,8
GO:0098643,banded collagen fibril,8/971,11/16088,0.727272727272727,12.0498080704054,9.29100963889559,2.39992279214382e-08,9.11970661014652e-07,7.85075957915873e-07,COL11A1/COL27A1/COL3A1/COL1A1/LUM/COL5A1/COL1A2/COL5A2,8
GO:0098687,chromosomal region,52/971,397/16088,0.130982367758186,2.17017953912843,5.98324493171988,1.05100925097076e-07,3.70856121413968e-06,3.19253937888862e-06,DSCC1/CENPW/NDC80/CENPL/RAD51AP1/CDCA5/AURKA/RAD51/FEN1/MCM7/CENPA/MCM2/BIRC5/CDT1/SKA1/SPAG5/BLM/KIF2C/CDC20/PLK1/AURKB/CENPI/HJURP/KNSTRN/KIF18A/CDCA8/CDK1/TOP2A/ACTL6A/MAD2L1/ORC1/MTBP/SPC25/NEK2/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/OIP5/BUB1B/CENPF/HELLS/CENPE/H2AC4/CCNB1/ESCO2/TTK/SNAI1/NUF2/DYNC1I1,52
GO:0098636,protein complex involved in cell adhesion,15/971,57/16088,0.263157894736842,4.36012792021248,6.44061399545728,9.28318448934705e-07,3.05726209182496e-05,2.63186423417278e-05,CTLA4/ITGAX/CD80/LAMA1/TNC/PLAU/LAMB1/ITGA11/PLAUR/ITGA6/EMILIN2/NID1/LGALS1/EMILIN1/ITGA5,15
GO:0005819,spindle,53/971,442/16088,0.119909502262443,1.98671892111039,5.33110537941178,1.31851736281378e-06,4.00586973493576e-05,3.4484793797444e-05,MAD2L2/CDC25B/UHRF1/WDR62/AURKA/CEP19/ECT2/CDC6/BIRC5/SKA1/SPAG5/TACC3/KIF2C/CDC20/KIF18B/PLK1/AURKB/PRC1/TPX2/KNSTRN/KIF18A/CDCA8/KIFC1/CDK1/KIF20A/KIF23/HMMR/MAD2L1/HASPIN/DDX11/NEK2/KIF14/DLGAP5/KNTC1/FBXO5/KIF4A/CFAP53/YEATS2/BUB1B/CENPF/CKAP2L/NUSAP1/CENPE/CCNB1/SHCBP1/TTK/ASPM/MISP/DZIP1L/NEDD9/NEK6/DYNC1I1/TUBB3,53
