ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,55/957,162/15828,0.339506172839506,5.61515538527033,14.9778665597438,3.47242383494431e-27,2.97586722654728e-24,2.63904211455768e-24,ESM1/MFAP2/CTHRC1/AGRN/BGN/COL11A1/ANOS1/THBS2/LAMA1/COL27A1/COL3A1/TGFBI/COL4A1/COL1A1/COL6A3/ASPN/CHI3L1/LUM/COL8A1/COL7A1/POSTN/COL5A1/VCAN/ACAN/COL1A2/TNC/FBN2/LAMC2/PXDN/COL10A1/LAMB3/COL5A2/COL4A2/MATN3/LAMB1/COL9A3/SPOCK1/NID2/COL9A2/PCOLCE/SPARC/EMILIN2/IGFBP7/MXRA5/COL24A1/COL12A1/AEBP1/COL6A1/COL22A1/NID1/COL6A2/FN1/EMILIN1/FBN1/THBS1,55
GO:0005518,collagen binding,26/957,71/15828,0.366197183098592,6.05660294052718,10.8326931903553,1.92398352444334e-14,8.24426940223971e-12,7.31113739288469e-12,MMP12/P3H1/MMP13/P3H4/SERPINH1/LOX/LRRC15/TGFBI/LUM/MMP9/CTSL/SPOCK1/ITGA11/ANTXR1/CTSK/PDGFA/NID2/PCOLCE/SPARC/COCH/AEBP1/COL6A1/NID1/COL6A2/FN1/THBS1,26
GO:0030020,extracellular matrix structural constituent conferring tensile strength,20/957,42/15828,0.476190476190476,7.87580235856098,11.3187160194591,5.06063633033101e-14,1.44565511169789e-11,1.28202787035052e-11,COL11A1/COL27A1/COL3A1/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2,20
GO:0030545,signaling receptor regulator activity,72/957,478/15828,0.150627615062762,2.491257984549,8.39842259132722,4.78573395635471e-13,1.025343500149e-10,9.09289451707395e-11,WNT2/SPP1/CLEC11A/ERFE/OSM/STC2/CD80/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/ARTN/PCSK9/PGF/CCL3/APOE/LILRB4/INHBB/UCHL1/CXCL6/CXCL8/TAFA5/UCN2/FBN2/PXDN/INHBA/STC1/CCL3L3/PLAU/FST/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/CD70/CCL18/APLN/PTHLH/PDGFA/IL11/CCL4/CXCL1/SEMA6B/GREM1/IGFBP7/CXCL10/NRG1/CCL26/LY6G6D/LGALS1/LYPD6B/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/FBN1/WNT3A/SEMA3C/IL24/SEMA3D/GRP/CCL8,72
GO:0048018,receptor ligand activity,65/957,433/15828,0.150115473441109,2.48278757954636,7.93630270700408,7.97755714435785e-12,1.36735329454294e-09,1.21258868594239e-09,WNT2/SPP1/CLEC11A/ERFE/OSM/STC2/CD80/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/ARTN/PGF/CCL3/APOE/INHBB/CXCL6/CXCL8/TAFA5/UCN2/FBN2/INHBA/STC1/CCL3L3/PLAU/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/CD70/CCL18/APLN/PTHLH/PDGFA/IL11/CCL4/CXCL1/SEMA6B/GREM1/IGFBP7/CXCL10/NRG1/CCL26/LGALS1/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/FBN1/WNT3A/SEMA3C/IL24/SEMA3D/GRP/CCL8,65
GO:0030546,signaling receptor activator activity,65/957,443/15828,0.146726862302483,2.42674271319091,7.72652046478391,2.21611025654354e-11,3.16534414976302e-09,2.80707299162181e-09,WNT2/SPP1/CLEC11A/ERFE/OSM/STC2/CD80/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/ARTN/PGF/CCL3/APOE/INHBB/CXCL6/CXCL8/TAFA5/UCN2/FBN2/INHBA/STC1/CCL3L3/PLAU/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/CD70/CCL18/APLN/PTHLH/PDGFA/IL11/CCL4/CXCL1/SEMA6B/GREM1/IGFBP7/CXCL10/NRG1/CCL26/LGALS1/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/FBN1/WNT3A/SEMA3C/IL24/SEMA3D/GRP/CCL8,65
GO:0004222,metalloendopeptidase activity,25/957,100/15828,0.25,4.13479623824451,7.97733352628082,7.8360656181564e-10,9.59358319251434e-08,8.50772838542695e-08,EEF1AKMT4-ECE2/MMP12/MMP13/MMP3/MMP11/ADAMTS12/ADAMTS2/ADAM12/ADAMDEC1/ADAMTS14/ECE1/MMP1/MMP2/MMP9/ADAMTS4/ADAMTS20/MME/ECEL1/MMP14/MMP10/ADAMTS7/ADAMTS6/MMP7/MMP16/ADAMTS18,25
GO:0005539,glycosaminoglycan binding,37/957,221/15828,0.167420814479638,2.76900381565696,6.71816049143434,1.4868004674651e-08,1.59273500077199e-06,1.41246044409185e-06,TREM2/HAPLN3/CEMIP/AGRN/BGN/ANOS1/THBS2/MDK/CCN4/HMMR/PGF/TNFAIP6/APOE/TLR2/CXCL6/SULF1/CXCL8/POSTN/COL5A1/VCAN/ACAN/LAMC2/NELL2/GPNMB/CXCL11/PCOLCE/CXCL10/LPL/LIPG/CXCL13/TNFRSF11B/FN1/DPYSL3/FBN1/THBS1/CCL8/FSTL1,37
GO:0048407,platelet-derived growth factor binding,8/957,11/15828,0.727272727272727,12.0284981476204,9.2818777285994,2.43250620194385e-08,2.31628646118431e-06,2.05411634830814e-06,COL3A1/COL4A1/COL1A1/COL5A1/COL1A2/PDGFRB/PDGFA/COL6A1,8
GO:0005125,cytokine activity,32/957,189/15828,0.169312169312169,2.8002852830439,6.31615714650357,1.06482424660428e-07,9.12554379339864e-06,8.0926642741925e-06,WNT2/SPP1/OSM/XCL1/BMP8A/LEFTY2/CCL3/INHBB/CXCL6/CXCL8/TAFA5/INHBA/CCL3L3/TIMP1/CXCL9/CXCL11/TNFSF11/CCL18/IL11/CCL4/CXCL1/GREM1/CXCL10/NRG1/CCL26/WNT7B/CXCL13/TNFRSF11B/LIF/WNT3A/IL24/CCL8,32
