category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,26/508,87/7548,0.298850574712644,4.44040184632093,8.66967824500472,3.88016357214315e-11,1.20285070736438e-08,1.12728962727527e-08,6696/375790/7058/284217/3161/1282/1277/1293/1278/3371/3918/3914/1284/3912/1299/22801/1298/3655/9900/1291/1758/341640/1292/2335/3678/7057,26
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,25/508,95/7548,0.263157894736842,3.91007045171985,7.66712328820393,1.83662461788401e-09,2.84676815772022e-07,2.66793891861046e-07,1301/117247/85301/483/1281/1282/1277/1293/1295/1294/1289/1278/1300/1290/1284/9056/4311/1299/1298/255631/1303/1291/169044/1292/1803,25
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,31/508,153/7548,0.202614379084967,3.01049868766404,6.74859120744475,2.04373673263735e-08,2.11186129039193e-06,1.97919767792248e-06,6696/7058/3687/284217/5228/1282/1277/1293/1278/3371/5159/3918/4233/3914/1284/3912/1299/22801/5154/1298/3655/1291/1758/7412/341640/1292/1950/2335/2200/3678/7057,31
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,31/508,157/7548,0.197452229299363,2.93379808415668,6.57721520737166,3.85356898838243e-08,2.98651596599639e-06,2.79890800208829e-06,10459/994/1869/9319/10403/113130/9088/8318/990/4176/4171/81620/23594/993/991/5347/9212/9133/995/983/4085/1663/4998/27085/699/57082/26271/701/891/157570/7272,31
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,21/508,91/7548,0.230769230769231,3.42883101150818,6.26135929440962,4.23694409255383e-07,2.62690533738337e-05,2.46188751483128e-05,3559/6375/6348/6372/3576/57007/414062/4283/6373/6362/7852/1230/6351/2919/3627/9560/10344/10563/1237/11009/6355,21
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,35/508,216/7548,0.162037037037037,2.40758967629046,5.63799156669,8.43070909519352e-07,4.35586636584999e-05,4.08223808819897e-05,375790/633/1301/7058/284217/85301/483/1281/1282/1277/1293/4703/1289/1462/1278/2201/1290/1284/4001/1829/1299/22801/114793/22795/1298/3655/255631/1291/4811/7137/1292/2335/2200/3678/7057,35
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,38/508,247/7548,0.153846153846154,2.28588734100545,5.51941341599802,1.07957584509051e-06,4.78097874254367e-05,4.48064561270646e-05,8784/3559/7293/5008/6375/353500/6348/3625/6372/3576/130399/57007/3624/414062/1441/4283/6373/8600/970/6362/7852/1230/3598/3589/6351/2919/51330/3627/9560/3604/10344/133396/10563/4982/3976/1237/11009/6355,38
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,18/508,75/7548,0.24,3.5659842519685,5.99887522492637,1.54925148617818e-06,6.00334950894046e-05,5.62622908138393e-05,10877/728/3687/717/713/719/10544/5054/5328/2151/2149/721/720/5624/716/5329/9002/5265,18
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,28/508,161/7548,0.173913043478261,2.58404655939747,5.45732141256956,2.62648649091915e-06,9.04678680205486e-05,8.47848270752849e-05,1789/994/1869/3236/113130/6624/672/993/6659/995/3925/9493/8651/8091/3371/5159/4318/4233/5328/5154/8626/4325/5743/1591/10642/3678/89780/7057,28
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,15/508,79/7548,0.189873417721519,2.82119007275989,4.37089417526038,0.000207892836604762,0.00644467793474762,0.00603983398978045,2359/2214/728/2357/3872/717/713/2215/719/2212/721/720/2358/716/3861,15
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,27/508,199/7548,0.135678391959799,2.01594587108772,3.90135693511495,0.000347180719432837,0.00978418391128905,0.0091695577572692,6696/7058/284217/5228/1282/1277/1293/1278/3371/7410/5159/3918/4233/3914/1284/3912/1299/22801/5154/1298/3655/1291/1292/1950/2335/3678/7057,27
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,37/508,323/7548,0.114551083591331,1.70203066721923,3.46394606373481,0.000924832804231663,0.0221545841179557,0.0207628700052828,3559/6696/5008/672/7058/284217/9048/5228/1282/1277/1293/7097/1278/3371/5159/3918/4233/3914/1284/1441/3912/118788/2149/1299/22801/5154/1298/3655/4915/1291/3481/1292/1950/2335/90993/3678/7057,37
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,36/508,312/7548,0.115384615384615,1.71441550575409,3.46187666559553,0.000947660043400414,0.0221545841179557,0.0207628700052828,1869/7472/6696/7058/2535/55502/284217/23462/1282/1277/1293/8772/1278/3371/5159/3918/3914/1284/3912/1299/22801/1298/3655/9636/26508/1291/8638/5743/7477/1292/1950/2335/90993/3678/89780/7057,36
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,15/508,91/7548,0.164835164835165,2.44916500822013,3.7358477186595,0.00100052960532703,0.0221545841179557,0.0207628700052828,6696/6300/941/6348/7097/3576/8772/414062/23643/4283/6373/1513/6351/3627/9560,15
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,14/508,89/7548,0.157303370786517,2.33725559585951,3.40880238637689,0.00230776341428828,0.0476937772286244,0.044697733497794,4314/1493/941/6348/4312/7097/6372/3576/414062/1514/8600/1513/3589/2919,14
