ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030216,keratinocyte differentiation,44/960,155/15250,0.283870967741936,4.50940860215054,11.3821265787962,6.70575297422421e-18,3.1195162836091e-14,3.08535223687727e-14,TRIM16/FLG/PPL/GRHL1/ANXA1/SCEL/SPRR3/CSTA/SPRR2D/KRT4/ACER1/KRT78/SPRR2B/TMEM79/EXPH5/LIPM/KRT79/TGM3/EVPL/CNFN/SLC39A2/ALOX15B/KAZN/SPRR1A/SPRR2F/SPRR2E/TGM1/DSG4/AQP3/IVL/EPHA2/ZFP36/KRT3/SPRR1B/CERS3/KRT76/SPRR2G/ZBED2/EREG/KRT7/KRT2/KRT6C/KRT36/KRT80,44
GO:0031424,keratinization,27/960,61/15250,0.442622950819672,7.03125,12.2334187382856,5.27136361214804e-17,1.22611917618563e-13,1.21269107098416e-13,PPL/SPRR3/SPRR2D/KRT4/KRT78/SPRR2B/TMEM79/LIPM/KRT79/TGM3/EVPL/CNFN/KAZN/SPRR1A/SPRR2F/SPRR2E/TGM1/IVL/KRT3/SPRR1B/CERS3/KRT76/SPRR2G/KRT7/KRT2/KRT6C/KRT80,27
GO:0008544,epidermis development,68/960,363/15250,0.18732782369146,2.97578053259871,9.87480673719881,2.56829121094666e-16,3.98256357110796e-13,3.93894767826241e-13,TRIM16/FLG/EMP1/TMC1/KPRP/PPL/GRHL1/ANXA1/SCEL/SPINK5/SPRR3/CSTA/SPRR2D/IL18/KRT4/CYSRT1/GRHL3/ACER1/KRT78/SPRR2B/DKK4/TMEM79/EXPH5/LIPM/FLG2/KRT79/TGM3/EVPL/CNFN/TMPRSS11F/SLC39A2/ALOX15B/KAZN/SPRR1A/ZNF750/SULT2B1/SPRR2F/SPRR2E/TGM1/MAFF/ALOX12/TGM5/KRT32/DSG4/SPINT1/AQP3/IVL/EPHA2/ZFP36/KRT15/CRABP2/KRT3/PKP3/SPRR1B/CERS3/USH2A/SOX21/KRT76/CST6/SPRR2G/ZBED2/EREG/DCT/KRT7/KRT2/KRT6C/KRT36/KRT80,68
GO:0009913,epidermal cell differentiation,49/960,222/15250,0.220720720720721,3.50624061561562,9.74964588720004,6.01916446895432e-15,7.00028827739387e-12,6.92362312994719e-12,TRIM16/FLG/TMC1/PPL/GRHL1/ANXA1/SCEL/SPINK5/SPRR3/CSTA/SPRR2D/KRT4/ACER1/KRT78/SPRR2B/TMEM79/EXPH5/LIPM/KRT79/TGM3/EVPL/CNFN/SLC39A2/ALOX15B/KAZN/SPRR1A/SULT2B1/SPRR2F/SPRR2E/TGM1/MAFF/DSG4/AQP3/IVL/EPHA2/ZFP36/KRT3/SPRR1B/CERS3/USH2A/KRT76/SPRR2G/ZBED2/EREG/KRT7/KRT2/KRT6C/KRT36/KRT80,49
GO:0043588,skin development,58/960,300/15250,0.193333333333333,3.07118055555556,9.39070451988309,1.02515512901614e-14,9.53804332036616e-12,9.43358540827273e-12,TRIM16/FLG/KPRP/PPL/GRHL1/ANXA1/RIPK4/SCEL/SPINK5/SPRR3/CSTA/SPRR2D/IL18/KRT4/CYSRT1/GRHL3/ACER1/KRT78/SPRR2B/DKK4/TMEM79/EXPH5/LIPM/FLG2/KRT79/TGM3/EVPL/CNFN/TMPRSS11F/SLC39A2/ALOX15B/KAZN/SPRR1A/ZNF750/SPRR2F/SPRR2E/TGM1/ALOX12/DSG4/TFAP2B/AQP3/IVL/EPHA2/ZFP36/KRT3/PKP3/SPRR1B/CERS3/SOX21/KRT76/SPRR2G/ZBED2/EREG/KRT7/KRT2/KRT6C/KRT36/KRT80,58
GO:0018149,peptide cross-linking,11/960,18/15250,0.611111111111111,9.70775462962963,9.580852501498,1.22991726685784e-09,9.53595854237115e-07,9.43152346216778e-07,FLG/ANXA1/CSTA/TGM3/EVPL/SPRR1A/SPRR2E/TGM1/IVL/SPRR1B/KRT2,11
GO:0120254,olefinic compound metabolic process,31/960,156/15250,0.198717948717949,3.15671741452991,7.01767991722918,8.83434702783083e-09,5.87105462478129e-06,5.80675652009753e-06,ACOX1/RDH12/MGLL/SCNN1B/CYP3A5/PTGS1/CYP2J2/CYP2C18/DHRS9/ACAA1/EPHX2/CYP2C19/ALOX15B/BCO2/CYP2C9/CYP11A1/CYP4F12/CYP2E1/ALOX12/ADH1B/SDR16C5/SDR9C7/ADH7/DGAT2/CYP3A4/ADH4/ALDH1A3/ADH1A/ALDH1A2/CYP21A2/CYP4A11,31
GO:0045104,intermediate filament cytoskeleton organization,22/960,88/15250,0.25,3.97135416666667,7.24532204928524,1.67672263949873e-08,8.84726219878902e-06,8.75036952321736e-06,PPL/KRT13/KRT4/KRT78/KRT79/EVPL/AGFG2/KRT24/KRT32/EVPLL/KRT15/KRT3/KRT33A/KRT76/DES/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,22
GO:0045109,intermediate filament organization,19/960,67/15250,0.283582089552239,4.50481965174129,7.45185618849522,1.71163714078033e-08,8.84726219878902e-06,8.75036952321736e-06,KRT13/KRT4/KRT78/KRT79/AGFG2/KRT24/KRT32/KRT15/KRT3/KRT33A/KRT76/DES/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,19
GO:0034308,primary alcohol metabolic process,23/960,96/15250,0.239583333333333,3.80588107638889,7.14794857675676,1.90441589937954e-08,8.85934276391363e-06,8.76231778546103e-06,RDH12/SCNN1B/CYP3A5/NAAA/GDPD3/CYP2C18/DHRS9/ACP3/CYP11A1/ALDH3B1/ADH1B/SDR16C5/SDR9C7/SULT1B1/ADH7/DGAT2/CYP3A4/ADH4/ALDH3B2/ALDH1A3/ADH1A/ALDH1A2/CYP21A2,23
