ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030280,structural constituent of skin epidermis,20/984,51/15828,0.392156862745098,6.30798660927786,9.77516442849443,7.53760994453489e-12,6.45219411252187e-09,5.83172979919278e-09,FLG/KRT13/KRT4/KRT78/KRT79/SPRR1A/KRT24/SPRR2E/KRT32/KRT15/KRT3/KRT33A/KRT76/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,20
GO:0048306,calcium-dependent protein binding,18/984,74/15828,0.243243243243243,3.91265655899802,6.46593144058477,4.33556170268465e-07,0.000185562040874903,0.000167717781656485,CHP1/VLDLR/VPS37B/ANXA1/S100P/ANXA11/ANXA3/CRNN/S100A16/S100A14/NRXN1/S100A10/S100A12/S100A8/S100A9/CASQ2/SYT8/CABP1,18
GO:0030414,peptidase inhibitor activity,24/984,140/15828,0.171428571428571,2.75749128919861,5.37767789946427,5.24916204424835e-06,0.00115941562140773,0.0010479223828513,CAST/SPINK7/SERPINB1/A2ML1/SPINK5/CSTB/CSTA/SERPINB13/SERPINB11/SERPINB6/SERPINB3/SLPI/SERPINB2/SERPINB12/PI16/SPINT1/SERPINI2/SPINK8/FETUB/CARD18/CST6/SERPINB4/ITIH3/WFDC12,24
GO:0004745,all-trans-retinol dehydrogenase (NAD+) activity,8/984,18/15828,0.444444444444444,7.1490514905149,6.72047275621743,5.41783000657817e-06,0.00115941562140773,0.0010479223828513,RDH12/DHRS9/ADH1B/SDR16C5/SDR9C7/ADH7/ADH4/ADH1A,8
GO:0004866,endopeptidase inhibitor activity,23/984,133/15828,0.172932330827068,2.7816798092793,5.31246640220862,7.05679903165525e-06,0.00120812399421938,0.00109194679752981,CAST/SPINK7/SERPINB1/A2ML1/SPINK5/CSTB/CSTA/SERPINB13/SERPINB11/SERPINB6/SERPINB3/SLPI/SERPINB2/SERPINB12/SPINT1/SERPINI2/SPINK8/FETUB/CARD18/CST6/SERPINB4/ITIH3/WFDC12,23
GO:0004867,serine-type endopeptidase inhibitor activity,17/984,82/15828,0.207317073170732,3.33477096966092,5.45742109020848,9.39354139427299e-06,0.00134014523891628,0.00121127244294573,SPINK7/SERPINB1/A2ML1/SPINK5/SERPINB13/SERPINB11/SERPINB6/SERPINB3/SLPI/SERPINB2/SERPINB12/SPINT1/SERPINI2/SPINK8/SERPINB4/ITIH3/WFDC12,17
GO:0015081,sodium ion transmembrane transporter activity,24/984,147/15828,0.163265306122449,2.62618218018915,5.09990827659672,1.24021893203396e-05,0.00151661057974438,0.00137076829330069,CHP1/SCNN1B/SLC6A4/CNGA1/SCNN1A/SCNN1G/SCN7A/SLC24A3/HCN2/ATP1A2/SLC6A11/SLC4A4/SCN2B/SLC10A6/SLC9A4/SLC5A1/GRIK3/SLC13A4/SLC8A3/SLC34A3/ATP12A/SLC6A1/CNGA3/SLC38A3,24
GO:0004022,alcohol dehydrogenase (NAD+) activity,8/984,21/15828,0.380952380952381,6.12775842044135,6.05388064981347,2.13016740985293e-05,0.00209752141798859,0.00189581682516185,RDH12/DHRS9/ADH1B/SDR16C5/SDR9C7/ADH7/ADH4/ADH1A,8
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",11/984,40/15828,0.275,4.4234756097561,5.58155299374652,2.20533793947398e-05,0.00209752141798859,0.00189581682516185,CYP3A5/CYP2J2/CYP2C18/CYP2C19/CYP4B1/CYP2C9/CYP4F12/CYP2E1/CYP3A4/CYP21A2/CYP4A11,11
GO:0004497,monooxygenase activity,17/984,92/15828,0.184782608695652,2.97229586426299,4.88472570817187,4.54129254630093e-05,0.0038873464196336,0.00351352633845388,CYP3A5/CYP2J2/CYP2C18/CYP4F22/FMO2/CH25H/CYP2C19/CYP4B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/DEGS2/CYP3A4/CYP4X1/CYP21A2/CYP4A11,17
GO:0005506,iron ion binding,21/984,136/15828,0.154411764705882,2.48376972740316,4.47422879157725,9.80116119691767e-05,0.00762708544051047,0.00689363969352582,CYP3A5/CYP2J2/CYP2C18/CYP4F22/CH25H/CYP2C19/ALOX15B/CYP4B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/ALOX12/BBOX1/LCN2/ETHE1/CYP3A4/TF/CYP4X1/CYP21A2/CYP4A11,21
GO:0008392,arachidonate epoxygenase activity,6/984,14/15828,0.428571428571429,6.89372822299652,5.68008236811072,0.000110760744738335,0.00790093312466793,0.00714115327918215,CYP2J2/CYP2C18/CYP2C9/CYP4F12/CYP2E1/CYP4A11,6
GO:0004869,cysteine-type endopeptidase inhibitor activity,8/984,26/15828,0.307692307692308,4.94934333958724,5.18891927035778,0.000123741713942255,0.00814791593342845,0.00736438540466049,CAST/CSTB/CSTA/SERPINB13/SERPINB3/FETUB/CARD18/CST6,8
GO:0061135,endopeptidase regulator activity,23/984,161/15828,0.142857142857143,2.29790940766551,4.26172845438998,0.000156947618732966,0.00959622583110133,0.00867342103524284,CAST/SPINK7/SERPINB1/A2ML1/SPINK5/CSTB/CSTA/SERPINB13/SERPINB11/SERPINB6/SERPINB3/SLPI/SERPINB2/SERPINB12/SPINT1/SERPINI2/SPINK8/FETUB/CARD18/CST6/SERPINB4/ITIH3/WFDC12,23
GO:0020037,heme binding,19/984,122/15828,0.155737704918033,2.50509796081567,4.29668250654783,0.00018458867856488,0.00991188598435401,0.00895872626475676,DUOX1/CYP3A5/PTGS1/CYP2J2/CYP2C18/CYP4F22/HEBP2/CYP2C19/CYP4B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/CYP3A4/STEAP4/DUOX2/CYP4X1/CYP21A2/CYP4A11,19
GO:0046906,tetrapyrrole binding,20/984,132/15828,0.151515151515152,2.43717664449372,4.26897880934419,0.000185268896903813,0.00991188598435401,0.00895872626475676,DUOX1/CYP3A5/PTGS1/CYP2J2/CYP2C18/CYP4F22/HEBP2/CYP2C19/CYP4B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/TCN1/CYP3A4/STEAP4/DUOX2/CYP4X1/CYP21A2/CYP4A11,20
GO:0008236,serine-type peptidase activity,23/984,165/15828,0.139393939393939,2.24220251293422,4.12969786501095,0.000227143905167649,0.0105861215357703,0.00956812509689025,TMPRSS11B/TMPRSS11E/ENDOU/RHBDL2/TMPRSS2/KLK12/OVCH2/KLK11/PRSS27/TMPRSS11A/TMPRSS11F/KLK13/TMPRSS11D/CFD/CMA1/PRSS3/PRSS8/CTSG/PCSK2/RELN/PRSS22/DPP6/TPSD1,23
