category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,59/480,185/7548,0.318918918918919,5.015,14.4079945934492,7.04842118040324e-27,2.23434951418783e-24,2.14420391698583e-24,26285/2312/100506658/51099/5493/3860/6785/29943/6707/6703/3851/126410/196374/6701/84283/6700/2053/140576/388698/338785/7053/2125/57402/55304/23254/6698/192666/6705/6704/7051/6281/1828/9333/3882/5652/147409/121214/6283/3713/79852/3866/6279/3850/3883/11187/6280/6699/204219/51350/1366/6706/9071/8688/3855/3849/286887/8689/3886/144501,59
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,18/480,58/7548,0.310344827586207,4.8801724137931,7.73007370578063,8.79419024425271e-09,1.39387915371405e-06,1.33764262136265e-06,1577/2327/4129/1557/4258/1559/1571/221/125/2953/218/131/54577/1576/653689/127/222/124,18
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,15/480,63/7548,0.238095238095238,3.74404761904762,5.69935277265244,6.45225822805213e-06,0.000565071404811243,0.000542273405248046,1577/4258/1559/1571/221/125/2953/218/131/54577/1576/653689/127/222/124,15
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,14/480,56/7548,0.25,3.93125,5.73729937911144,7.1302385465141e-06,0.000565071404811243,0.000542273405248046,145226/1577/1562/10170/1559/125/195814/131/54577/1576/127/220/124/8854,14
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,9/480,33/7548,0.272727272727273,4.28863636363636,4.9336445310588,0.000153736080593323,0.00974686750961671,0.00935362679820431,4129/221/125/218/131/127/222/124/1638,9
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,10/480,43/7548,0.232558139534884,3.65697674418605,4.5530891709899,0.000280559155090298,0.0148228753606041,0.0142248413721221,51/34/8310/30/223/125/131/33/127/124,10
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,8/480,29/7548,0.275862068965517,4.33793103448276,4.69305711022292,0.000329250319649944,0.0149103359041475,0.0143087732900502,51/18/8310/223/221/218/222/339896,8
Organismal Systems,Digestive system,hsa04978,Mineral absorption,11/480,55/7548,0.2,3.145,4.16044991549236,0.000568874230373777,0.0225416413785609,0.021632191128687,4496/4495/4499/477/55503/6523/6547/7018/142680/4489/491,11
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,11/480,58/7548,0.189655172413793,2.9823275862069,3.94919006586149,0.000910560012214031,0.032071947096872,0.0307779933953047,3248/5742/1573/2053/1557/247/1559/1571/239/5319/391013,11
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,7/480,27/7548,0.259259259259259,4.07685185185185,4.17359397529946,0.00117022525118112,0.0347297283271444,0.0333285455306151,1573/1557/1559/1571/1576/5319/391013,7
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,12/480,69/7548,0.173913043478261,2.73478260869565,3.77230988543995,0.00120513252870217,0.0347297283271444,0.0333285455306151,51/34/8310/30/28965/8309/10580/33/6258/729359/364/3158,12
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,7/480,28/7548,0.25,3.93125,4.04932354483634,0.00147621187229175,0.0372837267621742,0.0357795020231391,2525/2524/2527/2528/10331/6484/10317,7
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,6/480,21/7548,0.285714285714286,4.49285714285714,4.17675533550027,0.00152898564008916,0.0372837267621742,0.0357795020231391,4129/443/223/221/218/222,6
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,39/480,380/7548,0.102631578947368,1.61388157894737,3.19990381904679,0.00186467826273156,0.0394146665308326,0.0378244682962332,4301/117531/1824/3860/5595/2557/3851/29964/23286/196374/51421/338785/5097/192666/2568/259236/1828/3882/147409/6327/3866/3850/29119/3883/11187/28513/64405/10451/51350/2560/1674/1014/8688/3855/3849/286887/8689/3886/144501,39
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,10/480,54/7548,0.185185185185185,2.91203703703704,3.67447975822373,0.00186504731218451,0.0394146665308326,0.0378244682962332,1577/1562/1557/4258/1559/1571/2953/54577/1576/653689,10
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,15/480,103/7548,0.145631067961165,2.29004854368932,3.43519849957185,0.00205014629747149,0.0406185235186539,0.0389797552611356,6532/5742/1573/5595/1562/4129/1557/247/1559/239/2560/1843/260293/2788/9177,15
Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,4/480,10/7548,0.4,6.29,4.36201473943168,0.00249191746652145,0.0464669315816059,0.044592207295647,7263/58472/8991/23474,4
