ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-6805567,Keratinization,44/624,103/10031,0.427184466019417,6.86712720936022,15.4145347808035,1.67466513848526e-26,1.25890607368113e-23,1.21740367564769e-23,KRTAP3-2/FLG/PPL/DSC2/SPINK5/KRT13/SPRR3/CSTA/SPRR2D/KRT4/KLK12/KRT78/SPRR2B/SPRR2A/LIPM/KRT79/EVPL/KLK13/KAZN/SPRR1A/KRT24/SPRR2F/SPRR2E/TGM1/TGM5/KRT32/PRSS8/DSG4/IVL/RPTN/KRT15/KRT3/KRT33A/PKP3/SPRR1B/KRT76/SPRR2G/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,44
R-HSA-6809371,Formation of the cornified envelope,43/624,99/10031,0.434343434343434,6.98220991970992,15.4055809314609,2.76682653556293e-26,1.25890607368113e-23,1.21740367564769e-23,FLG/PPL/DSC2/SPINK5/KRT13/SPRR3/CSTA/SPRR2D/KRT4/KLK12/KRT78/SPRR2B/SPRR2A/LIPM/KRT79/EVPL/KLK13/KAZN/SPRR1A/KRT24/SPRR2F/SPRR2E/TGM1/TGM5/KRT32/PRSS8/DSG4/IVL/RPTN/KRT15/KRT3/KRT33A/PKP3/SPRR1B/KRT76/SPRR2G/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,43
R-HSA-211859,Biological oxidations,33/624,189/10031,0.174603174603175,2.80680199430199,6.45828152153438,5.33710535466634e-08,1.61892195758212e-05,1.56555090403546e-05,CHAC1/CYP3A5/PTGS1/GGT6/CYP2J2/CYP2C18/CYP4F22/FMO2/MAOB/CYP2C19/CYP4B1/CES2/MGST2/SULT2B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/ADH1B/GSTT2/ALDH3A1/SULT1B1/ADH7/UGT1A7/ACSM1/CYP3A4/GSTT2B/ADH4/ADH1A/GLYATL2/CYP21A2/GLYATL1/CYP4A11,33
R-HSA-211945,Phase I - Functionalization of compounds,22/624,98/10031,0.224489795918367,3.60874542124542,6.68377327204645,1.0164601708837e-07,2.31244688876043e-05,2.23621237594415e-05,CYP3A5/PTGS1/CYP2J2/CYP2C18/CYP4F22/FMO2/MAOB/CYP2C19/CYP4B1/CES2/CYP2C9/CYP11A1/CYP4F12/CYP2E1/ADH1B/ALDH3A1/ADH7/CYP3A4/ADH4/ADH1A/CYP21A2/CYP4A11,22
R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,13/624,38/10031,0.342105263157895,5.49945175438597,7.15682904527342,2.35005721122762e-07,4.27710412443428e-05,4.13610069176062e-05,FLG/KPRP/SPINK5/KRT78/SPRR2A/HOPX/KRT24/SBSN/PRSS3/AQP3/DMKN/IVL/KRT15,13
R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,17/624,66/10031,0.257575757575758,4.14061285936286,6.59272423542317,3.59242600845289e-07,5.44851277948688e-05,5.26889147906424e-05,FLG/KPRP/SPINK5/KRT78/SPRR2A/HOPX/MUC1/KRT24/SLPI/CD24/SBSN/PRSS3/AQP3/DMKN/IVL/KRT15/ALDH1A3,17
R-HSA-9734767,Developmental Cell Lineages,24/624,138/10031,0.173913043478261,2.79570791527313,5.47051766765909,3.80418893170983e-06,0.000494544561122278,0.000478240894272093,FLG/KPRP/ANXA1/SPINK5/ANXA3/KRT78/SPRR2A/HOPX/MUC1/KRT24/SLPI/CD24/SBSN/PRSS3/AQP3/DMKN/IVL/SLC4A4/KRT15/PLA2G1B/ALDH1A3/CLDN10/AMY2A/KRT7,24
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,17/624,86/10031,0.197674418604651,3.17767963625522,5.22345684761183,1.76471874476728e-05,0.00200736757217278,0.00194119061924401,PLET1/LY6G6C/PSCA/RAET1L/LYPD2/OPCML/CEACAM5/CEACAM7/CNTN3/RAET1G/LYPD3/NTNG1/XPNPEP2/ART4/TEX101/GPIHBP1/LY6D,17
R-HSA-9037629,Lewis blood group biosynthesis,7/624,16/10031,0.4375,7.03295272435897,6.21987455785341,2.43165647873091e-05,0.00245867488405014,0.00237761966809245,FUT3/FUT2/FUT5/B3GALT4/FUT6/ST3GAL4/B3GALT5,7
R-HSA-211897,Cytochrome P450 - arranged by substrate type,13/624,58/10031,0.224137931034483,3.60308908045977,5.12044029977604,4.31343141117098e-05,0.00392522258416559,0.00379581964183046,CYP3A5/CYP2J2/CYP2C18/CYP4F22/CYP2C19/CYP4B1/CYP2C9/CYP11A1/CYP4F12/CYP2E1/CYP3A4/CYP21A2/CYP4A11,13
