"Cell_Type","Spearman_r","P_Value"
"Activated_B_cell",-0.160944693802855,0.0291676832924725
"Mast_cell",-0.0984434898191135,0.183517917870995
"CD56bright_natural_killer_cell",-0.0670821213230336,0.365253343063217
"Natural_killer_cell",-0.0670821213230336,0.365253343063217
"Memory_B_cell",-0.052979137369729,0.474719371497151
"Immature_B_cell",-0.0509121380824873,0.492143230304669
"B_cell",-0.021773805166535,0.769028508422241
"Plasmacytoid_dendritic_cell",-0.00860318622257325,0.907646474557373
"T_follicular_helper_cell",0.0341719481420123,0.644857731971556
"Neutrophil",0.0940263142686521,0.204042916524341
"Natural_killer_T_cell",0.116728631696558,0.114513197421795
"Regulatory_T_cell",0.119741480611046,0.105407506810905
"Central_memory_CD8_T_cell",0.120126755408295,0.104285466547193
"Activated_dendritic_cell",0.124594016682399,0.0919526435789415
"Effector_memory_CD8_T_cell",0.149829515902217,0.0424364101084097
"Activated_CD4_T_cell",0.158910442873379,0.0312894894912409
"Macrophage",0.161543796112577,0.0285667450204248
"MDSC",0.172969120225,0.0189758090115884
"Central_memory_CD4_T_cell",0.173273487314827,0.0187642180805629
"Activated_CD8_T_cell",0.189273949644584,0.0101664438551417
"CD56dim_natural_killer_cell",0.218811041975689,0.00289882299416545
"Type_1_T_helper_cell",0.220255822465373,0.00271480609055327
"Type_2_T_helper_cell",0.240937373581707,0.00101586038867403
"Monocyte",0.244919188611277,0.000832663204489628
"Effector_memory_CD4_T_cell",0.245920903084125,0.000791639469789638
"Type_17_T_helper_cell",0.293589027373774,5.64399264010355e-05
