Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
ESM1,8,REML,-3.97072891090361,0.341565717412677,3.07304090297432e-31,80.903811576206,0.739648631435396,45.0213930348331,1.35458816747669e-07,0,8,6.24096134768022e-175,5.2533634236346e-27,4.82756716011735e-173
TCFL5,15,REML,-0.7176592106352,0.0637663571682899,2.20041507879215e-29,40.2751545460264,0.0218970835941033,21.0470178777878,0.100433674813819,0,0,1.19943593382813e-52,1.88080478859759e-25,7.99078616086976e-52
GAREM1,15,REML,0.618058780012808,0.056591570167637,9.10878981038212e-28,0,0,11.3653309320687,0.657127958198603,1,0,1.29785793264949e-20,5.19049206028275e-24,3.11876319351181e-20
SCX,13,REML,-0.91544290700184,0.0896491820791861,1.76317646251097e-24,45.6351028006802,0.0416009116704626,20.8964087234759,0.0519181179062472,0,5,3.90979522510741e-47,7.53537540665626e-21,2.22274524021321e-46
CCDC160,4,REML,2.3725000312685,0.241867554072366,1.02894655001514e-22,0,0,3.07381498257052,0.380383785917654,2,0,4.54940638291999e-20,3.51796825450178e-19,1.07390364700383e-19
DLEU1-AS1,4,REML,-2.41097422092904,0.250876815094702,7.24142235679642e-22,0,0,0.477560537916451,0.923792871785961,0,4,1.86656961614503e-19,2.06320191982391e-18,4.28999833127174e-19
ZNF511,15,REML,-0.394326715633299,0.0417494930835549,3.55180573448768e-21,0,0,10.0262965015076,0.760258372063037,0,0,1.90789935431166e-14,8.67401700443814e-18,3.58491310859065e-14
TREM2,14,REML,-3.05211359934626,0.327674218693283,1.22556143151208e-20,86.533456689674,1.14611362412717,76.3634448079843,5.30075167912388e-11,0,11,1.11292100421502e-168,2.61887158396238e-17,7.70258484496186e-167
HOXA10,14,REML,-3.03078645974633,0.325907974077127,1.41086285109483e-20,85.1854785645441,1.15209623836555,111.355054556526,1.01353682546347e-17,0,12,5.45513756021689e-134,2.67985560438513e-17,2.19942397622424e-132
GPAT3,15,REML,1.22108874875062,0.13280331503738,3.75986913747658e-20,53.9395252161929,0.130509750019413,29.5162210788591,0.00889138535528519,10,0,6.89506649676673e-43,6.42749629051621e-17,3.47600005196778e-42
NHLRC1,13,REML,-0.707650736088349,0.0777787110877003,9.17927109041537e-20,0,0,9.30418144316264,0.676753096867921,0,1,2.84391514744711e-14,1.42654217536955e-16,5.30113722010778e-14
ADPRM,15,REML,0.385744899172763,0.0430523769667665,3.24979372206727e-19,0,0,12.0994694795841,0.598314778880509,0,0,1.70883567426232e-13,4.62960197322834e-16,3.0727407017476e-13
OR13H1,2,REML,-3.99912984621065,0.446830916463825,3.55531773048177e-19,0,0,0.210467342712313,0.64640135197597,0,2,2.5665990116042e-18,4.67524281558353e-16,5.62729384421878e-18
CFHR4,2,REML,-5.89535293926121,0.660977150300319,4.69889645172619e-19,0,0,0.061695541810019,0.80383586302686,0,2,3.54017827202046e-18,5.73768820301852e-16,7.7143846475704e-18
