Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
CDK1,218,0.0141694469932256,0.248638047504903,1,-1.24990769537242
BUB1,182,0.00218921287833512,0.235841256717652,0.956465749711085,-1.30559730753224
CDC20,180,0.00142041898885435,0.23323793949305,0.936006374103125,-1.3526804440062
CCNB1,176,0.00218541189775295,0.235306248711074,0.927407191649337,-1.01643781300981
BUB1B,172,0.00229711960644722,0.233476570493145,0.932676239750436,-1.14787457210762
CCNB2,168,0.00178016063326818,0.234580592105263,0.897843475315761,-1.13457072338024
DLGAP5,166,0.000648386491685047,0.230040322580645,0.927093600275715,-1.30078899832235
FN1,166,0.0704793305879283,0.306144352025758,0.0146151239002349,-2.01760416964742
PLK1,162,0.00210042287335157,0.233619983619984,0.851686607303867,-1.46627035790145
TOP2A,162,0.00082176280936626,0.231816334823243,0.89415879114401,-1.50532885668916
CDC45,158,0.00236051171311674,0.234003281378179,0.772436840493366,-1.50628778886535
NUF2,158,0.000603780580160953,0.228245649129826,0.893529906401148,-1.3639224192705
AURKB,156,0.000354643593527357,0.228748997594226,0.897837101573671,-1.43361714152902
KIF20A,156,0.00277807326917281,0.232240993283126,0.879508318140717,-1.33873578935514
BIRC5,154,0.000357757278017846,0.228840754111512,0.894829784111627,-1.51305714443523
CDCA8,152,0.000921670827602752,0.228794866653299,0.878515143587454,-1.26376564657988
MELK,146,0.000372117515065227,0.228565705128205,0.858328536995015,-1.10619739441565
PBK,146,0.00314871688021104,0.230831478858993,0.859973329654477,-1.11720776596746
MAD2L1,144,0.000565248964268125,0.228519927899059,0.823330680987745,-1.13956297966493
ASPM,144,0.00100914981934759,0.228382706164932,0.847159812326664,-1.23646732715863
CENPA,142,0.00241123000262489,0.229808660624371,0.813615261416518,-1.53633206759054
KIF2C,142,0.000910483331480044,0.232477587612062,0.860500827328242,-1.67618878066748
CEP55,142,0.00145828507553621,0.226974338571713,0.835078483357804,-1.67301269892394
CENPF,142,0.000322582143794752,0.228337002201321,0.851043364585711,-1.47036690046397
TPX2,138,0.000341683153358275,0.231018424782345,0.846146668718275,-1.61751911915051
TTK,138,0.000244624074064334,0.227019498607242,0.846436635625238,-1.03930858187094
KIF4A,136,0.000291907412551095,0.228245649129826,0.845377422049012,-1.48632588044996
NUSAP1,136,0.000256078992337197,0.228154369126175,0.837697020183678,-1.05339554599036
UBE2C,134,0.000420445684470356,0.231018424782345,0.798088440303275,-1.74511971419006
RRM2,134,0.00470516888785383,0.235209235209235,0.750364780232892,-1.23047240940759
HJURP,132,0.000502051651949474,0.228063162102738,0.801218084083487,-1.63278537898961
AURKA,130,0.0304417213209231,0.266029377477267,0.771648249703144,-1.6235476159372
EXO1,128,0.00246645777423827,0.221768707482993,0.616727215247037,-1.51829804405786
KIF23,126,0.000819732406116544,0.228291316526611,0.780209073407879,-1.24629736082892
CENPE,126,0.000242191287997696,0.224076983503535,0.779018703091206,-1.16796204664597
CDCA5,120,0.000302575061253033,0.223593964334705,0.73084714582595,-1.7129056158219
CDCA3,120,0.000173627600071211,0.22478329393223,0.752509512928193,-1.27800827219191
HMMR,118,0.000480426660794923,0.229208517476898,0.750759174534983,-1.15273342227193
ZWINT,118,0.000489135852519168,0.229854955680903,0.735174660185587,-1.03984740614365
ESPL1,118,0.000410284422912563,0.223901098901099,0.708844457010092,1.01408576817821
NDC80,112,0.000140546592812119,0.226119698771304,0.725670841639509,-1.35598102310705
