Symbol,Module,Degree,Log2FC
ESM1,1,0,-3.97072891090361
CCDC160,2,0,2.3725000312685
CXCL8,3,102,-3.23147363022578
CXCL10,3,88,-1.65060590399852
CXCR4,3,82,-1.00748898295206
IL1A,3,76,1.38804647688918
TLR2,3,72,-1.05429070610477
CXCL9,3,62,-1.42561596268296
CXCL1,3,54,-2.26425990762047
CXCR2,3,54,1.94308411293504
CD80,3,52,-1.78874924393124
CCR1,3,50,-1.23857992000395
CCL3,3,48,-1.9642932448403
CCL4,3,48,-1.07489137693081
CXCL11,3,46,-2.01452369227813
ITGAX,3,44,-1.23327282428586
CCR8,3,44,-1.43294597234473
VCAM1,3,42,-1.22081285355184
CXCL13,3,42,-1.44960823322037
IL18,3,40,2.2882624202796
LGALS3,3,40,1.37052098997318
CTLA4,3,38,-1.11154447035049
CCL27,3,38,1.02892620837322
CD40LG,3,36,1.56908549364915
FCGR3A,3,34,-2.70355015716234
XCR1,3,32,1.11586457741601
CCL8,3,32,-1.0481702274263
FCER1G,3,30,-1.39806007434621
TNFRSF9,3,30,-1.24101618983936
IL2RA,3,28,-1.59918207042312
EPCAM,3,28,-2.12762984308514
CCL26,3,28,-1.07122793963997
CD163,3,28,-1.32024354170226
TLR3,3,26,1.18523176666953
CXCL6,3,26,-2.86041075473307
FCGR3B,3,26,-2.30467607922552
GZMB,3,26,-1.08522431337313
CCRL2,3,26,-1.18966403535189
XCL1,3,24,-2.89721507267392
IDO1,3,24,-1.74045662794034
CD1C,3,24,1.1232207663022
CCL3L3,3,24,-1.71917489999711
CCL18,3,24,-2.73568911179139
FPR1,3,22,-1.74534587154052
ACE2,3,22,1.12008502567975
C5AR1,3,20,-1.98421078811345
FCGR2A,3,20,-1.16505043295342
MME,3,20,-1.85618794264683
IL11,3,20,-2.58977820370918
DPP4,3,20,-1.18942862160092
ANXA1,3,18,2.58089579067478
OSM,3,18,-2.70185403290485
C1QB,3,18,-1.03791932195793
C3AR1,3,18,-1.02009090067696
RUNX1,3,18,-1.03797631776338
C4B,3,18,-1.19169371574865
C4A,3,18,-1.18102340970744
CCL4L2,3,18,-1.40550277483514
SELE,3,18,-1.39947295494833
LIF,3,18,-1.05608712756459
TREM2,3,16,-3.05211359934626
TNFRSF18,3,16,-2.08085148643823
IL1RN,3,16,3.04412490492887
CEACAM5,3,16,2.26313880899709
TNFRSF4,3,14,-1.43822693295841
CD276,3,14,-1.6427446841021
TMPRSS2,3,14,2.62888780398692
BID,3,14,-1.12607552579112
