"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"APOE",184,77,1.16459405564718,1.01642965699265,1.33435629816394,0.0281862693777458,2.19468405386567,0.997715338829144,-1.9909330624849,1.00216732514172e-05,15,"Down","Down-High risk"
"KIF4A",184,77,1.35816397723481,1.02324177646484,1.8027111788097,0.0340906387473501,2.11899796717324,0.997715338829144,-1.48632588044996,4.18095113534216e-05,15,"Down","Down-High risk"
"CDKN3",184,77,1.30010766227971,0.997701270184626,1.69417438268434,0.0520250241649336,1.94292662735083,0.997715338829144,-1.37121418690025,7.4811661458906e-07,15,"Down","Down-High risk"
"CDT1",184,77,1.28103182806229,0.980416305281774,1.67382216683655,0.0695207100659185,1.81502081954937,0.997715338829144,-1.18757382030338,1.24777755806246e-07,15,"Down","Down-High risk"
"UBE2C",184,77,1.24513014747628,0.93550781896409,1.65722728632139,0.132851535051498,1.50295156258736,0.997715338829144,-1.74511971419006,5.50334451446402e-09,16,"Down","Down-High risk"
"TROAP",184,77,1.2417634913434,0.912978130314796,1.68895236066791,0.167645465524782,1.37980898474387,0.997715338829144,-1.50765554491371,1.80074925340094e-06,15,"Down","Down-High risk"
"AURKA",184,77,1.22626667538668,0.914663388114055,1.64402552753799,0.172681714223439,1.36363740272718,0.997715338829144,-1.6235476159372,1.96308953590672e-09,16,"Down","Down-High risk"
"RRM2",184,77,1.20044948131764,0.910277322396516,1.58312079378382,0.195633890657848,1.29409128738876,0.997715338829144,-1.23047240940759,2.00831074452261e-06,15,"Down","Down-High risk"
"CCNB2",184,77,1.19931779124269,0.900160549772399,1.59789624723604,0.214422032867174,1.24149746822923,0.997715338829144,-1.13457072338024,6.33881568661776e-07,15,"Down","Down-High risk"
"HMMR",184,77,1.1670393674303,0.911476935899969,1.49425710238881,0.22059665583398,1.22494311057775,0.997715338829144,-1.15273342227193,2.74922509978357e-06,14,"Down","Down-High risk"
"CDK1",184,77,1.20163421777827,0.888985846451572,1.6242382250506,0.232229553783356,1.19463529309642,0.997715338829144,-1.24990769537242,1.8816704967933e-06,15,"Down","Down-High risk"
"SHCBP1",184,77,1.1787235379233,0.888859309442721,1.56311484179146,0.25352278542686,1.1418345805072,0.997715338829144,-1.0461679509346,0.000175493900934774,15,"Down","Down-High risk"
"CXCL9",184,77,1.05344311750119,0.961561660908625,1.15410425241162,0.263500567096313,1.11815554466358,0.997715338829144,-1.42561596268296,0.000441687114036536,14,"Down","Down-High risk"
"CDCA3",184,77,1.17978443768176,0.878246355248657,1.58485294140728,0.27226557650098,1.09786011517775,0.997715338829144,-1.27800827219191,5.77738566780287e-06,15,"Down","Down-High risk"
"CXCL10",184,77,1.05365503291419,0.957909220356793,1.15897091790378,0.282255851035177,1.07526555936868,0.997715338829144,-1.65060590399852,0.00161873668197462,14,"Down","Down-High risk"
"CENPI",184,77,1.1477612820802,0.88716082142011,1.48491223782137,0.294272380928988,1.0487952134913,0.997715338829144,-1.27627715116618,8.57476431640743e-07,15,"Down","Down-High risk"
"EGF",173,73,1.04578902686208,0.961832232436659,1.13707427534891,0.294380133058546,1.04856117447861,0.997715338829144,-1.1612148560084,0.0150993036237269,11,"Down","Down-High risk"
"KIF23",184,77,1.16421740846804,0.87561490044178,1.54794324936248,0.295515033240375,1.0460996360828,0.997715338829144,-1.24629736082892,2.23205127151194e-06,15,"Down","Down-High risk"
"NEK2",184,77,1.14243128430382,0.875651060459308,1.49049010306856,0.326420449061294,0.981349441729354,0.997715338829144,-1.63690644138115,7.43413516894863e-06,15,"Down","Down-High risk"
"ECT2",184,77,1.15020047867361,0.869576296191136,1.52138592891246,0.326771580386085,0.980637407702137,0.997715338829144,-1.68194972719138,7.25904297948651e-09,15,"Down","Down-High risk"
"KIF20A",184,77,1.13203384206706,0.879900328865693,1.45641566157514,0.334698257147758,0.964693689086058,0.997715338829144,-1.33873578935514,1.95903753024683e-06,15,"Down","Down-High risk"
"TACC3",184,77,0.884098426367412,0.683784813318896,1.14309357604994,0.347352885578654,-0.93973621194852,0.997715338829144,-1.03581939534011,2.63204243497641e-07,16,"Down","Down-Protective"
"MELK",184,77,1.14422102301245,0.854407254791203,1.5323392236687,0.36595583344054,0.904074623278168,0.997715338829144,-1.10619739441565,1.06952572885161e-06,16,"Down","Down-High risk"
"CDC25C",184,77,1.14634185499886,0.852111424060866,1.54216879555457,0.366809594227691,0.902465586733115,0.997715338829144,-1.06484426238247,7.85629529100062e-07,16,"Down","Down-High risk"
"RAD51AP1",184,77,1.1282699197365,0.86569023838981,1.47049482058385,0.371915244797772,0.892891564739106,0.997715338829144,-1.59698299080399,9.82369526724317e-10,14,"Down","Down-High risk"
"IL1A",184,77,1.03415532338172,0.955908551075583,1.11880705709284,0.402793644951953,0.836642328963047,0.997715338829144,1.38804647688918,0.0419410603087869,14,"Up","Up-High risk"
"COL6A1",184,77,0.930695205858219,0.783564049299723,1.10545343036296,0.413321670045763,-0.818062202594206,0.997715338829144,-1.13930351378178,0.00366330223452287,15,"Down","Down-Protective"
"NUF2",184,77,1.10366307378949,0.863572302592867,1.41050399229945,0.430662507924188,0.788058466408381,0.997715338829144,-1.3639224192705,0.000341181044261105,14,"Down","Down-High risk"
"CDC45",184,77,0.902309455406626,0.688876953750275,1.18186905351365,0.45535793788828,-0.746512409842404,0.997715338829144,-1.50628778886535,3.8537984223942e-09,15,"Down","Down-Protective"
"TPX2",184,77,1.12253883965931,0.828091675686856,1.52168350865078,0.456448873317352,0.744706988771569,0.997715338829144,-1.61751911915051,8.95169960257827e-07,15,"Down","Down-High risk"
"AURKB",184,77,1.10059725053373,0.851934721274324,1.42183934711633,0.463205306793016,0.733579093210062,0.997715338829144,-1.43361714152902,6.30707475935571e-07,16,"Down","Down-High risk"
"TTK",184,77,1.09944498042602,0.836079775543585,1.44577024865609,0.497415097859091,0.678562519487878,0.997715338829144,-1.03930858187094,0.00018193787540702,16,"Down","Down-High risk"
"COL4A1",184,77,1.07741228006014,0.868247401907738,1.33696596001763,0.49836207443527,0.677069160945559,0.997715338829144,-2.0532047766124,1.47009912811495e-05,15,"Down","Down-High risk"
"MMP2",184,77,0.949271714228996,0.811796492089175,1.11002793953472,0.514262087752099,-0.652215615420517,0.997715338829144,-2.18057960310918,4.18287534629577e-05,15,"Down","Down-Protective"
"PRC1",184,77,1.09762698228645,0.82807809977286,1.45491710573403,0.517062065828284,0.647880775336188,0.997715338829144,-1.13902748907647,7.6427981335377e-07,15,"Down","Down-High risk"
"CENPF",184,77,1.08041688058436,0.853223617810745,1.36810633400747,0.520780946075723,0.642142064259537,0.997715338829144,-1.47036690046397,6.67790646084788e-05,16,"Down","Down-High risk"
"CCNB1",184,77,1.09760433955057,0.824614280769337,1.460968254244,0.523285244465844,0.638289501981903,0.997715338829144,-1.01643781300981,0.000133698112011112,15,"Down","Down-High risk"
