Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezid,uniprot,summary,chr,start,end,width,strand,ncbi_alias,ensembl_alias,gc_content,hgnc_id,omim,ccds,reactome,ucsc,mirbase_id,cell_marker
ENSG00000000003,TSPAN6,tetraspanin 6,protein_coding,101.288626784113,-2.28397949803218,0.455542185658734,-5.01376067889179,5.33763694126659e-07,6.46718126003854e-06,7105,O43657; A0A087WYV6,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. The protein encoded by this gene is a cell surface glycoprotein and is highly similar in sequence to the transmembrane 4 superfamily member 2 protein. It functions as a negative regulator of retinoic acid-inducible gene I-like receptor-mediated immune signaling via its interaction with the mitochondrial antiviral signaling-centered signalosome. This gene uses alternative polyadenylation sites, and multiple transcript variants result from alternative splicing. [provided by RefSeq, Jul 2013]",X,100627108,100639991,12884,-1,T245; TM4SF6; TSPAN-6,T245; TM4SF6; TSPAN-6,40.4,HGNC:11858,300191,CCDS14470; CCDS76001,,uc004ega.4; uc033eom.2; uc065afp.1; uc065afq.1,,Embryonic prefrontal cortex|T|Astrocyte; Embryo|T|Morula cell (Blastomere); Embryonic prefrontal cortex|N|Astrocyte; Embryo|N|Morula cell (Blastomere)
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",protein_coding,294.219730964475,0.22496192829198,0.24987582542657,0.900294888102688,0.367963340769614,0.509825746910918,8813,O60762; Q5QPK2; A0A804HIK9; A0A804HIB3; Q5QPJ9; A0A0S2Z4Y5; H0Y368; A0A804HJ93; A0A0S2Z4U1,"Dolichol-phosphate mannose (Dol-P-Man) serves as a donor of mannosyl residues on the lumenal side of the endoplasmic reticulum (ER). Lack of Dol-P-Man results in defective surface expression of GPI-anchored proteins. Dol-P-Man is synthesized from GDP-mannose and dolichol-phosphate on the cytosolic side of the ER by the enzyme dolichyl-phosphate mannosyltransferase. Human DPM1 lacks a carboxy-terminal transmembrane domain and signal sequence and is regulated by DPM2. Mutations in this gene are associated with congenital disorder of glycosylation type Ie. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2015]",20,50934867,50959140,24274,-1,CDGIE; MPDS,CDGIE; MPDS,40.2,HGNC:3005,603503,CCDS82628; CCDS13434; CCDS93059,R-HSA-162699; R-HSA-163125; R-HSA-1643685; R-HSA-3781865; R-HSA-392499; R-HSA-446193; R-HSA-446203; R-HSA-446219; R-HSA-4717374; R-HSA-4719360; R-HSA-4719377; R-HSA-5609975; R-HSA-5668914; R-HSA-597592,uc002xvx.2; uc061xsu.1; uc289eru.1; uc002xvw.3; uc061xsv.1; uc289dro.1; uc061xsw.2; uc289gjv.1; uc289fhw.1; uc289eex.1; uc289dcr.1; uc289hdq.1; uc061xsx.1; uc289egm.1; uc289eqi.1; uc289hao.1,,Fetal kidney|T|Natural killer T (NKT) cell; Fetal kidney|N|Natural killer T (NKT) cell
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3,protein_coding,100.162206852856,-0.806324147234001,0.301878866959787,-2.67101886049351,0.00756213976677728,0.0240315765024687,57147,Q8IZE3; X6RHX1,"This gene encodes a protein with a kinase domain and four HEAT repeats. The encoded protein interacts with the C-terminal domain of ezrin, an ERM protein, and may play a role in cell adhesion and migration. Alternative splicing results in multiple transcript variants encoding multiple isoforms. [provided by RefSeq, Jun 2012]",1,169849631,169894267,44637,-1,PACE-1; PACE1,PACE-1; PACE1,40.14,HGNC:19285,608192,CCDS1286; CCDS1287,,uc001ggt.6; uc057ney.1; uc057nez.1; uc057nfa.1; uc001ggs.5,,
ENSG00000000460,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,protein_coding,29.3861737080932,0.225364999441179,0.356585045697177,0.632009115807303,0.527380920600615,0.657350587032844,55732,Q9NSG2; A0A1B0GTJ9; A0A1B0GUP7; A0A1B0GV14,"",1,169662007,169854080,192074,1,Apolo1; C1orf112; FLIP; MEICA1,APOLO1; C1ORF112; FLIP; FLJ10706; MEICA1,39.22,HGNC:25565,,CCDS81401; CCDS81400; CCDS1285; CCDS86030,,uc001ggj.4; uc001ggo.5; uc010plt.3; uc057nev.2; uc001ggp.5; uc057new.2; uc057nex.2; uc001ggq.4; uc009wvt.4,,Fetal gonad|T|Endothelial cell; Fetal gonad|N|Endothelial cell
ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase",protein_coding,70.5089841378252,-1.60810235068242,0.387148720387743,-4.15370700198065,3.27132003506875e-05,0.000238500559665931,2268,P09769; Q5TGY6; P78483; L8E733,"This gene is a member of the Src family of protein tyrosine kinases (PTKs). The encoded protein contains N-terminal sites for myristylation and palmitylation, a PTK domain, and SH2 and SH3 domains which are involved in mediating protein-protein interactions with phosphotyrosine-containing and proline-rich motifs, respectively. The protein localizes to plasma membrane ruffles, and functions as a negative regulator of cell migration and adhesion triggered by the beta-2 integrin signal transduction pathway. Infection with Epstein-Barr virus results in the overexpression of this gene. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Jul 2008]",1,27612064,27635185,23122,-1,SRC2; c-fgr; c-src2; p55-Fgr; p55c-fgr; p58-Fgr; p58c-fgr,C-FGR; P55C-FGR; SRC2,52.92,HGNC:3697,164940,CCDS305,R-HSA-1643685; R-HSA-109582; R-HSA-168249; R-HSA-168256; R-HSA-2029480; R-HSA-2029481; R-HSA-418346; R-HSA-432142; R-HSA-5663205; R-HSA-6798695; R-HSA-9658195; R-HSA-9662851; R-HSA-9664323; R-HSA-9664407; R-HSA-9664417; R-HSA-9664422; R-HSA-9664433; R-HSA-9824443,uc001bom.5; uc001bok.4; uc001boj.4; uc001bol.4; uc057dvy.1; uc057dvz.1; uc057dwa.1,,Peripheral blood|T|Effector CD8+ memory T (Tem) cell; Liver|T|CD4+ cytotoxic T cell; Brain|T|Macrophage; Brain|T|Macrophage; Blood|T|CD1C-CD141- dendritic cell; Fetal kidney|T|Natural killer T (NKT) cell; Fetal kidney|T|Monocyte; Peripheral blood|N|Effector CD8+ memory T (Tem) cell; Liver|N|CD4+ cytotoxic T cell; Brain|T|Macrophage; Brain|N|Macrophage; Blood|N|CD1C-CD141- dendritic cell; Fetal kidney|N|Natural killer T (NKT) cell; Fetal kidney|N|Monocyte
ENSG00000000971,CFH,complement factor H,protein_coding,548.186993081264,-0.452675076850365,0.272093289121412,-1.6636760072696,0.0961771934818249,0.185133367770365,3075,P08603; A0A8Q3SID8; A0A8Q3SI76; A0A8Q3SIE8; A0A0D9SG88; A0A8Q3WM65; A0A8Q3WLF7; A0A8Q3SI73; Q5TFM2; A0A8Q3SI55; A0A8Q3SIE0; A0A8Q3WM71; A0A8Q3WKX4; A0A8Q3WKW3; A0A8Q3WKW2; A0A8Q3SJ41; A0A8Q3SI99; A0A8Q3WL05; A0A8Q3WKW6; A0A8Q3SIC3; A0A8Q3WKX0; A0A8Q3SI78; A0A8Q3SID7; A0A8Q3WLY2; A0A8Q3WKW7; A0A8Q3SIB6; U5TZG9,"This gene is a member of the Regulator of Complement Activation (RCA) gene cluster and encodes a protein with twenty short consensus repeat (SCR) domains. This protein is secreted into the bloodstream and has an essential role in the regulation of complement activation, restricting this innate defense mechanism to microbial infections. Mutations in this gene have been associated with hemolytic-uremic syndrome (HUS) and chronic hypocomplementemic nephropathy. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Oct 2011]",1,196651754,196752476,100723,1,AHUS1; AMBP1; ARMD4; ARMS1; CFHL3; FH; FHL1; HF; HF1; HF2; HUS,ARMD4; ARMS1; FHL1; HF; HF1; HF2; HUS,35.08,HGNC:4883,134370,CCDS1385; CCDS53452,R-HSA-168249; R-HSA-168256; R-HSA-166658; R-HSA-977606,uc009wyx.5; uc315yac.1; uc315yad.1; uc057ocm.2; uc315yae.1; uc315yaf.1; uc315yag.1; uc315yah.1; uc315yai.1; uc315yaj.1; uc315yak.1; uc315yam.1; uc315yan.1; uc315yao.1; uc315yap.1; uc315ybw.1; uc315ybx.1; uc315yby.1; uc315ybz.1; uc315yca.1; uc315ycb.1; uc315ycc.1; uc315ycd.1; uc315yaq.1; uc315yce.1; uc315ycf.1; uc315ycg.1; uc315ych.1; uc315yar.1; uc315yci.1; uc001gtj.5; uc001gti.5; uc315ycj.1; uc057ock.2; uc315yas.1; uc315yat.1; uc057ocl.1; uc315yal.1; uc315yau.1,,Liver|T|Liver bud hepatic cell; Lung|T|Secretory cell; Stomach|T|Parietal progenitor cell; Fetal gonad|T|Leydig precursor cell; Fetal kidney|T|Natural killer T (NKT) cell; Liver|N|Liver bud hepatic cell; Lung|N|Secretory cell; Stomach|N|Parietal progenitor cell; Fetal gonad|N|Leydig precursor cell; Fetal kidney|N|Natural killer T (NKT) cell
ENSG00000001036,FUCA2,alpha-L-fucosidase 2,protein_coding,143.224148181135,-0.452599795585134,0.337522013278333,-1.34094896859928,0.179937021765245,0.29968515011274,2519,Q9BTY2; Q7Z6V2,"This gene encodes a plasma alpha-L-fucosidase, which represents 10-20% of the total cellular fucosidase activity. The protein is a member of the glycosyl hydrolase 29 family, and catalyzes the hydrolysis of the alpha-1,6-linked fucose joined to the reducing-end N-acetylglucosamine of the carbohydrate moieties of glycoproteins. This enzyme is essential for Helicobacter pylori adhesion to human gastric cancer cells. [provided by RefSeq, Aug 2010]",6,143494812,143511720,16909,-1,dJ20N2.5,DJ20N2.5; MGC1314,39.72,HGNC:4008,136820,CCDS5200,R-HSA-392499; R-HSA-597592; R-HSA-168249; R-HSA-168256; R-HSA-6798695; R-HSA-381426; R-HSA-8957275,uc003qjm.5; uc063rzf.1; uc063rzg.1,,Fetal gonad|T|Oogenesis phase fetal germ cell; Fetal gonad|T|Mitotic arrest phase fetal germ cell; Fetal gonad|N|Oogenesis phase fetal germ cell; Fetal gonad|N|Mitotic arrest phase fetal germ cell
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit,protein_coding,249.180309550808,-0.731968897271365,0.292210237441677,-2.50493926455079,0.0122472422015028,0.0356769161557274,2729,P48506; B4E2I4; E1CEI4; Q14TF0; D6RGF8; A0A2R8Y648; D6RIT4; A0A2R8YEL6; A0A0C4DGB2,"Glutamate-cysteine ligase, also known as gamma-glutamylcysteine synthetase is the first rate-limiting enzyme of glutathione synthesis. The enzyme consists of two subunits, a heavy catalytic subunit and a light regulatory subunit. This locus encodes the catalytic subunit, while the regulatory subunit is derived from a different gene located on chromosome 1p22-p21. Mutations at this locus have been associated with hemolytic anemia due to deficiency of gamma-glutamylcysteine synthetase and susceptibility to myocardial infarction.[provided by RefSeq, Oct 2010]",6,53497341,53616970,119630,-1,GCL; GCS; GLCL; GLCLC,GCS; GLCL; GLCLC,40.16,HGNC:4311,606857,CCDS4952; CCDS75471,R-HSA-1643685; R-HSA-5668914; R-HSA-1430728; R-HSA-156580; R-HSA-156590; R-HSA-174403; R-HSA-211859; R-HSA-2262752; R-HSA-5578999; R-HSA-5579029; R-HSA-8953897; R-HSA-9711123; R-HSA-9755511; R-HSA-9759194; R-HSA-9818027,uc003pbv.4; uc285yrd.1; uc285yre.1; uc063pbw.1; uc285yrf.1; uc063pcd.2; uc063pbx.1; uc063pby.1; uc063pca.2; uc063pcb.1; uc003pbx.5; uc063pcc.2; uc285yrg.1; uc063pcf.1,,
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha,protein_coding,219.382550204721,-0.451459377685807,0.176135859099489,-2.56313155080365,0.0103732736353461,0.0312376225209759,4800,P23511; A0A0U4C5A9; K9JA49,"The protein encoded by this gene is one subunit of a trimeric complex, forming a highly conserved transcription factor that binds to CCAAT motifs in the promoter regions in a variety of genes. Subunit A associates with a tight dimer composed of the B and C subunits, resulting in a trimer that binds to DNA with high specificity and affinity. The sequence specific interactions of the complex are made by the A subunit, suggesting a role as the regulatory subunit. In addition, there is evidence of post-transcriptional regulation in this gene product, either by protein degradation or control of translation. Further regulation is represented by alternative splicing in the glutamine-rich activation domain, with clear tissue-specific preferences for the two isoforms. [provided by RefSeq, Jul 2008]",6,41072974,41102403,29430,1,CBF-A; CBF-B; HAP2; NF-YA,CBF-B; HAP2; NF-YA,40.69,HGNC:7804,189903,CCDS4849; CCDS4850,R-HSA-1430728; R-HSA-2262752; R-HSA-8953897; R-HSA-1655829; R-HSA-1989781; R-HSA-212436; R-HSA-2426168; R-HSA-380994; R-HSA-381033; R-HSA-381042; R-HSA-381119; R-HSA-381183; R-HSA-400206; R-HSA-556833; R-HSA-73857; R-HSA-74160; R-HSA-8957322; R-HSA-9614085; R-HSA-9614657,uc003opo.5; uc003opp.4,,
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1,protein_coding,49.2653793294534,-0.323840243879178,0.373940305690169,-0.866021231066486,0.386478519000024,0.528730414923235,90529,Q5TH74; H0Y4J3; Q5TH77,"Involved in positive regulation of apoptotic process and positive regulation of mitochondrial membrane permeability involved in apoptotic process. Predicted to be located in mitochondrion and nucleus. [provided by Alliance of Genome Resources, Apr 2022]",1,24356999,24416934,59936,-1,C1orf201; MAPO2,C1ORF201; FLJ33340; MAPO2,44.09,HGNC:28070,615826,CCDS55581; CCDS253,,uc001bjc.5; uc001bjd.3; uc001bja.4; uc057dja.1; uc001bjf.4; uc057djb.1; uc057djc.1; uc057djd.1; uc057dje.1; uc057djf.1; uc057djg.1; uc057djh.1,,Fetal gonad|T|Mitotic arrest phase fetal germ cell; Fetal gonad|N|Mitotic arrest phase fetal germ cell
