Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,371.695805039591,-0.701474543074036,0.138481471501085,-5.06547580315494,4.07381524845621e-07,1.11639523452986e-06
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,1415.57631907377,0.171371300707991,0.0555321366950691,3.08598427697827,0.00202879549899242,0.00358545479156653
339451,KLHL17,kelch like family member 17,protein_coding,261.464453574742,0.11558056065747,0.0897378829456747,1.2879795785626,0.197753071993189,0.245414718105813
84069,PLEKHN1,pleckstrin homology domain containing N1,protein_coding,94.6532316148395,2.58579035273593,0.219683324077026,11.770535445054,5.53719394330505e-32,1.12933259854695e-30
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",protein_coding,56.7171527152704,0.63588461583094,0.24631881638125,2.581551118071,0.00983574238628245,0.0156626222055885
57801,HES4,hes family bHLH transcription factor 4,protein_coding,330.277788883338,0.965890011082852,0.212755903531286,4.53989757769901,5.62815609948783e-06,1.36305337604974e-05
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,305.551802947737,1.07598263378405,0.11984019890727,8.97847837032236,2.74537087660923e-19,2.03555064086292e-18
375790,AGRN,agrin,protein_coding,9635.26249650256,0.87738604606174,0.141310379487571,6.20892852487817,5.3347077833383e-10,1.8999243329054e-09
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,332.689253077707,0.393420875771098,0.0702300519980648,5.60188786108173,2.12029717035406e-08,6.54859100287465e-08
254173,TTLL10,tubulin tyrosine ligase like 10,protein_coding,21.1884394303471,-0.926421978889931,0.297735386997655,-3.11156153869351,0.00186100681266753,0.00330757273273735
8784,TNFRSF18,TNF receptor superfamily member 18,protein_coding,20.8093669744192,2.14253439978786,0.327844893638799,6.53520747572901,6.35214214120672e-11,2.44059770181193e-10
7293,TNFRSF4,TNF receptor superfamily member 4,protein_coding,92.6979943346161,2.20964359625142,0.185004391176773,11.9437359415977,7.00065992805292e-33,1.56059568965075e-31
51150,SDF4,stromal cell derived factor 4,protein_coding,4226.67248114911,0.0761679493007576,0.0608515216895521,1.25170163680287,0.210678603444339,0.259825467294862
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein_coding,390.811621077424,0.34315061293153,0.083751761320593,4.09723458373592,4.18115138621597e-05,9.19690807450614e-05
388581,C1QTNF12,C1q and TNF related 12,protein_coding,96.6264113123387,-1.19780046591451,0.159250682362461,-7.52147776163536,5.41605408827885e-14,2.65716595349583e-13
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein_coding,890.395736969642,0.214317329987426,0.0777588123165553,2.75618060001923,0.00584806971647623,0.00964578810598261
6339,SCNN1D,sodium channel epithelial 1 subunit delta,protein_coding,260.094496235813,-0.376274893430913,0.113281188394972,-3.32160086561746,0.000895026257529779,0.00166509861186717
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein_coding,1339.36374240248,0.133411771418805,0.0971683268184705,1.37299648750816,0.169753438657644,0.214083084467039
126789,PUSL1,pseudouridine synthase like 1,protein_coding,187.281763119437,-0.0940924123184012,0.0856223755737941,-1.09892316918149,0.271801579663019,0.326684590941129
54973,INTS11,integrator complex subunit 11,protein_coding,1787.49769494789,0.165099638431575,0.0492855458262334,3.34985918617333,0.000808526519572334,0.00151246124093705
80772,CPTP,ceramide-1-phosphate transfer protein,protein_coding,778.999083094196,-0.206888099042429,0.0848795136450719,-2.43743266375845,0.0147919688601783,0.0228930015591442
83756,TAS1R3,taste 1 receptor member 3,protein_coding,31.6362643455646,0.193613152311818,0.191546625102221,1.01078863805872,0.312117602295045,0.369002909757545
1855,DVL1,dishevelled segment polarity protein 1,protein_coding,1426.36939870662,0.206441012104014,0.0728724440506887,2.83290913037605,0.00461264963639412,0.00773520463716298
54587,MXRA8,matrix remodeling associated 8,protein_coding,1728.01049630532,0.680157062930531,0.234101260580201,2.90539684085773,0.00366787733708015,0.00624648953050887
