Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
ADH1B,NITREFAZOLE,TRUE,inhibitor,ChEMBL,2.48589516947074,""
ADH1B,ACETALDEHYDE,TRUE,"",PharmGKB,6.96050647451807,31002879
ADH1B,FOMEPIZOLE,TRUE,inhibitor,TEND; TdgClinicalTrial; ChEMBL,13.0509496397214,""
NPY1R,CHEMBL:CHEMBL530291,FALSE,"",DTC,0.745768550841222,""
NPY1R,CHEMBL:CHEMBL324554,FALSE,"",DTC,5.22037985588855,""
NPY1R,METOPROLOL TARTRATE,TRUE,"",DTC,2.61018992794428,""
NPY1R,CHEMBL:CHEMBL1585652,FALSE,"",DTC,1.74012661862952,""
NPY1R,CHEMBL:CHEMBL422942,FALSE,"",TTD,1.74012661862952,""
NPY1R,ECONAZOLE NITRATE,TRUE,"",DTC,0.372884275420611,""
NPY1R,N6-PHENYLADENOSINE,FALSE,"",DTC,0.745768550841222,""
NPY1R,HEXACHLOROPHENE,TRUE,"",DTC,0.127326337948501,""
NPY1R,METHADONE HYDROCHLORIDE,TRUE,"",PharmGKB,0.307081167993444,29465008
NPY1R,NEUROPEPTIDE-Y,FALSE,"",TTD,2.61018992794428,""
VCAN,CYCLOSPORINE,TRUE,"",NCI,0.600043661596385,14974815
VCAN,EXAMPLE 15 [WO2015079413],FALSE,inhibitor,GuideToPharmacology,26.1018992794428,""
SLC38A1,ALANINE,TRUE,"",GuideToPharmacology,10.4407597117771,""
C7,CA2+,FALSE,inhibitor,GuideToPharmacology,0.326273740993035,""
C7,CARBENOXOLONE,FALSE,inhibitor,GuideToPharmacology,0.543789568321724,""
C7,OCTANOL,FALSE,inhibitor,GuideToPharmacology,0.621473792367685,""
C7,FLUFENAMIC ACID,FALSE,inhibitor,GuideToPharmacology,0.343446043150563,""
KCNQ3,EZOGABINE,TRUE,activator; potentiator,TdgClinicalTrial; DTC; ChEMBL; GuideToPharmacology,2.66345911014722,21296466
KCNQ3,AZETUKALNER,FALSE,activator,TTD; GuideToPharmacology,3.72884275420611,""
KCNQ3,DALFAMPRIDINE,TRUE,blocker,ChEMBL,0.0776842240459606,""
KCNQ3,NERISPIRDINE,FALSE,blocker,ChEMBL,0.0745768550841222,""
KCNQ3,ICA-105665,FALSE,"",TTD; TdgClinicalTrial,1.49153710168244,""
KCNQ3,GUANIDINE HYDROCHLORIDE,TRUE,blocker,ChEMBL,0.0909473842489295,""
KCNQ3,CELECOXIB,TRUE,"",PharmGKB,0.111308738931526,22336956
KCNQ3,GABAPENTIN,TRUE,activator,GuideToPharmacology,0.0932210688551527,""
KCNQ3,LINOPIRDINE,FALSE,"",TTD,0.532691822029444,""
KCNQ3,FLINDOKALNER,FALSE,activator,ChEMBL,0.466105344275764,""
KCNQ3,TETRAMETHYLAMMONIUM,FALSE,blocker,GuideToPharmacology,0.207157930789228,""
KCNQ3,AMIFAMPRIDINE PHOSPHATE,TRUE,blocker,ChEMBL,0.0909473842489295,""
KCNQ3,TEDISAMIL,FALSE,blocker,ChEMBL,0.0932210688551527,""
KCNQ3,AMIFAMPRIDINE,TRUE,blocker,ChEMBL,0.0887819703382407,""
DLX5,OSTEOCRIN,FALSE,inhibitor,GuideToPharmacology,8.70063309314759,""
DLX5,[125I]ANP (HUMAN),FALSE,"",GuideToPharmacology,4.35031654657379,""
DLX5,M372049,FALSE,inhibitor,GuideToPharmacology,8.70063309314759,""
DLX5,CANF4-23,FALSE,agonist,GuideToPharmacology,8.70063309314759,""
DLX5,PL-3994,FALSE,agonist,GuideToPharmacology,4.35031654657379,""
DLX5,AP811,FALSE,inhibitor,GuideToPharmacology,8.70063309314759,""
ADAM33,THERAPEUTIC CORTICOSTEROID,FALSE,"",PharmGKB,1.24294758473537,36766510
ADAM33,USTEKINUMAB,TRUE,"",PharmGKB,2.61018992794428,27977334
MMP14,CTS-1027,FALSE,inhibitor,ChEMBL,1.06538364405889,""
MMP14,EPIGALLOCATECHIN GALLATE,TRUE,"",TTD,0.438687382847778,""
