Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
ZWINT,12,REML,1.01122033626907,0.0633825640824922,2.66214729103006e-57,0.0113950827883623,5.98517518413646e-06,10.7156945653501,0.467379734586087,8,0,3.67555876806972e-50,4.93828322486076e-54,1.63330991836369e-49
PCDHB9,12,REML,1.52690494402663,0.0963257044104798,1.37309370993455e-56,0.00318443418791043,3.78457213047027e-06,18.6953955757014,0.0667852432506608,9,0,1.03293466831463e-50,2.29237994873573e-53,4.65071313039717e-50
PLK4,10,REML,1.38697851064952,0.0891631236142885,1.45971096347704e-54,22.133940127659,0.0167603683434665,13.4625407933944,0.142769100306502,9,0,3.44893835012166e-73,2.03082287793743e-51,2.28582873184919e-72
ADAM33,11,REML,-2.30839680863797,0.148547434728437,1.86576848647284e-54,15.7983934682498,0.0376966831729108,11.4846259831615,0.321027090441958,0,11,4.46309888141982e-61,2.39607729858954e-51,2.4074777326431e-60
SKA3,9,REML,1.6172453136936,0.116802802021012,1.34596615158612e-43,0.00456015853760322,6.27567644818587e-06,12.2036449378666,0.142346413009278,8,0,2.52418066986295e-39,1.18267920530159e-40,9.09391374263314e-39
GRIN2D,10,REML,1.56330787216193,0.115341123066871,7.52558949136161e-42,2.26563242160015,0.00324935680870757,11.925655599989,0.217533017239204,8,0,1.67328746884966e-38,5.02558866233128e-39,5.9298523227436e-38
POGLUT2,12,REML,1.00852379527552,0.0757068473599031,1.73737257675468e-40,27.2039417847275,0.016893931987734,16.7700216759985,0.114864742655724,6,0,4.43672140792049e-59,1.07427537662665e-37,2.31255272885522e-58
CENPV,12,REML,-1.13163151593628,0.0862194590092132,2.36742289035559e-39,15.9236129655828,0.0137168539520834,14.1501376457409,0.224796818572166,0,7,3.39956909693864e-44,1.19770076225717e-36,1.35293935812612e-43
FBLN5,13,REML,-2.1361394784453,0.164263364501852,1.15566445801669e-38,62.5219424498933,0.196459651062668,32.4342781732395,0.00118546435052272,0,12,4.70281727066467e-104,5.51251946473964e-36,4.95041200086676e-103
GSTM5,11,REML,-1.79061348510603,0.137867899803735,1.43319153512825e-38,21.0616185991776,0.0423942632674704,12.3959017153128,0.259433498475743,0,10,3.29443326275545e-45,6.64642574415725e-36,1.33658720101342e-44
