ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0016054,organic acid catabolic process,237,-0.679492144513179,-2.66057947254473,1e-10,7.71012658227848e-09,6.01998667554963e-09,2660,"tags=54%, list=16%, signal=46%",2744/5191/3952/2805/2326/10327/10588/66002/7915/130013/5973/83667/55258/9673/64902/1962/2875/3667/197322/2653/32/2954/5096/144193/84830/26061/2747/91452/9942/254552/1666/84706/10157/2639/2166/1384/56267/5095/2746/84693/55268/113675/58510/10841/10247/3712/9663/8529/189/4051/3028/10005/4942/1743/138199/10840/64577/27034/1428/55862/10449/1579/440503/1757/56922/2109/11001/3295/54677/594/5860/197257/6470/4357/51084/26275/5106/5053/2108/27349/1800/1610/137872/23475/2731/125061/38/8309/549/5264/5465/10999/54511/23464/275/112817/152926/36/51181/2110/30/10455/10003/1376/4842/11112/23576/6652/56898/51268/1629/18/254013/5825/283927/4329/5105/3033/7263/3155/51/3242/34/1892/6342/1036/56603/123688/8659
GO:0046395,carboxylic acid catabolic process,237,-0.679492144513179,-2.66057947254473,1e-10,7.71012658227848e-09,6.01998667554963e-09,2660,"tags=54%, list=16%, signal=46%",2744/5191/3952/2805/2326/10327/10588/66002/7915/130013/5973/83667/55258/9673/64902/1962/2875/3667/197322/2653/32/2954/5096/144193/84830/26061/2747/91452/9942/254552/1666/84706/10157/2639/2166/1384/56267/5095/2746/84693/55268/113675/58510/10841/10247/3712/9663/8529/189/4051/3028/10005/4942/1743/138199/10840/64577/27034/1428/55862/10449/1579/440503/1757/56922/2109/11001/3295/54677/594/5860/197257/6470/4357/51084/26275/5106/5053/2108/27349/1800/1610/137872/23475/2731/125061/38/8309/549/5264/5465/10999/54511/23464/275/112817/152926/36/51181/2110/30/10455/10003/1376/4842/11112/23576/6652/56898/51268/1629/18/254013/5825/283927/4329/5105/3033/7263/3155/51/3242/34/1892/6342/1036/56603/123688/8659
GO:0009062,fatty acid catabolic process,101,-0.728018600257347,-2.55322825267574,1e-10,7.71012658227848e-09,6.01998667554963e-09,2781,"tags=57%, list=17%, signal=48%",80724/37/5191/3952/66002/83667/1962/3667/32/5096/84830/26061/91452/254552/1666/2639/2166/1384/5095/84693/55268/3712/9663/8529/4051/3028/10005/55862/10449/1579/440503/2109/11001/3295/54677/5106/2108/27349/38/8309/549/5264/5465/10999/2110/30/10455/1376/56898/254013/5825/283927/5105/3033/51/34/1892/6342
GO:0072329,monocarboxylic acid catabolic process,122,-0.704946732108932,-2.53432780774152,1e-10,7.71012658227848e-09,6.01998667554963e-09,2841,"tags=57%, list=17%, signal=47%",3945/80724/37/5191/3952/10327/66002/83667/64902/1962/3667/32/5096/84830/26061/91452/9942/254552/1666/2639/2166/1384/5095/84693/55268/3712/9663/8529/189/4051/3028/10005/55862/10449/1579/440503/2109/11001/3295/54677/197257/51084/5106/2108/27349/38/8309/549/5264/5465/10999/112817/51181/2110/30/10455/1376/6652/56898/254013/5825/283927/5105/3033/51/34/1892/6342/56603
GO:1905818,regulation of chromosome separation,75,0.799495141074033,2.43701765987567,1e-10,7.71012658227848e-09,6.01998667554963e-09,774,"tags=40%, list=5%, signal=38%",11130/3619/221150/54908/54892/9918/64151/9735/11065/55143/7272/10051/83540/891/4085/1063/147841/23310/10403/991/5925/699/701/332/57405/23397/9212/5347/9787/9319
GO:0019395,fatty acid oxidation,103,-0.697885064656374,-2.43560807878966,1e-10,7.71012658227848e-09,6.01998667554963e-09,2781,"tags=51%, list=17%, signal=43%",80724/37/5191/3952/2326/83667/10891/1962/285440/3667/32/26061/1666/2639/1384/55268/3712/8529/4051/3028/10005/55862/10449/440503/51179/2329/2109/11001/3295/54677/84649/2108/27349/23409/38/8309/549/5264/5465/64410/2110/30/10455/1376/56898/254013/128/5825/3033/51/34/1892/6342
GO:0051304,chromosome separation,82,0.783510835324388,2.42602440347159,1e-10,7.71012658227848e-09,6.01998667554963e-09,774,"tags=38%, list=5%, signal=36%",11130/3619/221150/54908/54892/9918/64151/9735/11065/55143/7272/10051/83540/891/4085/1063/147841/23310/10403/991/5925/699/701/332/57405/23397/7156/9212/5347/9787/9319
GO:0051983,regulation of chromosome segregation,128,0.742735081570925,2.40927228731613,1e-10,7.71012658227848e-09,6.01998667554963e-09,1947,"tags=41%, list=12%, signal=37%",11130/3619/221150/54908/54892/9918/64151/9735/11065/55143/10460/55920/7272/10051/83540/891/11004/4085/1063/983/147841/23310/10403/991/5925/699/701/64682/990/332/5977/57405/23397/9212/1062/5347/196528/9787/9319/86/472/9184/55781/996/1459/8379/348654/79677/10592/51776/7517/10783/57520
GO:0006261,DNA-templated DNA replication,164,0.71059668292079,2.40603370643954,1e-10,7.71012658227848e-09,6.01998667554963e-09,1786,"tags=46%, list=11%, signal=41%",11073/4171/9134/5558/50485/10293/10926/2237/5984/1663/79915/5982/253714/8914/11232/4175/5888/983/4683/57379/11169/81620/6117/4174/672/5424/4176/5557/146956/6742/23594/990/4361/9156/641/580/3978/5425/9837/8317/64318/4172/5422/5965/5983/675/91603/23649/10721/5985/6240/5427/90381/54107/29980/8099/472/10111/5111/8318/8882/79733/4796/25792/54465/25939/58525/1017/54962/5001/4999/84083/84296/92797/348654
GO:0051306,mitotic sister chromatid separation,64,0.788539795107182,2.37065784614854,1e-10,7.71012658227848e-09,6.01998667554963e-09,1198,"tags=41%, list=7%, signal=38%",11130/3619/221150/54908/9735/11065/55143/7272/83540/891/4085/1063/147841/10403/991/5925/699/701/332/57405/9212/5347/9787/9319/472/9184
