ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,0.777486882831753,2.66305504549863,1e-10,7.14285714285714e-10,3.15789473684211e-10,1692,"tags=52%, list=10%, signal=48%",10733/4171/23165/10635/5558/9918/79075/83461/55143/9125/10460/10051/24137/29127/11004/5982/4001/4085/253714/8914/9232/7153/4175/57122/6241/983/4683/64858/147841/4436/9833/6117/991/7514/4174/672/701/5424/55148/4176/4288/203068/23594/10535/79019/55723/332/57405/4361/9972/11200/9133/5902/580/3978/1029/5425/9212/1062/9837/5347/4172/1033/2146/146909/6790/4605/9787/5983/675/4673/29028/9319/23649/6749/1163/3609/29089/64785/1031/81624/9126/6839/5036/10549/7157/29980/10111/3148/6628/5111/10248/6941/994/79733/1027/1786/1111/55635/10212/54962/4999/3014/84296/27338
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,199,0.747759996788113,2.56147390314035,1e-10,7.14285714285714e-10,3.15789473684211e-10,2604,"tags=52%, list=16%, signal=45%",5933/3619/10733/4171/5558/10293/10926/6491/81539/11065/10460/7272/10024/10051/51203/24137/29127/11004/4001/8454/4085/9232/9055/7153/4175/3832/1063/1869/983/10403/991/7514/4174/699/51659/1841/4288/23594/990/332/22974/56992/9156/9133/580/890/9585/9212/1062/5347/8317/4172/595/1033/2146/6790/4605/675/4082/8438/23649/10721/10036/7468/1163/899/8819/3609/1031/6839/9184/5371/4751/8318/994/996/1027/7040/4928/1111/10212/5001/3014/27338/10146/10592/55872/3184/51776/6632/3837/3161/26271/11044/6118/9462/5426/10762/4609/7090/3015/1870/4957/85236
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,188,0.684988202507875,2.32939305183498,1e-10,7.14285714285714e-10,3.15789473684211e-10,2880,"tags=59%, list=17%, signal=49%",3624/4869/7186/1615/586/672/3117/961/1029/5788/6890/3689/3122/4690/7903/3594/3112/9450/10333/3625/2833/8767/6891/6223/942/8560/10261/3109/1234/5699/7097/5777/3460/2533/6772/6892/914/2634/3560/6351/3683/3135/6352/10225/8664/925/3059/3002/7076/3603/11184/1520/1445/6688/5551/972/3105/3108/7040/3561/919/4067/3937/4318/7096/7454/915/567/894/7535/916/2589/920/3111/3702/4283/3455/9466/3559/2650/6367/2113/940/941/2213/114548/5917/8477/3459/3001/6170/2000/926/27240/3824/1230/958/4830/3932/355/896/1956/917/4050/924/11146/6775/3133/6059/6203
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,0.660234423183254,2.26144086890084,1e-10,7.14285714285714e-10,3.15789473684211e-10,2886,"tags=38%, list=17%, signal=32%",8662/4171/790/23450/5984/8454/4085/4869/4175/11335/3178/991/7514/4174/6187/4176/6742/26156/6626/11137/11260/5902/2091/890/5425/6188/4673/5230/6175/6240/2058/5036/7298/10549/54107/10399/8664/55651/9184/5111/6193/8318/3939/1973/51690/1017/3735/8761/5478/4999/10146/6723/821/8886/328/5687/3184/5709/6632/26986/3837/6141/5682/1207/1176/10054/7458/4830/4609/3015/5901/6627/5690/6059/10921/3838
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,199,0.630885116762003,2.16111555767464,1e-10,7.14285714285714e-10,3.15789473684211e-10,3722,"tags=60%, list=22%, signal=47%",10906/9246/3117/5698/6890/7903/54625/64135/837/10616/84166/29126/5696/219285/8767/51735/942/5699/5777/3660/6772/6892/3430/57823/3560/2209/55016/64108/3106/3135/6352/841/8869/9111/952/5371/3123/22914/972/3105/3627/3108/81030/3587/8202/3937/7130/25939/5214/836/567/6773/3620/4283/3455/3431/4061/7128/1240/834/10437/103/3001/10068/3959/4261/1439/6373/8082/4939/4940/10797/5721/11054/3669/85441/958/256586/5610/355/6737/3695/10124/10392/2357/9636/116071/64761/969/6775/5690/10561/115361/716/7127/3437/5770/7453/94240/27348/11274/6648/80830/10964/3601/694/57162/3574/10379/3665/5771/684/9688/9830/23586/3600/5142/23424/8638
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.56883047590353,-2.14379943027546,1e-10,7.14285714285714e-10,3.15789473684211e-10,4733,"tags=56%, list=28%, signal=40%",521/4190/23530/4967/4729/23479/8050/4717/2271/10651/4714/9377/54205/515/1351/10476/1891/1349/4708/506/8604/1632/4259/64963/4726/518/1537/1528/522/81689/4728/4709/4698/374291/1738/533/51382/56945/2806/4712/4718/509/1737/3417/3032/3418/481/4696/4713/51318/1374/5447/529/64981/4719/4722/292/56993/4707/6391/10989/3945/51606/37/9131/5160/3421/23203/6834/8402/7386/498/50/10939/5162/10935/291/1666/513/4835/2746/3028/7384/4942/1743/8803/51660/10449/4723/2230/2109/8802/211/80273/2395/2108/788/38/5264/6390/36/2110/30/56898/1352/1353/6392/4329/9927/34/1892
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,198,0.605855134020989,2.07499682635552,1e-10,7.14285714285714e-10,3.15789473684211e-10,2342,"tags=31%, list=14%, signal=27%",3619/22994/9735/54443/7272/10051/51203/24137/29127/11004/4001/9055/7153/3832/1063/6624/983/10403/699/55704/5921/332/22974/56992/55201/9133/9585/1062/5347/4690/10801/6790/1894/9787/675/9732/4082/51199/1794/51735/55722/11190/80119/9126/5922/55785/4650/7840/9793/4751/996/50628/57787/22930/9181/57580/26271/8440/7204/6654/9462/4627
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,0.665421346029304,2.0928944171697,3.23314572022252e-09,2.02071607513907e-08,8.93369212166749e-09,4121,"tags=75%, list=25%, signal=57%",10906/9246/5698/961/6890/54625/64135/5696/219285/8767/51667/3660/2634/3430/64108/27074/83666/841/9111/972/3107/3627/10161/567/6773/54809/3431/4061/834/10437/103/3959/6373/6402/5721/11054/3669/85441/5610/55281/4938/6737/93343/9636/116071/64761/10561/115361/10544/716/3437/7453/94240/11274/1435/10964/3574/10379/3665/85363/684/9830/3600/23424/8638/129607/3429/8519/9034/3433/1997/7706/10410
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,194,-0.53350124673719,-2.0125625512222,1.75319572371655e-08,9.73997624286972e-08,4.30609476000556e-08,3328,"tags=38%, list=20%, signal=31%",9054/5447/873/64087/3172/760/1652/4502/51733/2948/8876/7274/7448/3273/2326/27232/5805/5950/84913/50/57447/2953/4128/5372/27329/384/26061/1562/115817/6580/9663/116842/8529/2328/1066/26999/23710/5340/957/4355/65018/5909/223/23564/5091/1586/54677/217/3083/2160/1644/26007/211/2538/2651/22949/435/8309/847/316/2643/51181/670/2110/2203/2168/128/3728/2192/5730/51/1036/126/4121
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,200,0.552416930914314,1.89214342720761,9.28656280076067e-08,4.64328140038034e-07,2.05281914543131e-07,2278,"tags=28%, list=14%, signal=25%",4171/23165/29110/11333/30001/6513/6509/871/6241/586/6117/699/7852/5033/57761/3099/4074/3689/5347/11151/5163/6790/2597/226/54541/6472/6319/112399/23657/5230/899/7167/2058/6503/10096/3939/7184/7494/7436/6016/10212/5478/27071/47/4048/821/8503/811/10097/10437/8878/488/440/10452/2023/2232/10797
