ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03030,DNA replication,36,0.854880405933542,2.29540976232372,1.26351429527634e-10,1.48673515410849e-08,9.48744067330304e-09,1367,"tags=67%, list=8%, signal=61%",4171/5558/2237/5984/5982/4175/6117/4174/5424/4176/5557/6742/10535/3978/5425/4172/5422/5983/23649/5985/5427/54107/5111/79621
hsa04110,Cell cycle,158,0.669859944115095,2.24584393211561,1e-10,1.48673515410849e-08,9.48744067330304e-09,2626,"tags=45%, list=16%, signal=38%",5933/4171/9134/27085/10926/9088/1663/7272/891/8454/113130/4085/9232/4175/1869/983/10403/81620/991/5925/4174/699/701/6502/4176/23594/64682/990/11200/9133/890/1029/9212/5347/8317/4172/595/9319/1031/9126/90381/7157/472/9184/5111/8318/994/996/1027/7040/1111/894/995/1017/5001/4999/151648/8379/7533/898/4193/26271/4998/7532/4609/23244/545/896/1387/1870/1030
hsa05169,Epstein-Barr virus infection,186,0.616170224978007,2.10107878246781,1e-10,1.48673515410849e-08,9.48744067330304e-09,2722,"tags=47%, list=16%, signal=40%",9134/29110/9641/7188/7186/1869/5925/3117/6502/3127/3118/317/3119/890/3134/6890/3122/595/3120/3113/695/3112/637/3115/8717/864/1643/581/6891/3109/7097/8819/6772/6892/3106/960/3683/7157/3135/841/3123/3107/3105/3627/1027/3108/919/4067/836/915/567/894/916/1017/110117499/965/3111/6773/9612/3455/8503/953/3516/7431/7128/2923/811/7979/5709/3718/898/4193/4939/4940/3716/958/8517/5609/5610/4609/4938/355/896/1870/917/7187/9636/596
hsa05166,Human T-cell leukemia virus 1 infection,215,0.586551423603917,2.03182912861617,2.78968712753873e-10,2.46189889005293e-08,1.57103432971918e-08,2815,"tags=42%, list=17%, signal=35%",9134/2002/6513/4085/9232/1869/113/991/7514/5925/701/3117/3127/3118/64682/3119/11200/9133/5902/890/3134/1029/7046/3689/3122/595/3120/3113/3112/3115/581/3109/4487/1031/3560/3106/3683/7157/3135/8295/472/9184/6688/3123/3107/3105/996/3108/7040/3561/915/1111/567/894/916/148327/1017/110117499/920/3111/6929/8379/821/3559/8503/706/811/2113/3718/898/1385/3716/108/958/8517/3932/4609/545/896/1387/1870/5901/917/1030/4773/4893/1388/8498/109/3133
hsa05203,Viral carcinogenesis,195,0.593453269738046,2.03318922851267,4.13150198416488e-10,2.9168404008204e-08,1.8613503676027e-08,3427,"tags=36%, list=21%, signal=29%",5933/9134/7188/7186/27044/5315/983/991/5925/6502/5902/890/3134/1029/595/8717/581/1234/5366/3106/5922/7157/3135/841/3107/3105/1027/4067/836/1111/894/718/148327/1017/110117499/8379/8503/3516/7533/3718/898/4193/2967/1385/7532/3716/6672/8517/8362/5610/1233/896/1387/85236/1030/7187/8841/4893/1388/3133/440689/1386/5594/8341/5970/9734/4055/8365/10379/8363/3665
hsa05171,Coronavirus disease - COVID-19,209,0.569140387426013,1.96678468719603,2.79683114244741e-09,1.64546898880656e-07,1.05003835874341e-07,3732,"tags=55%, list=22%, signal=43%",29110/9641/6147/6187/200916/2212/6188/1536/64135/719/11224/6868/6173/6223/7450/7097/6167/6158/6772/51284/6175/6202/6169/6157/5335/6193/6136/3627/6205/115004/718/340061/110117499/6773/713/3455/6222/6143/712/51311/8503/25873/6224/6210/834/6208/6156/103/114548/4736/6141/6142/6134/714/6232/6170/4939/4940/6234/6137/6227/100529097/3716/8517/23521/6165/6209/6171/5610/6130/4938/6217/1956/6132/7187/9636/100529239/6168/6203/6181/716/6229/6155/5594/5970/7297/6191/7098/3654/6122/6139/9349/6160/51187/6204/6128/51135/10379/6135/6201/728/6176/6233/7311/6207/6230/100526842/23586/717/3454/8829/6228/5293/2197/6125
hsa05168,Herpes simplex virus 1 infection,162,0.595605166512405,2.00149010927539,1.35675308011021e-08,6.84191196112722e-07,4.36609261870054e-07,3635,"tags=53%, list=22%, signal=42%",29110/9641/7188/7186/3117/3127/3118/317/3119/3134/5501/6890/3122/3120/3113/64135/3112/637/3115/8717/581/6891/3109/7097/3460/5452/6772/6892/3106/7157/3135/6352/841/64170/5371/3123/972/3107/3105/3108/1967/836/567/115004/718/340061/110117499/3111/6773/3455/8503/2923/811/8740/3459/4939/4940/1978/29992/3716/3678/6672/8517/5610/4938/355/7187/330/6041/596/3133/5970/7297/7098/4049/3654/55080/3054/51135/10379/356/3665/684/1616/23586/3454
hsa00190,Oxidative phosphorylation,124,-0.580795235141021,-2.08985083306186,1.0256092204987e-07,4.5255006854505e-06,2.8878996471937e-06,5290,"tags=65%, list=32%, signal=44%",4711/7385/516/10975/1347/4716/1340/4720/4715/10632/521/4729/51079/4717/523/4714/9377/126328/54205/515/1351/10476/1349/4708/535/506/4731/4726/518/1537/127124/522/4728/4709/4698/374291/533/51382/155066/479/4712/4718/509/4696/4713/529/4719/50617/4722/4707/6391/526/245973/51606/7386/9114/498/534/245972/4536/27068/440567/513/4537/4705/7384/4541/4540/525/4538/4535/4723/4539/100532726/64077/1339/6390/1352/1353/6392
hsa04146,Peroxisome,83,-0.637429515149095,-2.1631888851852,1.8533778554968e-07,7.26935981100412e-06,4.63886387223761e-06,2153,"tags=49%, list=13%, signal=43%",5195/5826/55825/6647/5189/5191/9409/4598/1962/25961/26061/84769/1384/8504/189/10005/55670/51179/23305/11001/3295/54677/83594/92960/1610/8309/847/5264/10901/54511/30/10455/51268/5827/5825/283927/2053/3155/51/6342/5824
hsa05140,Leishmaniasis,74,0.679407177737951,2.06279081734459,3.22023282426639e-07,1.13674218696603e-05,7.25399815150533e-06,3363,"tags=55%, list=20%, signal=44%",2002/3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/1536/3112/3115/4688/3684/3109/7097/5777/3460/6772/2209/3676/9103/3123/3108/7040/653361/718/3111/3459/65108/3716/3688/2215/4689/5594/5970/3654/1535/51135
