ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002250,adaptive immune response,172/2534,441/14924,0.390022675736962,2.29703962616354,12.503712965664,4.32902472104169e-29,2.48312857998952e-25,1.89201164650159e-25,C7/RAPGEF3/ZNF683/BTN3A2/AICDA/ADCY7/HLA-DQA1/ULBP2/HLA-DRB5/IL20RB/HLA-DQA2/CD84/SPN/HLA-DQB1/EXO1/PRDM1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/SLC11A1/PTPRC/TAP1/HLA-DRA/IL9R/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/LAIR1/ERAP2/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CR1/PRR7/CEACAM1/GPR183/BTN3A1/INPP5D/NOD2/PIK3CG/CD86/BATF/HLA-DMB/CD6/SLC15A4/FCER1G/IL1RL1/EBI3/MICB/SLAMF7/BTN3A3/IL2RB/FCGR1A/KLHL6/HLA-B/DUSP10/SIGLEC10/HLA-G/LAMP3/LILRB1/CARD9/MYO1G/CD8A/FCAMR/LGALS9/LGALS1/CTSS/TNFSF13B/SLAMF6/IL13RA2/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/PRF1/GATA3/CTSH/CD74/HLA-C/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/CD247/ANXA1/WAS/P2RX7/CD3D/B2M/ZAP70/CD3E/C3/IL4I1/LAT2/CD4/HLA-DOA/C1QB/ITK/RAP1GAP/EOMES/CLEC4A/CD70/C1QA/TLR8/PDCD1/TNFAIP3/IL7R/CD28/CD80/PDCD1LG2/FCGR2B/JAK3/NLRP3/C1QC/AZGP1/PYCARD/LILRB2/LAX1/CSF2RB/SAMSN1/SLA2/CD8B/MPEG1/SIT1/FUT7/THEMIS/KLRD1/ADGRE1/SUSD4/SH2D1A/PAG1/CD40/CRACR2A/SLC22A13/TBX21/MCOLN2/LY9/CD3G/TNFRSF1B/FCGR3B/LILRB3/CD7/GZMM/STAT4/FCMR/TREM1/CD244/C1S/HLX/CTLA4/CCR2/VTCN1/LAG3/LILRA6/CD1D/ADA/C2/IRF4/CRTAM/FOXJ1/CR2/TRAT1/KDM5D/IGLL5/CCL19/CD40LG,172
GO:0002443,leukocyte mediated immunity,143/2534,384/14924,0.372395833333333,2.19322628913444,10.7127740163919,4.65109073216988e-22,1.33393282198632e-18,1.01638572210365e-18,C7/BTN3A2/DNASE1L3/PTGDS/AICDA/ULBP2/IL20RB/CD84/SPN/SCNN1B/EXO1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/RAC2/PTPRC/ITGB2/HLA-DRA/CORO1A/IL9R/NCKAP1L/FOXP3/TYROBP/CLEC7A/IL12RB1/BTK/CR1/CEACAM1/ITGAM/INPP5D/NOD2/PIK3CG/BATF/SERPINB9/SLC15A4/FCER1G/CD2/GATA2/SLAMF7/BTN3A3/IL2RB/FCGR1A/MILR1/HLA-B/DAO/ADGRE2/HLA-G/SPHK2/LILRB1/CARD9/CD96/MYO1G/CD8A/VAV1/LGALS9/GZMB/SLAMF6/IL13RA2/PIK3R6/CX3CR1/NKG7/FCGR2C/SPI1/HLA-DRB1/KLRK1/PRF1/GATA3/CTSH/CD74/HLA-C/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/NCF1/WAS/P2RX7/B2M/C3/IL4I1/LAT2/ARRB2/C1QB/NR4A3/CCL3/CD70/C1QA/TLR8/PDCD1/CALHM6/IL7R/CD28/HCST/CD80/FCGR2B/JAK3/NLRP3/C1QC/AZGP1/CSF2RB/SLA2/SCN11A/ANXA3/FUT7/KLRD1/SUSD4/SH2D1A/CD40/SLC22A13/TBX21/TNFRSF1B/DBH/FCGR3B/CD7/GZMM/FCMR/TREM1/C1S/PRAM1/LEP/TLR3/KIR2DL4/CCR2/RASGRP4/LAG3/STAP1/CD1D/C2/CLNK/CRTAM/NECTIN4/GPR15LG/FOXJ1/CR2/CLEC12B/KDM5D/IGLL5/CD40LG/CPLX2,143
GO:0051249,regulation of lymphocyte activation,167/2534,490/14924,0.340816326530612,2.00723869658361,10.2525716602704,7.32445486156829e-21,1.40043576953186e-17,1.06705742404321e-17,MMP14/INHBA/ZNF683/BTN2A2/CYP26B1/SFRP1/RUNX1/PCK1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/PNP/HLA-DQB1/PRDM1/CD27/LAPTM5/LILRB4/FCGR3A/CDKN2A/RAC2/PTPRC/CARD11/HLA-DRA/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/TYROBP/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CR1/CD276/GPR183/RASSF5/RUNX3/INPP5D/NOD2/CD5/DTX1/FCHO1/CD86/BATF/HLA-DMB/CD6/SLC15A4/EBI3/CD2/RASAL3/TNFRSF9/DUSP10/HLA-G/LILRB1/CCL5/TNFRSF4/IGFBP2/VAV1/RHOH/LGALS9/IKZF3/CD37/LGALS1/CD38/TNFSF13B/TYRO3/PIK3R6/SPI1/TBC1D10C/HLA-DRB1/KLRK1/GATA3/CD74/SASH3/HLA-A/MNDA/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/CCL21/ANXA1/B2M/CGAS/ZAP70/CD3E/NFAM1/IL4I1/THEMIS2/CD4/LST1/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFAIP3/SLAMF8/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/FCGR2B/JAK3/NLRP3/GPNMB/AXL/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SAMSN1/CLEC12A/SIRPB1/SIT1/TESPA1/TSPAN32/TNFSF9/KLRD1/MDK/NRARP/PAG1/CD40/TBX21/LCK/PRLR/TNFRSF1B/FGF10/FCRL3/VSIG4/CCR7/HLX/CTLA4/WNT10B/LEP/CCR2/VTCN1/ICOS/LAG3/CAV1/CD1D/ADA/SOX11/VNN1/ILDR2/PLA2G2A/CLNK/IGF2/IRF4/CRTAM/TACR1/EGR3/FOXJ1/PLA2G2D/CCL19/CD40LG,167
GO:1903037,regulation of leukocyte cell-cell adhesion,132/2534,363/14924,0.363636363636364,2.14163736815671,9.95821752930953,2.08755508132773e-19,2.67053954666332e-16,2.03480881555937e-16,BTN2A2/RUNX1/CXCL12/PCK1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/PNP/HLA-DQB1/CD27/LAPTM5/LILRB4/CDKN2A/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CR1/CD276/RUNX3/NOD2/CD5/DTX1/FCHO1/PPARA/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/SELP/DUSP10/CD44/SELE/ASS1/HLA-G/LILRB1/ITGA4/CCL5/IGFBP2/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/HLA-DRB1/KLRK1/GATA3/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/CCL21/ANXA1/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/NR4A3/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/MDK/NRARP/PAG1/TBX21/ADTRP/LCK/VSIG4/CCR7/HLX/CTLA4/WNT10B/LEP/CCR2/VTCN1/ICOS/LAG3/CAV1/CD1D/ADA/VNN1/ILDR2/PLA2G2A/IGF2/CRTAM/EGR3/FOXJ1/PLA2G2D/CCL19/CD40LG,132
GO:0022407,regulation of cell-cell adhesion,160/2534,476/14924,0.336134453781513,1.97966479409443,9.82364890934319,2.3278761738697e-19,2.67053954666332e-16,2.03480881555937e-16,PTPRU/BTN2A2/RUNX1/CXCL12/PCK1/HLA-DQA1/FXYD5/HLA-DRB5/IL20RB/HLA-DQA2/SPN/PNP/HLA-DQB1/CD27/LAPTM5/LILRB4/CDKN2A/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/ABCA12/NCKAP1L/FOXP3/CDSN/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CR1/CD276/CEACAM1/RUNX3/NOD2/CD5/DTX1/FCHO1/ANK3/PPARA/EPB41L5/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/SELP/DUSP10/CD44/SELE/ASS1/HLA-G/LILRB1/ITGA4/CCL5/IGFBP2/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/SPI1/HLA-DRB1/KLRK1/UBASH3B/GATA3/CD74/SASH3/PKHD1/HLA-A/ADAM19/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/EPCAM/CCL21/ANXA1/FERMT3/B2M/ZAP70/CD3E/AKNA/IL4I1/CD4/CCDC88B/HLA-DOA/FUT3/RAP1GAP/IDO1/B4GALNT2/NR4A3/PLG/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/VEGFA/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/PODXL/MDK/APOA1/NRARP/PAG1/EMILIN2/TBX21/ADTRP/LCK/RGCC/FOXA2/BMP7/VSIG4/CCR7/HLX/CTLA4/PLAUR/WNT10B/LEP/CCR2/VTCN1/ICOS/LAG3/CAV1/CD1D/ADA/VNN1/ILDR2/PLA2G2A/IGF2/CRTAM/TRPV4/NEXMIF/EGR3/FOXJ1/PLA2G2D/CCL19/CD40LG,160
GO:0007159,leukocyte cell-cell adhesion,141/2534,400/14924,0.3525,2.07604972375691,9.86540542282538,3.02139272835134e-19,2.88845144830388e-16,2.20084607159908e-16,BTN2A2/RUNX1/CXCL12/PCK1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/PNP/HLA-DQB1/UMOD/CD27/LAPTM5/LILRB4/CDKN2A/RAC2/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CR1/CD276/RUNX3/NOD2/CD5/DTX1/SELPLG/FCHO1/PPARA/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/SELP/DUSP10/CD44/SELE/ASS1/ITGAL/HLA-G/LILRB1/ITGA4/CCL5/IGFBP2/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/CX3CR1/HLA-DRB1/KLRK1/GATA3/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/CCL21/ANXA1/FERMT3/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/NR4A3/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/ITGA5/MDK/NRARP/PAG1/TBX21/ADTRP/LCK/BMP7/VSIG4/CCR7/HLX/CTLA4/WNT10B/LEP/CCR2/VTCN1/ICOS/LAG3/CAV1/CD1D/ADA/VNN1/ILDR2/PLA2G2A/IGF2/ADD2/CRTAM/EGR3/FOXJ1/PLA2G2D/CCL19/CD40LG,141
GO:0001906,cell killing,94/2534,223/14924,0.42152466367713,2.48257067115923,10.0876526291597,4.60195661352051e-19,3.77097473359338e-16,2.87328178335897e-16,C7/DNASE1L3/CXCL12/ULBP2/SCNN1B/FCGR2A/FCGR3A/HLA-F/PTPRC/HLA-DRA/CORO1A/NCKAP1L/GAPDH/TYROBP/IL12RB1/CR1/CEACAM1/GBP5/ITGAM/INPP5D/RPS19/SERPINB9/MICB/CD2/GBP2/SLAMF7/CCL11/FCGR1A/HLA-B/DAO/HLA-G/LILRB1/GNLY/VAV1/LGALS9/GZMB/SLAMF6/PIK3R6/CX3CR1/NKG7/FCGR2C/SPI1/HLA-DRB1/KLRK1/PRF1/CTSH/LYZ/HLA-C/HLA-A/CXCL10/KLRC4-KLRK1/TGFB1/NCF1/CCL21/KNG1/P2RX7/B2M/C3/ARRB2/CXCL9/GZMH/APOL1/CCL22/IL7R/HCST/FCGR2B/AZGP1/GZMA/CXCL11/GZMK/KLRD1/SH2D1A/SLC22A13/CCL18/H2BC12/CCL20/FCGR3B/GZMM/GBP1/TREM1/C1S/LEP/KIR2DL4/HRG/LAG3/STAP1/CD1D/C2/PLA2G2A/CRTAM/NECTIN4/CLEC12B/CCL19/CXCL14,94
GO:0050863,regulation of T cell activation,132/2534,372/14924,0.354838709677419,2.08982356086259,9.62635871593176,2.29243067988463e-18,1.64367279747728e-15,1.25239107669486e-15,ZNF683/BTN2A2/CYP26B1/RUNX1/PCK1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/PNP/HLA-DQB1/PRDM1/CD27/LAPTM5/LILRB4/CDKN2A/RAC2/PTPRC/CARD11/HLA-DRA/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CR1/CD276/RUNX3/NOD2/CD5/DTX1/FCHO1/CD86/BATF/HLA-DMB/CD6/EBI3/CD2/RASAL3/TNFRSF9/DUSP10/HLA-G/LILRB1/CCL5/IGFBP2/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/HLA-DRB1/KLRK1/GATA3/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/CCL21/ANXA1/B2M/CGAS/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/SIT1/TESPA1/TSPAN32/TNFSF9/MDK/NRARP/PAG1/TBX21/LCK/TNFRSF1B/VSIG4/CCR7/HLX/CTLA4/WNT10B/LEP/CCR2/VTCN1/ICOS/LAG3/CAV1/CD1D/ADA/VNN1/ILDR2/PLA2G2A/IGF2/IRF4/CRTAM/EGR3/FOXJ1/PLA2G2D/CCL19/CD40LG,132
GO:0002449,lymphocyte mediated immunity,111/2534,293/14924,0.378839590443686,2.23117681443629,9.62527075434663,5.02863681056125e-18,3.2049178605977e-15,2.44197661256729e-15,C7/BTN3A2/AICDA/ULBP2/IL20RB/SPN/EXO1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/PTPRC/HLA-DRA/CORO1A/IL9R/NCKAP1L/FOXP3/TYROBP/IL12RB1/BTK/CR1/CEACAM1/INPP5D/BATF/SERPINB9/SLC15A4/FCER1G/CD2/SLAMF7/BTN3A3/IL2RB/FCGR1A/HLA-B/HLA-G/LILRB1/CARD9/CD96/MYO1G/CD8A/VAV1/LGALS9/GZMB/SLAMF6/IL13RA2/PIK3R6/NKG7/FCGR2C/HLA-DRB1/KLRK1/PRF1/GATA3/CTSH/CD74/HLA-C/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/WAS/P2RX7/B2M/C3/IL4I1/ARRB2/C1QB/CD70/C1QA/TLR8/PDCD1/CALHM6/IL7R/CD28/HCST/CD80/FCGR2B/NLRP3/C1QC/AZGP1/CSF2RB/SLA2/FUT7/KLRD1/SUSD4/SH2D1A/CD40/SLC22A13/TBX21/TNFRSF1B/FCGR3B/CD7/GZMM/FCMR/C1S/LEP/KIR2DL4/CCR2/RASGRP4/LAG3/CD1D/C2/CLNK/CRTAM/NECTIN4/FOXJ1/CR2/CLEC12B/KDM5D/IGLL5/CD40LG,111
GO:0046651,lymphocyte proliferation,105/2534,284/14924,0.369718309859155,2.17745700723679,9.06002532911176,2.92418106792841e-16,1.67731026056374e-13,1.27802103095145e-13,BTN2A2/IL20RB/SPN/PNP/LAPTM5/LILRB4/FCGR3A/CDKN2A/SLC11A1/RAC2/PTPRC/CARD11/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DPA1/TYROBP/IL12RB1/BTK/HLA-DPB1/CR1/CD276/CD180/GPR183/RASSF5/BTN3A1/DOCK2/INPP5D/PIK3CG/CD86/HLA-DMB/CD6/PSMB10/EBI3/RASAL3/TNFRSF9/HLA-G/LILRB1/CCL5/TNFRSF4/IGFBP2/VAV1/LGALS9/IKZF3/CD37/CD38/TNFSF13B/HLA-DRB1/CD74/SASH3/HLA-A/MNDA/CD300A/GAPT/TGFB1/SH2D2A/ANXA1/P2RX7/ZAP70/CD3E/IL4I1/CD4/LST1/CCDC88B/IDO1/CD70/PTPN22/IL2RA/TNFSF14/IL7R/CD28/CD80/PDCD1LG2/LIPA/FCGR2B/GPNMB/PYCARD/LILRB2/CEBPB/TSPAN32/TNFSF9/CD40/MYC/PRLR/TNFRSF1B/FGF10/FCRL3/VSIG4/CTLA4/LEP/CCR2/VTCN1/CD1D/ADA/SOX11/PLA2G2A/IGF2/CRTAM/TACR1/FOXJ1/CR2/PLA2G2D/CCL19/CD40LG,105
