ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009897,external side of plasma membrane,151/2647,350/15733,0.431428571428571,2.56428625398025,13.3105258345644,1.07168023054321e-31,6.18359493023433e-29,5.20046932926759e-29,CA4/SLC38A1/PDGFRA/TGFBR3/BTN2A2/BCAM/BTN3A2/CXCL12/CXCR4/ULBP2/COLEC11/CD84/SPN/SCNN1B/CSF2RA/IL21R/CD27/FCGR2A/FCGR3A/IGSF21/HLA-F/PTPRC/ITGB2/IL9R/CLEC2D/IL12RB1/CD276/ITGAX/BTN3A1/ITGAM/CXCR3/CD5/SERPINA5/CD86/CCR5/FCER1G/IL1RL1/SCUBE1/MICB/CD2/ACKR2/SLAMF7/BTN3A3/IL2RB/FCGR1A/TNFRSF9/MILR1/HLA-B/SELP/SELE/ATP1B2/HLA-G/LILRB1/TNFRSF4/CD8A/CEACAM21/SCNN1G/CD33/RTN4R/ENOX1/GP2/SLAMF6/IL13RA2/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/CD74/HLA-C/PKHD1/HLA-A/CXCL10/KLRC4-KLRK1/IL2RG/P2RX7/ABCG1/CD3D/B2M/CD3E/CD4/CLEC4A/FOLR3/PLG/CXCL9/CSF3R/SCNN1A/IL2RA/TLR8/PDCD1/ABCB1/IL7R/GHR/CD28/ABCA1/CD80/PDCD1LG2/FCGR2B/AZGP1/CSF2RB/CDH13/ITGA5/KLRD1/ADGRE1/CD40/CXCR6/CD163/CCR4/CD200R1/OSMR/CNTFR/CLEC4E/CHRNA4/FCRL6/FAS/PRLR/LY9/CD3G/CD14/FCGR3B/CD244/ANPEP/MCAM/FCRL3/CCR7/XCR1/CTLA4/LDLR/ENPP3/PLAUR/ACKR3/CCR2/VTCN1/ITGB6/LAG3/TNFRSF18/FASLG/CD1D/ADA/MUC16/KCNJ3/MS4A2/AQP4/SLC22A11/CCRL2/CUBN/CD36/FOLR1/PRND/CLEC12B/TMC1/CD40LG,151
GO:0016324,apical plasma membrane,156/2647,397/15733,0.392947103274559,2.33556357227754,12.1218596149176,2.85884796334284e-27,5.5586763276768e-25,4.67490611522212e-25,CA4/SLC38A1/ECRG4/STK39/TRPM6/SLC2A1/PTH1R/ABCC1/ANK2/SLC44A4/SLC9A3/SLC47A2/SLC39A4/CLIC5/FRMD1/SLC34A1/PARD3B/SCNN1B/UMOD/TEK/GM2A/SLC22A7/CRB2/SLC26A4/ASPM/SLC13A2/PLLP/NPC1L1/AQP2/CEACAM1/MAL/ATP1A1/PALS1/SLC7A8/PROM2/SLC7A11/OCLN/SLC12A3/SLC5A2/SLC6A19/KCNQ1/AQP1/GJA1/SLC22A8/SLC12A1/DPEP1/SHROOM3/CD44/SLC29A2/AJAP1/ATP1B2/TRPV5/IGFBP2/FN1/SCNN1G/NHERF4/RAB27B/GP2/AJM1/SLC7A9/PTPRO/SPTBN2/PKHD1/SLC22A12/IL10RA/SLC9A4/SLC16A3/EPCAM/ANXA1/SLC52A3/ANO1/MARVELD2/SLC5A11/PTPRQ/CASR/MAL2/KCNE4/SLC2A9/SLC22A3/AMN/KL/SCNN1A/CYP4A11/ABCB1/ATP6V1B1/PDZK1/TMEM174/CYP4F2/P2RY1/NEDD4L/SLC15A2/CD300LG/SLC22A1/MTTP/PODXL/SLC29A4/SLC34A3/PROM1/SLC4A11/SLC22A13/SLC26A7/CSPG4/SLC13A1/OSMR/CNTFR/TRPA1/SLC26A6/ATP2B2/RHCG/ATP6V0D2/CDHR2/KCNE1/PAPPA2/MTCL1/SLC5A12/KCNMA1/SLC23A1/CYP4F12/SLC7A13/SLC26A3/GABRP/SLC28A2/MUC1/ENPP3/SLC17A1/ACY3/MUC13/CAV1/SLC9A2/NRG1/SLC15A1/LRRC15/SLC38A3/SLC22A11/MUC20/ATP6V0A4/SLC26A9/SLC2A2/SLC5A10/DUOX2/CRIPTO/OTOA/CLTRN/CUBN/ADGRG2/CD36/ATP12A/MGAM/TRPV4/FOLR1/PDZK1IP1/SLC10A2/ACE2/CDHR5/SLC17A2/ITLN1,156
GO:0045177,apical part of cell,181/2647,493/15733,0.367139959432049,2.18217339695671,11.9943754658969,2.89012634021324e-27,5.5586763276768e-25,4.67490611522212e-25,CA4/SLC38A1/ECRG4/STK39/TRPM6/SLC2A1/PTH1R/ABCC1/ANK2/SLC44A4/FAP/SLC9A3/PLAT/SLC47A2/SLC39A4/CLIC5/FRMD1/SLC34A1/PARD3B/SCNN1B/UMOD/TEK/GM2A/VASH1/SLC22A7/CRB2/DCXR/SLC26A4/ASPM/SLC13A2/PLLP/NPC1L1/AQP2/CEACAM1/MAL/ATP1A1/PALS1/SLC7A8/PROM2/SLC7A11/OCLN/SLC12A3/ESPN/SLC5A2/SLC6A19/KCNQ1/AQP1/GJA1/SLC22A8/SLC12A1/DPEP1/SHROOM3/CD44/SLC29A2/AJAP1/ATP1B2/MYO7B/TRPV5/IGFBP2/FN1/SCNN1G/NHERF4/ACP3/MYO6/RAB27B/GP2/AJM1/CHL1/SLC7A9/PTPRO/SPTBN2/MYH10/MME/PKHD1/SLC22A12/IL10RA/SLC9A4/SLC16A3/EPCAM/ANXA1/SLC52A3/SOAT2/ANO1/MARVELD2/SLC5A11/PTPRQ/CASR/MAL2/KCNE4/SLC2A9/EPB41L4B/SLC22A3/AMN/KL/SCIN/SCNN1A/CYP4A11/ABCB1/ATP6V1B1/PDZK1/TMEM174/INSC/CYP4F2/P2RY1/ITGA8/EDAR/NEDD4L/SLC4A9/SLC15A2/CD300LG/SLC22A1/MYH14/MTTP/PODXL/SLC29A4/SLC34A3/PROM1/SLC4A11/SLC22A13/CLCN5/SLC26A7/CSPG4/SLC13A1/OSMR/CNTFR/VIL1/TRPA1/SLC26A6/ATP2B2/RHCG/ATP6V0D2/CDHR2/KCNE1/PAPPA2/MTCL1/SLC5A12/KCNMA1/SLC23A1/ANKS4B/CYP4F12/SLC7A13/SLC26A3/GABRP/SLC28A2/MUC1/LDLR/ENPP3/SLC17A1/ACY3/MUC13/CAV1/SLC9A2/NRG1/REN/SLC15A1/LRRC15/SLC38A3/CA2/SLC22A11/MUC20/ATP6V0A4/SLC26A9/SLC2A2/SLC5A10/DUOX2/CRIPTO/OTOA/CLTRN/CUBN/ADGRG2/CD36/ATP12A/MGAM/TRPV4/FOLR1/PDZK1IP1/SLC10A2/ACE2/CDHR5/SLC17A2/ITLN1,181
GO:0030312,external encapsulating structure,154/2647,450/15733,0.342222222222222,2.03406959660832,10.0096110281536,7.2707940040414e-20,1.04881203508297e-17,8.82062114700812e-18,FBLN5/ANOS1/NTN4/MFAP4/VCAN/DCN/MMP14/ACAN/PKHD1L1/MMP11/ADAMTS7/BCAM/SERPINH1/SFRP1/CTHRC1/OGN/PRELP/COL5A2/FBLN1/CXCL12/COL28A1/COL8A1/SPN/FIBCD1/ANGPTL1/FREM2/CCN2/FGF1/ANXA4/OLFML2B/BCAN/LAMA4/ADAMTS8/FLRT2/ADAMTS14/MATN2/SPARC/SERPINA5/COL1A1/COL4A3/PODNL1/SERPINB9/VWF/HAPLN3/ENAM/LOXL2/FLRT1/TGFBI/SEMA3B/MMP16/COL4A1/COL1A2/ADAMTSL2/LGALS9/FN1/ADAMTS17/LUM/COL6A2/COL15A1/ESM1/NPNT/TIMP1/LGALS1/CTSS/DPT/CTSH/LAD1/ADAM19/COL5A1/COL6A3/TGFB1/LAMA3/SFRP2/COL3A1/ANXA1/MMP9/HMCN2/KNG1/OLFML2A/THSD4/ANGPT2/C1QB/ADAMTS12/LOX/ADAMTS16/PLG/LAMB4/ADAMTS15/FBLN7/NDNF/SDC3/COL23A1/C1QA/FLRT3/COL4A2/COL8A2/VEGFA/COL4A6/COL26A1/PCSK6/C1QC/FBN3/FREM1/COL4A5/COL4A4/CDH13/MDK/COL9A2/CLEC3B/COL5A3/EMILIN2/CSPG4/CBLN4/ANGPTL3/PLOD2/COL19A1/OMD/MUC6/CLIC3/CPA3/TPSAB1/CCBE1/SPOCK2/PXDN/HAPLN1/TPSB2/RELN/HRG/VTN/ANGPTL2/TINAG/EDIL3/COL21A1/F12/AMBP/ANGPTL4/OTOGL/MUC4/SERPINA3/SMOC1/PTPRZ1/ADAMDEC1/SBSPON/COCH/SERPINE1/ADAMTS4/ALPL/L1CAM/VWA2/HPSE2/TGM2/ADAMTS19/NTN1/COL11A1,154
GO:0031012,extracellular matrix,153/2647,449/15733,0.34075723830735,2.02536215726843,9.91396594065345,1.53098522325836e-19,1.76675694764015e-17,1.48586144825706e-17,FBLN5/ANOS1/NTN4/MFAP4/VCAN/DCN/MMP14/ACAN/MMP11/ADAMTS7/BCAM/SERPINH1/SFRP1/CTHRC1/OGN/PRELP/COL5A2/FBLN1/CXCL12/COL28A1/COL8A1/SPN/FIBCD1/ANGPTL1/FREM2/CCN2/FGF1/ANXA4/OLFML2B/BCAN/LAMA4/ADAMTS8/FLRT2/ADAMTS14/MATN2/SPARC/SERPINA5/COL1A1/COL4A3/PODNL1/SERPINB9/VWF/HAPLN3/ENAM/LOXL2/FLRT1/TGFBI/SEMA3B/MMP16/COL4A1/COL1A2/ADAMTSL2/LGALS9/FN1/ADAMTS17/LUM/COL6A2/COL15A1/ESM1/NPNT/TIMP1/LGALS1/CTSS/DPT/CTSH/LAD1/ADAM19/COL5A1/COL6A3/TGFB1/LAMA3/SFRP2/COL3A1/ANXA1/MMP9/HMCN2/KNG1/OLFML2A/THSD4/ANGPT2/C1QB/ADAMTS12/LOX/ADAMTS16/PLG/LAMB4/ADAMTS15/FBLN7/NDNF/SDC3/COL23A1/C1QA/FLRT3/COL4A2/COL8A2/VEGFA/COL4A6/COL26A1/PCSK6/C1QC/FBN3/FREM1/COL4A5/COL4A4/CDH13/MDK/COL9A2/CLEC3B/COL5A3/EMILIN2/CSPG4/CBLN4/ANGPTL3/PLOD2/COL19A1/OMD/MUC6/CLIC3/CPA3/TPSAB1/CCBE1/SPOCK2/PXDN/HAPLN1/TPSB2/RELN/HRG/VTN/ANGPTL2/TINAG/EDIL3/COL21A1/F12/AMBP/ANGPTL4/OTOGL/MUC4/SERPINA3/SMOC1/PTPRZ1/ADAMDEC1/SBSPON/COCH/SERPINE1/ADAMTS4/ALPL/L1CAM/VWA2/HPSE2/TGM2/ADAMTS19/NTN1/COL11A1,153
GO:0016323,basolateral plasma membrane,101/2647,250/15733,0.404,2.40125878352852,10.0444526745858,4.54124188536201e-19,4.36716094642314e-17,3.67282896342437e-17,SLC38A1/TGFBR3/STK39/PALM/SLC2A1/PTH1R/ENPP1/ABCC1/ANK2/SLC16A5/FXYD5/AQP7/ABCA8/UMOD/TEK/GM2A/SLC22A7/AURKA/SLC13A3/AQP2/SLC51B/KCNJ10/ATP1A1/NOD2/SLC7A8/PROM2/ANK3/KCNQ1/AQP1/SLC22A8/SLC22A6/CD44/SLC29A2/AJAP1/CLCNKA/CD38/SLC14A1/CLDN19/VSIG1/SLC9A4/SLC16A3/EPCAM/ANXA1/DIO1/MARVELD2/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/KCNJ4/CA9/SLC4A4/ATP6V1B1/ABCA1/HPGD/P2RY1/ERBB4/SLC4A9/CLDN8/CD300LG/SLC16A6/DLG2/SLC22A1/ABCC6/MTTP/SLC29A4/SLC4A11/SLC26A7/SLC7A7/SLC16A10/EGFR/SLC26A6/CDH16/ATP2C2/ATP2B2/RHCG/KCNJ16/AQP3/SLC4A1/LRP1/TGFA/SLC43A3/SLC16A12/LDLR/SCTR/CAV1/CD1D/ABCC3/AQP4/SLC38A3/MUC20/RHBG/ATP6V0A4/AQP9/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,101
GO:0009925,basal plasma membrane,109/2647,282/15733,0.386524822695035,2.29739139987193,9.88741479986727,9.29019229746887e-19,7.65777279377077e-17,6.44026864531301e-17,SLC38A1/TGFBR3/STK39/PALM/SLC2A1/PTH1R/ENPP1/ABCC1/ANK2/SLC16A5/SLC1A3/FXYD5/AQP7/ABCA8/UMOD/TEK/GM2A/SLC22A7/AURKA/SLC13A3/AQP2/CEACAM1/SLC51B/KCNJ10/ATP1A1/MET/NOD2/SLC7A8/PROM2/ANK3/KCNQ1/AQP1/SLC22A8/SLC22A6/CD44/SLC29A2/AJAP1/CLCNKA/CD38/SLC14A1/CLDN19/VSIG1/SLC9A4/SLC16A3/EPCAM/ANXA1/DIO1/MARVELD2/PTPRQ/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/KCNJ4/TACSTD2/CA9/SLC4A4/ATP6V1B1/ABCA1/HPGD/P2RY1/ERBB4/SLC4A9/CLDN8/CD300LG/SLC16A6/DLG2/SLC22A1/ABCC6/MTTP/SLC29A4/SLC4A11/SLC26A7/SLC7A7/SLC16A10/EGFR/SLC26A6/CDH16/ATP2C2/ATP2B2/RHCG/KCNJ16/SCN3A/AQP3/SLC4A1/LRP1/TGFA/SLC23A1/SLC43A3/SLC16A12/LDLR/SCTR/CAV1/CD1D/ABCC3/AQP4/SLC38A3/SLC22A11/MUC20/RHBG/ATP6V0A4/AQP9/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,109
GO:0045178,basal part of cell,111/2647,299/15733,0.37123745819398,2.20652774075024,9.4732530748991,1.50841390637057e-17,1.08794352996977e-15,9.14972119522148e-16,SLC38A1/TGFBR3/STK39/PALM/SLC2A1/PTH1R/ENPP1/ABCC1/ANK2/SLC16A5/SLC1A3/FAP/FXYD5/AQP7/ABCA8/UMOD/TEK/GM2A/SLC22A7/AURKA/SLC13A3/AQP2/CEACAM1/SLC51B/KCNJ10/ATP1A1/MET/NOD2/SLC7A8/PROM2/ANK3/CLDN11/KCNQ1/AQP1/SLC22A8/SLC22A6/CD44/SLC29A2/AJAP1/CLCNKA/CD38/SLC14A1/CLDN19/VSIG1/SLC9A4/SLC16A3/EPCAM/ANXA1/DIO1/MARVELD2/PTPRQ/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/KCNJ4/TACSTD2/CA9/SLC4A4/ATP6V1B1/ABCA1/HPGD/P2RY1/ERBB4/SLC4A9/CLDN8/CD300LG/SLC16A6/DLG2/SLC22A1/ABCC6/MTTP/SLC29A4/SLC4A11/SLC26A7/SLC7A7/SLC16A10/EGFR/SLC26A6/CDH16/ATP2C2/ATP2B2/RHCG/KCNJ16/SCN3A/AQP3/SLC4A1/LRP1/TGFA/SLC23A1/SLC43A3/SLC16A12/LDLR/SCTR/CAV1/CD1D/ABCC3/AQP4/SLC38A3/SLC22A11/MUC20/RHBG/ATP6V0A4/AQP9/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,111
GO:0042611,MHC protein complex,19/2647,22/15733,0.863636363636364,5.13320397018924,8.72492586581931,1.70493184233509e-12,1.09305074780816e-10,9.19267344229798e-11,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/HLA-B/HLA-G/HLA-DRB1/CD74/HLA-C/HLA-A/B2M/HLA-DOA,19
GO:0043235,receptor complex,114/2647,370/15733,0.308108108108108,1.83130520017562,7.27761078841022,1.41650613792074e-11,8.17324041580268e-10,6.87378241664697e-10,GRIN2D/PDGFRA/NTRK3/TGFBR3/PLXNC1/PTH1R/PLXDC1/PLXNB1/RAMP1/CSF2RA/TEK/TREM2/ITGB2/NR3C2/IL12RB1/ITGAX/CEACAM1/BMAL2/MET/ITGAM/TLR6/PLA2R1/CD6/TLR2/PIGR/TLR7/GABRD/IL2RB/CD44/NRP2/ITGAL/ITGA4/CD8A/VDR/TYRO3/IL13RA2/CSF1R/CD74/NTRK2/IL2RG/GRIK3/CD247/CD3D/B2M/ZAP70/CD3E/PTPRQ/CD4/GRIA3/AMN/FGFR3/CSF3R/RET/GRIK5/APBB1IP/IL2RA/GHR/NTRK1/TM7SF2/LTK/AXL/ITGA8/ERBB4/NLGN1/CSF2RB/CD8B/NT5DC3/TSPAN32/PLXND1/ITGA5/KLRD1/MTTP/NPR1/CD40/INSRR/PLXNA4/CD200R1/OSMR/CNTFR/CHRNA4/ADGRV1/PRLR/EGFR/GABRE/FLT1/CD3G/ITGAD/TNFRSF1B/CD14/LY96/LRP1/GABRQ/GABRP/BMPR1B/LDLR/GRM1/TLR10/MTNR1A/ITGB6/P2RX6/GABRA2/CACNG8/GABRB2/GPR37/ACVR1C/GRID1/CUBN/CD36/GPRC5A/GRIN2A/CR2/TRAT1/GRIK2/ITLN1,114
