ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140375,immune receptor activity,75/2592,142/15482,0.528169014084507,3.1547502608242,11.5669532307572,5.59440767035274e-23,6.15384843738801e-20,4.7935240459654e-20,HLA-DQA1/CXCR4/IL20RB/HLA-DQA2/HLA-DQB1/CSF2RA/IL21R/FCGR2A/LILRB4/FCGR3A/HLA-DRA/IL9R/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/CR1/C3AR1/CXCR3/CCR5/FPR3/PIGR/FCER1G/IL1RL1/EBI3/IL17RB/ACKR2/IL2RB/IL1RAP/FCGR1A/CD44/LILRB1/IL17RE/IL13RA2/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/CTSH/CD74/KLRC4-KLRK1/IL2RG/IL10RA/CD4/HLA-DOA/CSF3R/IL2RA/IL7R/GHR/FCGR2B/LILRB2/CSF2RB/KLRD1/CXCR6/CCR4/CD200R1/OSMR/CNTFR/PRLR/IL17REL/FPR1/FCGR3B/LILRB3/FCMR/CCR7/XCR1/LILRA2/ACKR3/KIR2DL4/CCR2/LILRA6/GPR17/CCRL2/CR2/LILRA4,75
GO:0004930,G protein-coupled receptor activity,111/2592,340/15482,0.326470588235294,1.95000680827887,7.9426440587794,3.01509475043732e-13,1.65830211274053e-10,1.29173006676631e-10,MRGPRF/NPY1R/PTH1R/ADRA2C/CHRM4/CXCR4/NPY5R/RAMP1/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/GPR34/CCR5/FPR3/ACKR2/KISS1R/ADGRE2/NPFFR1/SPHK2/BDKRB2/GPR141/CX3CR1/ADGRF3/ADORA3/P2RY13/PTGER1/GRIK3/NTSR1/CASR/CELSR3/GRM8/GPR176/GPR27/HRH1/AVPR2/GPR174/SUCNR1/HPGD/HTR1F/P2RY1/GPR65/VIPR2/P2RY10/BDKRB1/ADGRE1/NPR1/HRH2/SSTR2/AGTR1/P2RY8/RORB/OR51E1/S1PR4/CXCR6/CCR4/ADGRF4/ADGRV1/GCGR/ADGRF1/FPR1/OPRL1/SSTR1/AVPR1A/SORCS2/QRFPR/NPR3/GPR4/CCR7/XCR1/SORCS3/HTR1D/SCTR/ACKR3/CCR2/GRM1/SORCS1/OXGR1/MTNR1A/GPR88/ADRB1/GPR17/PTGER3/GPR82/GPR37/P2RY12/CCRL2/CYSLTR2/GRID1/OXER1/OR6A2/LPAR3/ADGRG2/GPR55/TACR1/ADGRA1/GRM4/PTGFR/GPRC5A/GRPR/GPR85/MCHR1/OR52H1/HCAR2/AVPR1B/OR52D1/FFAR4/ADRA1A,111
GO:0003823,antigen binding,35/2592,61/15482,0.573770491803279,3.42712760574782,8.51710113115941,7.19181831155684e-13,2.63700004757084e-10,2.0540842475815e-10,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/TAP1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/SLC7A8/HLA-DMB/TAPBP/HLA-B/HLA-G/ITGA4/GP2/SLC7A9/HLA-DRB1/HLA-C/HLA-A/B2M/C3/HLA-DOA/PLG/IL7R/KLRD1/CD40/LCK/ABO/LILRA2/LAG3/CD1D/IGLL5,35
GO:0015267,channel activity,127/2592,418/15482,0.303827751196172,1.81476128241479,7.57249361301903,1.97107805305625e-12,4.33637171672375e-10,3.37780533723745e-10,GRIN2D/KCNQ3/TRPM6/SLC1A4/KCNJ12/AQP7/CLIC5/SCNN1B/TMC4/TRPM2/TRPV2/TRPM3/AQP2/KCNJ10/NCS1/BCL2L10/KCNK13/KCNQ1/AQP1/GJA1/GABRD/KCNN4/RYR3/CNGA1/KCNJ1/TRPV5/SCNN1G/CLCNKA/GJC1/CACNA2D2/PRF1/SLC14A1/GRIK3/KCNJ15/ANO1/P2RX7/TRPV6/CLCNKB/KCNE4/TMC8/GRIA3/KCNJ4/KCNA3/KCNK5/KCNJ2/ASIC2/SCNN1A/ANO2/GRIK5/BCL2A1/CALHM6/KCNK10/APOL1/GJB1/KCNH6/ANO3/SCN7A/SCN11A/MPEG1/ABCC8/SCN2A/GJB5/SLC4A11/CLCN5/SLC26A7/KCNH7/MCOLN2/ANO4/CHRNA4/TRPA1/SLC26A6/GABRE/CLIC3/RHCG/KCNJ16/CACNA2D3/LRRC55/SCN3A/KCNE1/AQP3/GJA3/TMEM150C/GABRQ/KCNMA1/ANO5/AQP6/MCOLN3/GABRP/TRPM5/KCNK3/PIEZO2/GPM6A/P2RX6/GABRA2/KCNA4/KCNJ3/TRPC7/AQP4/CACNG8/RHBG/SLC26A9/AQP9/GABRB2/GSDMC/KCNIP1/BSND/SLC12A5/CACNA1B/GRID1/FXYD3/SCN4B/SLC6A4/KCNH3/GSDMA/CACNB4/KCNV1/TRPV4/KCNMB2/GRIN2A/KCNK9/KCNN1/CACNA1I/KCNC1/GRIK2/TMC1/KCNJ13/GJC3,127
GO:0022803,passive transmembrane transporter activity,127/2592,418/15482,0.303827751196172,1.81476128241479,7.57249361301903,1.97107805305625e-12,4.33637171672375e-10,3.37780533723745e-10,GRIN2D/KCNQ3/TRPM6/SLC1A4/KCNJ12/AQP7/CLIC5/SCNN1B/TMC4/TRPM2/TRPV2/TRPM3/AQP2/KCNJ10/NCS1/BCL2L10/KCNK13/KCNQ1/AQP1/GJA1/GABRD/KCNN4/RYR3/CNGA1/KCNJ1/TRPV5/SCNN1G/CLCNKA/GJC1/CACNA2D2/PRF1/SLC14A1/GRIK3/KCNJ15/ANO1/P2RX7/TRPV6/CLCNKB/KCNE4/TMC8/GRIA3/KCNJ4/KCNA3/KCNK5/KCNJ2/ASIC2/SCNN1A/ANO2/GRIK5/BCL2A1/CALHM6/KCNK10/APOL1/GJB1/KCNH6/ANO3/SCN7A/SCN11A/MPEG1/ABCC8/SCN2A/GJB5/SLC4A11/CLCN5/SLC26A7/KCNH7/MCOLN2/ANO4/CHRNA4/TRPA1/SLC26A6/GABRE/CLIC3/RHCG/KCNJ16/CACNA2D3/LRRC55/SCN3A/KCNE1/AQP3/GJA3/TMEM150C/GABRQ/KCNMA1/ANO5/AQP6/MCOLN3/GABRP/TRPM5/KCNK3/PIEZO2/GPM6A/P2RX6/GABRA2/KCNA4/KCNJ3/TRPC7/AQP4/CACNG8/RHBG/SLC26A9/AQP9/GABRB2/GSDMC/KCNIP1/BSND/SLC12A5/CACNA1B/GRID1/FXYD3/SCN4B/SLC6A4/KCNH3/GSDMA/CACNB4/KCNV1/TRPV4/KCNMB2/GRIN2A/KCNK9/KCNN1/CACNA1I/KCNC1/GRIK2/TMC1/KCNJ13/GJC3,127
GO:0030545,signaling receptor regulator activity,130/2592,435/15482,0.298850574712644,1.78503263800199,7.44728417910427,3.93333387032437e-12,7.21111209559467e-10,5.61707679025269e-10,STC2/ECRG4/UCN3/INHBA/CHGB/GDF7/CCL3L3/OGN/CXCL12/SEMA3G/OSM/ULBP2/SCGB3A1/UTS2/LILRB4/FGF1/TNFSF8/PGF/FLRT2/INHBB/FGF7/CD86/SEMA6D/EGF/EBI3/BTC/CCL11/SEMA3D/CCL4/FAM3B/SEMA3B/CCL5/IGFBP2/LGALS9/FN1/TIMP1/IL16/LGALS1/TNFSF13B/TYMP/HLA-C/CXCL10/PTN/TGFB1/PTHLH/SFRP2/CLEC2B/CCL21/KNG1/C3/FST/SEMA5A/ANGPT2/CCL14/CD48/JAG2/CXCL9/KL/CCL3/FNDC5/CD70/CXCL16/LY6E/FLRT3/LYNX1/NMB/TNFSF14/CCL22/SEMA5B/BMP5/CD80/VEGFA/GPNMB/P2RY1/FBN3/OXT/UCN/DLL4/CXCL11/CLEC12A/GREM2/PDGFD/PMCH/TNFSF9/MDK/APOA1/NRG3/ANGPTL3/CCL18/MRAP2/CCL20/BMP7/ADM/WNT9B/APLN/PXDN/TGFA/FGF10/FGF11/TMEM35A/GDF6/ITPRIPL1/WNT10B/UCHL1/LEP/LYPD6/RELN/FGF9/LYPD6B/FASLG/AMH/NRG1/SEMA6B/SCG2/INS-IGF2/CCL15/IGF2/GDNF/PNOC/ENDOU/CRIPTO/NECTIN4/GPR15LG/XCL2/CLEC12B/CCL19/CCL23/CXCL14/CD40LG/GPHA2,130
GO:0042605,peptide antigen binding,22/2592,30/15482,0.733333333333333,4.38019547325103,8.30999263115919,1.14251213559076e-11,1.79537621307119e-09,1.39850357649756e-09,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/TAP1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/SLC7A8/HLA-DMB/TAPBP/HLA-B/HLA-G/SLC7A9/HLA-DRB1/HLA-C/HLA-A/B2M/HLA-DOA,22
GO:0046873,metal ion transmembrane transporter activity,119/2592,398/15482,0.298994974874372,1.78589513927663,7.12259781439451,3.1401863986732e-11,4.31775629817565e-09,3.36330490594735e-09,GRIN2D/KCNQ3/SLC38A1/TRPM6/SLC6A3/SLC1A3/SLC9A3/KCNJ12/SLC39A4/SLC34A1/SCNN1B/SLC11A1/TRPM2/TRPV2/SLC13A2/TRPM3/SLC13A3/KCNJ10/ATP1A1/CLDN16/NCS1/SLC12A3/KCNK13/SLC5A2/KCNQ1/AQP1/NIPAL1/SLC12A1/KCNN4/RYR3/CNGA1/KCNJ1/SLC38A4/TRPV5/SCNN1G/ATP1A2/SLC8A1/CACNA2D2/SLC30A2/GRIK3/SLC9A4/KCNJ15/SLC38A5/P2RX7/TRPV6/SLC5A11/KCNE4/GRIA3/SLC39A5/KCNJ4/KCNA3/KCNK5/KCNJ2/ASIC2/SCNN1A/GRIK5/SLC4A4/KCNK10/KCNH6/SLC9A9/SLC4A9/SCN7A/SCN11A/SLC22A1/ABCC8/SCN2A/SLC34A3/SLC4A11/KCNH7/SLC13A1/MCOLN2/TRPA1/ATP2C2/ATP2B2/KCNJ16/SLC6A1/CACNA2D3/LRRC55/SCN3A/KCNE1/SLC5A12/KCNMA1/SLC23A1/MCOLN3/SLC28A2/TRPM5/KCNK3/SLC17A1/GPM6A/SLC9A2/KCNA4/KCNJ3/TRPC7/SLC38A3/CACNG8/SLC5A10/KCNIP1/SLC12A5/CACNA1B/SCN4B/SLC6A4/KCNH3/CACNB4/ATP12A/KCNV1/TRPV4/KCNMB2/GRIN2A/KCNK9/SLC10A2/KCNN1/CACNA1I/KCNC1/GRIK2/TMC1/ATP1A3/KCNJ13/SLC17A2/SLC30A8,119
GO:0005539,glycosaminoglycan binding,74/2592,211/15482,0.350710900473934,2.0947940436487,7.18009946039427,6.81243833508008e-11,8.32631352065343e-09,6.48576000556162e-09,ANOS1/VCAN/DCN/ACAN/TGFBR3/SOD3/SFRP1/LIPG/PRELP/CCN2/TREM2/FGF1/PTPRC/BCAN/ADAMTS8/PGF/NOD2/FGF7/SERPINA5/TLR2/HAPLN3/SELP/CD44/ADGRE2/NRP2/FN1/RTN4R/F11/COL5A1/CXCL10/PTN/TNFAIP6/KNG1/SOST/ADAMTS15/FBLN7/LIPH/NDNF/COL23A1/VEGFA/NLRP3/GPNMB/PCSK6/HMMR/CEL/CXCL11/TGFBR3L/GREM2/GZMK/MDK/CLEC3B/COL5A3/ANGPTL3/BMP7/SPOCK2/HAPLN1/FGF10/LPL/SLIT2/FGF9/HRG/VTN/LGR6/AMBP/SAA1/CCL15/LPA/SMOC1/RSPO3/MPO/PLA2G2D/NELL1/AOC1/CCL23,74
GO:0048018,receptor ligand activity,116/2592,394/15482,0.294416243654822,1.75854640596603,6.83919479325865,1.60760999223042e-10,1.76837099145347e-08,1.37746793018481e-08,STC2/ECRG4/UCN3/INHBA/CHGB/GDF7/CCL3L3/OGN/CXCL12/SEMA3G/OSM/ULBP2/SCGB3A1/UTS2/FGF1/TNFSF8/PGF/FLRT2/INHBB/FGF7/CD86/SEMA6D/EGF/EBI3/BTC/CCL11/SEMA3D/CCL4/FAM3B/SEMA3B/CCL5/LGALS9/FN1/TIMP1/IL16/LGALS1/TNFSF13B/TYMP/HLA-C/CXCL10/PTN/TGFB1/PTHLH/SFRP2/CLEC2B/CCL21/KNG1/C3/SEMA5A/ANGPT2/CCL14/CD48/JAG2/CXCL9/KL/CCL3/FNDC5/CD70/CXCL16/FLRT3/NMB/TNFSF14/CCL22/SEMA5B/BMP5/CD80/VEGFA/GPNMB/FBN3/OXT/UCN/DLL4/CXCL11/GREM2/PDGFD/PMCH/TNFSF9/MDK/APOA1/NRG3/ANGPTL3/CCL18/CCL20/BMP7/ADM/WNT9B/APLN/TGFA/FGF10/FGF11/GDF6/ITPRIPL1/WNT10B/LEP/RELN/FGF9/FASLG/AMH/NRG1/SEMA6B/SCG2/INS-IGF2/CCL15/IGF2/GDNF/PNOC/ENDOU/CRIPTO/NECTIN4/GPR15LG/XCL2/CCL19/CCL23/CXCL14/CD40LG/GPHA2,116
