category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,27/1450,34/7402,0.794117647058824,4.05383367139959,8.80861789179101,8.02810160956786e-14,2.75363885208178e-11,2.23096718413254e-11,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/1493/356/959,27
Human Diseases,Immune disease,hsa05330,Allograft rejection,26/1450,34/7402,0.764705882352941,3.90369168356998,8.37554145652501,1.14450088932249e-12,1.54454007901738e-10,1.2513689760951e-10,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/356/959,26
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,25/1450,32/7402,0.78125,3.98814655172414,8.36066612283526,1.35090969010266e-12,1.54454007901738e-10,1.2513689760951e-10,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/3824/355/356,25
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,67/1450,152/7402,0.440789473684211,2.25015426497278,7.68624351235129,3.28224223927325e-12,2.81452272017681e-10,2.28029460833721e-10,1462/257194/3117/23114/3127/3118/6693/3119/3134/5788/3689/3122/3120/3113/3112/3115/80381/10686/3684/6404/100506658/942/3109/923/5010/914/3106/6403/6401/3683/3135/3676/925/5789/3123/3107/149461/3105/920/3111/22854/1272/9672/5133/120425/940/941/80380/8516/22871/152404/9073/926/6614/9071/958/84628/1493/23562/79679/29851/1002/57863/1001/3897/959/4099,67
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,87/1450,229/7402,0.379912663755459,1.93938864628821,7.1270593371554,4.03088368114724e-11,2.765186205267e-09,2.2403227196271e-09,3624/60401/151449/414062/6387/5008/7852/53833/9560/1438/50615/939/944/3581/3594/84957/3625/2833/1234/9173/10148/55540/6356/3560/3556/3604/6351/6352/7293/132014/8771/3603/10673/3598/1524/1436/3627/7040/3561/3587/6366/920/6358/4283/6348/1441/970/3559/58191/8740/6367/3575/2690/653/10913/1439/6373/8744/958/10663/6362/1233/9180/1271/355/5618/6364/7133/655/284340/1236/658/2829/392255/57007/3952/729230/8784/356/268/6359/130399/6846/6363/6368/9547/959,87
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,26/1450,38/7402,0.68421052631579,3.49277676950998,7.60354357391254,7.50978661459858e-11,4.29309468134552e-09,3.47821695834039e-09,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/355/5798/356/1363,26
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,45/1450,91/7402,0.494505494505495,2.52436528988253,7.22136168554668,1.20235275302093e-10,5.41286045183022e-09,4.38543857383206e-09,1290/6550/340267/1295/7512/476/23428/1277/1285/340024/3784/3783/482/153201/1282/1278/1292/1306/11136/477/6546/4311/1289/1293/1281/8645/91522/1284/1296/1288/136227/1287/1286/1298/50509/1310/9056/117247/1359/6564/81578/1301/59272/478/3769,45
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,35/1450,62/7402,0.564516129032258,2.8817575083426,7.34360340136212,1.26247474095165e-10,5.41286045183022e-09,4.38543857383206e-09,3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/3112/3115/719/3684/5724/6404/3109/2359/2209/6403/3683/9103/3123/718/3111/713/5340/712/2213/714/2357/2215/716/1672/717,35
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,42/1450,88/7402,0.477272727272727,2.43639498432602,6.69014422003234,2.01541906616983e-09,7.68098599662502e-08,6.22304834466474e-08,3117/3127/3118/3119/1438/3122/3581/3120/3113/3112/3115/1378/3684/921/3109/914/2209/960/3676/925/951/945/952/3123/1436/4311/915/916/920/3111/1441/3559/3575/926/3678/917/929/924/290/912/948/1380,42
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,88/1450,255/7402,0.345098039215686,1.76166599053414,6.10900534737801,8.7976975166379e-09,3.0176102482068e-07,2.44483383620253e-07,2906/4886/114131/5745/152/1132/4889/10911/53637/1241/719/5724/7068/2359/2563/84634/64106/624/140/53829/5731/2899/4923/3827/5027/718/2892/2918/5340/3269/2901/554/66004/4828/2690/3355/5028/3001/5020/7349/7434/5367/27334/623/3274/6752/185/286530/8698/1137/5618/2564/2642/2357/4987/133/6751/552/55879/8862/84109/2568/3352/6344/3952/130574/2911/4543/130576/9127/2555/153/5733/2561/5368/57105/2894/23566/6869/2914/5737/2925/2903/2847/2898/553/170589/148,88
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,25/1450,42/7402,0.595238095238095,3.03858784893268,6.53902369730693,1.31792383119358e-08,4.10952612817636e-07,3.329491784068e-07,57379/6387/3117/7852/3127/3118/3119/3122/3120/3113/3112/3115/942/3109/5284/3676/10673/3123/7040/3111/940/941/958/29851/959,25
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,57/1450,146/7402,0.39041095890411,1.99298063297119,5.98089683021277,3.23072888110367e-08,9.23450005182133e-07,7.48168793518745e-07,3117/78989/3127/3118/3119/2212/2214/10376/3134/4842/6890/3689/3122/11151/3120/3113/1536/64581/3112/3115/4688/3684/10333/22925/3109/7097/2209/3106/338382/3135/4481/1520/9103/3123/3107/3105/653361/79861/347733/949/718/3111/525/2213/7280/3678/10381/929/245972/2215/4689/113457/50617/4353/948/127124/10382,57
Human Diseases,Immune disease,hsa05310,Asthma,17/1450,24/7402,0.708333333333333,3.61591954022989,6.33517212873074,7.18487252862915e-08,1.89570098255369e-06,1.53587558506728e-06,3117/3127/3118/3119/3122/3120/3113/3112/3115/3109/2207/6356/3123/3111/958/2206/959,17
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,31/1450,65/7402,0.476923076923077,2.4346100795756,5.73362174575884,2.69392629710126e-07,6.60011942789809e-06,5.3473424243213e-06,3117/3127/3118/3119/3134/4842/5880/3689/3122/595/3120/3113/3112/3115/942/3109/3106/3683/3135/3123/5551/3107/3105/3111/940/941/8082/958/857/4624/959,31
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,37/1450,87/7402,0.425287356321839,2.17101862861673,5.42268037550926,7.28352154738317e-07,1.66549859383495e-05,1.34936820246257e-05,414062/6387/7852/53833/9560/2833/1234/6356/3560/6351/6352/1524/1436/3627/3561/3587/6366/6358/4283/6348/3559/8740/6367/6373/6362/1233/6364/7133/1236/2829/57007/729230/6359/6846/6363/6368/9547,37
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,30/1450,66/7402,0.454545454545455,2.32037617554859,5.31787014000761,1.5166440471731e-06,3.25130567612733e-05,2.63417123982696e-05,3306/3117/3127/3118/3119/3134/6890/3122/3120/3113/3112/3115/3109/6892/3106/3135/925/1520/3123/972/3107/3105/567/920/3111/10437/926/3310/3824/3805,30
Organismal Systems,Digestive system,hsa04978,Mineral absorption,25/1450,55/7402,0.454545454545455,2.32037617554859,4.85089357055533,1.12612817285992e-05,0.000227212919582913,0.000184085348380817,140803/4495/4494/6550/55630/6569/4493/4496/476/340024/482/7421/4499/477/6546/4501/55503/142680/65010/491/1811/4502/115019/4489/478,25
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,18/1450,34/7402,0.529411764705882,2.70255578093306,4.91092997439703,1.44048884831259e-05,0.00026750866635245,0.000216732508568503,57379/5788/6890/695/925/3561/915/7535/916/920/3575/3718/926/958/3932/29851/100/959,18
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,20/1450,40/7402,0.5,2.55241379310345,4.85889287094707,1.48182643168996e-05,0.00026750866635245,0.000216732508568503,1892/3033/11185/316/847/38/125061/1644/217/219/259307/3620/15/64577/2639/4128/1962/130013/26/6999,20
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,34/1450,87/7402,0.390804597701149,1.99499009116132,4.60753835106802,1.87654460277644e-05,0.000321827399376159,0.000260740934280516,414062/6387/3117/3127/3118/3119/7010/3689/3122/3120/3113/3112/3115/942/3109/7097/3683/6352/10673/3123/7040/3111/6348/525/940/941/7422/2321/6364/245972/1493/2353/50617/127124,34
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",20/1450,41/7402,0.487804878048781,2.49015979814971,4.72230576882556,2.3646425522615e-05,0.000386224950202712,0.000312915104660169,51268/2628/275/23464/6472/2731/1491/1610/6470/55349/1757/132158/635/189/10993/26227/4128/29958/64902/29968,20
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,13/1450,21/7402,0.619047619047619,3.16013136288998,4.89249002781229,2.49354847301651e-05,0.000388766875565757,0.000314974543959981,762/5105/6550/476/358/482/5106/477/1468/8671/10991/760/478,13
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,40/1450,110/7402,0.363636363636364,1.85630094043887,4.46577846928137,2.66556027440233e-05,0.000397516162660869,0.000322063117822524,1892/5315/4329/229/3099/2203/2026/2597/226/275/55902/6472/8801/847/38/2731/26275/6470/48/26007/8802/5091/5214/51179/414328/132158/9104/189/10993/5095/3101/55753/84706/26227/5313/2875/64902/230/29968/2645,40
