ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044282,small molecule catabolic process,102/1378,350/14924,0.291428571428571,3.15622641509434,13.0192553296595,4.76888360510634e-27,2.41639332270738e-23,2.06266765614547e-23,ALDH4A1/HYKK/CYP26B1/CDO1/ECHS1/ACADM/HPD/TST/HADH/PCK1/ALDH6A1/SULT1A2/ALDOB/ABAT/PNP/PIPOX/BDH2/SORD/DDAH1/NOS1/ECI2/ACAA1/DCXR/HAGH/ACADSB/CYP39A1/PPM1K/HOGA1/AMT/ACSS2/GCAT/HMGCLL1/PPARA/PHYH/ACOX2/ACAT1/AFMID/GLDC/QPRT/ADHFE1/DAO/DPEP1/PAH/UPP2/PCK2/HIBCH/CRYL1/SHMT1/LDHD/CYP27B1/TKFC/GK/GALM/ALDH2/GDA/QDPR/NTSR1/SLC27A2/ALDH1B1/SARDH/PLIN5/CYP4A11/MIOX/GLYCTK/CRYM/ALDH8A1/ALDH1L1/CYP4F3/AGXT/CYP4F2/FUT6/RIDA/FTCD/PRODH2/PCCA/FAAH/NQO2/GCDH/DHDH/AASS/GPT2/CYP3A4/XYLB/ADTRP/AMDHD1/ACACB/GPT/EHHADH/FUT5/AGXT2/CYP24A1/RENBP/ACMSD/CYP4F12/PFKFB2/FMO1/LEP/SULT1B1/UPB1/HGD/ACOT4/GCK,102
GO:0016054,organic acid catabolic process,75/1378,237/14924,0.316455696202532,3.42727489849534,12.0136156331929,1.52784860297576e-22,2.58053629042606e-19,2.20278242443066e-19,ALDH4A1/HYKK/CYP26B1/CDO1/ECHS1/ACADM/HPD/TST/HADH/PCK1/ALDH6A1/ABAT/PIPOX/BDH2/SORD/DDAH1/NOS1/ECI2/ACAA1/DCXR/ACADSB/PPM1K/HOGA1/AMT/GCAT/HMGCLL1/PPARA/PHYH/ACOX2/ACAT1/AFMID/GLDC/QPRT/ADHFE1/DAO/DPEP1/PAH/PCK2/HIBCH/CRYL1/SHMT1/LDHD/QDPR/SLC27A2/SARDH/PLIN5/CYP4A11/CRYM/ALDH8A1/ALDH1L1/CYP4F3/AGXT/CYP4F2/RIDA/FTCD/PRODH2/PCCA/FAAH/GCDH/AASS/GPT2/XYLB/ADTRP/AMDHD1/ACACB/GPT/EHHADH/AGXT2/RENBP/ACMSD/CYP4F12/FMO1/LEP/HGD/ACOT4,75
GO:0046395,carboxylic acid catabolic process,75/1378,237/14924,0.316455696202532,3.42727489849534,12.0136156331929,1.52784860297576e-22,2.58053629042606e-19,2.20278242443066e-19,ALDH4A1/HYKK/CYP26B1/CDO1/ECHS1/ACADM/HPD/TST/HADH/PCK1/ALDH6A1/ABAT/PIPOX/BDH2/SORD/DDAH1/NOS1/ECI2/ACAA1/DCXR/ACADSB/PPM1K/HOGA1/AMT/GCAT/HMGCLL1/PPARA/PHYH/ACOX2/ACAT1/AFMID/GLDC/QPRT/ADHFE1/DAO/DPEP1/PAH/PCK2/HIBCH/CRYL1/SHMT1/LDHD/QDPR/SLC27A2/SARDH/PLIN5/CYP4A11/CRYM/ALDH8A1/ALDH1L1/CYP4F3/AGXT/CYP4F2/RIDA/FTCD/PRODH2/PCCA/FAAH/GCDH/AASS/GPT2/XYLB/ADTRP/AMDHD1/ACACB/GPT/EHHADH/AGXT2/RENBP/ACMSD/CYP4F12/FMO1/LEP/HGD/ACOT4,75
GO:0015711,organic anion transport,97/1378,411/14924,0.236009732360097,2.55602993159804,10.202518776667,1.49562327470238e-18,1.89458078322924e-15,1.61724106204002e-15,CA4/EPM2A/LLGL2/SLC25A25/SLC16A5/SLC44A4/NPY5R/ABAT/SLC39A4/UMOD/FABP1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/CR1/CEACAM1/SLC51B/KCNJ10/SLC7A8/PPARA/PLA2R1/SFXN5/SFXN2/SLC22A8/SLC22A6/SLC25A42/SLC38A4/BDKRB2/SLC36A2/G6PC1/SLC7A9/ATP1A2/NTRK2/SLC25A10/SLC22A12/SLC52A3/NTSR1/CASR/SLC27A2/SLC2A9/SLC22A3/SLC39A5/FOLR3/CYP4A11/SLC4A4/ABCB1/SLC7A10/MPC1/CES1/AGXT/CYP4F2/OXT/SLC4A9/SLC16A9/SLC22A1/ABCC8/ABCC6/MTTP/SLC16A11/GLTPD2/SLC4A11/SLC22A13/SLC26A7/ACACB/SLC7A7/SLC16A10/SLC26A6/PLA2G4F/AVPR1A/SLC4A1/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/SLC22A24/LEP/SLC17A1/GRM1/SLC25A47/SLC38A3/PLA2G2A/RBP5/SLC22A11/SLC26A9/SLC2A2/SLC16A7/CLTRN/SLC6A17/SLC22A14/CACNB4/FOLR1/SLC51A/SLC10A2/ACE2/PLA2G12B,97
GO:1901605,alpha-amino acid metabolic process,60/1378,195/14924,0.307692307692308,3.33236574746009,10.4562142174465,1.27937243993407e-17,1.29651603062918e-14,1.10672449593454e-14,ALDH4A1/HYKK/CDO1/HPD/ALDH6A1/TTC36/MSRA/PIPOX/DDAH1/NOS1/BPHL/ACADSB/AGMAT/HOGA1/AMT/GCAT/HMGCLL1/IYD/ACAT1/AFMID/GLDC/CTH/QPRT/ADHFE1/DAO/DPEP1/ASS1/PAH/HIBCH/SHMT1/ADI1/QDPR/SARDH/NAT8L/CRYM/ALDH8A1/BHMT/AGXT/RIDA/FTCD/PRODH2/GCDH/GLYATL1/AASS/NAGS/GPT2/PHGDH/AMDHD1/SLC7A7/BHMT2/GLYAT/GPT/AGXT2/ACMSD/PSAT1/NOX4/HGD/HNF4A/ASPA/ASPG,60
GO:0003014,renal system process,46/1378,131/14924,0.351145038167939,3.80296701713957,10.2771489097168,2.86395907809825e-16,2.41861344145397e-13,2.06456278103609e-13,CORO2B/SCNN1B/UMOD/WNK4/AQP2/CLDN16/SLC12A3/SLC5A2/KCNQ1/AQP1/BTC/SLC22A6/HSD11B2/KCNJ1/TRPV5/NPHS2/CLCNKA/PTPRO/CLDN19/SLC22A12/CLCNKB/AMN/CYP4A11/AVPR2/ATP6V1B1/SUCNR1/CYP4F2/OXT/SLC15A2/SCN11A/WNK3/NPR1/KLHL3/AGTR1/CLCN5/AQP3/SLC4A1/CYP4F12/NPR3/AQP6/OIT3/REN/AQP4/ATP6V0A4/HBB/TACR1,46
GO:0006520,amino acid metabolic process,70/1378,272/14924,0.257352941176471,2.78718091009989,9.48749710783731,9.44662610561928e-16,6.83800778245328e-13,5.83702055157739e-13,ALDH4A1/HYKK/CDO1/ACY1/ECHS1/HPD/ALDH6A1/ABAT/TTC36/MSRA/PEPD/PIPOX/DDAH1/NOS1/BPHL/ACADSB/AGMAT/PPM1K/HOGA1/AMT/GCAT/HMGCLL1/IYD/ACAT1/AFMID/GLDC/CTH/QPRT/ADHFE1/DAO/DPEP1/ASS1/PAH/HIBCH/SHMT1/DDC/ADI1/QDPR/DIO1/SARDH/NAT8L/CRYM/ALDH8A1/BHMT/AGXT/RIDA/FTCD/PRODH2/PM20D1/PCCA/GCDH/GLYATL1/AASS/NAGS/GPT2/PHGDH/AMDHD1/SLC7A7/BHMT2/GLYAT/GPT/AGXT2/ACMSD/PSAT1/NOX4/UPB1/HGD/HNF4A/ASPA/ASPG,70
GO:0009063,amino acid catabolic process,39/1378,107/14924,0.364485981308411,3.94745194850996,9.75900689154029,1.28515165019545e-14,7.75653661438316e-12,6.6210898067995e-12,ALDH4A1/HYKK/CDO1/ECHS1/HPD/ALDH6A1/ABAT/PIPOX/DDAH1/NOS1/ACADSB/PPM1K/HOGA1/AMT/GCAT/HMGCLL1/ACAT1/AFMID/GLDC/ADHFE1/DAO/PAH/HIBCH/SHMT1/QDPR/SARDH/CRYM/ALDH8A1/AGXT/RIDA/FTCD/PRODH2/AASS/GPT2/AMDHD1/GPT/AGXT2/ACMSD/HGD,39
GO:0046942,carboxylic acid transport,75/1378,318/14924,0.235849056603774,2.55428978284087,8.935668457352,1.37771520681761e-14,7.75653661438316e-12,6.6210898067995e-12,EPM2A/LLGL2/SLC16A5/NPY5R/ABAT/UMOD/FABP1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/CEACAM1/SLC51B/KCNJ10/SLC7A8/PPARA/PLA2R1/SFXN5/SFXN2/SLC22A8/SLC22A6/SLC38A4/BDKRB2/SLC36A2/SLC7A9/ATP1A2/NTRK2/SLC25A10/NTSR1/CASR/SLC27A2/SLC22A3/FOLR3/CYP4A11/ABCB1/SLC7A10/MPC1/CES1/AGXT/CYP4F2/OXT/SLC16A9/SLC22A1/ABCC8/ABCC6/SLC16A11/SLC22A13/SLC26A7/ACACB/SLC7A7/SLC16A10/SLC26A6/PLA2G4F/AVPR1A/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/LEP/GRM1/SLC38A3/PLA2G2A/RBP5/SLC22A11/SLC26A9/SLC16A7/CLTRN/SLC6A17/CACNB4/FOLR1/SLC51A/SLC10A2/ACE2/PLA2G12B,75
GO:0015849,organic acid transport,75/1378,319/14924,0.235109717868339,2.54628260483823,8.90390615029195,1.64358406717425e-14,8.32804046837192e-12,7.10893361265157e-12,EPM2A/LLGL2/SLC16A5/NPY5R/ABAT/UMOD/FABP1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/CEACAM1/SLC51B/KCNJ10/SLC7A8/PPARA/PLA2R1/SFXN5/SFXN2/SLC22A8/SLC22A6/SLC38A4/BDKRB2/SLC36A2/SLC7A9/ATP1A2/NTRK2/SLC25A10/NTSR1/CASR/SLC27A2/SLC22A3/FOLR3/CYP4A11/ABCB1/SLC7A10/MPC1/CES1/AGXT/CYP4F2/OXT/SLC16A9/SLC22A1/ABCC8/ABCC6/SLC16A11/SLC22A13/SLC26A7/ACACB/SLC7A7/SLC16A10/SLC26A6/PLA2G4F/AVPR1A/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/LEP/GRM1/SLC38A3/PLA2G2A/RBP5/SLC22A11/SLC26A9/SLC16A7/CLTRN/SLC6A17/CACNB4/FOLR1/SLC51A/SLC10A2/ACE2/PLA2G12B,75
