ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045177,apical part of cell,147/1442,493/15733,0.298174442190669,3.25324445144646,16.1466553692693,2.27096209290088e-40,1.12185527389304e-37,1.03508061708009e-37,CA4/ECRG4/TRPM6/PTH1R/ANK2/SLC44A4/SLC9A3/PLAT/SLC47A2/SLC39A4/CLIC5/FRMD1/SLC34A1/PARD3B/SCNN1B/UMOD/TEK/SLC22A7/CRB2/DCXR/SLC26A4/SLC13A2/PLLP/NPC1L1/AQP2/CEACAM1/MAL/ATP1A1/PALS1/SLC7A8/PROM2/OCLN/SLC12A3/ESPN/SLC5A2/SLC6A19/KCNQ1/AQP1/SLC22A8/SLC12A1/DPEP1/SHROOM3/SLC29A2/AJAP1/ATP1B2/MYO7B/TRPV5/IGFBP2/SCNN1G/NHERF4/ACP3/MYO6/GP2/CHL1/SLC7A9/PTPRO/SPTBN2/MYH10/MME/PKHD1/SLC22A12/SLC9A4/EPCAM/SLC52A3/SOAT2/MARVELD2/SLC5A11/PTPRQ/CASR/MAL2/SLC2A9/EPB41L4B/SLC22A3/AMN/KL/SCIN/SCNN1A/CYP4A11/ABCB1/ATP6V1B1/PDZK1/TMEM174/INSC/CYP4F2/ITGA8/EDAR/NEDD4L/SLC4A9/SLC15A2/CD300LG/SLC22A1/MYH14/MTTP/PODXL/SLC34A3/PROM1/SLC4A11/SLC22A13/CLCN5/SLC26A7/SLC13A1/CNTFR/VIL1/SLC26A6/RHCG/ATP6V0D2/CDHR2/KCNE1/PAPPA2/SLC5A12/SLC23A1/ANKS4B/CYP4F12/SLC7A13/SLC26A3/GABRP/SLC28A2/MUC1/LDLR/SLC17A1/ACY3/MUC13/SLC9A2/NRG1/REN/SLC15A1/SLC38A3/CA2/SLC22A11/MUC20/ATP6V0A4/SLC26A9/SLC2A2/SLC5A10/DUOX2/CRIPTO/CLTRN/CUBN/ATP12A/MGAM/TRPV4/FOLR1/PDZK1IP1/SLC10A2/ACE2/CDHR5/ITLN1,147
GO:0016324,apical plasma membrane,124/1442,397/15733,0.312342569269521,3.4078263816348,15.435036522052,2.48232989380039e-36,6.13135483768696e-34,5.65709917902931e-34,CA4/ECRG4/TRPM6/PTH1R/ANK2/SLC44A4/SLC9A3/SLC47A2/SLC39A4/CLIC5/FRMD1/SLC34A1/PARD3B/SCNN1B/UMOD/TEK/SLC22A7/CRB2/SLC26A4/SLC13A2/PLLP/NPC1L1/AQP2/CEACAM1/MAL/ATP1A1/PALS1/SLC7A8/PROM2/OCLN/SLC12A3/SLC5A2/SLC6A19/KCNQ1/AQP1/SLC22A8/SLC12A1/DPEP1/SHROOM3/SLC29A2/AJAP1/ATP1B2/TRPV5/IGFBP2/SCNN1G/NHERF4/GP2/SLC7A9/PTPRO/SPTBN2/PKHD1/SLC22A12/SLC9A4/EPCAM/SLC52A3/MARVELD2/SLC5A11/PTPRQ/CASR/MAL2/SLC2A9/SLC22A3/AMN/KL/SCNN1A/CYP4A11/ABCB1/ATP6V1B1/PDZK1/TMEM174/CYP4F2/NEDD4L/SLC15A2/CD300LG/SLC22A1/MTTP/PODXL/SLC34A3/PROM1/SLC4A11/SLC22A13/SLC26A7/SLC13A1/CNTFR/SLC26A6/RHCG/ATP6V0D2/CDHR2/KCNE1/PAPPA2/SLC5A12/SLC23A1/CYP4F12/SLC7A13/SLC26A3/GABRP/SLC28A2/MUC1/SLC17A1/ACY3/MUC13/SLC9A2/NRG1/SLC15A1/SLC38A3/SLC22A11/MUC20/ATP6V0A4/SLC26A9/SLC2A2/SLC5A10/DUOX2/CRIPTO/CLTRN/CUBN/ATP12A/MGAM/TRPV4/FOLR1/PDZK1IP1/SLC10A2/ACE2/CDHR5/ITLN1,124
GO:0009925,basal plasma membrane,79/1442,282/15733,0.280141843971631,3.05649905076676,11.0692465487695,3.50449149422042e-20,5.77072932714962e-18,5.32436777893839e-18,TGFBR3/PALM/PTH1R/ENPP1/ANK2/SLC16A5/AQP7/ABCA8/UMOD/TEK/SLC22A7/SLC13A3/AQP2/CEACAM1/SLC51B/KCNJ10/ATP1A1/SLC7A8/PROM2/ANK3/KCNQ1/AQP1/SLC22A8/SLC22A6/SLC29A2/AJAP1/CLCNKA/SLC14A1/CLDN19/SLC9A4/EPCAM/DIO1/MARVELD2/PTPRQ/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/TACSTD2/SLC4A4/ATP6V1B1/HPGD/ERBB4/SLC4A9/CLDN8/CD300LG/DLG2/SLC22A1/ABCC6/MTTP/SLC4A11/SLC26A7/SLC7A7/SLC16A10/SLC26A6/CDH16/ATP2C2/RHCG/KCNJ16/SCN3A/AQP3/SLC4A1/SLC23A1/SLC16A12/LDLR/SCTR/AQP4/SLC38A3/SLC22A11/MUC20/RHBG/ATP6V0A4/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,79
GO:0016323,basolateral plasma membrane,73/1442,250/15733,0.292,3.18587794729542,11.0665345825079,7.23977190010318e-20,8.94111829662742e-18,8.24952955985441e-18,TGFBR3/PALM/PTH1R/ENPP1/ANK2/SLC16A5/AQP7/ABCA8/UMOD/TEK/SLC22A7/SLC13A3/AQP2/SLC51B/KCNJ10/ATP1A1/SLC7A8/PROM2/ANK3/KCNQ1/AQP1/SLC22A8/SLC22A6/SLC29A2/AJAP1/CLCNKA/SLC14A1/CLDN19/SLC9A4/EPCAM/DIO1/MARVELD2/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/SLC4A4/ATP6V1B1/HPGD/ERBB4/SLC4A9/CLDN8/CD300LG/DLG2/SLC22A1/ABCC6/MTTP/SLC4A11/SLC26A7/SLC7A7/SLC16A10/SLC26A6/CDH16/ATP2C2/RHCG/KCNJ16/AQP3/SLC4A1/SLC16A12/LDLR/SCTR/AQP4/SLC38A3/MUC20/RHBG/ATP6V0A4/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,73
GO:0045178,basal part of cell,80/1442,299/15733,0.267558528428094,2.91920827167767,10.6429431514229,4.33107744379722e-19,4.27910451447165e-17,3.94811901718778e-17,TGFBR3/PALM/PTH1R/ENPP1/ANK2/SLC16A5/AQP7/ABCA8/UMOD/TEK/SLC22A7/SLC13A3/AQP2/CEACAM1/SLC51B/KCNJ10/ATP1A1/SLC7A8/PROM2/ANK3/CLDN11/KCNQ1/AQP1/SLC22A8/SLC22A6/SLC29A2/AJAP1/CLCNKA/SLC14A1/CLDN19/SLC9A4/EPCAM/DIO1/MARVELD2/PTPRQ/CLCNKB/CASR/SLC2A9/SLC22A3/FXYD4/SLC39A5/TACSTD2/SLC4A4/ATP6V1B1/HPGD/ERBB4/SLC4A9/CLDN8/CD300LG/DLG2/SLC22A1/ABCC6/MTTP/SLC4A11/SLC26A7/SLC7A7/SLC16A10/SLC26A6/CDH16/ATP2C2/RHCG/KCNJ16/SCN3A/AQP3/SLC4A1/SLC23A1/SLC16A12/LDLR/SCTR/AQP4/SLC38A3/SLC22A11/MUC20/RHBG/ATP6V0A4/SLC16A7/BSND/ATP12A/FOLR1/SLC51A,80
GO:0005903,brush border,38/1442,104/15733,0.365384615384615,3.98654379600982,9.706513241299,2.05490731365706e-14,1.69187368824432e-12,1.56100853826931e-12,CA4/TRPM6/SLC9A3/SLC34A1/DCXR/SLC26A4/ESPN/SLC6A19/AQP1/MYO7B/NHERF4/SLC7A9/MYH10/MME/SLC22A12/SOAT2/AMN/SCIN/ABCB1/PDZK1/MYH14/MTTP/SLC34A3/VIL1/SLC26A6/CDHR2/ANKS4B/SLC26A3/SLC28A2/SLC15A1/ATP6V0A4/SLC2A2/CLTRN/CUBN/FOLR1/ACE2/CDHR5/ITLN1,38
GO:0098862,cluster of actin-based cell projections,46/1442,161/15733,0.285714285714286,3.11729740439865,8.5776020772443,1.23578019366333e-12,8.72107736670975e-11,8.04650862941684e-11,CA4/PKHD1L1/TRPM6/SLC9A3/CLIC5/SLC34A1/DCXR/SLC26A4/ESPN/SLC6A19/AQP1/MYO7B/NHERF4/CALB1/SLC7A9/MYH10/MME/SLC22A12/SOAT2/PTPRQ/AMN/SCIN/ABCB1/MYO3B/PDZK1/DCDC2/MYH14/MTTP/SLC34A3/VIL1/ADGRV1/SLC26A6/CDHR2/ANKS4B/SLC26A3/SLC28A2/SLC15A1/ATP6V0A4/SLC2A2/CLTRN/CUBN/FOLR1/ACE2/CDHR5/TMC1/ITLN1,46
GO:0031526,brush border membrane,25/1442,57/15733,0.43859649122807,4.78532496289267,9.09423680602285,5.11750814103643e-12,3.16006127708999e-10,2.91563292772207e-10,CA4/TRPM6/SLC9A3/SLC34A1/SLC26A4/SLC6A19/AQP1/SLC7A9/SLC22A12/AMN/ABCB1/PDZK1/MTTP/SLC34A3/SLC26A6/CDHR2/SLC26A3/SLC28A2/ATP6V0A4/CLTRN/CUBN/FOLR1/ACE2/CDHR5/ITLN1,25
GO:0005902,microvillus,28/1442,89/15733,0.314606741573034,3.43252972619177,7.31008699357986,2.88458571302832e-09,1.58331704692888e-07,1.46084867104241e-07,PDGFRA/RAPGEF3/TEK/DCXR/CEACAM1/SLC7A8/PROM2/ESPN/DPEP1/MYO7B/SLC38A4/MYO6/FMN2/AMN/ATP6V1B1/PDZK1/IQGAP2/MTTP/PODXL/PROM1/VIL1/CDHR2/ANKS4B/MUC20/CUBN/ENPP7/SLC10A2/CDHR5,28
GO:0031528,microvillus membrane,14/1442,32/15733,0.4375,4.77336165048544,6.78708132552647,2.68104734555899e-07,1.32443738870614e-05,1.22199315855478e-05,CEACAM1/SLC7A8/PROM2/DPEP1/SLC38A4/AMN/PDZK1/MTTP/PODXL/PROM1/CDHR2/MUC20/CUBN/CDHR5,14
