ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046873,metal ion transmembrane transporter activity,84/1419,398/15482,0.21105527638191,2.30271866733243,8.36345308877299,1.94318938113638e-13,1.87712094217774e-10,1.49114216720887e-10,TRPM6/SLC9A3/KCNJ12/SLC39A4/SLC34A1/SCNN1B/SLC13A2/TRPM3/SLC13A3/KCNJ10/ATP1A1/CLDN16/NCS1/SLC12A3/KCNK13/SLC5A2/KCNQ1/AQP1/NIPAL1/SLC12A1/RYR3/CNGA1/KCNJ1/SLC38A4/TRPV5/SCNN1G/ATP1A2/SLC8A1/CACNA2D2/SLC30A2/SLC9A4/KCNJ15/TRPV6/SLC5A11/GRIA3/SLC39A5/KCNK5/ASIC2/SCNN1A/GRIK5/SLC4A4/KCNK10/KCNH6/SLC4A9/SCN7A/SCN11A/SLC22A1/ABCC8/SCN2A/SLC34A3/SLC4A11/KCNH7/SLC13A1/ATP2C2/KCNJ16/CACNA2D3/LRRC55/SCN3A/KCNE1/SLC5A12/SLC23A1/MCOLN3/SLC28A2/TRPM5/SLC17A1/GPM6A/SLC9A2/KCNA4/KCNJ3/TRPC7/SLC38A3/SLC5A10/KCNIP1/SLC6A4/KCNH3/CACNB4/ATP12A/TRPV4/KCNMB2/SLC10A2/GRIK2/TMC1/KCNJ13/SLC30A8,84
GO:0022804,active transmembrane transporter activity,86/1419,420/15482,0.204761904761905,2.23405483405483,8.14459504628806,5.87346582255718e-13,2.83688399229512e-10,2.25355609718115e-10,SLC25A25/SLC16A5/SLC44A4/ABCA9/SLC9A3/SLC47A2/SLC39A4/ABCA8/SLC34A1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/ADAMTS8/ABCA6/ATP1A1/SLC7A8/SLC12A3/SLC5A2/SLC6A19/SLC22A8/SLC22A6/SLC12A1/ABCA10/SLC38A4/SLC36A2/SLC7A9/ATP1A2/SLC8A1/SLC30A2/SLC25A10/SLC9A4/SLC5A11/SLC2A9/MT-ND4L/SLC22A3/ABCA4/SLC39A5/MT-ND1/MT-ND4/SLC4A4/ABCB1/ATP6V1B1/MT-ND5/MT-ND6/MT-ND3/SLC4A9/SLC15A2/SLC16A9/SLC22A1/ABCC8/ABCC6/SLC16A11/SLC34A3/SLC4A11/CLCN5/SLC26A7/SLC13A1/MT-ND2/SLC16A10/SLC26A6/ATP2C2/ATP6V0D2/SLC4A1/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/SLC28A2/SLC17A1/SLC9A2/SLC15A1/SLC38A3/SLC22A11/ATP6V0A4/SLC26A9/SLC5A10/SLC16A7/SLC6A17/SLC6A4/ATP12A/ABCA13/SLC10A2/ATP6V1G3/SLC30A8,86
GO:0015291,secondary active transmembrane transporter activity,61/1419,261/15482,0.233716475095785,2.5499636838851,8.02180125736304,4.71642479896721e-12,1.51868878526744e-09,1.20641181699898e-09,SLC25A25/SLC16A5/SLC44A4/SLC9A3/SLC47A2/SLC39A4/SLC34A1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/ADAMTS8/SLC7A8/SLC12A3/SLC5A2/SLC6A19/SLC22A8/SLC22A6/SLC12A1/SLC38A4/SLC36A2/SLC7A9/SLC8A1/SLC30A2/SLC25A10/SLC9A4/SLC5A11/SLC2A9/SLC39A5/SLC4A4/SLC4A9/SLC15A2/SLC16A9/SLC22A1/SLC16A11/SLC34A3/SLC4A11/CLCN5/SLC26A7/SLC13A1/SLC16A10/SLC26A6/SLC4A1/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/SLC28A2/SLC17A1/SLC9A2/SLC15A1/SLC38A3/SLC22A11/SLC26A9/SLC5A10/SLC16A7/SLC6A17/SLC6A4/SLC10A2/SLC30A8,61
GO:0015081,sodium ion transmembrane transporter activity,42/1419,150/15482,0.28,3.05494009866103,8.03335770921757,2.40114999197148e-11,5.79877723061111e-09,4.60641669512423e-09,SLC9A3/SLC34A1/SCNN1B/SLC13A2/SLC13A3/ATP1A1/SLC12A3/SLC5A2/SLC12A1/CNGA1/SLC38A4/SCNN1G/ATP1A2/SLC8A1/SLC9A4/SLC5A11/ASIC2/SCNN1A/GRIK5/SLC4A4/SLC4A9/SCN7A/SCN11A/SLC22A1/SCN2A/SLC34A3/SLC4A11/SLC13A1/SCN3A/SLC5A12/SLC23A1/MCOLN3/SLC28A2/TRPM5/SLC17A1/SLC9A2/SLC38A3/SLC5A10/SLC6A4/ATP12A/SLC10A2/GRIK2,42
GO:0015267,channel activity,80/1419,418/15482,0.191387559808612,2.08813403872934,7.16394260955237,1.31543369364758e-10,2.00086595446258e-08,1.5894423894554e-08,TRPM6/KCNJ12/AQP7/CLIC5/SCNN1B/TMC4/TRPM3/AQP2/KCNJ10/NCS1/BCL2L10/KCNK13/KCNQ1/AQP1/RYR3/CNGA1/KCNJ1/TRPV5/SCNN1G/CLCNKA/CACNA2D2/SLC14A1/KCNJ15/TRPV6/CLCNKB/GRIA3/KCNK5/ASIC2/SCNN1A/GRIK5/KCNK10/GJB1/KCNH6/ANO3/SCN7A/SCN11A/ABCC8/SCN2A/SLC4A11/CLCN5/SLC26A7/KCNH7/CHRNA4/SLC26A6/RHCG/KCNJ16/CACNA2D3/LRRC55/SCN3A/KCNE1/AQP3/GJA3/TMEM150C/ANO5/AQP6/MCOLN3/GABRP/TRPM5/GPM6A/P2RX6/GABRA2/KCNA4/KCNJ3/TRPC7/AQP4/RHBG/SLC26A9/GABRB2/KCNIP1/BSND/FXYD3/SLC6A4/KCNH3/CACNB4/TRPV4/KCNMB2/GRIK2/TMC1/KCNJ13/GJC3,80
GO:0022803,passive transmembrane transporter activity,80/1419,418/15482,0.191387559808612,2.08813403872934,7.16394260955237,1.31543369364758e-10,2.00086595446258e-08,1.5894423894554e-08,TRPM6/KCNJ12/AQP7/CLIC5/SCNN1B/TMC4/TRPM3/AQP2/KCNJ10/NCS1/BCL2L10/KCNK13/KCNQ1/AQP1/RYR3/CNGA1/KCNJ1/TRPV5/SCNN1G/CLCNKA/CACNA2D2/SLC14A1/KCNJ15/TRPV6/CLCNKB/GRIA3/KCNK5/ASIC2/SCNN1A/GRIK5/KCNK10/GJB1/KCNH6/ANO3/SCN7A/SCN11A/ABCC8/SCN2A/SLC4A11/CLCN5/SLC26A7/KCNH7/CHRNA4/SLC26A6/RHCG/KCNJ16/CACNA2D3/LRRC55/SCN3A/KCNE1/AQP3/GJA3/TMEM150C/ANO5/AQP6/MCOLN3/GABRP/TRPM5/GPM6A/P2RX6/GABRA2/KCNA4/KCNJ3/TRPC7/AQP4/RHBG/SLC26A9/GABRB2/KCNIP1/BSND/FXYD3/SLC6A4/KCNH3/CACNB4/TRPV4/KCNMB2/GRIK2/TMC1/KCNJ13/GJC3,80
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",36/1419,123/15482,0.292682926829268,3.19331717630073,7.75754386309925,1.62135608723646e-10,2.00086595446258e-08,1.5894423894554e-08,ADH1B/ADH1C/DHRS11/HADH/GPD1/AKR7A3/BDH2/SORD/ADH6/DCXR/DHRS4L2/DHRS4/ADHFE1/HSD11B2/PTGR1/CRYL1/LDHD/L2HGDH/SDR42E1/CHDH/HAO2/MIOX/AKR7L/CYP4A22/HPGD/CYP4F3/CYP4F2/DHDH/BDH1/PHGDH/GPD1L/EHHADH/ADH1A/RDH12/HSD3B2/HSD17B2,36
GO:0008514,organic anion transmembrane transporter activity,55/1419,242/15482,0.227272727272727,2.4796591709911,7.36934017542798,1.65703184634582e-10,2.00086595446258e-08,1.5894423894554e-08,SLC25A25/SLC16A5/SLC44A4/SLC39A4/SLC22A7/SLC26A4/SLC13A2/SLC13A3/CEACAM1/SLC51B/SLC7A8/SFXN5/SLC22A8/SLC22A6/SLC25A42/SLC38A4/SLC36A2/SLC7A9/SLC25A10/SLC52A3/SLC27A2/SLC22A3/GRIA3/SLC39A5/GRIK5/SLC4A4/ABCB1/SLC7A10/MPC1/SLC4A9/SLC16A9/SLC22A1/SLC16A11/SLC4A11/SLC22A13/SLC26A7/SLC7A7/SLC16A10/SLC26A6/SLC4A1/SLC5A12/SLC23A1/SLC7A13/SLC26A3/SLC16A12/SLC25A47/SLC38A3/SLC22A11/SLC26A9/SLC2A2/SLC16A7/SLC22A14/SLC51A/SLC10A2/GRIK2,55
GO:0015103,inorganic anion transmembrane transporter activity,37/1419,138/15482,0.268115942028986,2.9252790799808,7.2163178647064,1.39540269006921e-09,1.49773222067429e-07,1.18976439890112e-07,SLC25A25/CLIC5/SLC34A1/TMC4/SLC26A4/ADAMTS8/SLC12A3/SLC22A8/SLC22A6/SLC12A1/CLCNKA/SLC25A10/CLCNKB/SLC4A4/ANO3/SLC4A9/SLC22A1/ABCC6/SLC34A3/SLC4A11/CLCN5/SLC26A7/SLC13A1/SLC26A6/SLC4A1/ANO5/SLC26A3/AQP6/GABRP/SLC17A1/GABRA2/SLC22A11/SLC26A9/GABRB2/BSND/FXYD3/SLC6A4,37
GO:0019842,vitamin binding,36/1419,135/15482,0.266666666666667,2.90946676062955,7.07813684940486,2.72463049045854e-09,2.63199305378295e-07,2.09079539741503e-07,ABAT/NPC1L1/GCAT/ALDH1A2/PHYH/GLDC/CTH/SHMT1/VDR/CALB1/DDC/PC/ALB/ABCA4/FOLR3/KL/AFM/MTARC2/AGXT/FTCD/PCCA/OGDHL/GPT2/ACACB/GPT/DBH/AGXT2/RBP4/PSAT1/GC/TTPA/RBP5/CUBN/FOLR1/ETNPPL/STRA6,36
