category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04978,Mineral absorption,23/758,55/7402,0.418181818181818,4.08361717438235,7.75267848819298,9.64208529087048e-10,3.13367771953291e-07,2.63888650065929e-07,140803/4495/4494/6550/55630/6569/4493/4496/476/340024/482/7421/4499/477/6546/4501/55503/142680/65010/1811/4502/115019/4489,23
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",18/758,41/7402,0.439024390243902,4.2871484651522,7.1286588589558,2.6163070720945e-08,4.25149899215357e-06,3.58020967760301e-06,51268/2628/275/23464/2731/1491/1610/6470/55349/1757/132158/635/189/26227/4128/29958/64902/29968,18
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,22/758,62/7402,0.354838709677419,3.46506085624308,6.58325159789657,8.02163154501068e-08,8.61967713134386e-06,7.25867547902641e-06,2949/125/126/2330/130/119391/316/2947/2329/1576/4128/7364/7367/1555/124/2326/10720/54600/2938/7366/2939/1559,22
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,21/758,58/7402,0.362068965517241,3.53566554453644,6.5479390022323,1.06088333924232e-07,8.61967713134386e-06,7.25867547902641e-06,125/126/56603/130/317749/8854/10901/316/1576/1562/7364/7367/1555/124/1551/100861540/10720/145226/54600/7366/1559,21
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,12/758,21/7402,0.571428571428571,5.58009800226159,7.09891226218125,1.50122820706597e-07,9.75798334592883e-06,8.21724913341375e-06,762/5105/6550/476/358/482/5106/477/1468/8671/10991/760,12
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,17/758,42/7402,0.404761904761905,3.95256941826863,6.48113172372494,2.71022878565379e-07,1.46804059222914e-05,1.23624470924559e-05,125/126/1892/34/3033/130/10455/30/36/38/217/219/23305/2639/1962/124/81616,17
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,30/758,110/7402,0.272727272727273,2.66322859198849,5.93594608681777,3.278241283538e-07,1.52204059592835e-05,1.28171839657125e-05,1892/4329/229/2203/275/55902/8801/847/38/2731/26275/6470/48/26007/8802/5091/51179/414328/132158/9104/189/5095/55753/84706/26227/5313/2875/64902/29968/2645,30
Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,14/758,31/7402,0.451612903225806,4.41007745340029,6.4260910933866,6.22904148350166e-07,2.44654271696895e-05,2.06024649850016e-05,112817/275/55902/847/38/125061/2731/6470/48/51179/132158/189/5095/64902,14
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,16/758,40/7402,0.4,3.90606860158311,6.22447811498941,7.40177993898051e-07,2.44654271696895e-05,2.06024649850016e-05,1892/3033/11185/316/847/38/125061/1644/217/219/64577/2639/4128/1962/130013/26,16
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,26/758,91/7402,0.285714285714286,2.7900490011308,5.80312889399998,7.52782374451983e-07,2.44654271696895e-05,2.06024649850016e-05,6550/340267/7512/476/23428/1285/340024/3784/482/153201/11136/477/6546/4311/8645/1288/136227/1287/1286/1298/1310/9056/117247/6564/59272/3769,26
Organismal Systems,Digestive system,hsa04976,Bile secretion,23/758,78/7402,0.294871794871795,2.87947364860294,5.63604390437933,1.7909690612408e-06,5.29149949912055e-05,4.45599957820678e-05,6550/10864/123264/476/358/9376/482/477/8671/5243/6580/1576/7364/7367/3949/6344/10720/361/760/54600/200931/6555/7366,23
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",17/758,48/7402,0.354166666666667,3.45849824098505,5.77156645857278,2.4962409000941e-06,6.76065243775485e-05,5.69318100021461e-05,1892/34/3033/4329/18/30/36/54511/316/38/26275/217/219/5095/3158/1962/64902,17
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,12/758,26/7402,0.461538461538462,4.5070022325959,6.05030481982086,3.03373500856562e-06,7.58433752141406e-05,6.38681054434868e-05,1892/3033/18/54511/38/79944/6296/622/3158/1962/348158/123876,12
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,16/758,45/7402,0.355555555555556,3.47206097918499,5.61797822207078,4.65271557964457e-06,0.000108009468813178,9.09553421584653e-05,125/126/5105/130/3029/55902/38/5106/134526/197257/217/5091/219/32/5313/124,16
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,20/758,66/7402,0.303030303030303,2.95914287998721,5.39974697270338,5.30983401649165e-06,0.000115046403690652,9.68811820552863e-05,2949/125/126/22977/130/119391/2947/246181/27294/1576/7364/7367/1555/124/10720/54600/2938/7366/2939/1559,20
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,20/758,68/7402,0.294117647058824,2.87210926586994,5.238177241794,8.793250613328e-06,0.000178612903083225,0.000150410865754295,34/5105/364/2168/30/5465/8309/79966/5106/2710/11001/23305/729359/440503/335/3158/1582/1962/4023/81616,20
