ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-211859,Biological oxidations,56/914,196/9863,0.285714285714286,3.08315098468271,9.41393656707048,5.05361814463583e-15,5.27092372485517e-12,4.73444226181672e-12,GSTM5/ADH1B/ADH1C/CYP26B1/ACY1/SULT1A2/AKR7A3/ADH6/BPHL/CYP39A1/ACSS2/GSTO2/DPEP1/CYP27B1/ALDH2/GSTM3/ALDH1B1/UGT3A2/GGT6/CYP4A11/AKR7L/CYP4A22/MTARC2/CES1/CYP4F3/CYP4F2/NQO2/GLYATL1/CYP3A4/CYP2C18/UGT3A1/MAOA/UGT2B7/CYP8B1/GLYAT/UGT2B17/CYP2B6/ACSM2B/CYP24A1/ADH1A/CYP4F12/CMBL/CYP3A7/FMO1/CYP3A7-CYP3A51P/ACY3/ACSM2A/SULT1B1/UGT2B11/NAT2/UGT1A9/GSTA1/AOC1/UGT2B15/GSTA2/CYP2C9,56
R-HSA-425407,SLC-mediated transmembrane transport,58/914,221/9863,0.262443438914027,2.83203461488955,8.80267344987038,9.8681792754292e-14,5.14625549213633e-11,4.62246292375368e-11,SLC44A4/SLC9A3/LCN12/SLC47A2/SLC39A4/SLC34A1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/APOD/SLC7A8/SLC12A3/SLC5A2/SLC6A19/SLC22A8/SLC22A6/SLC12A1/SLC29A2/SLC38A4/SLC36A2/SLC7A9/SLC8A1/SLC30A2/SLC14A1/SLC25A10/SLC22A12/SLC9A4/SLC5A11/SLC2A9/SLC22A3/SLC39A5/SLC2A12/SLC4A4/SLC7A10/SLC4A9/SLC22A1/SLC34A3/SLC26A7/SLC13A1/SLC7A7/SLC16A10/SLC26A6/SLC4A1/SLC5A12/SLC26A3/SLC28A2/SLC17A1/SLC9A2/SLC15A1/SLC38A3/SLC22A11/SLC26A9/SLC2A2/SLC5A10/SLC16A7/SLC6A4/SLC30A8,58
R-HSA-9748784,Drug ADME,33/914,99/9863,0.333333333333333,3.59700948212983,8.29937885867879,2.31604679011033e-11,8.05212267361693e-09,7.23256716911648e-09,ACY1/PCK1/PNP/SLC22A7/SLC22A8/HSD11B2/SLC29A2/ALB/SLC22A3/UGT3A2/GGT6/ABCB1/CES1/SLC22A1/GLYATL1/CYP3A4/UGT3A1/UGT2B7/GLYAT/UGT2B17/ACSM2B/ADH1A/SLC28A2/ACSM2A/UGT2B11/BCHE/NAT2/UGT1A9/GSTA1/UGT2B15/GSTA2/CYP2C9/SERPINA6,33
R-HSA-211945,Phase I - Functionalization of compounds,31/914,96/9863,0.322916666666667,3.48460293581328,7.81772446388488,2.33519378889433e-10,6.08901780454198e-08,5.46926966346305e-08,ADH1B/ADH1C/CYP26B1/ADH6/BPHL/CYP39A1/ACSS2/CYP27B1/ALDH2/ALDH1B1/CYP4A11/CYP4A22/MTARC2/CES1/CYP4F3/CYP4F2/NQO2/CYP3A4/CYP2C18/MAOA/CYP8B1/CYP2B6/CYP24A1/ADH1A/CYP4F12/CMBL/CYP3A7/FMO1/CYP3A7-CYP3A51P/AOC1/CYP2C9,31
R-HSA-71291,Metabolism of amino acids and derivatives,65/914,347/9863,0.187319884726225,2.02137420465509,6.19000142441463,2.06457461778362e-08,4.30670265269664e-06,3.86836086279458e-06,ALDH4A1/HYKK/CDO1/ECHS1/HPD/TST/ALDH6A1/PXMP2/PIPOX/GATM/ACADSB/AGMAT/PPM1K/HOGA1/AMT/IYD/INMT/ACAT1/AFMID/GLDC/CTH/DAO/ASS1/PAH/HIBCH/SHMT1/CHDH/DDC/SLC25A10/ADI1/QDPR/DIO1/SARDH/NAT8L/CRYM/BHMT/AGXT/RIDA/FTCD/PRODH2/GCDH/AASS/NAGS/GPT2/PHGDH/AMDHD1/BBOX1/BHMT2/GPT/DMGDH/DBH/AGXT2/ACMSD/FMO1/PSAT1/TYRP1/HGD/DUOX2/CKMT1B/CKB/DIO3/RPS4Y1/ASPA/ASPG/CKMT1A,65
R-HSA-9749641,Aspirin ADME,17/914,40/9863,0.425,4.58618708971554,7.26288569727794,2.69483600699029e-08,4.68452325881812e-06,4.20772639687958e-06,SLC22A7/ALB/UGT3A2/CES1/GLYATL1/CYP3A4/UGT3A1/UGT2B7/GLYAT/UGT2B17/ACSM2B/ACSM2A/UGT2B11/BCHE/UGT1A9/UGT2B15/CYP2C9,17
R-HSA-5668914,Diseases of metabolism,50/914,256/9863,0.1953125,2.10762274343545,5.73834023955562,2.45304884304866e-07,3.6550427761425e-05,3.28302777490722e-05,DCN/CYP26B1/EPM2A/ACY1/ECHS1/OGN/PRELP/GPC3/ALDOB/PNP/DCXR/PPM1K/ADAMTS8/ACAT1/ASS1/PAH/HIBCH/ADAMTSL2/ADAMTS17/LUM/G6PC1/CYP27B1/GALM/HYAL1/CYP17A1/PC/SEMA5A/THSD4/ADAMTS16/AMN/ADAMTS15/GYG2/GALNT3/PCCA/ADAMTSL1/NAGS/MAOA/OMD/MUC6/CYP24A1/KHK/MUC1/THSD7A/MUC13/MUC15/MUC4/MUC20/SBSPON/CUBN/ADAMTS19,50
R-HSA-5660526,Response to metal ions,8/914,11/9863,0.727272727272727,7.84802068828327,7.26218900486038,6.75959202040134e-07,8.48722208631224e-05,7.62338159844365e-05,MT1G/MT1F/MT1E/MT1H/MT1M/MT1X/MT2A/MT1A,8
R-HSA-9958790,SLC-mediated transport of inorganic anions,14/914,34/9863,0.411764705882353,4.44336465439568,6.42741217499897,7.40775692906782e-07,8.48722208631224e-05,7.62338159844365e-05,SLC34A1/SLC26A4/SLC12A3/SLC12A1/SLC4A4/SLC4A9/SLC34A3/SLC26A7/SLC13A1/SLC26A6/SLC4A1/SLC26A3/SLC17A1/SLC26A9,14
R-HSA-983712,Ion channel transport,37/914,172/9863,0.215116279069767,2.32132588672332,5.58673682048072,8.13731743654098e-07,8.48722208631224e-05,7.62338159844365e-05,TRPM6/SCNN1B/WNK4/TRPM3/ATP1A1/RYR3/ATP1B2/TRPV5/SCNN1G/CLCNKA/ATP1A2/TRPV6/CLCNKB/FXYD4/SGK2/ASIC2/SCNN1A/ATP6V1B1/ANO3/NEDD4L/WNK3/CLCN5/ATP2C2/ATP6V0D2/CAMK2A/ANO5/MCOLN3/WNK2/TRPM5/CAMK2B/TRPC7/ATP6V0A4/BSND/FXYD3/ATP12A/TRPV4/ATP6V1G3,37
