ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009897,external side of plasma membrane,113/1205,350/15733,0.322857142857143,4.21536218138708,17.519672286867,3.60781377780132e-42,1.81112251645626e-39,1.51907948539003e-39,SLC38A1/BTN2A2/BTN3A2/CXCR4/ULBP2/CD84/SPN/CSF2RA/IL21R/CD27/FCGR2A/FCGR3A/IGSF21/HLA-F/PTPRC/ITGB2/IL9R/CLEC2D/IL12RB1/CD276/ITGAX/BTN3A1/ITGAM/CXCR3/CD5/CD86/CCR5/FCER1G/MICB/CD2/SLAMF7/BTN3A3/IL2RB/FCGR1A/TNFRSF9/MILR1/HLA-B/HLA-G/LILRB1/TNFRSF4/CD8A/CEACAM21/CD33/RTN4R/SLAMF6/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/CD74/HLA-C/HLA-A/CXCL10/KLRC4-KLRK1/IL2RG/P2RX7/ABCG1/CD3D/B2M/CD3E/CD4/CLEC4A/CXCL9/CSF3R/IL2RA/TLR8/PDCD1/IL7R/CD28/ABCA1/CD80/PDCD1LG2/FCGR2B/CSF2RB/CDH13/ITGA5/KLRD1/ADGRE1/CD40/CXCR6/CD163/CCR4/CD200R1/OSMR/CLEC4E/FCRL6/FAS/LY9/CD3G/CD14/FCGR3B/CD244/MCAM/FCRL3/CCR7/XCR1/CTLA4/ENPP3/PLAUR/ACKR3/CCR2/LAG3/TNFRSF18/FASLG/CD1D/ADA/MUC16/MS4A2/CCRL2/CD36/PRND/CLEC12B/CD40LG,113
GO:0042611,MHC protein complex,19/1205,22/15733,0.863636363636364,11.2760090531875,13.8904552939805,6.80310828706063e-19,1.70758018005222e-16,1.43223332359171e-16,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/HLA-B/HLA-G/HLA-DRB1/CD74/HLA-C/HLA-A/B2M/HLA-DOA,19
GO:0042613,MHC class II protein complex,14/1205,15/15733,0.933333333333333,12.1860027662517,12.482583688682,3.10662262981872e-15,5.19841520056333e-13,4.36017211202628e-13,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/HLA-DRB1/CD74/B2M/HLA-DOA,14
GO:0031012,extracellular matrix,81/1205,449/15733,0.180400890868597,2.3553918805275,8.39174179095353,2.36498180961994e-13,2.68675666074467e-11,2.25351785342392e-11,ANOS1/VCAN/MMP14/ACAN/MMP11/ADAMTS7/SERPINH1/CTHRC1/COL5A2/COL8A1/SPN/FIBCD1/ANXA4/OLFML2B/BCAN/LAMA4/ADAMTS14/SPARC/COL1A1/PODNL1/SERPINB9/VWF/HAPLN3/LOXL2/TGFBI/MMP16/COL4A1/COL1A2/LGALS9/FN1/COL6A2/COL15A1/ESM1/TIMP1/LGALS1/CTSS/ADAM19/COL5A1/COL6A3/TGFB1/LAMA3/SFRP2/COL3A1/ANXA1/MMP9/OLFML2A/ANGPT2/C1QB/ADAMTS12/LOX/FBLN7/SDC3/COL23A1/C1QA/COL4A2/COL8A2/VEGFA/PCSK6/C1QC/CDH13/MDK/COL5A3/EMILIN2/CSPG4/CBLN4/PLOD2/CLIC3/CPA3/TPSAB1/PXDN/HAPLN1/TPSB2/ANGPTL2/EDIL3/COL21A1/ANGPTL4/ADAMDEC1/SERPINE1/ADAMTS4/TGM2/COL11A1,81
GO:0030312,external encapsulating structure,81/1205,450/15733,0.18,2.35015767634855,8.36891230430707,2.67605245094091e-13,2.68675666074467e-11,2.25351785342392e-11,ANOS1/VCAN/MMP14/ACAN/MMP11/ADAMTS7/SERPINH1/CTHRC1/COL5A2/COL8A1/SPN/FIBCD1/ANXA4/OLFML2B/BCAN/LAMA4/ADAMTS14/SPARC/COL1A1/PODNL1/SERPINB9/VWF/HAPLN3/LOXL2/TGFBI/MMP16/COL4A1/COL1A2/LGALS9/FN1/COL6A2/COL15A1/ESM1/TIMP1/LGALS1/CTSS/ADAM19/COL5A1/COL6A3/TGFB1/LAMA3/SFRP2/COL3A1/ANXA1/MMP9/OLFML2A/ANGPT2/C1QB/ADAMTS12/LOX/FBLN7/SDC3/COL23A1/C1QA/COL4A2/COL8A2/VEGFA/PCSK6/C1QC/CDH13/MDK/COL5A3/EMILIN2/CSPG4/CBLN4/PLOD2/CLIC3/CPA3/TPSAB1/PXDN/HAPLN1/TPSB2/ANGPTL2/EDIL3/COL21A1/ANGPTL4/ADAMDEC1/SERPINE1/ADAMTS4/TGM2/COL11A1,81
GO:0030666,endocytic vesicle membrane,46/1205,195/15733,0.235897435897436,3.07997872114055,8.41707536661792,3.55277955919009e-12,2.97249223118904e-10,2.49317863802813e-10,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/SLC11A1/RAC2/TAP1/HLA-DRA/CORO1A/HLA-DQB2/HLA-DPA1/CYBB/HLA-DPB1/TLR6/TLR2/TAPBP/FCGR1A/HLA-B/RAB7B/HLA-G/MSR1/HLA-DRB1/CD74/HLA-C/HLA-A/SCARB1/CD3D/B2M/CD4/ARRB2/CSF3R/IL7R/SLC9A9/MPEG1/CD163/CLEC4E/EGFR/CD3G/LRP1/TGFA/CAV1/KIAA0319/CACNG8/RAB39A/CD36,46
GO:0030139,endocytic vesicle,65/1205,340/15733,0.191176470588235,2.4960824993898,8.0318565501713,4.18170228688191e-12,2.99887792573531e-10,2.51530964624475e-10,HLA-DQA1/PLD4/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/SLC11A1/RAC2/TAP1/HLA-DRA/CORO1A/HLA-DQB2/HLA-DPA1/CYBB/HLA-DPB1/NCF2/TLR6/NOD2/SPARC/FMNL1/TLR2/TAPBP/TLR7/FCGR1A/HLA-B/RAB7B/HLA-G/GNLY/MSR1/HCLS1/CTSS/HLA-DRB1/CD74/HLA-C/HLA-A/NCF1/SCARB1/WAS/CD3D/B2M/CD4/ARRB2/CSF3R/VIM/IL7R/ABCA1/SLC9A9/RIN1/MPEG1/CD163/CLEC4E/EGFR/CD3G/LRP1/TGFA/NCF4/CTLA4/EHD2/CAV1/KIAA0319/CACNG8/SAA1/RAB39A/CD36/FFAR4,65
GO:0005581,collagen trimer,26/1205,80/15733,0.325,4.24334024896266,8.37570338956245,1.01996085310161e-10,6.40025435321259e-09,5.36821501632426e-09,C1QTNF6/C1QL4/CTHRC1/COL5A2/COL8A1/COL1A1/MSR1/COL4A1/COL1A2/COL6A2/COL15A1/COL5A1/COL6A3/COL3A1/C1QB/LOX/COL23A1/C1QA/COL4A2/COL8A2/C1QC/COL5A3/EMILIN2/C1QL1/COL21A1/COL11A1,26
GO:0098553,lumenal side of endoplasmic reticulum membrane,16/1205,31/15733,0.516129032258065,6.73880337304243,9.21101059890043,1.27107643683964e-10,7.08978190326108e-09,5.94655642965911e-09,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/TAPBP/HLA-B/HLA-G/HLA-DRB1/CD74/HLA-C/HLA-A,16
GO:0030667,secretory granule membrane,55/1205,291/15733,0.189003436426117,2.4677104276283,7.27809427712843,2.9947934563414e-10,1.50338631508338e-08,1.26096566582796e-08,LPCAT1/RAP2B/FCGR2A/SLC11A1/PTPRC/ITGB2/TRPM2/ABCA12/NCKAP1L/ANXA4/LAIR1/LHFPL2/TYROBP/CYBB/C3AR1/ITGAX/ITGAM/PTAFR/SPARC/DEGS1/TLR2/SLC15A4/FCER1G/CAV2/HLA-B/CD44/ITGAL/LAMP3/CD33/RAB27B/TBC1D10C/HLA-C/CD300A/DOK3/CD53/ATP8B3/NFAM1/CLEC5A/SIGLEC14/CD68/LILRB2/CLEC12A/SIRPB1/SIGLEC9/TNFRSF1B/CD14/FPR1/FCGR3B/LILRB3/SLC17A9/FABP5/PLAUR/CAV1/CD36/CPE,55
