ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140375,immune receptor activity,62/1173,142/15482,0.436619718309859,5.76278472197207,16.3243656412408,2.43144092694086e-32,2.19315971610065e-29,1.84533569297301e-29,HLA-DQA1/CXCR4/IL20RB/HLA-DQA2/HLA-DQB1/CSF2RA/IL21R/FCGR2A/LILRB4/FCGR3A/HLA-DRA/IL9R/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/C3AR1/CXCR3/CCR5/FPR3/FCER1G/EBI3/IL2RB/IL1RAP/FCGR1A/CD44/LILRB1/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/CD74/KLRC4-KLRK1/IL2RG/IL10RA/CD4/HLA-DOA/CSF3R/IL2RA/IL7R/FCGR2B/LILRB2/CSF2RB/KLRD1/CXCR6/CCR4/CD200R1/OSMR/IL17REL/FPR1/FCGR3B/LILRB3/FCMR/CCR7/XCR1/LILRA2/ACKR3/KIR2DL4/CCR2/LILRA6/CCRL2/LILRA4,62
GO:0003823,antigen binding,30/1173,61/15482,0.491803278688525,6.49113244727684,12.3030967022391,3.99103061775543e-18,1.7999548086077e-15,1.51449109231667e-15,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/TAP1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/TAPBP/HLA-B/HLA-G/ITGA4/HLA-DRB1/HLA-C/HLA-A/B2M/C3/HLA-DOA/IL7R/KLRD1/CD40/LCK/LILRA2/LAG3/CD1D/IGLL5,30
GO:0042605,peptide antigen binding,20/1173,30/15482,0.666666666666667,8.79909065075306,12.2421054324157,4.80867143636281e-16,1.44580721186642e-13,1.21650951074301e-13,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/TAP1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/TAPBP/HLA-B/HLA-G/HLA-DRB1/HLA-C/HLA-A/B2M/HLA-DOA,20
GO:0023023,MHC protein complex binding,21/1173,35/15482,0.6,7.91918158567775,11.7330398777121,2.05956239970227e-15,4.64431321132863e-13,3.90774865838247e-13,PKM/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/TAPBP/LILRB1/CD8A/HLA-DRB1/CD74/B2M/CD4/HLA-DOA/LILRB2/KLRD1,21
GO:0023026,MHC class II protein complex binding,16/1173,25/15482,0.64,8.44712702472293,10.6694008529804,1.13609074083184e-12,2.04950769646064e-10,1.7244661560837e-10,PKM/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DOB/HLA-DPB1/HLA-DMB/HLA-DRB1/CD74/B2M/CD4/HLA-DOA,16
GO:0004930,G protein-coupled receptor activity,65/1173,340/15482,0.191176470588235,2.52326864249536,8.1314539915644,2.55275282003683e-12,3.30305884027429e-10,2.77921043743467e-10,CHRM4/CXCR4/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/GPR34/CCR5/FPR3/KISS1R/ADGRE2/NPFFR1/GPR141/CX3CR1/ADORA3/P2RY13/GRIK3/CELSR3/GRM8/GPR176/HRH1/GPR174/HTR1F/P2RY1/GPR65/P2RY10/ADGRE1/HRH2/P2RY8/OR51E1/S1PR4/CXCR6/CCR4/ADGRF4/FPR1/OPRL1/QRFPR/GPR4/CCR7/XCR1/SORCS3/HTR1D/ACKR3/CCR2/GPR82/GPR37/P2RY12/CCRL2/CYSLTR2/GRID1/OR6A2/LPAR3/ADGRG2/GPR55/GRM4/GRPR/GPR85/MCHR1/OR52H1/AVPR1B/OR52D1/FFAR4,65
GO:0004896,cytokine receptor activity,30/1173,92/15482,0.326086956521739,4.30390303569443,9.10009165026366,2.56334943258537e-12,3.30305884027429e-10,2.77921043743467e-10,CXCR4/IL20RB/CSF2RA/IL21R/IL9R/IL12RB1/CXCR3/CCR5/EBI3/IL2RB/IL1RAP/CD44/CX3CR1/CD74/IL2RG/IL10RA/CD4/CSF3R/IL2RA/IL7R/CSF2RB/CXCR6/CCR4/OSMR/IL17REL/CCR7/XCR1/ACKR3/CCR2/CCRL2,30
GO:0019865,immunoglobulin binding,15/1173,27/15482,0.555555555555556,7.33257554229421,9.42913005982705,1.04082875626202e-10,1.17353442268542e-08,9.87417806927519e-09,FCGR2A/FCGR3A/VWF/FCER1G/FCGR1A/FCGR2C/CD4/C1QB/C1QA/FCGR2B/C1QC/FCGR3B/FCMR/LILRA2/MS4A2,15
GO:0030545,signaling receptor regulator activity,72/1173,435/15482,0.16551724137931,2.18460181673869,7.17523173581404,1.94913660378588e-10,1.64854494594935e-08,1.38709406702005e-08,STC2/INHBA/CCL3L3/OSM/ULBP2/SCGB3A1/UTS2/LILRB4/TNFSF8/PGF/INHBB/CD86/EBI3/CCL4/CCL5/LGALS9/FN1/TIMP1/IL16/LGALS1/TNFSF13B/TYMP/HLA-C/CXCL10/TGFB1/PTHLH/SFRP2/CLEC2B/C3/ANGPT2/CD48/JAG2/CXCL9/CCL3/CD70/CXCL16/LY6E/NMB/TNFSF14/CCL22/SEMA5B/CD80/VEGFA/GPNMB/P2RY1/UCN/DLL4/CXCL11/CLEC12A/PDGFD/PMCH/TNFSF9/MDK/NRG3/CCL18/CCL20/ADM/APLN/PXDN/TGFA/FGF11/GDF6/ITPRIPL1/WNT10B/FASLG/AMH/SEMA6B/SCG2/GPR15LG/XCL2/CLEC12B/CD40LG,72
GO:0042287,MHC protein binding,16/1173,32/15482,0.5,6.59931798806479,9.07799102027411,2.00779178021382e-10,1.64854494594935e-08,1.38709406702005e-08,TAP1/CLEC7A/TAPBP/MARCHF1/LILRB1/CD8A/KLRK1/CD74/KLRC4-KLRK1/CD4/LILRB2/CD8B/KLRD1/FCRL6/CD244/LAG3,16
