category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,27/692,34/7402,0.794117647058824,8.4943046582795,14.0647812908856,2.89811327528691e-22,8.98415115338943e-20,7.19952350492328e-20,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/1493/356/959,27
Human Diseases,Immune disease,hsa05330,Allograft rejection,26/692,34/7402,0.764705882352941,8.17970078204692,13.4743549719358,9.89103802723477e-21,1.53311089422139e-18,1.22857103917232e-18,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/356/959,26
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,25/692,32/7402,0.78125,8.35666546242775,13.3924255829975,2.22132884038647e-20,2.29537313506602e-18,1.83941616256564e-18,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/3824/355/356,25
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,26/692,38/7402,0.68421052631579,7.31867964709462,12.5400201723661,1.02510687401772e-18,7.94457827363736e-17,6.36645321758376e-17,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/355/5798/356/1363,26
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,32/692,62/7402,0.516129032258065,5.52079060227485,11.4788715348235,1.76619358805807e-17,1.095040024596e-15,8.77519340593062e-16,3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/3112/3115/719/3684/5724/6404/3109/2359/2209/3683/9103/3123/718/3111/713/712/2213/714/2357/2215/716/717,32
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,38/692,88/7402,0.431818181818182,4.61895691014188,10.9669094949533,3.79125916288334e-17,1.95881723415639e-15,1.569714320071e-15,3117/3127/3118/3119/1438/3122/3581/3120/3113/3112/3115/3684/921/3109/914/2209/960/3676/925/951/945/952/3123/1436/915/916/920/3111/1441/3559/3575/926/3678/917/929/924/912/948,38
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,65/692,229/7402,0.283842794759825,3.03613347805235,10.0510297771387,4.4462741237021e-17,1.96906425478236e-15,1.57792585442661e-15,3624/60401/414062/5008/7852/53833/9560/1438/50615/939/944/3581/3594/84957/3625/2833/1234/10148/3560/3556/3604/6351/6352/7293/8771/3603/10673/1524/1436/3627/7040/3561/3587/920/4283/6348/1441/970/3559/58191/8740/6367/3575/1439/6373/8744/958/10663/6362/1233/9180/355/6364/7133/284340/1236/2829/392255/57007/729230/8784/356/268/6846/959,65
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,47/692,152/7402,0.309210526315789,3.3074802251293,9.23055400992133,3.5710740579275e-14,1.38379119744691e-12,1.10891247061959e-12,1462/3117/3127/3118/6693/3119/3134/5788/3689/3122/3120/3113/3112/3115/80381/3684/6404/942/3109/923/914/3106/3683/3135/3676/925/3123/3107/3105/920/3111/9672/5133/120425/940/941/80380/22871/926/6614/958/84628/1493/29851/1002/57863/959,47
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,29/692,65/7402,0.446153846153846,4.77229879946643,9.80935593775594,7.84285286383392e-14,2.70142709754279e-12,2.16481084896468e-12,3117/3127/3118/3119/3134/5880/3689/3122/595/3120/3113/3112/3115/942/3109/3106/3683/3135/3123/5551/3107/3105/3111/940/941/8082/958/857/959,29
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,23/692,42/7402,0.547619047619048,5.85762455271126,10.1378689359252,1.20814352868662e-13,3.5997596540985e-12,2.88469704029625e-12,57379/3117/7852/3127/3118/3119/3122/3120/3113/3112/3115/942/3109/3676/10673/3123/7040/3111/940/941/958/29851/959,23
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,29/692,66/7402,0.439393939393939,4.69999124189876,9.6957183618167,1.27733407080914e-13,3.5997596540985e-12,2.88469704029625e-12,3117/3127/3118/3119/3134/6890/3122/3120/3113/3112/3115/3109/6892/3106/3135/925/1520/3123/972/3107/3105/567/920/3111/10437/926/3310/3824/3805,29
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,45/692,146/7402,0.308219178082192,3.29687623723177,9.00124069161502,1.45318385914369e-13,3.75405830278785e-12,3.00834553296412e-12,3117/3127/3118/3119/2212/2214/10376/3134/6890/3689/3122/11151/3120/3113/1536/64581/3112/3115/4688/3684/10333/3109/7097/2209/3106/338382/3135/4481/1520/9103/3123/3107/3105/653361/949/718/3111/2213/3678/10381/929/2215/4689/113457/948,45
Human Diseases,Immune disease,hsa05310,Asthma,16/692,24/7402,0.666666666666667,7.13102119460501,9.66064452730927,1.04019596824585e-11,2.48046730889395e-10,1.98774290288275e-10,3117/3127/3118/3119/3122/3120/3113/3112/3115/3109/2207/3123/3111/958/2206/959,16
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,32/692,98/7402,0.326530612244898,3.49274507490858,7.97714546712328,9.7475691057959e-11,2.15839030199766e-09,1.7296438413292e-09,861/3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/3109/10148/3560/3556/3123/7040/3561/919/915/7535/916/920/3111/3559/3718/30009/3932/917/3662,32
