ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,63/849,116/9863,0.543103448275862,6.30933958815645,17.6527179756941,4.63123918071278e-37,5.58990569112032e-34,4.95298842905703e-34,LILRB4/FCGR3A/TREM2/HLA-F/ITGB2/CLEC2D/LAIR1/TYROBP/OSCAR/COL1A1/MICB/SLAMF7/FCGR1A/HLA-B/SIGLEC10/ITGAL/HLA-G/LILRB1/ITGA4/CD96/COL1A2/CD8A/CD33/SLAMF6/KLRK1/HLA-C/HLA-A/CD300A/COL3A1/CD247/CLEC2B/CD3D/CD300C/B2M/CD3E/C3/SIGLEC8/CD300LF/JAML/HCST/FCGR2B/LILRB2/CD8B/SIGLEC9/KLRD1/SIGLEC1/SH2D1A/CD40/LAIR2/TREML1/CD200R1/CD3G/TREM1/LILRA2/KIR2DL4/SIGLEC6/LILRA6/CD300LB/CD1D/SIGLEC7/CRTAM/LILRA4/CD40LG,63
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,17/849,17/9863,1,11.6171967020024,13.4456553791854,6.74908484147824e-19,4.07307270183212e-16,3.60898431523258e-16,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/HLA-DRB1/CD247/CD3D/ZAP70/CD3E/CD4/PTPN22/LCK/CD3G,17
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,18/849,20/9863,0.9,10.4554770318021,12.9900931893103,9.17224038751871e-18,3.69029804924503e-15,3.26982323990141e-15,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/PTPRC/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/HLA-DRB1/CD247/CD3D/CD3E/CD4/PTPN22/PAG1/LCK/CD3G,18
R-HSA-202433,Generation of second messenger molecules,22/849,32/9863,0.6875,7.98682273262662,12.1488014139058,8.02807597519931e-17,2.42247192551639e-14,2.1464539975796e-14,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD101/FYB1/HLA-DRB1/GRAP2/CD247/LCP2/WAS/CD3D/ZAP70/CD3E/CD4/ITK/LCK/CD3G,22
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),62/849,241/9863,0.257261410788382,2.98865641296326,9.59208828665677,1.14139815353783e-15,2.75533514264032e-13,2.44139057683038e-13,CCL3L3/CHRM4/CXCR4/UTS2/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/CCR5/FPR3/CCL4/KISS1R/NPFFR1/CCL5/CX3CR1/ADORA3/P2RY13/CXCL10/ANXA1/C3/CXCL9/CCL3/HRH1/CXCL16/NMB/CCL22/HTR1F/P2RY1/GPR65/CXCL11/PMCH/P2RY10/HRH2/S1PR4/CXCR6/CCR4/CCL20/FPR1/OPRL1/APLN/QRFPR/GPR4/CCR7/XCR1/HTR1D/ACKR3/CCR2/SAA1/GPR37/P2RY12/CCRL2/CYSLTR2/LPAR3/GPR55/GRPR/XCL2/MCHR1/AVPR1B/FFAR4,62
R-HSA-375276,Peptide ligand-binding receptors,40/849,140/9863,0.285714285714286,3.31919905771496,8.48163283571801,4.24124711768967e-12,8.53197545175238e-10,7.55983696767141e-10,CCL3L3/CXCR4/UTS2/C3AR1/CXCR3/CCR5/FPR3/CCL4/KISS1R/NPFFR1/CCL5/CX3CR1/CXCL10/ANXA1/C3/CXCL9/CCL3/CXCL16/NMB/CCL22/CXCL11/PMCH/CXCR6/CCR4/CCL20/FPR1/OPRL1/APLN/QRFPR/CCR7/XCR1/ACKR3/CCR2/SAA1/GPR37/CCRL2/GRPR/XCL2/MCHR1/AVPR1B,40
R-HSA-500792,GPCR ligand binding,70/849,345/9863,0.202898550724638,2.35711237431932,7.87462851474806,5.1906921475252e-12,8.95023631723273e-10,7.93044093516632e-10,CCL3L3/CHRM4/CXCR4/UTS2/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/CCR5/FPR3/CCL4/KISS1R/ADGRE2/NPFFR1/CCL5/CX3CR1/ADORA3/P2RY13/CXCL10/PTHLH/ANXA1/C3/GRM8/CXCL9/CCL3/HRH1/CXCL16/NMB/CCL22/HTR1F/P2RY1/GPR65/UCN/CXCL11/PMCH/P2RY10/ADGRE1/HRH2/S1PR4/CXCR6/CCR4/CCL20/FPR1/OPRL1/ADM/APLN/QRFPR/GPR4/CCR7/XCR1/HTR1D/ACKR3/WNT10B/CCR2/SAA1/GPR37/P2RY12/CCRL2/CYSLTR2/LPAR3/GPR55/GRM4/GRPR/XCL2/MCHR1/AVPR1B/FFAR4,70
R-HSA-380108,Chemokine receptors bind chemokines,22/849,50/9863,0.44,5.11156654888104,8.94476621568466,2.44953886867818e-11,3.6957417681182e-09,3.27464669812767e-09,CCL3L3/CXCR4/CXCR3/CCR5/CCL4/CCL5/CX3CR1/CXCL10/CXCL9/CCL3/CXCL16/CCL22/CXCL11/CXCR6/CCR4/CCL20/CCR7/XCR1/ACKR3/CCR2/CCRL2/XCL2,22
R-HSA-1474290,Collagen formation,28/849,88/9863,0.318181818181818,3.69638076881893,7.79725506906861,4.72018100436963e-10,6.33028719141572e-08,5.60901040987082e-08,SERPINH1/COL5A2/COL8A1/P4HA1/ADAMTS14/COL1A1/LOXL2/COL4A1/COL1A2/COL6A2/COL15A1/CTSS/COLGALT1/COL5A1/COL6A3/LAMA3/COL3A1/MMP9/LOX/COL23A1/COL4A2/COL8A2/COL5A3/PLOD2/PXDN/P4HA3/COL21A1/COL11A1,28
R-HSA-418594,G alpha (i) signalling events,53/849,260/9863,0.203846153846154,2.3681208661774,6.86096562763429,1.85535976894666e-09,2.14251971405409e-07,1.89839971175071e-07,RGS1/ADCY7/CHRM4/CXCR4/GNA15/RGS10/CCL4L2/PLCB4/S1PR5/LPAR5/C3AR1/GPR183/CXCR3/CCR5/FPR3/CCL4/CCL5/CX3CR1/RGS19/PLCB2/ADORA3/P2RY13/CXCL10/ANXA1/C3/GRM8/CXCL9/RGS5/CXCL16/HTR1F/CXCL11/PMCH/RGS18/ADCY2/S1PR4/CXCR6/CCR4/GPSM3/CCL20/FPR1/OPRL1/APLN/CCR7/HTR1D/ACKR3/CCR2/SAA1/GPR37/P2RY12/LPAR3/GPR55/GRM4/MCHR1,53
R-HSA-877300,Interferon gamma signaling,28/849,93/9863,0.301075268817204,3.4976506199577,7.42682939119522,1.95258631769635e-09,2.14251971405409e-07,1.89839971175071e-07,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-F/TRIM22/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/GBP5/PTAFR/GBP2/FCGR1A/HLA-B/CD44/HLA-G/HLA-DRB1/HLA-C/HLA-A/B2M/IFI30/OAS2/OAS3/TRIM46/GBP1/OASL/IRF4,28
