"Cell_Type","Spearman_r","P_Value"
"Activated_B_cell",-0.0868865109048498,0.0129429968129059
"B_cell",-0.043714911625719,0.211630788113
"Activated_dendritic_cell",0.0758457480527909,0.0300997502497975
"Type_17_T_helper_cell",0.126051457049533,0.000304547214462364
"CD56bright_natural_killer_cell",0.128324132277411,0.000236063599954542
"Natural_killer_cell",0.128324132277411,0.000236063599954542
"Macrophage",0.195554899732327,1.83189362269039e-08
"Type_2_T_helper_cell",0.205033262767295,3.54042136257524e-09
"MDSC",0.208797961417271,1.80307427436526e-09
"Regulatory_T_cell",0.215859388576677,4.91643134097965e-10
"Neutrophil",0.232649354796994,1.86959183516909e-11
"Type_1_T_helper_cell",0.239850877023071,4.25139800989773e-12
"Plasmacytoid_dendritic_cell",0.259731397416829,5.53477008840906e-14
"Activated_CD4_T_cell",0.292430506790396,1.79684089354574e-17
"Central_memory_CD4_T_cell",0.296366520440522,6.22115490081917e-18
"Natural_killer_T_cell",0.315427035249991,2.01337912528208e-20
"Effector_memory_CD4_T_cell",0.315909891861627,1.69640401366585e-20
"Monocyte",0.332726452028089,0
"T_follicular_helper_cell",0.348449591027093,0
"Activated_CD8_T_cell",0.367094731637321,0
"Central_memory_CD8_T_cell",0.374537331383447,0
"Effector_memory_CD8_T_cell",0.389632739248035,0
