Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
PLPBP,13,REML,-0.694694826712213,0.0340168460852028,1.06429897959228e-92,0.00259587663984007,4.16613849903769e-07,10.2398598219513,0.59492683449444,0,1,5.37516118616708e-83,1.77684714642932e-88,4.22099322686074e-82
RPGRIP1L,13,REML,0.956154733476937,0.0488402845443785,2.4208534015494e-85,0.00152633191811846,5.01403838673575e-07,18.0613494333813,0.113840399164168,4,0,6.34521917379975e-78,2.02080737694336e-81,4.58387858531315e-77
NMNAT1,13,REML,-0.70803569932096,0.0379213906394527,8.50140979347004e-78,0,0,12.2389697494772,0.426683625081553,0,1,1.60343706292687e-68,4.73103455006608e-74,9.79128813663643e-68
HEATR1,13,REML,0.510368962560074,0.0280397272436415,5.00875086192083e-74,0.0313171655982393,3.60892440682904e-06,20.0733355137956,0.0657113564371914,0,0,3.29900654193863e-67,2.0905273909942e-70,1.97196255702347e-66
TLE4,13,REML,-0.7362270998544,0.0418401344074559,2.634467601869e-69,8.76902452599713e-06,2.20811136130678e-09,17.745519582437,0.123638729533651,0,2,1.85997019647935e-61,8.7964873226406e-66,1.00974859630199e-60
CGRRF1,12,REML,-0.680236217722785,0.0394558874503313,1.32065319639255e-66,0,0,9.8636179207473,0.542695042090881,0,0,5.07398109272275e-58,3.67471751896228e-63,2.59369609133516e-57
SOAT1,13,REML,0.690221322464074,0.0426707526565995,7.50696292100673e-59,0.0277581351714885,7.19266741639878e-06,21.034603018841,0.0498760340478853,3,0,2.97802492633266e-53,1.7904106566601e-55,1.41004328261837e-52
RBL1,13,REML,0.870503853302952,0.0542345748849524,5.65067964335769e-58,26.5121110009375,0.00881139420843935,17.2682768396652,0.139781261589597,3,0,1.12471987444007e-91,1.17922620807321e-54,9.86197389904248e-91
ZWINT,12,REML,1.01122033626907,0.0633825640824922,2.66214729103006e-57,0.0113950827883623,5.98517518413646e-06,10.7156945653501,0.467379734586087,8,0,3.67555876806972e-50,4.93828322486076e-54,1.63330991836369e-49
PCDHB9,12,REML,1.52690494402663,0.0963257044104798,1.37309370993455e-56,0.00318443418791043,3.78457213047027e-06,18.6953955757014,0.0667852432506608,9,0,1.03293466831463e-50,2.29237994873573e-53,4.65071313039717e-50
INCENP,13,REML,0.617213332332889,0.0389631444003851,1.62342154445574e-56,0.0358974374022663,7.81176784284497e-06,21.3079090730446,0.0460493701749721,2,0,2.53235857865496e-50,2.46391115315351e-53,1.12921277966465e-49
PLK4,10,REML,1.38697851064952,0.0891631236142885,1.45971096347704e-54,22.133940127659,0.0167603683434665,13.4625407933944,0.142769100306502,9,0,3.44893835012166e-73,2.03082287793743e-51,2.28582873184919e-72
ADAM33,11,REML,-2.30839680863797,0.148547434728437,1.86576848647284e-54,15.7983934682498,0.0376966831729108,11.4846259831615,0.321027090441958,0,11,4.46309888141982e-61,2.39607729858954e-51,2.4074777326431e-60
DNMBP,13,REML,-0.854652916748466,0.0553137274531226,7.42713003142713e-54,22.3244510462809,0.00799173874423264,22.088709656417,0.0365375348426456,0,3,5.18484025875196e-76,8.85685256247685e-51,3.63243424758137e-75
TOPBP1,13,REML,0.746326342895435,0.0486464160641101,4.01543744676399e-53,35.8044834095549,0.0093605400943784,18.3316892688898,0.105984180222947,1,0,2.28063896264693e-100,4.46918187824832e-50,2.28680285173516e-99
LEMD2,13,REML,0.38682309661162,0.0257827367116499,6.9982048715253e-51,0,0,9.67491086948593,0.64445640795069,0,0,6.57122952948987e-42,7.30218939563218e-48,2.49730655576675e-41
