Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
CD4,282,0.0214598548075896,0.348245275742383,0.00814561610230843,1.4066188304113
CD8A,254,0.0143308238346585,0.341076487252125,0.00752893032849196,2.66853541620301
CDK1,230,0.0116523249584959,0.302918483730292,1,1.45048397714302
EGFR,202,0.0470074154291679,0.360695026962253,0.0632570800052346,1.18138928815754
PTPRC,200,0.0100151201490968,0.339665224750799,0.00631778974298443,1.78156878361725
CCNA2,190,0.00178496192718829,0.281352235550709,0.949283306205508,1.29392127364801
CD44,190,0.0313064839911481,0.354465161923454,0.0221358768974784,1.30015300147531
CCNB1,188,0.00737631835175059,0.301905717151454,0.93231585753656,1.11119057222406
BUB1,188,0.00080696164508741,0.263842220598977,0.957920425735347,2.78836446286773
FN1,180,0.0278793619292247,0.348446845456299,0.0238719436284334,2.04699985076041
CDC20,178,0.00151010435004387,0.263880771478667,0.912342608406794,1.62668131040962
BUB1B,178,0.000334623633529095,0.263150225848754,0.945483986878357,2.10048434716989
PLK1,176,0.00339527376366872,0.28122080348801,0.843204154073226,1.23114801313456
KIF11,170,0.00180158273222553,0.262271275050828,0.903167116757733,1.48642699793892
AURKB,170,0.0016508166635925,0.27720644666155,0.902787343008474,2.50390592361571
NUF2,168,0.000374794238019069,0.259968331653951,0.905602787367369,2.2471711450017
TOP2A,164,0.00044817978870768,0.261436016213086,0.880370690541584,2.88220274070548
DLGAP5,164,0.000258320696471339,0.260343087790111,0.910021264105955,2.86054415634633
CDCA8,162,0.0018281901044046,0.262690909090909,0.873748121915418,1.75415420055094
CCNB2,162,0.000244087721193628,0.260907252239237,0.884842530974595,1.76217356623151
BIRC5,160,0.00210436701029813,0.281089494163424,0.873203172232019,2.39120297638949
KIF20A,158,0.000611694691814482,0.263265306122449,0.872210391399498,2.05020258820686
KIF2C,156,0.000442107305310222,0.262882096069869,0.872985070565781,1.87897089452322
MELK,154,0.000377474685163887,0.264887063655031,0.870338964832413,2.63874646723048
CDC45,152,0.000584331895700764,0.26011810456575,0.755389749205567,2.30802704429907
CENPF,150,0.000108315868487216,0.257191683281117,0.857651742236384,2.78643393388162
TTK,148,0.000294224898389465,0.261549601737871,0.860773195550681,2.08941255918469
ASPM,148,0.000852864040202693,0.258850508814677,0.845424918426843,2.95635266534283
PBK,148,9.03369096658622e-05,0.257742257742258,0.868289989345516,2.15614154141263
MAD2L1,146,0.000158298141352403,0.25922204679202,0.813013361838774,1.3970409035879
HJURP,146,0.000402034178350119,0.259818731117825,0.812861476268432,2.76182908131444
TPX2,146,0.00027958862427926,0.260982658959538,0.847732868696395,2.72653183228413
FCGR3A,146,0.00741187026172226,0.332841872465905,0.00415706761558333,3.05551616895264
ALB,144,0.0380093740439022,0.352459016393443,0.00728817552354318,-4.85935104763255
NCAPG,142,0.000123242823661422,0.257668711656442,0.83390102133839,1.54288707442662
KIF4A,142,0.000138571069240276,0.258406066676205,0.839555539040838,2.60249732423968
CENPE,142,0.000132498733410379,0.255626326963907,0.808881979830277,2.18396719393333
ITGAM,142,0.00513755248632997,0.331619537275064,0.00399860037097311,1.64152310498151
CEP55,140,0.000132874152741535,0.257521745330101,0.827903704663339,2.72917837477962
NUSAP1,138,9.50613193314913e-05,0.257191683281117,0.833922241080618,2.05199030800062
EXO1,136,0.000512099179682321,0.251042535446205,0.63941753580366,2.09781986251128
CCR7,136,0.00135431269204377,0.306465297810962,0.00313043663903563,1.08039032227077
RRM2,134,0.00327726302432195,0.264887063655031,0.721087042170464,2.1227917876784
TYROBP,134,0.00978968387125493,0.29500163345312,0.00108484739021071,2.14334019472027
ZWINT,130,0.000572144045381325,0.257081850533808,0.759939779482626,1.01122033626907
UBE2C,130,0.000101499612677025,0.25993091537133,0.780478006595089,2.86202951401809
ITGB2,130,0.0100758369937165,0.329381725332847,0.00451878634507003,2.05320810592111
CD86,130,0.00289182210949406,0.316842105263158,0.00289956525203331,1.86615302208119
CCR5,130,0.0028310833690727,0.304707271806985,0.00253299025774624,2.45064483291766
HMMR,130,0.00402190594342138,0.286848792884371,0.786704083795511,1.31830114848416
NDC80,128,0.00229071624872762,0.261701202724243,0.750841424241342,1.85300857069558
KIF15,128,7.36367619921369e-05,0.256899004267425,0.769163539158074,1.89861152332392
AURKA,128,0.00352709686732883,0.292043984476067,0.76044093859353,1.08754386619958
CCL5,124,0.00345819431497224,0.312998266897747,0.00277340618424848,2.30444210798262
CDCA5,122,0.000194010011806637,0.254294564911293,0.711227880662982,2.03582852566675
CXCR4,122,0.00668939736067291,0.323250402720601,0.00550398634055373,2.28466006994565
CD2,122,0.00251401843148732,0.304347826086957,0.00245334717308255,2.13359391929561
PRC1,120,0.000118108390567405,0.258443045220378,0.754679437851173,1.50083185499457
MKI67,120,0.000349956302800874,0.26779359430605,0.715285828913753,2.7754515222904
CD247,120,0.00099470314160814,0.28748806112703,0.0017225273087283,1.85052927640792
CD28,120,0.00195831229536456,0.300199468085106,0.00278950488492168,1.12609943460603
FOXM1,118,0.000972027577727733,0.277291570704744,0.678613415215693,1.38299601322589
RACGAP1,118,0.00273670815473131,0.265901060070671,0.721281349534893,1.05960361714814
EGF,118,0.00941028829711687,0.327589334300744,0.00946579426841838,-3.50832216501954
KIF14,114,0.000159309540734134,0.255301102629347,0.670746150229932,2.11393304093056
NEK2,112,6.35010553461734e-05,0.257155061939342,0.727923616911127,2.42128112351517
CSF1R,112,0.00750305780523213,0.310096153846154,0.00216961659572535,1.62114627632022
CD80,112,0.00114654610844832,0.3052738336714,0.00265935875053063,2.1271819854328
LCK,112,0.00440091316611945,0.311594202898551,0.00329396653471924,1.56015662157448
MYC,112,0.0209918772786467,0.343019943019943,0.152580949208858,1.25519582375211
FCGR3B,112,0.00317745958283454,0.32192513368984,0.00274854338656478,1.55066295147324
TLR2,110,0.00816604848207407,0.331254585473221,0.00376720394297391,1.42486755965762
CTLA4,110,0.0014151762066455,0.294568585875061,0.00222009713134012,1.69938914629931
MCM10,108,0.000516537118568028,0.263880771478667,0.516030295138287,2.29372946366957
