Symbol,Module,Degree,Log2FC
CDK1,1,230,1.45048397714302
CCNA2,1,190,1.29392127364801
CCNB1,1,188,1.11119057222406
BUB1,1,188,2.78836446286773
CDC20,1,178,1.62668131040962
BUB1B,1,178,2.10048434716989
PLK1,1,176,1.23114801313456
KIF11,1,170,1.48642699793892
AURKB,1,170,2.50390592361571
NUF2,1,168,2.2471711450017
TOP2A,1,164,2.88220274070548
DLGAP5,1,164,2.86054415634633
CDCA8,1,162,1.75415420055094
CCNB2,1,162,1.76217356623151
BIRC5,1,160,2.39120297638949
KIF20A,1,158,2.05020258820686
KIF2C,1,156,1.87897089452322
MELK,1,154,2.63874646723048
CDC45,1,152,2.30802704429907
CENPF,1,150,2.78643393388162
TTK,1,148,2.08941255918469
ASPM,1,148,2.95635266534283
PBK,1,148,2.15614154141263
MAD2L1,1,146,1.3970409035879
HJURP,1,146,2.76182908131444
TPX2,1,146,2.72653183228413
NCAPG,1,142,1.54288707442662
KIF4A,1,142,2.60249732423968
CENPE,1,142,2.18396719393333
CEP55,1,140,2.72917837477962
NUSAP1,1,138,2.05199030800062
EXO1,1,136,2.09781986251128
RRM2,1,134,2.1227917876784
ZWINT,1,130,1.01122033626907
UBE2C,1,130,2.86202951401809
HMMR,1,130,1.31830114848416
NDC80,1,128,1.85300857069558
KIF15,1,128,1.89861152332392
AURKA,1,128,1.08754386619958
CDCA5,1,122,2.03582852566675
PRC1,1,120,1.50083185499457
MKI67,1,120,2.7754515222904
FOXM1,1,118,1.38299601322589
RACGAP1,1,118,1.05960361714814
KIF14,1,114,2.11393304093056
NEK2,1,112,2.42128112351517
MCM10,1,108,2.29372946366957
BRCA1,1,104,1.12983754564602
SPAG5,1,102,-1.5116978692322
PTTG1,1,100,2.24906549177412
RAD51,1,100,1.46227171049245
CDC6,1,98,2.25029263698873
NCAPH,1,98,2.25513631164717
KIF18A,1,98,1.85981026062523
CDKN3,1,98,1.56218388419226
KIFC1,1,94,2.00028202003375
PCLAF,1,94,2.14643130978072
DEPDC1,1,92,2.64157263291211
OIP5,1,90,1.0759882809049
PLK4,1,88,1.38697851064952
ANLN,1,86,2.65527102009578
TRIP13,1,86,1.20764458065947
ECT2,1,84,1.04865726705659
CDC25C,1,84,1.3016530372641
RAD51AP1,1,80,1.70232703720229
CENPM,1,80,1.82868587260198
CDCA2,1,80,3.75514873497809
SKA1,1,80,2.20116437814719
SPC25,1,78,1.37181160337088
SMC4,1,76,1.0343454645175
CDT1,1,70,1.91266325100274
SKA3,1,68,1.6172453136936
DTL,1,68,2.81451518766849
CKAP2L,1,66,2.67299388874626
CENPU,1,62,1.3631040400588
E2F1,1,62,2.33885833277235
CDKN2A,1,62,3.81077095185663
MND1,1,62,1.60215755298711
TACC3,1,60,1.42726116891162
MCM5,1,60,1.09574072619249
ASF1B,1,60,2.33924433113827
CENPI,1,58,1.86765669295835
CENPH,1,58,1.5483924988912
MCM2,1,56,1.27000204422796
TROAP,1,56,2.49753952627635
BRCA2,1,56,1.94202467238487
KIF18B,1,54,2.78706180645168
KNTC1,1,52,1.25241757929714
UBE2T,1,52,1.24710361812912
E2F8,1,52,2.65067564760103
CHEK2,1,48,1.06198392124263
MYBL2,1,48,3.05534637707411
ERCC6L,1,44,1.70752382349761
FANCI,1,42,1.1402096038308
GTSE1,1,42,1.59516127659776
UHRF1,1,42,2.93499961003201
SPC24,1,42,2.13132825826995
CENPK,1,38,1.89618564287076
CDC7,1,36,1.0789832802633
H4C12,1,36,1.10624771789137
H4C9,1,36,1.33079190316337
H4C13,1,36,2.8152599589444
CLSPN,1,34,2.34512840539546
RAD54L,1,32,1.3902879840976
ARHGAP11A,1,30,1.88414639818148
GINS2,1,30,1.92571764703876
ESCO2,1,30,1.93666697846914
SGO2,1,28,1.11937715208895
BLM,1,28,1.82561544552508
ATAD2,1,24,1.30340042686975
CGAS,1,24,1.29003367933332
PKMYT1,1,22,2.41534126541593
BRIP1,1,22,1.72561770177326
TICRR,1,22,1.7607575941488
STIL,1,20,1.22732046270515
ORC6,1,20,1.27802600273107
H2BC12,1,20,1.2405516451692
H3C10,1,20,1.31077058606515
LMNB1,1,18,1.69475593339888
PIF1,1,18,1.42494442055593
XRCC2,1,16,1.57512917860235
PIMREG,1,16,1.52228803555739
NEIL3,1,16,2.13470738288041
HASPIN,1,16,1.75880867482335
DSCC1,1,14,1.09503502434417
RNASEH2A,1,14,1.08079437194759
DDB2,1,14,1.29305722010883
POLQ,1,12,1.92618389429038
RAD54B,1,12,1.04458991276715
LIN52,1,10,-1.14253583385387
H2BC15,1,10,1.04214411852159
WDR62,1,8,1.32539734842781
E2F7,1,8,2.11481319259491
SOX11,1,8,2.96431515653838
CEP170,1,6,1.08427045982378
HFM1,1,6,-1.67630584145285
TOX3,1,6,-1.93716704731456
SPAG4,1,4,2.55421479422867
RPS6KA6,1,4,-1.87719647303803
WDR76,1,2,1.1832768185534
DDIAS,1,2,1.37937953523136
KIF21B,1,2,1.46338696367927
RCN1,1,2,1.09901228238477
MYBL1,1,2,1.71600561715915
USP44,1,2,-2.22622877430351
MTFR2,1,2,1.12760557213437
CDCA7,1,2,2.07302397721596
ARHGAP11B,1,2,1.69197304259388
SYNE4,1,2,-1.84273190895078
BIRC7,1,2,3.65013017771514
RGCC,1,2,1.02231375633251
PRAME,1,2,1.73504928640959
SHOC1,1,2,-1.82235814265178
PCDHB9,2,0,1.52690494402663
ADAM33,3,0,-2.30839680863797
KNG1,4,56,-6.30506198997753
REN,4,54,-1.73848976072593
CAMK2A,4,50,-2.99547624785588
CASP1,4,44,1.19117964725023
CAMK2B,4,40,-1.46098131130093
GNA15,4,34,1.51902641837768
SLC12A1,4,34,-6.07892044006277
KCNJ1,4,34,-5.48708108361488
ACE2,4,34,-1.56147670985007
SLC12A3,4,32,-6.52297909285648
SCN1B,4,32,1.34926562004453
GRIN2A,4,32,1.03152422407174
ANK2,4,30,-2.42359265283355
ANK3,4,30,-1.16698777365124
PIK3CG,4,30,1.53815431862763
KCNQ1,4,30,-1.23274753820437
NLRP3,4,30,1.14457229465561
SCN4B,4,28,1.06168426118607
PLCB2,4,26,1.4365837365058
OXT,4,26,-2.7473934280555
NOS1,4,24,-4.2733971539771
AQP2,4,24,-7.89839712159077
SCNN1G,4,24,-5.59873590108169
SCNN1A,4,24,-2.5893355378296
SCN2A,4,24,-2.9300705531306
SCNN1B,4,22,-5.08875622781217
AGTR1,4,22,-1.18145748864352
P2RY12,4,22,1.44955861966225
KCNQ3,4,20,1.17602907829215
ADCY7,4,20,1.59786382979508
UMOD,4,20,-8.2056781609861
AVPR2,4,20,-2.2780148388938
NLRC4,4,20,1.04779935676661
PLCB4,4,18,1.04002036237928
WNK4,4,18,-3.35032971691441
KCNN4,4,18,1.29284345577357
PYCARD,4,18,1.72911522937703
GRM1,4,18,-2.56198233509061
CACNG8,4,18,2.70713082100254
KLK4,4,18,2.69544089682206
CACNB4,4,18,-1.06293445224973
L1CAM,4,18,-1.85830792355225
PIP5K1B,4,16,-1.60929734277223
P2RX7,4,16,1.90087315731464
CASR,4,16,-4.47245518664826
AIM2,4,16,1.93991051665151
KCNJ2,4,16,1.65644697904197
SCN11A,4,16,-1.57430117084417
TRPA1,4,16,1.77306748290365
LINC00473,4,16,-3.07011662608056
GRIN2D,4,14,1.56330787216193
NR3C2,4,14,-1.53800227647294
GABRD,4,14,3.99349796919837
TRPV5,4,14,-5.1645478966733
IFI16,4,14,1.28072837436072
PIK3R5,4,14,1.94459079625422
NEDD4L,4,14,-1.06131745164344
TRPV4,4,14,-1.0917062321873
STK39,4,12,1.03546268259693
NFASC,4,12,-2.00706438133065
GNG8,4,12,-1.02594167119278
BDKRB2,4,12,-1.34762805749266
CSTA,4,12,1.76071857190568
CLCNKA,4,12,-4.5527503647299
CACNA2D2,4,12,-1.45048403853523
CLCNKB,4,12,-4.84755302829765
PPP2R2B,4,12,-1.67827777976481
GRIA3,4,12,-1.52654578323113
DLG2,4,12,-1.26096707538035
ADCY2,4,12,1.27462331184037
GPD1L,4,12,-1.18195645380264
GABRE,4,12,1.1567507754425
CACNA2D3,4,12,-1.58576331074309
BSND,4,12,-4.30770434974059
SLC12A5,4,12,2.35956891458766
GRIK2,4,12,-1.71415750228958
TRPM6,4,10,-3.60345134901828
RAPGEF3,4,10,-1.90237506944215
TRPV2,4,10,1.45960472939339
NLRC5,4,10,1.52323729436739
DTX1,4,10,-1.7983868168637
AQP1,4,10,-1.95098411879166
HAP1,4,10,-1.71500422598077
SPHK2,4,10,-1.10846808701445
PIK3R6,4,10,2.37896545467079
SPTBN2,4,10,-2.84268493210794
GK,4,10,-1.4675181053416
PLCL1,4,10,-2.02174473902304
TRPV6,4,10,-3.70619442568108
PIK3C2G,4,10,-4.32951478665987
KCNJ4,4,10,1.43045214708798
KCNK5,4,10,-1.71171811823897
CNTN1,4,10,-3.38039605612617
WNK3,4,10,-1.19725463667291
KLHL3,4,10,-1.60001940971117
NOS1AP,4,10,-1.51038765631742
KCNE1,4,10,-2.80079651539119
AVPR1A,4,10,-1.06897867030815
KCNMA1,4,10,1.54123247449619
NLRP9,4,10,-1.22310931429809
GABRA2,4,10,-4.59661038236779
AQP9,4,10,1.25615110461776
ADD2,4,10,1.83287934911185
CACNA1B,4,10,2.66708915571681
SLC6A4,4,10,-1.58541052304905
SLC1A3,4,8,2.48561202092048
HSPA2,4,8,-2.61662318076665
GPD1,4,8,-3.00430831407479
KCNJ12,4,8,-1.83142496859413
RAMP1,4,8,-1.17145037339015
SLC6A19,4,8,-4.73734495215316
LYZ,4,8,2.09055671372732
PDE7B,4,8,-1.03619444822988
KCNE4,4,8,1.39039453606
KCNA3,4,8,1.34260375644053
MAGI2,4,8,-1.53115746951278
NLGN1,4,8,1.37384330786239
SCN7A,4,8,-3.16262244754594
PMCH,4,8,1.24851067017364
BDKRB1,4,8,-1.56900040736812
CARD16,4,8,1.1131758284839
TMPRSS2,4,8,-3.40854402359378
ADM,4,8,1.28338704491803
RENBP,4,8,-1.01018961879154
SSTR1,4,8,-1.25016609874361
GABRQ,4,8,2.73418999139483
APLN,4,8,1.68882033301415
TRPM5,4,8,-2.10360451283312
KCNK3,4,8,2.1937080025124
P2RX6,4,8,-1.19600975871079
CPE,4,8,1.11321972656972
CHGB,4,6,-3.445861494916
NPY5R,4,6,-2.03223999958875
AQP7,4,6,-2.26509301822853
XPNPEP2,4,6,-5.55457535768461
TRPM3,4,6,-2.14116400503596
SPTB,4,6,-1.24551984376135
GPAT3,4,6,-2.52457993962104
CALB1,4,6,-6.23136820597236
P2RY13,4,6,1.54705578487444
GRIK3,4,6,3.64654497222254
PCSK1N,4,6,-2.25895320570757
GABARAPL1,4,6,-1.25556855567754
GRIK5,4,6,-2.3248214106823
HSPA6,4,6,1.28262856047194
PLCH2,4,6,-1.39611922167193
SCN3A,4,6,-2.39920475030863
AQP3,4,6,-1.86623526805387
GABRP,4,6,-1.5262250260185
KLK1,4,6,-4.01542674865031
KCNA4,4,6,-1.73347225377238
ADRB1,4,6,-1.64601751201654
SCG2,4,6,1.77394759866462
SLC38A3,4,6,-2.87713202985378
GABRB2,4,6,-2.08171089552782
HBB,4,6,-1.00796032729734
GPR37,4,6,1.02988076799403
CYSLTR2,4,6,1.57956519620686
PLCZ1,4,6,-2.6924740302847
GRM4,4,6,3.92539346415899
KCNMB2,4,6,-1.58510753546234
GRPR,4,6,1.67396470639342
KCNK9,4,6,3.76358472020639
CHIT1,4,6,2.08191667812207
KCNN1,4,6,1.93538216895001
AVPR1B,4,6,1.45613983793732
KCNJ13,4,6,-1.33217438178937
NPY1R,4,4,-1.55496972264779
NETO2,4,4,2.9672189787229
RASD1,4,4,-2.11303618286788
PRKAR2B,4,4,-1.40994864177178
S1PR5,4,4,1.8820475689332
DEGS1,4,4,1.19726330732475
SERPINB9,4,4,1.10753446366822
ENAM,4,4,-1.68958481696505
RYR3,4,4,-1.05997819952963
WDR72,4,4,-2.09840102656791
ALOX5AP,4,4,1.11619320217615
PKHD1,4,4,-1.41196359417692
SLC38A5,4,4,1.44924597127219
SLC22A3,4,4,-1.76636968776864
B4GALNT2,4,4,-2.41279981588716
FABP7,4,4,7.02575740943743
KCNK10,4,4,-2.79292415216125
NMB,4,4,1.60500420639684
SUCNR1,4,4,-1.73863035773422
P2RY1,4,4,1.5192760258181
DDN,4,4,-4.84045212617195
PREX1,4,4,1.0355701161483
S1PR4,4,4,1.52738514478776
CHRNA4,4,4,-4.80179726587633
KLHL13,4,4,-1.20763267998184
CTSV,4,4,-2.78199284077536
TMPRSS4,4,4,-2.86959905768246
SERPINA4,4,4,-2.88351568080738
MCOLN3,4,4,-1.72535546957356
HTR1D,4,4,1.76750133314143
SCTR,4,4,-1.21021720539579
PIEZO2,4,4,1.04523507628032
GPR17,4,4,-1.07331964643323
KCNJ3,4,4,-1.1898382399487
GPR182,4,4,-1.33043020650383
PNOC,4,4,-1.07227792507038
DNAJC5B,4,4,2.23174512628272
CAMK2N2,4,4,2.46290029071097
PTGFR,4,4,-1.0857560050354
MCHR1,4,4,3.89181711131685
ADRA1A,4,4,-1.02967215171677
PPP1R1A,4,2,-3.01889290525302
LLGL2,4,2,-1.28829220085366
CYS1,4,2,-1.89357659523011
CHRM4,4,2,1.5521694890578
TRPM2,4,2,2.11441695989764
PTAFR,4,2,1.33170319981528
RIC3,4,2,-1.26022441130188
SLC38A4,4,2,-1.61740322490639
PTGFRN,4,2,1.11763914787021
SLC36A2,4,2,-6.25196152756744
SLC7A9,4,2,-2.82432856585902
CYTH4,4,2,1.18854307055316
ADORA3,4,2,2.33825567792754
PRSS8,4,2,-1.48839933282149
C1ORF226,4,2,-1.74443640649988
MPP2,4,2,-1.52821369162511
GRM8,4,2,1.68890222207739
HRH1,4,2,1.08196321312638
KCNH6,4,2,-3.49492638245791
NPTX2,4,2,4.20671086118125
DNAJB13,4,2,1.89780835523106
SPNS2,4,2,-1.03849155444861
VIPR2,4,2,-1.2419371924349
SSTR2,4,2,-1.19037008734029
MCOLN2,4,2,1.2068283266779
SIM1,4,2,-2.22438172821317
DCLK1,4,2,1.32442502738375
SLC6A1,4,2,1.14881848004559
INPP5J,4,2,-2.48278653938731
WNK2,4,2,-1.10084952560833
PPP1R1B,4,2,-2.82726007808882
PLEKHG4,4,2,1.06497853768691
ARL11,4,2,1.67484809982568
CLTRN,4,2,-1.4226303510999
GRID1,4,2,1.25108923254932
TLCD3B,4,2,3.27237610956551
ENPP7,4,2,-1.87057466013124
GSDMA,4,2,1.13747930250275
ADGRA1,4,2,-4.20619605365796
CACNA1I,4,2,1.08417931791425
HCAR2,4,2,-1.20861220636785
POGLUT2,5,0,1.00852379527552
CD4,6,282,1.4066188304113
CD8A,6,254,2.66853541620301
PTPRC,6,200,1.78156878361725
FCGR3A,6,146,3.05551616895264
ITGAM,6,142,1.64152310498151
CCR7,6,136,1.08039032227077
TYROBP,6,134,2.14334019472027
ITGB2,6,130,2.05320810592111
CD86,6,130,1.86615302208119
CCR5,6,130,2.45064483291766
CCL5,6,124,2.30444210798262
CXCR4,6,122,2.28466006994565
CD2,6,122,2.13359391929561
CD247,6,120,1.85052927640792
CD28,6,120,1.12609943460603
CSF1R,6,112,1.62114627632022
CD80,6,112,2.1271819854328
LCK,6,112,1.56015662157448
FCGR3B,6,112,1.55066295147324
TLR2,6,110,1.42486755965762
CTLA4,6,110,1.69938914629931
CD27,6,106,1.15661761915502
ITGAX,6,104,2.05806252267201
CXCL10,6,104,2.46052605487844
CXCL12,6,102,-1.44359295674908
FOXP3,6,102,1.19808245483899
CD40,6,100,1.1492591369872
CD40LG,6,100,1.02910822639764
CXCR3,6,98,2.00842173697231
GZMB,6,98,1.89716036879075
IL7R,6,98,1.09148162160278
CCR2,6,96,1.24017997555531
CD3E,6,94,2.00960198943376
ICOS,6,90,1.98636645831476
CD38,6,86,1.36411395448892
CD68,6,86,1.48071712011038
PDCD1,6,86,2.14792183815322
FCER1G,6,84,1.83099750467643
CXCL9,6,82,2.37659650390051
CX3CR1,6,80,1.62723320963053
ZAP70,6,80,1.26324901317137
CD5,6,78,1.57522838601387
CD3D,6,78,2.13713127437996
KLRD1,6,78,1.26349516433711
TBX21,6,78,1.64929164897777
CD36,6,78,1.50677258472491
KLRK1,6,76,1.72803050527987
SCARB1,6,74,2.57977670930966
CCL4,6,72,1.78545063764235
PRF1,6,72,2.08861265593205
LCP2,6,72,1.67233397642035
CXCR6,6,72,1.5389702704316
LAG3,6,72,1.36679675769317
CCL3,6,70,1.28605518586914
CD163,6,70,1.37313362487401
VAV1,6,68,1.76180482259272
IL2RA,6,68,1.52523760924311
ITGAL,6,66,1.75978405739306
ITK,6,66,1.56929094810523
CD3G,6,66,1.9592846198878
TNFRSF9,6,64,3.23539819413714
HCK,6,64,1.5380351561609
GZMA,6,64,2.11006365525987
IL2RB,6,62,2.4630415777611
JAK3,6,62,1.41389956737226
IDO1,6,60,2.69040060682786
CXCL11,6,60,2.57123666253568
RUNX1,6,58,2.05619619508199
FCGR1A,6,58,2.54150507977637
CD48,6,58,1.59886492589225
FASLG,6,58,2.28131830758132
CCL21,6,56,-1.53294726530145
ARRB2,6,56,1.01066774037971
CCL20,6,56,2.01550419901049
FCGR2C,6,54,1.78420534456248
LILRB2,6,54,1.36805250209744
CD33,6,52,1.42773675710779
CCL22,6,52,1.16760477989117
CCL19,6,52,-1.02249322727714
GZMK,6,50,2.38863028110839
SPI1,6,48,1.49961206243934
MPO,6,48,-1.64967096313531
SELP,6,46,-1.10892314385734
ANPEP,6,46,-2.08117809277895
CCRL2,6,46,1.0406247738356
FCGR2A,6,44,1.60329421879776
TNFRSF4,6,44,2.16360364973238
CTSS,6,44,1.854225403666
SPN,6,42,1.91251583107901
CCL11,6,42,-2.39081053192228
SH2D1A,6,42,1.82278806867682
TRAT1,6,42,1.50232943170865
CLEC7A,6,40,1.69839805910776
BTK,6,40,1.8008234097088
CD276,6,40,1.17592994576174
SELE,6,40,-1.91193762322109
GRAP2,6,40,1.24604231219786
GATA3,6,40,-2.53028746950038
EOMES,6,40,2.42155864610651
PTPN22,6,40,1.69136342277674
C1QA,6,40,1.83106371120003
CXCL16,6,40,1.00823390687059
PDCD1LG2,6,40,1.08253125179122
XCR1,6,40,1.64341509170807
TNFRSF18,6,40,1.53604754608064
MME,6,38,-2.70890774997361
TLR8,6,38,2.11912387528302
TLR3,6,38,1.23683352563889
IGLL5,6,38,1.49533257259908
TREM2,6,36,3.57640312984655
TLR7,6,36,2.13240337921416
NKG7,6,36,2.53093154785773
IL10RA,6,36,1.5755503465489
CD7,6,36,1.26012626546005
CD6,6,34,1.73294100531049
ACKR2,6,34,-1.30646177871722
LILRB1,6,34,2.09065981906007
IL2RG,6,34,1.69505664133521
GZMH,6,34,2.10634603988782
FAS,6,34,1.01061800820869
CD1D,6,34,1.2978633227773
IRF4,6,34,1.137123233624
CXCL14,6,34,-1.28548741584761
GNLY,6,32,1.76758727144125
LGALS9,6,32,1.4987727045228
HCST,6,32,1.33305871521209
CCL18,6,32,3.45590850354438
CCL3L3,6,30,1.24001365879403
SELPLG,6,30,1.78516816631775
TNFSF13B,6,30,1.52683332701233
CD53,6,30,1.61191329936406
C1QB,6,30,2.24490340720874
CD8B,6,30,2.05632394225518
TNFSF9,6,30,2.61368809653862
OSM,6,28,1.63775966377869
INPP5D,6,28,1.35400274907416
IKZF1,6,28,1.74572134788919
MNDA,6,28,1.55481194817878
CD300C,6,28,1.68225304723249
XCL2,6,28,1.52259922016537
CR2,6,28,-2.82675201793567
RUNX3,6,26,2.19097615098731
CD70,6,26,4.74664562030158
STAT4,6,26,1.00238122696452
ACKR3,6,26,1.44323060701697
NOD2,6,24,1.97395744267171
CCL15,6,24,-1.11631204247334
CCL4L2,6,22,1.55127196278722
IL21R,6,22,1.95267871731007
PRDM1,6,22,1.82143094162141
C3AR1,6,22,1.79812555330859
SIGLEC1,6,22,1.51310889526884
CCR4,6,22,1.4688716129902
CD244,6,22,1.54793945188214
BATF,6,20,2.09320356061484
CSF3R,6,20,1.61701520338078
BIRC3,6,20,1.70948063521067
FPR1,6,20,1.42101691975981
VSIG4,6,20,1.252999241391
IL12RB1,6,18,1.98708312223768
CR1,6,18,-1.71777610375996
FYB1,6,18,1.45424405484648
SLAMF6,6,18,1.92861806666636
LY96,6,18,1.33162797183627
C1S,6,18,1.00906107733051
CXCL17,6,18,2.59268623506183
RASSF5,6,16,1.29262752128387
MICB,6,16,1.03038090478378
SLAMF7,6,16,2.29226396746096
CARD9,6,16,1.42164862021909
TNFSF14,6,16,2.16826427229067
C1QC,6,16,2.18077484348769
CSF2RB,6,16,1.19911035066756
KRT7,6,16,-2.68694575837541
TNFRSF1B,6,16,1.21038302906223
CD14,6,16,1.28403081621583
KIR2DL4,6,16,1.57227824691877
LY86,6,14,1.89908046914035
DOCK2,6,14,1.91496799861792
TLR6,6,14,1.73214216054547
MS4A6A,6,14,1.8756297513135
GATA2,6,14,-1.36444141326602
CTSW,6,14,2.07441332664068
APBB1IP,6,14,1.56701332299978
CD52,6,14,1.43772495556862
TREM1,6,14,1.44985401853069
CD300LB,6,14,1.33832668402371
IKBKE,6,12,1.02583289252097
AICDA,6,12,4.60564102845791
ULBP2,6,12,1.21023004173574
TNFSF8,6,12,1.73048812961641
CD96,6,12,1.93123805409141
CD300LF,6,12,2.09822368344764
VTCN1,6,12,-3.02986893582696
MS4A2,6,12,1.41623144602351
COLEC11,6,10,-1.94968747394009
CARD11,6,10,1.99760620065003
CST7,6,10,2.10373590107843
MSR1,6,10,1.97988103254219
RHOH,6,10,1.97881176108155
IKZF3,6,10,1.96609040116946
CD37,6,10,1.1607086723548
IL16,6,10,1.25601780852364
CLEC5A,6,10,2.01011129364248
CCL14,6,10,-1.11365830943685
TNFAIP3,6,10,1.12222224370143
TREML1,6,10,1.99675732789167
MS4A4A,6,10,1.44537266940254
LILRB3,6,10,1.25930828442009
C2,6,10,1.21339752557002
LILRA4,6,10,2.05858858877157
CD84,6,8,2.45381544437032
PIGR,6,8,-2.76621193864537
CIDEC,6,8,-3.10624358972935
IL13RA2,6,8,-1.23207477114364
UBASH3B,6,8,1.05263284065809
CD300A,6,8,2.17083571988968
ABCG1,6,8,1.25314929003042
UBASH3A,6,8,1.65020523280699
OSMR,6,8,1.28687672959338
CNTFR,6,8,-2.13526498085568
CLEC4E,6,8,1.26280762759677
LY9,6,8,1.35448787388724
DOK2,6,8,1.23088497503916
FABP5,6,8,1.23987249236356
LILRA2,6,8,1.41537103111467
TLR10,6,8,1.43316214450372
NME8,6,8,1.41130959997053
FFAR4,6,8,2.59157552267642
CSF2RA,6,6,1.57016994828307
LAIR1,6,6,2.00836009319135
CD180,6,6,2.15570378745501
SEMA6D,6,6,-2.11595441689771
MS4A7,6,6,1.90889756748869
TNFRSF6B,6,6,1.29394406568325
MAP4K1,6,6,1.44328106402328
SH2D2A,6,6,1.83978402528209
GFI1,6,6,1.6649686552187
CD72,6,6,1.42510818293553
CLEC12A,6,6,1.669053785443
SIT1,6,6,2.06072193624681
FUT7,6,6,1.24582215049638
FCRL3,6,6,1.81927222574872
SIGLEC7,6,6,1.64203186679854
ZNF683,6,4,2.11486633288299
SLC44A4,6,4,-2.0722343518041
IL20RB,6,4,2.54558183899387
IL9R,6,4,1.40481471285842
