"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"EPC1","EPC1",331,0.492905863801813,1.77645476482624,1.49605763209874e-07,2.42361336399995e-05,2.07085872232614e-05,3115,"tags=31%, list=19%, signal=25%","RBL1/HNRNPUL1/CAD/MAZ/PDAP1/BYSL/PTBP1/RNF44/ZNF581/NUF2/MTHFD1L/ADNP/ARHGAP11A/PHF21A/RPL23A/PKM/DARS1/BCAT1/DCLRE1B/FBXO41/U2AF2/TMEM39A/MCM7/CCDC88A/ZGRF1/XPOT/RANBP1/AURKB/S100PBP/EZH2/DHX37/WDR5/TMEM248/CNOT11/RNF145/KDM5C/PGM2L1/TAF5L/SPRED1/EPRS1/PLOD3/CCDC86/GABPB1/YARS1/DIMT1/EIF4A1/AP4M1/GRK6/TRIM27/UTP25/MOB3A/KCNJ4/TEX10/UBE2S/CDKL3/URB2/FOXJ3/RGS5/KLF16/ANXA2/TMEM268/ZCCHC7/EIF2S3/POLR2J/QSER1/SCNM1/TMED2/PUS1/PABPC1/KPNB1/VEGFA/RPL10A/RALGDS/ASNS/WDR43/ZBTB45/ZP3/MGAT1/MTHFD2/NME1/RPL35A/GBA1/CD63/ESF1/RAN/FBXW8/NME1-NME2/CAPZB/BUD31/ISG15/NRAS/RNPS1/PARL/TRIAP1/FLVCR1/GUSB/OGT/IPO11/TARS1/ESYT1/EIF1AD"
"NR1I2","NR1I2",294,0.499704287591856,1.7753760474484,1.2939033265199e-07,2.42361336399995e-05,2.07085872232614e-05,3956,"tags=31%, list=24%, signal=24%","TOPBP1/EFTUD2/FOXM1/NUP205/PDAP1/SLC38A1/CDCA3/CKAP2/FEN1/SLC2A1/RACGAP1/RAD51/YEATS2/NFE2L3/DDX23/NBN/NCAPD3/TMEM39A/SGO2/RNMT/DAGLB/ARPC1A/ASCC3/ADPGK/NAT10/RHNO1/RAPGEF6/DNAJC2/IMPDH1/PPAN/C5orf34/RAD50/SLC37A3/RETREG3/PTPA/TMEM87A/LSM8/TNFAIP8/SCARB1/DDX39A/PPIA/RPS6KB1/ANXA2/SFR1/PUS1/DGKA/PABPC1/ASNS/ENO1/DLL4/MFAP3/TULP3/MARCHF3/NME1/USP5/ENC1/YBX3/EIF2AK4/CCDC15/RPL8/BUD31/NFIX/PNO1/MFSD5/ESYT2/COPZ1/PPAN-P2RY11/FBXO38/DIP2A/UBE2M/ASXL2/PLAUR/FAM210A/RBM22/FBXO42/ABCC3/CLN6/RPLP1/SRGAP1/SELENOH/IFNAR1/VPS26B/CCNT1/SIN3A/TMEM131/HSP90AB1/POU2F1/MAP3K5/KMT2E/TRIM28/GMEB2/PPAT"
"RFX7","RFX7",436,0.42533238959108,1.55619661531149,1.30540013455284e-05,0.00140983214531706,0.00120463240486806,2487,"tags=21%, list=15%, signal=19%","RBL1/CNOT2/NEMP1/RAD51AP1/TBK1/MTBP/CDCA3/KNTC1/CNOT9/VPS13B/VPS33A/RFC2/PUS7L/RAD51/DDX23/PRR11/BCAT1/U2AF2/KDM3A/MSH2/FXYD5/SSBP1/PCLAF/CORO7/MSL3/SENP1/M6PR/CACTIN/PWP1/CDKN2A/PDK1/ANXA2R/KIAA0753/VEZT/CDCA2/ZSCAN29/PCGF1/RAPGEF6/CKS1B/TMEM248/UBE2I/PPP1R13L/GOLGA3/RPL28/NT5C3A/RNF187/CCDC97/NUP62/MYO9B/ADGRE2/CENPK/ZNF436/ATM/EIF3D/POP7/GABPB1/TMEM87A/ITGB3BP/AGBL3/C1orf216/SCARB1/HAUS8/IL4I1/SAE1/BOD1/RPS6KB1/GINS4/RPS18/POC5/ATXN2L/DOC2A/POLR1G/HARS1/SETD7/ACTR2/SHC1/SMG7/GORAB/SPCS3/THAP11/USP37/TFPT/SCAF11/NPAT/RARA/PPIB/CTDSPL2/KBTBD2/CDC42SE1/GTF3A/USP48/RPL41/BAZ1B"
"ZNF236","ZNF236",230,0.470978094023314,1.64557752886833,3.38111999490982e-05,0.00273870719587695,0.00234009094384548,2404,"tags=22%, list=14%, signal=19%","RBL1/ZWINT/SPDL1/NEMP1/RAVER1/PARPBP/PKM/B4GALT7/U2AF2/KDM3A/MCM7/SNRPA/CLTCL1/CDCA2/CASP4/AKIP1/ATAD2/PPP1R13L/CDK13/MCUB/RPS8/INTS13/PHF14/RBAK-RBAKDN/SH3BGRL3/TSPAN31/UBASH3B/RBAK/CDC27/CDC25C/UNC93B1/CDKL3/FOXJ3/SP110/PHC3/ATXN2L/NRDC/HNRNPD/FUS/POLR1G/POLH/SESN1/DPH5/RPN2/CREB1/MGAT1/MTHFD2/UBC/BRIX1/CDC42SE1"
"TBX1","TBX1",171,0.497590317956532,1.68963607943274,8.32278986013137e-05,0.00314032530084955,0.00268325391203195,2685,"tags=27%, list=16%, signal=23%","ZNF217/SHKBP1/MTHFD1L/SPATS2/WDR62/TRAF2/CTHRC1/DDX23/CHST11/TRIB3/NSMAF/SMG8/POLA2/RAPGEF6/ILF3/IL1RAP/TGFBI/RACK1/STMN3/EIF4A1/RCC1/ZBP1/CDK17/INTS4/RTEL1-TNFRSF6B/ABCG1/AKNA/C3/OSER1/ITK/H2AX/SRP68/MSANTD3/ARAP1/SF3A3/SNRPD1/AXL/SQSTM1/PIGT/RARA/PHF19/CTDSPL2/RTEL1/TLE3/FAS/SPOCD1/FPR1"
"CIC","CIC",410,0.419189524424456,1.53201346196152,8.82391315412945e-05,0.00314032530084955,0.00268325391203195,3677,"tags=28%, list=22%, signal=22%","CNOT2/SART3/FANCI/MTBP/PPHLN1/KIF20A/CDCA3/KNTC1/FEN1/FANCD2/RNF44/VPS33A/RFC2/CDCA5/MMS22L/TIMELESS/NPM1/PTTG1/CBX3/HNRNPA1/CDC20/MCM5/ATF7IP/MAGOHB/ORC6/TRIM59/ZNF408/NTPCR/XPOT/POLD2/ADAP2/LMAN2/GAPDH/NUDCD3/LARS1/STK4/ARHGAP1/ANKRA2/WDR5B/STAMBPL1/RIPK2/TAF7/INTS2/HILPDA/PHF14/RACK1/STMN3/TP53/LRRC61/EIF3D/BUB3/RPS5/GABPB1/ITGB3BP/RTEL1-TNFRSF6B/ITK/TCERG1/EIF4B/VCPIP1/CDKL3/GRPEL2/DDX47/RPS20/RPS14/PSMD3/UTP15/SYMPK/OAS3/CENPP/SEC24A/UBC/PPIB/CTDSPL2/RTEL1/SEC24D/IL23A/SNRPE/RANBP3/TXNDC12/ZMIZ2/KIF14/NOL8/CCDC163/RPLP2/YAE1/S100A10/FBXO38/EIF2A/CARD8/ESYT1/UBE2M/POLG/WARS1/SEMA4B/TDP1/RPL31/HAVCR2/EMG1/RSL24D1/AKT1S1/H4C8/DKC1/BTF3L4/SLU7/RIOK1/NFKBIL1/RPS27A/DPAGT1/CBX5/PEAK1/SNRNP27/APOLD1/WDR55"
"MYBL1","MYBL1",376,0.419016023965288,1.52240263150824,9.69236203965912e-05,0.00314032530084955,0.00268325391203195,3208,"tags=26%, list=19%, signal=22%","EIF3B/HNRNPUL1/MAZ/NCAPG/NUP155/CDCA3/FEN1/CNOT9/ZNF683/SPATS2/POLG2/CBX3/CENPF/NR2C2AP/PKM/HNRNPA1/KIFC1/CAPZA1/ATF7/FXYD5/TRIM59/CENPM/PMS1/LIG1/EZH2/MYBL1/ALDOA/TMEM248/ZNF526/UBE2I/TPM3/REXO5/STAT1/C18orf54/STT3A/INTS2/SPRED1/RPLP0/CCDC97/QSOX1/UCP2/ATM/C2CD3/RPL27A/SNRPB/SPPL3/RPL12/CDKN1B/ETAA1/CCND2/HNRNPAB/LPXN/PPP1R18/H2AX/UBE2S/G3BP1/LTA4H/CANX/PSRC1/EMC1/PBK/DGKA/CTDNEP1/TOMM40/NACA/SGTB/NPAT/YWHAG/UBC/FAM216A/NOP2/BRIX1/ISG20/KBTBD2/COQ8B/NME1/USP5/CIC/LCK/RPL7A/SP1/NME1-NME2/NFIX/ST7L/BTBD10/MARS1/TMUB2/MSL2/ZNF768/CEP44/C5orf58/POLK/HEXB/MYCBP2/BLOC1S2/ENPP3/ORMDL1/SYNGAP1"
"NR1H4","NR1H4",339,-0.378386881539648,-1.50209018483351,8.46362643391914e-05,0.00314032530084955,0.00268325391203195,3024,"tags=29%, list=18%, signal=24%","AMBP/CAPN2/CHKA/SLC25A18/PECR/CIBAR1/NAT8/PLA2G6/HRG/SDC1/MASP2/ALDH3A2/ABI2/UST/PPP2R1B/RBP4/PITPNM1/C19orf12/ADH1A/NDRG2/GPLD1/DMGDH/ZNF780B/PPARGC1A/NFYC/GCGR/TMEM8B/SMPD1/NBR1/DALRD3/NOS1AP/MPDZ/LRRFIP2/GLYATL1/NQO2/ECHDC2/TSG101/PRODH2/FTCD/IQGAP2/LEAP2/AGXT/CYP4F3/SLC43A1/ELF3/ZSCAN5A/SREBF2/TPPP2/MPC1/SH3YL1/TAF6L/GLYCTK/CYFIP2/FNDC5/SARDH/PLIN4/PLG/GPRC5C/SELENOO/CHPT1/CTNS/KNG1/C1orf226/HINT2/SHPK/STK40/ALDH2/BICDL1/G6PC1/SELENBP1/ZNF175/FCAMR/MPST/ASPDH/PFKFB1/ZNF444/ACKR2/MVD/ETNK2/EFHD1/PHYH/SLC51B/MTOR/C22orf39/HIRA/CPT2/CDC26/SLC27A5/NRL/RBM23/CGNL1/AQP7/JUP/RGS3/SH3D19/ACY1/DCAF11/CLMN/ADH1B"
"HMGB2","HMGB2",441,0.40682800415199,1.48931777501683,7.78987249662382e-05,0.00314032530084955,0.00268325391203195,3710,"tags=28%, list=22%, signal=22%","TSNAX-DISC1/EFTUD2/NUP205/HNRNPUL1/PDAP1/SF3B3/SMC4/NUF2/ARHGAP11A/POLG2/INTS7/HNRNPA1/PLXDC1/KDM3A/CENPL/TBL1XR1/RPL22L1/NCLN/STRN4/CEP128/HIVEP3/CACTIN/BLM/LIG1/POT1/TRIM22/PES1/NCEH1/CKS1B/EXOSC5/VWF/NSUN2/PRCC/DDX31/STK17A/STAT1/ARHGDIB/SLC25A19/NUP85/TAF1D/TIGAR/DUSP14/FN1/ESM1/ACTR3/TSPAN31/TPP2/RCC1/CP/VSIG1/PRKCH/HLA-DMA/SSR3/TNFSF4/ANXA1/TMEM144/VCPIP1/GINS4/GRPEL2/RGS5/ANXA2/TNFRSF10B/HS2ST1/RPS14/SMC2/NEK6/HECW2/BACH1/KLF7/GORAB/SLFN12/MFSD11/FARSB/ETV6/TMEM156/MBNL1/ISG20/ERAP1/RPL35A/THOC6/NREP/ENC1/YBX3/MREG/SP1/CARD16/TCF4/BUD31/GPR107/NVL/RIN2/PNO1/ZNF225/SLC35G2/AKAP13/FBXO38/VARS1/ENAH/CARD8/PRSS23/ZNF385A/ALOXE3/HCFC1R1/HMGN4/RSL24D1/H3C6/C19orf38/ARHGAP26/H4C8/SLX4IP/UCK2/SMURF2/CSE1L/RPS27A/UFM1/PAK1IP1/RUFY1/FRRS1/PECAM1/RPS23/PDE4B/KMT2A"
"CREB3","CREB3",417,0.405531225063305,1.48199735216244,8.44569844188117e-05,0.00314032530084955,0.00268325391203195,2363,"tags=19%, list=14%, signal=17%","RBL1/LEMD2/TASOR2/EIF3B/MAZ/CDCA3/RFC4/PTBP1/SPATS2/KIF2C/MR1/DDX23/BCAT1/CCDC137/IKBIP/CCDC88A/ARMCX6/MACROH2A1/WIPF1/APAF1/NTPCR/TOR3A/RHNO1/CCDC112/NUDCD3/PPT1/PPFIA4/SAMD9L/NOD2/TRNAU1AP/ST3GAL2/BTF3/CCZ1B/PRICKLE3/TMEM181/ZNF280C/REXO4/RBAK-RBAKDN/LRRC61/HM13/ANKRD13D/TMEM241/LDHA/IFI16/ZNF805/CPNE2/POLR2J3/RBAK/LYN/GAREM2/CHEK1/BOD1/TCERG1/KCNAB1/LEPROTL1/ZMYND8/UBE2D2/CSNK1E/ZCCHC7/ADCK2/RPS20/RPS14/COL4A2/SPG11/HSF2BP/PKN1/RIN3/SEL1L3/PCSK6/RALGDS/KHSRP/RPS27/PYCR1/C11orf21/CMTM3/TULP3/ABCA3/RRP1B/MEF2C"
