"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HSD17B8","HSD17B8","121/1115","672/27022",0.180059523809524,4.36373852231476,18.3187626424275,7.01972335832639e-44,2.40074538854763e-41,2.34237084693628e-41,"ZWINT/PLK4/SKA3/FOXM1/RAD51AP1/FANCI/CIP2A/KIF20A/STIL/NCAPG/KNTC1/UBE2C/C1QTNF6/CDCA8/ANLN/GTSE1/TACC3/TTK/TROAP/SMC4/NUF2/KIF2C/CKAP2L/UHRF1/ARHGAP11A/WDR62/CDCA5/MAD2L1/PTTG1/PRC1/TOP2A/RAD51/ERCC6L/CENPF/RRM2/HJURP/E2F1/CDK1/KIFC1/PRR11/SPC24/NDC80/MELK/DDIAS/CDC20/MCM5/SGO2/BUB1/IQGAP3/BRCA1/BUB1B/DTL/BRIP1/GINS2/MKI67/TRIM59/CENPI/CDC6/RNASEH2A/ASF1B/BIRC5/PCLAF/KIF15/SPC25/NCAPH/EXO1/CHEK2/BLM/CCNB2/CCNA2/CDKN2A/AURKB/CENPE/PLK1/CDKN3/MYBL1/KIF18B/MYBL2/ASPM/ECT2/DLGAP5/BRCA2/CDCA2/ATAD2/TRIP13/RAD54L/RUNX3/POLQ/MTFR2/XRCC2/CDCA7/CEP55/UBE2T/CDKN2C/TICRR/HROB/CENPK/NEK2/TCF19/E2F8/MND1/SFRP2/DEPDC1/CDC25C/GFI1/EOMES/RGS5/PBK/MCM10/HMMR/SLFN11/E2F2/PIMREG/KIF14/PITX1/TRIM36/TEDC2/ESCO2/HASPIN/SKA1/ZNF695",121
"MAML1","MAML1","38/1115","325/27022",0.116923076923077,2.83362814763712,6.89924069813133,8.60335576612121e-09,1.47117383600673e-06,1.43540198834759e-06,"SLC1A4/IL21R/KIF18B/LPAR5/LY86/RUNX3/RHBDF2/SELPLG/FCHO1/HLA-DMB/MS4A6A/EBI3/CCL4/ITGAL/RNASE6/CD37/IL16/GAPT/CD53/PLEK/IL4I1/CCDC88B/ARHGAP25/CCL3/LSP1/CD72/SDC3/BCL2A1/COX4I2/ZNF831/GPSM3/BIRC3/SH3BP1/ISG15/FCMR/FCRL3/CD1D/CD36",38
"TERF1","TERF1","35/1115","299/27022",0.117056856187291,2.83687028510581,6.62599428346857,3.20865354347429e-08,3.65786503956069e-06,3.56892341502228e-06,"MTHFD1L/RGS1/BTN2A2/BUB1/BUB1B/AOAH/PRDM1/SLC11A1/TRIM22/NCKAP1L/CLEC2D/HLA-DPB1/BMAL2/EVI2B/MILR1/CCL4/HROB/EVI2A/GPR141/CTSS/GJC1/HLA-DRB1/CD74/HLA-A/PLEK/TASL/CYTIP/TMCC1/CD80/LAX1/ISG20/SLFN11/KIAA0319/TXLNB/ERICH3",35
"ZNF597","ZNF597","70/1115","891/27022",0.0785634118967452,1.90398252580614,5.69246609334951,2.12691378937442e-07,1.81851128991513e-05,1.77429387166235e-05,"KREMEN2/RGS1/UHRF1/LMNB1/PKM/CENPU/FSCN1/RUNX1/RPS2/FKBP10/BBC3/CLEC2D/TMSB10/LY86/NCF2/DOCK2/IKZF1/FCHO1/COL1A1/FMNL1/HLA-DMB/TAPBP/EBI3/HILPDA/TNFRSF9/ITGAL/ITGA4/CCL5/MYO1G/RHOH/IKZF3/CD37/IL16/LGALS1/PALD1/MMP9/TNFAIP8/B2M/PLEK/IL4I1/CCDC88B/CD48/TASL/PATL2/AIM2/SP140/LSP1/CD72/CD70/TNFAIP3/TNFSF14/CCL22/IL7R/NEK6/OAS3/ISG20/H4C12/H2AC25/LY9/H2BC12/BIRC3/DOK2/MYEOV/CCR7/H2BC15/APOBEC3H/APOLD1/CD36/GPR55/H4C13",70
"HDGF","HDGF","70/1115","929/27022",0.0753498385360603,1.82610164746316,5.31568109106262,9.83701844979455e-07,6.72852061965948e-05,6.564915470705e-05,"NCAPG/PTPRU/SLC2A1/PKM/CTHRC1/PTPN7/NKPD1/SPN/PCLAF/CHEK2/ITGB2/CORO1A/ALDOA/CDON/ATAD2/PGF/SHMT2/ADAMTS14/RHBDF2/FCHO1/TAPBP/EBI3/IL2RB/KLHL6/RAB7B/KISS1R/HROB/CCL5/APOBEC3C/RASSF2/COLGALT1/HLA-A/APOBEC3G/SLC16A3/SLC38A5/SCARB1/PFKP/CCND2/AKNA/CDC25C/CCDC88B/NT5DC4/LSP1/SDC3/PTPN22/PNCK/PDCD1/RUBCNL/NEK6/VEGFA/KRBA1/C11orf21/APOBR/FOXS1/TSPAN32/ITGA5/ISG20/APOBEC3D/RGCC/FCMR/MCAM/NTNG2/PLAUR/TMEM91/RIMBP3/RASGRP4/KIAA0319/YPEL4/RUFY4/GPR55",70
"ZNF623","ZNF623","41/1115","481/27022",0.0852390852390852,2.06576731957898,4.89278211332108,1.06830454013585e-05,0.000608933587877437,0.000594127261794852,"BTN2A2/GXYLT2/TUBA1B/IGSF21/AURKB/CARD11/NCKAP1L/S1PR5/IL12RB1/ALDOA/PPFIA4/FCHO1/COL1A1/IL2RB/SLA/SLC15A3/VAV1/RHOH/CEACAM21/IL16/COLGALT1/PIK3R5/TGFB1/C3/CSF3R/PNCK/LINGO1/LIPA/NT5DC3/ITGA5/B4GALNT1/SCN1B/SLC6A1/DEPP1/SAXO5/ADA/VWCE/SCN4B/GRM4/KCNN1/CPLX2",41
"ZNF436","ZNF436","41/1115","515/27022",0.0796116504854369,1.92938656449998,4.41773127992857,5.15543484404113e-05,0.00251879816666009,0.00245755315121961,"PKMYT1/SLC2A1/CENPU/FSCN1/ADCY7/OSM/NKPD1/FIBCD1/ADAP2/AURKA/BRCA2/HLA-DPB1/TMEM132A/FCHO1/HPS3/ALOX5/KISS1R/DUSP10/CTSW/GRAP2/COL6A3/FERMT3/AKNA/LST1/TMC8/ITK/NEK6/P2RY1/CSF2RB/PLXND1/TMEM44/LRRC25/TBX21/PLOD2/SPOCD1/CD7/NCF4/TNFRSF18/SAXO5/UNC13A/SPDEF",41
"NFXL1","NFXL1","37/1115","473/27022",0.0782241014799154,1.89575934546213,4.07734456808915,0.000166936438056654,0.00655925998396546,0.00639977043680225,"STC2/SLC2A1/SERPINH1/FBXO41/BRIP1/RGS10/FIBCD1/IL21R/CORO1A/TYROBP/ALDOA/FCHO1/EBI3/CEACAM21/RTN4R/APOBEC3G/SLC16A3/SLC38A5/ATP8B3/CCND2/AKNA/IGF2BP3/PPP1R18/LINGO1/IFI30/ARRDC2/FOXS1/TSPAN32/SLC29A4/SCN1B/H2BC12/TNFRSF1B/CDK18/TMEM91/SAXO5/SOWAHD/UNC13A",37
"IGLV5_37","IGLV5_37","47/1115","653/27022",0.0719754977029096,1.74432457302962,3.99440132735715,0.000172612104841196,0.00655925998396546,0.00639977043680225,"TP73/C1QL4/PLXNC1/INHBA/WDR62/FSCN1/RUNX1/CHEK2/MYOF/ADAP2/CLEC2D/ALDOA/CDCA2/CDCA7/RAB7B/TGFBI/RTN4R/TIMP1/UBASH3B/PALD1/ATP8B3/CCND2/LAT2/CCDC88B/LSP1/COL23A1/PDCD1/GPNMB/NNMT/PADI1/NT5DC3/NRARP/MYC/PLOD2/OSMR/EGFR/ATP2B2/MYEOV/ZNF395/WNT10B/APBA2/COL21A1/LRRC15/IRF4/TLCD3B/GRIN2A/CPA4",47
"TERF2","TERF2","16/1115","141/27022",0.113475177304965,2.75006837769933,4.32236505385618,0.000242263399774604,0.00755508159551956,0.00737137847269837,"MTHFD1L/BUB1B/PRDM1/BTN3A1/INPP5D/PSMB10/KLHL6/HROB/LILRB1/IL16/CTSS/IFI16/CD28/SLC9A9/TLR3/ERICH3",16
