"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"UBE2C",818,219,1.55940555727923,1.44064824839096,1.68795241641348,4.10141903883149e-28,10.993619392252,2.78713664458627e-26,2.86202951401809,2.6688383349046e-21,12,"Up","Up-High risk"
"FOXM1",818,219,1.75609316789776,1.58793107187077,1.94206365059916,5.68803396854341e-28,10.9640731770938,2.78713664458627e-26,1.38299601322589,5.53810590477795e-35,12,"Up","Up-High risk"
"HJURP",818,219,1.70322381002981,1.54558136037993,1.87694509096523,6.15768181561156e-27,10.7464645200067,1.55033896546556e-25,2.76182908131444,6.70081698601265e-15,10,"Up","Up-High risk"
"PLK1",818,219,1.7641776967068,1.59062154316045,1.95667093718206,6.3279141447574e-27,10.743948050715,1.55033896546556e-25,1.23114801313456,1.28534481640192e-10,12,"Up","Up-High risk"
"BIRC5",816,218,1.58378332647427,1.45412086772769,1.72500765300044,5.01955041952998e-26,10.5511193183701,9.83831882227876e-25,2.39120297638949,1.59798736087676e-11,12,"Up","Up-High risk"
"TPX2",818,219,1.74841599813543,1.57271709107264,1.94374342333304,4.65028434737977e-25,10.3398987821715,7.59546443405363e-24,2.72653183228413,1.95551446951301e-11,12,"Up","Up-High risk"
"NUF2",816,219,1.6856411959972,1.52591205814146,1.86209043075761,8.69525171241363e-25,10.2797503709827,1.10976133291755e-23,2.2471711450017,2.73718952409569e-18,10,"Up","Up-High risk"
"CEP55",818,219,1.7094082310247,1.54324090006741,1.89346750735245,9.05927618708203e-25,10.2757967507661,1.10976133291755e-23,2.72917837477962,1.03563659836201e-08,10,"Up","Up-High risk"
"PTTG1",818,219,1.68995475037066,1.52839488990119,1.86859238876739,1.38960610565091e-24,10.234465332251,1.51312664837543e-23,2.24906549177412,3.34203318463753e-16,11,"Up","Up-High risk"
"CCNB2",818,219,1.71893122530553,1.54786404349474,1.90890444787337,4.13747801694088e-24,10.1283077400799,4.05472845660207e-23,1.76217356623151,6.98426571130335e-11,11,"Up","Up-High risk"
"AURKB",818,219,1.61888122057631,1.4742467158119,1.77770543981936,6.19775118752852e-24,10.0887117792078,5.52163287616177e-23,2.50390592361571,1.08041468103969e-10,10,"Up","Up-High risk"
"CDCA8",818,219,1.81915837608295,1.61804844610118,2.04526459343469,1.36712290231219e-23,10.0107498981573,1.11648370355496e-22,1.75415420055094,2.62909403811684e-20,11,"Up","Up-High risk"
"KIF20A",816,219,1.61991738332332,1.47364776349369,1.78070526336079,1.67850950060694e-23,9.99043063080011,1.26533793122677e-22,2.05020258820686,1.20680317353852e-23,12,"Up","Up-High risk"
"KIF2C",818,219,1.69180954460857,1.52465288819721,1.87729256763027,3.91791844708848e-23,9.90606031044402,2.74254291296194e-22,1.87897089452322,1.33254810600601e-17,12,"Up","Up-High risk"
"CDC20",818,219,1.66626225027849,1.50586845095809,1.84373999265121,4.72638786237679e-23,9.88729226952474,3.08790673675284e-22,1.62668131040962,1.51205736995779e-13,12,"Up","Up-High risk"
"KIF14",817,218,1.60048337097457,1.45665595337031,1.75851203219222,1.25172898789391e-22,9.7892890567146,7.6668400508502e-22,2.11393304093056,0.000343697495328374,6,"Up","Up-High risk"
"CCNA2",818,219,1.912861925499,1.67909815324627,2.17917025216755,1.79207266203408e-22,9.75293691902658,1.03307718164317e-21,1.29392127364801,8.62340960056053e-11,12,"Up","Up-High risk"
"CENPF",818,219,1.70837890238421,1.53305573689445,1.90375235803474,3.20812575435923e-22,9.69366274770642,1.74664624404003e-21,2.78643393388162,4.9676014309927e-15,12,"Up","Up-High risk"
"PRC1",818,219,2.09691050314671,1.80337426488025,2.43822579917929,6.35978485731182e-22,9.623549486831,3.28031008429768e-21,1.50083185499457,5.73188832334606e-16,12,"Up","Up-High risk"
"KIF4A",818,219,1.64371283669918,1.48487297944865,1.81954411382236,9.32449563804116e-22,9.58412464570543,4.56900286264017e-21,2.60249732423968,4.74819310973181e-18,11,"Up","Up-High risk"
"KIF18A",817,219,1.78053044764167,1.58031809435132,2.00610793884529,2.56293160375898e-21,9.47917834054264,1.19603474842086e-20,1.85981026062523,1.37655098803822e-10,8,"Up","Up-High risk"
"NEK2",816,219,1.61252438006779,1.45975384462676,1.78128311556383,5.02514210260132e-21,9.40865746299474,2.23847239115877e-20,2.42128112351517,2.15697876311755e-07,8,"Up","Up-High risk"
"CDK1",818,219,1.7807743686107,1.57645872162602,2.0115701783996,1.68626685499789e-20,9.28053689899725,7.18496312129534e-20,1.45048397714302,1.77153565538931e-14,11,"Up","Up-High risk"
"RRM2",818,219,1.61911334116522,1.46133350318861,1.79392863149929,3.21126054828861e-20,9.21165791875112,1.31126472388452e-19,2.1227917876784,5.76442018093072e-15,12,"Up","Up-High risk"
"KIFC1",817,219,1.78535582373075,1.57691492196704,2.02134901060687,5.65891593081636e-20,9.15065542129875,2.21829504488001e-19,2.00028202003375,1.77153565538931e-14,12,"Up","Up-High risk"
"CDKN3",818,219,1.64790207603145,1.4800621949382,1.83477509355758,7.94534363346813e-20,9.11392609200658,2.99478336953799e-19,1.56218388419226,2.60672358967258e-10,9,"Up","Up-High risk"
"NCAPH",816,219,1.69992888526791,1.51644288147309,1.9056162617619,8.65036451292683e-20,9.1047019227158,3.13976193432159e-19,2.25513631164717,2.94723572465964e-11,11,"Up","Up-High risk"
"TTK",815,218,1.64811545178263,1.47953721824865,1.83590146222882,1.13284301495991e-19,9.07537732326524,3.96495055235968e-19,2.08941255918469,1.22065310183015e-18,10,"Up","Up-High risk"
"TOP2A",818,219,1.63305706871631,1.46630305121958,1.81877503935231,4.47017488637515e-19,8.92467308666169,1.5106108236716e-18,2.88220274070548,1.29505751045608e-15,13,"Up","Up-High risk"
"BUB1B",817,219,1.60708166479441,1.44670740167946,1.78523416298288,9.17324550244608e-19,8.84475121629072,2.99659353079905e-18,2.10048434716989,7.37261726465599e-13,10,"Up","Up-High risk"
"CDCA5",818,219,1.7275463367668,1.53012467974903,1.95043997732649,1.0490331906742e-18,8.82975706576717,3.31629847374425e-18,2.03582852566675,6.47463591517273e-17,11,"Up","Up-High risk"
"NCAPG",817,219,1.715650309535,1.52171158394019,1.93430609037358,1.14823833008999e-18,8.81964435366683,3.51647988590059e-18,1.54288707442662,8.7416982286212e-23,11,"Up","Up-High risk"
"CCNB1",818,219,1.80703019367809,1.58255051804003,2.06335158571013,2.27779460754705e-18,8.74261320248477,6.76435974362456e-18,1.11119057222406,6.55175666915764e-18,12,"Up","Up-High risk"
"BUB1",817,219,1.53872810084895,1.39687300405698,1.69498885114515,2.47940815527148e-18,8.73302930641851,7.14652938872368e-18,2.78836446286773,4.56670899669028e-13,10,"Up","Up-High risk"
"ASPM",818,219,1.49828238327208,1.36658608787493,1.64267009589878,7.10114946849251e-18,8.61326048764134,1.9883218511779e-17,2.95635266534283,5.76831752471349e-10,10,"Up","Up-High risk"
"KIF11",818,219,1.73022555505067,1.5247618955742,1.96337571134215,1.89089226947077e-17,8.50030743970807,5.14742895578155e-17,1.48642699793892,2.81632396321211e-15,12,"Up","Up-High risk"
"NDC80",817,219,1.67079477853027,1.48021041903192,1.8859178101109,9.85306885597708e-17,8.30654281267541,2.60973175104258e-16,1.85300857069558,9.22616444095325e-14,10,"Up","Up-High risk"
"CENPE",818,219,1.55246093200137,1.39922113413976,1.72248323484071,1.0849542469588e-16,8.29509832764196,2.79803990005164e-16,2.18396719393333,1.10632222405021e-10,10,"Up","Up-High risk"
