Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
VIP,FLUTAMIDE,TRUE,"",NCI,0.652547481986069,10822172
VIP,DIGOXIN,TRUE,"",NCI,0.383851459991805,3906626
VIP,AZASERINE,FALSE,"",NCI,2.61018992794428,8603469
VIP,IL-7,FALSE,"",NCI,6.52547481986069,9164934
VIP,RIBAVIRIN,TRUE,"",NCI,0.343446043150563,8771530
VIP,THERAPEUTIC ANDROSTANOLONE,FALSE,"",NCI,0.686892086301126,10886097
VIP,OMEPRAZOLE,TRUE,"",NCI,0.352728368641118,15684503
VIP,LISINOPRIL ANHYDROUS,TRUE,"",NCI,1.63136870496517,2822521
RTKN2,HALOPERIDOL DECANOATE,TRUE,"",PharmGKB,1.37378417260225,27023437
CACNA1H,FLUNARIZINE,FALSE,blocker,TEND; TTD; TdgClinicalTrial; GuideToPharmacology,0.441469755254846,""
CACNA1H,IMAGABALIN,FALSE,modulator,ChEMBL,0.0466939164211856,""
CACNA1H,SULOCTIDIL,TRUE,blocker,ChEMBL,0.0466939164211856,""
CACNA1H,GABAPENTIN ENACARBIL,TRUE,modulator,ChEMBL,0.0449645121092899,""
CACNA1H,ABT-639,FALSE,blocker,GuideToPharmacology,0.404680608983609,""
CACNA1H,CELECOXIB,TRUE,"",PharmGKB,0.0362400545358456,22336956
CACNA1H,MIBEFRADIL,FALSE,blocker,TTD; GuideToPharmacology,0.142828450229509,""
CACNA1H,SODIUM BICARBONATE,TRUE,"",TTD,0.607020913475413,""
CACNA1H,ABT-639,FALSE,blocker,TTD; ChEMBL,2.42808365390165,""
CACNA1H,PHLOROGLUCINOL,TRUE,blocker,ChEMBL,0.0466939164211856,""
CACNA1H,MIBEFRADIL DIHYDROCHLORIDE,TRUE,blocker,ChEMBL,0.173434546707261,""
CACNA1H,PHENSUXIMIDE,TRUE,blocker,ChEMBL,0.404680608983609,""
CACNA1H,Z944,FALSE,blocker,GuideToPharmacology,0.404680608983609,""
CACNA1H,PIMOZIDE,TRUE,blocker,GuideToPharmacology,0.0357071125573772,""
CACNA1H,CHEMBL:CHEMBL526952,FALSE,"",DTC,0.607020913475413,""
CACNA1H,NAFTOPIDIL,TRUE,"",DTC,0.202340304491804,""
CACNA1H,CHEMBL:CHEMBL592106,FALSE,"",DTC,0.404680608983609,""
CACNA1H,LAMOTRIGINE,TRUE,"",PharmGKB,0.110367438813711,28165634
CACNA1H,ATAGABALIN,FALSE,modulator,ChEMBL,0.0466939164211856,""
CACNA1H,EFONIDIPINE,FALSE,blocker,GuideToPharmacology,0.607020913475413,""
CACNA1H,TERODILINE HYDROCHLORIDE,TRUE,blocker,ChEMBL,0.0391626395790589,""
CACNA1H,CHEMBL:CHEMBL592566,FALSE,"",DTC,1.21404182695083,""
CACNA1H,ML218,FALSE,blocker,GuideToPharmacology,0.404680608983609,""
CACNA1H,APINOCALTAMIDE,FALSE,blocker,ChEMBL,0.404680608983609,""
CACNA1H,FLUNARIZINE DIHYDROCHLORIDE,FALSE,"",DTC,0.242808365390165,""
CACNA1H,CHEMBL:CHEMBL374632,FALSE,"",DTC,0.110367438813711,""
CACNA1H,ZONISAMIDE,TRUE,"",TdgClinicalTrial,0.048561673078033,""
CACNA1H,CHEMBL:CHEMBL533602,FALSE,"",DTC,0.101170152245902,""
CACNA1H,PARAMETHADIONE,TRUE,blocker,ChEMBL,0.404680608983609,""
CACNA1H,CHEMBL:CHEMBL1570199,FALSE,"",DTC,1.21404182695083,""
CACNA1H,BEPRIDIL HYDROCHLORIDE,TRUE,blocker,ChEMBL,0.0466939164211856,""
CACNA1H,OXATOMIDE,TRUE,"",DTC,0.202340304491804,""
CACNA1H,SUVECALTAMIDE,FALSE,blocker; modulator,ChEMBL; GuideToPharmacology,0.48561673078033,""
CACNA1H,ACT-709478,FALSE,blocker,GuideToPharmacology,0.404680608983609,""
CACNA1H,TTA-A2,FALSE,blocker,GuideToPharmacology,0.404680608983609,""
CACNA1H,METHSUXIMIDE,TRUE,blocker,ChEMBL,0.404680608983609,""
CACNA1H,PREGABALIN,TRUE,modulator,ChEMBL,0.0466939164211856,""
CACNA1H,ANANDAMIDE,FALSE,blocker,GuideToPharmacology,0.0758776141844266,""
CACNA1H,GABAPENTIN,TRUE,modulator,ChEMBL,0.0303510456737707,""
CACNA1H,ETHOSUXIMIDE,TRUE,blocker,PharmGKB; ChEMBL,0.728425096170496,28165634
CACNA1H,NI2+,FALSE,blocker,GuideToPharmacology,0.303510456737707,""
CACNA1H,TRIMETHADIONE,TRUE,blocker,ChEMBL,0.303510456737707,""
CACNA1H,ELLIPTECINE,FALSE,"",DTC,0.0379388070922133,""
HSD3B1,TRILOSTANE,TRUE,"",TEND; TdgClinicalTrial,8.70063309314759,""
HSD3B1,HYDROCHLOROTHIAZIDE,TRUE,"",PharmGKB,1.13486518606273,27802415
SAA1,NAPROXEN SODIUM,TRUE,"",NCI,3.07081167993444,1729367
SAA1,ANAKINRA,TRUE,"",NCI,5.80042206209839,1717568
NGF,MEDI-578,FALSE,inhibitor,TTD; ChEMBL,11.6008441241968,""
NGF,CERE-110,FALSE,"",TTD; TdgClinicalTrial,11.6008441241968,""
NGF,FASINUMAB,FALSE,inhibitor,TTD; ChEMBL,11.6008441241968,""
NGF,TANEZUMAB,FALSE,inhibitor,TTD; TdgClinicalTrial; ChEMBL,17.4012661862952,""
NGF,FRUNEVETMAB,FALSE,binder,ChEMBL,5.80042206209839,""
NGF,FULRANUMAB,FALSE,inhibitor,ChEMBL,2.9002110310492,""
NGF,FASINUMAB,FALSE,"",TTD,5.80042206209839,""
NGF,BEDINVETMAB,FALSE,binder,ChEMBL,5.80042206209839,""
NGF,PG-110,FALSE,inhibitor,ChEMBL,5.80042206209839,""
COL28A1,OCRIPLASMIN,TRUE,cleavage,ChEMBL,0.686892086301126,""
COL28A1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,TRUE,cleavage,ChEMBL,0.932210688551528,""
MS4A2,TIRBANIBULIN,TRUE,inhibitor,GuideToPharmacology,0.336798700379907,""
MS4A2,CCT196969,FALSE,inhibitor,GuideToPharmacology,0.280665583649922,""
MS4A2,N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE,FALSE,inhibitor,GuideToPharmacology,0.561331167299844,""
MS4A2,KX2-361,FALSE,inhibitor,GuideToPharmacology,0.841996750949767,""
MS4A2,"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",FALSE,inhibitor,GuideToPharmacology,0.0701663959124806,""
MS4A2,PD166285,FALSE,inhibitor,GuideToPharmacology,0.240570500271362,""
MS4A2,COMPOUND 36 [PMID: 21958547],FALSE,inhibitor,GuideToPharmacology,0.420998375474883,""
MS4A2,GEMCITABINE,TRUE,"",PharmGKB,0.0366085543891203,22142827
MS4A2,COMPOUND 25 [PMID: 31260299],FALSE,inhibitor,GuideToPharmacology,0.280665583649922,""
MS4A2,ELZOVANTINIB,FALSE,inhibitor,GuideToPharmacology,0.561331167299844,""
MS4A2,SYK INHIBITOR III,FALSE,inhibitor,GuideToPharmacology,0.187110389099948,""
MS4A2,COMPOUND 8H [PMID: 22765894],FALSE,inhibitor,GuideToPharmacology,0.153090318354503,""
MS4A2,MAX-40279,FALSE,inhibitor,GuideToPharmacology,0.420998375474883,""
MS4A2,ACALABRUTINIB,TRUE,inhibitor,GuideToPharmacology,0.0990584412882079,""
MS4A2,SI306,FALSE,inhibitor,GuideToPharmacology,1.68399350189953,""
MS4A2,COMPOUND 19A [PMID: 30503936],FALSE,inhibitor,GuideToPharmacology,0.210499187737442,""
MS4A2,NG-25,FALSE,inhibitor,GuideToPharmacology,0.336798700379907,""
MS4A2,DASATINIB ANHYDROUS,TRUE,inhibitor,GuideToPharmacology,0.0221578092355202,""
MS4A2,ECF506,FALSE,inhibitor,GuideToPharmacology,0.168399350189953,""
MS4A2,CCT241161,FALSE,inhibitor,GuideToPharmacology,0.280665583649922,""
MS4A2,COMPOUND 2 [PMID: 15546730],FALSE,inhibitor,GuideToPharmacology,0.240570500271362,""
MS4A2,PP-121,FALSE,inhibitor,GuideToPharmacology,0.140332791824961,""
MS4A2,SARACATINIB,FALSE,inhibitor,GuideToPharmacology,0.129537961684579,""
MS4A2,BOSUTINIB,TRUE,inhibitor,GuideToPharmacology,0.0732171087782406,""
MS4A2,DORSOMORPHIN,FALSE,inhibitor,GuideToPharmacology,0.210499187737442,""
