Symbol,n_drugs,n_interactions,drug_names,interaction_types,sources,pooled_log2FC,rem_pvalue,rem_padj,Direction,Gene_Family,is_hub,Priority
CACNA1H,42,43,FLUNARIZINE; IMAGABALIN; SULOCTIDIL; GABAPENTIN ENACARBIL; ABT-639; CELECOXIB; MIBEFRADIL; SODIUM BICARBONATE; PHLOROGLUCINOL; MIBEFRADIL DIHYDROCHLORIDE; PHENSUXIMIDE; Z944; PIMOZIDE; CHEMBL:CHEMBL526952; NAFTOPIDIL; CHEMBL:CHEMBL592106; LAMOTRIGINE; ATAGABALIN; EFONIDIPINE; TERODILINE HYDROCHLORIDE; CHEMBL:CHEMBL592566; ML218; APINOCALTAMIDE; FLUNARIZINE DIHYDROCHLORIDE; CHEMBL:CHEMBL374632; ZONISAMIDE; CHEMBL:CHEMBL533602; PARAMETHADIONE; CHEMBL:CHEMBL1570199; BEPRIDIL HYDROCHLORIDE; OXATOMIDE; SUVECALTAMIDE; ACT-709478; TTA-A2; METHSUXIMIDE; PREGABALIN; ANANDAMIDE; GABAPENTIN; ETHOSUXIMIDE; NI2+; TRIMETHADIONE; ELLIPTECINE,blocker; modulator; ; blocker; modulator,TEND; TTD; TdgClinicalTrial; GuideToPharmacology; ChEMBL; GuideToPharmacology; PharmGKB; TTD; GuideToPharmacology; TTD; TTD; ChEMBL; DTC; TdgClinicalTrial; ChEMBL; GuideToPharmacology; PharmGKB; ChEMBL,1.6196721544894,0.000573110232738677,0.0276118284654928,Up,Ion Channel,FALSE,Medium
MS4A2,31,31,"TIRBANIBULIN; CCT196969; N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE; KX2-361; (3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE; PD166285; COMPOUND 36 [PMID: 21958547]; GEMCITABINE; COMPOUND 25 [PMID: 31260299]; ELZOVANTINIB; SYK INHIBITOR III; COMPOUND 8H [PMID: 22765894]; MAX-40279; ACALABRUTINIB; SI306; COMPOUND 19A [PMID: 30503936]; NG-25; DASATINIB ANHYDROUS; ECF506; CCT241161; COMPOUND 2 [PMID: 15546730]; PP-121; SARACATINIB; BOSUTINIB; DORSOMORPHIN; BALAMAPIMOD; IBRUTINIB; TAK-020; ENMD-2076; WH-4-023; OMALIZUMAB",inhibitor; ,GuideToPharmacology; PharmGKB; TdgClinicalTrial,1.68041588001274,0.000563050069205382,0.0273243117903564,Up,Other,FALSE,Medium
NGF,8,9,MEDI-578; CERE-110; FASINUMAB; TANEZUMAB; FRUNEVETMAB; FULRANUMAB; BEDINVETMAB; PG-110,inhibitor; ; binder,TTD; ChEMBL; TTD; TdgClinicalTrial; TTD; TdgClinicalTrial; ChEMBL; ChEMBL; TTD,1.47682202819229,1.37171523830723e-07,2.79533321536122e-05,Up,Other,FALSE,Medium
VIP,8,8,FLUTAMIDE; DIGOXIN; AZASERINE; IL-7; RIBAVIRIN; THERAPEUTIC ANDROSTANOLONE; OMEPRAZOLE; LISINOPRIL ANHYDROUS,"",NCI,1.04333453530164,2.65226826693315e-06,0.000380916242527161,Up,Other,FALSE,Medium
COL28A1,2,2,OCRIPLASMIN; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,cleavage,ChEMBL,1.64925045948985,0.000105904076440124,0.00722639580414965,Up,Other,FALSE,Low
FGF19,2,2,FGFR4 INHIBITOR H3B-6527; FISOGATINIB,"",CIViC,-2.11534522567487,4.12998552488941e-05,0.00346001009529623,Down,Growth Factor/Cytokine,FALSE,Low
HSD3B1,2,2,TRILOSTANE; HYDROCHLOROTHIAZIDE,"",TEND; TdgClinicalTrial; PharmGKB,-3.14125697392019,3.24217600928261e-12,2.32819115333246e-09,Down,Other,FALSE,Low
SAA1,2,2,NAPROXEN SODIUM; ANAKINRA,"",NCI,2.07837276479729,0.000156763214011463,0.0100595287969909,Up,Other,FALSE,Low
CADM2,1,1,DEHYDRATED ALCOHOL,"",PharmGKB,1.59867239725733,0.000229075384345206,0.0134292481200422,Up,Other,FALSE,Low
RTKN2,1,1,HALOPERIDOL DECANOATE,"",PharmGKB,-2.74166085717681,4.29310726497378e-10,1.96181992593347e-07,Down,Other,FALSE,Low
