ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0016054,organic acid catabolic process,231,0.526538418688203,2.21476899102559,1.21495298327931e-10,3.5464477581923e-07,3.30531156345829e-07,3278,"tags=57%, list=22%, signal=45%",9942/51540/5465/23659/275/84830/254552/137872/83752/1384/80724/11112/37/11057/5830/4143/5095/3033/84129/10588/1036/38/1891/6718/36/55258/64902/5860/2110/3067/18/5446/6652/1892/30/152926/23475/1579/3081/208/2746/32/3295/3032/23498/10449/34/3712/4051/64577/125061/10841/5105/144193/4329/64900/8309/1962/122970/283927/10247/51181/2806/169355/3242/51268/5444/6822/189/10157/102724560/66002/2184/130013/84693/8647/23464/3028/3034/64087/23417/10840/54363/2731/875/10455/5009/8529/56898/440503/51390/11001/51/35/2653/5053/1757/27165/10295/3030/6999/1592/1629/5264/83667/383/26275/3155/5106/51084/33/2166/54511/10993/131669/26063/84879/112817/55268/254013/8564/1666/6898/197257/58510/84706/593/27034/2639/23175/10327/549
GO:0046395,carboxylic acid catabolic process,231,0.526538418688203,2.21476899102559,1.21495298327931e-10,3.5464477581923e-07,3.30531156345829e-07,3278,"tags=57%, list=22%, signal=45%",9942/51540/5465/23659/275/84830/254552/137872/83752/1384/80724/11112/37/11057/5830/4143/5095/3033/84129/10588/1036/38/1891/6718/36/55258/64902/5860/2110/3067/18/5446/6652/1892/30/152926/23475/1579/3081/208/2746/32/3295/3032/23498/10449/34/3712/4051/64577/125061/10841/5105/144193/4329/64900/8309/1962/122970/283927/10247/51181/2806/169355/3242/51268/5444/6822/189/10157/102724560/66002/2184/130013/84693/8647/23464/3028/3034/64087/23417/10840/54363/2731/875/10455/5009/8529/56898/440503/51390/11001/51/35/2653/5053/1757/27165/10295/3030/6999/1592/1629/5264/83667/383/26275/3155/5106/51084/33/2166/54511/10993/131669/26063/84879/112817/55268/254013/8564/1666/6898/197257/58510/84706/593/27034/2639/23175/10327/549
GO:0044282,small molecule catabolic process,340,0.439511463663667,1.92931929022274,3.5151215039131e-08,6.84042644661489e-05,6.3753203697287e-05,3278,"tags=47%, list=22%, signal=37%",9942/51540/5465/23659/275/84830/254552/137872/6783/83752/1384/80724/11112/37/11057/5830/4143/5095/55811/3033/84129/10588/1036/38/1891/6718/36/4860/55258/64902/5860/2110/3067/132158/4041/18/5446/6652/1892/1593/30/1806/152926/23475/5236/1579/3081/208/8630/2746/32/1576/3295/3032/23498/10449/34/3712/4051/64577/6799/125061/10841/5105/144193/4329/2592/217/64900/8309/1962/122970/283927/1543/10247/229/51181/2806/169355/51733/445329/57834/3242/51268/5444/6822/189/10157/102724560/66002/2184/130013/84693/8647/23464/3028/3034/64087/23417/10840/54363/2731/875/10455/5009/8529/56898/440503/51390/11001/51/7498/35/2653/5053/1757/51171/10858/27165/10295/572/3030/6999/1592/1629/5264/83667/383/26275/3155/5106/1581/51084/27284/33/2166/54511/10993/131669/26063/84879/112817/55268/254013/8564/1666/6898/197257/2528/58510/84706/9583/593/27034/8578/2639/23175/10327/549
GO:0072329,monocarboxylic acid catabolic process,118,0.578835842687821,2.24248574103138,9.01325226043661e-08,0.00012882738799577,0.000120067933962629,3278,"tags=62%, list=22%, signal=49%",9942/5465/23659/84830/254552/83752/1384/80724/37/11057/5830/5095/3033/84129/38/1891/6718/64902/2110/6652/1892/30/1579/208/32/3295/3032/10449/34/3712/4051/5105/64900/8309/1962/283927/51181/6822/189/66002/2184/84693/8647/3028/23417/54363/10455/8529/56898/440503/51390/11001/51/35/3030/1592/5264/83667/5106/51084/33/2166/26063/84879/112817/55268/254013/1666/197257/2639/23175/10327/549
GO:0006631,fatty acid metabolic process,366,0.421853432668218,1.87302658146289,1.10335207259138e-07,0.00012882738799577,0.000120067933962629,3630,"tags=48%, list=24%, signal=37%",5465/23659/84830/348158/254552/8864/83752/51703/10060/199974/9524/57406/1384/11019/158584/80724/54995/80339/7494/37/11057/5830/84649/1557/79746/5095/3033/8816/84129/64410/38/2180/1891/123876/36/10613/55258/9388/116519/1565/51179/552/6622/84869/337/284541/2110/11000/1892/30/1579/84266/208/2944/1571/32/1576/3295/1109/6307/3032/10449/376497/34/3712/4051/4706/57678/6296/113612/22949/5105/570/53632/2946/64900/5743/8309/1962/1555/122970/1558/85414/1564/3990/1548/283927/1543/2687/718/5322/79071/57834/27163/1559/5321/345/10062/313/79777/66002/84693/8647/3028/23417/54363/5166/27329/1066/10455/641371/2329/8529/285440/56898/440503/51390/11001/51/51129/35/10295/3030/1562/134526/54988/7148/2948/5264/83667/5106/1581/10998/341/1573/51084/10965/33/2166/1622/284273/26063/84879/55268/254013/1544/6916/153364/1666/10464/3638/51085/5740/27010/9611/5165/2639/11160/23175/549/3248/7132/137964/4594/5730/641372/51422/127/51099/55902/131/39/27306/1376
GO:0000819,sister chromatid segregation,223,-0.473364450044651,-1.99784428168212,5.21579291571314e-07,0.000507496650698889,0.000472990062830197,3926,"tags=54%, list=26%, signal=41%",10274/51529/7155/92421/57405/51203/10592/51434/9031/29117/54908/22919/79643/54892/4733/51652/4751/891/6599/83540/24137/9918/332/605/11065/9055/81929/11004/29127/221150/1062/9319/9928/10459/7517/81930/9212/147841/9735/64151/55143/990/22974/2491/8379/3832/5501/11200/56984/10540/220134/10403/23397/3833/9184/3837/1063/9493/90417/10735/991/699/9787/57132/701/3619/5518/23636/1104/23212/11130/2801/3550/55055/4605/10460/56992/6597/6605/983/10300/25936/8766/5901/9126/10051/146909/7153/55743/57082/7175/3796/51143/3192/81620/348235/29128/64105/27436/54617/4085/128866/26065/6598/996/8678/25978/9275/60/387/29781/51115/5885/129563/23122/10524/9587/440145/29082/116028/4926
GO:0140014,mitotic nuclear division,262,-0.442795428747279,-1.90107682314239,3.20101525684894e-06,0.00266964672421202,0.00248812749814319,3926,"tags=52%, list=26%, signal=39%",10274/51529/92421/57405/55968/51203/10592/51434/9031/27085/54908/22919/79643/54892/4733/51652/4751/891/83540/24137/9918/54443/332/11065/54820/9055/81929/11004/29127/221150/5155/1062/9319/9928/10459/7517/81930/9212/147841/9820/157313/9735/64151/55143/22974/2491/8379/8815/3832/5501/11200/6790/56984/10540/4779/220134/10403/23397/3833/9184/23141/9585/3837/1063/9493/90417/10735/28984/991/699/9787/4288/1111/57132/701/3619/5518/23636/27338/1104/23212/11130/2801/79080/3550/55055/4605/56992/5159/983/10201/10300/25936/8766/5901/9126/10051/146909/9150/8877/57082/7175/3796/51143/3192/81620/54461/348235/29128/64105/55023/27436/54617/4085/128866/26065/8678/25978/387/29781/51115/9088/998/5885/129563/23122/940/10524/9587/440145/1613/29082/6683/4926/148362
GO:0009062,fatty acid catabolic process,98,0.551028892559666,2.05698371226743,8.04155177034957e-06,0.00469465792353008,0.00437545064220389,3278,"tags=61%, list=22%, signal=48%",5465/23659/84830/254552/83752/1384/80724/37/11057/5830/5095/3033/84129/38/1891/2110/1892/30/1579/208/32/3295/3032/10449/34/3712/4051/5105/64900/8309/1962/283927/66002/84693/8647/3028/23417/54363/10455/8529/56898/440503/51390/11001/51/35/3030/5264/83667/5106/33/2166/26063/84879/55268/254013/1666/2639/23175/549
GO:0000070,mitotic sister chromatid segregation,186,-0.481208611308585,-1.9717652335419,7.35686200552312e-06,0.00469465792353008,0.00437545064220389,3926,"tags=57%, list=26%, signal=43%",10274/51529/92421/57405/51203/10592/51434/9031/54908/22919/79643/54892/4733/51652/4751/891/83540/24137/9918/332/11065/9055/81929/11004/29127/221150/1062/9319/9928/10459/7517/81930/9212/147841/9735/64151/55143/22974/2491/8379/3832/5501/11200/56984/10540/220134/10403/23397/3833/9184/3837/1063/9493/90417/10735/991/699/9787/57132/701/3619/5518/23636/1104/23212/11130/2801/3550/55055/4605/56992/983/10300/25936/8766/5901/9126/10051/146909/57082/7175/3796/51143/3192/81620/348235/29128/64105/27436/54617/4085/128866/26065/8678/25978/387/29781/51115/5885/129563/23122/10524/9587/440145/29082/4926
GO:0006066,alcohol metabolic process,323,0.396815206186726,1.73132336826588,7.37469617759068e-06,0.00469465792353008,0.00437545064220389,3837,"tags=42%, list=26%, signal=32%",654/9562/8912/222236/2235/3632/9249/6783/29881/6697/1577/185/9971/79147/37/84649/5092/6718/116255/10613/130/116519/1565/6622/5860/2852/6609/84869/337/8608/4041/6652/1593/3158/7108/8630/2053/6309/125/1576/1109/6307/10449/5745/5592/23541/6799/50814/5105/19/3421/6526/5341/217/5805/124/10162/1558/3990/64768/1543/445329/27163/126/3479/1559/3291/5321/5444/54206/6822/10901/80168/170685/319/335/54363/27329/3931/1066/10682/2222/10858/79178/1562/338/3069/84105/8435/8720/5106/1581/341/27284/653/33/145226/3633/1544/2055/3418/3638/8613/27010/5959/2643/6569/8821/123099/8578/11160/847/64788/10327/158219/8431/115330/3157/127/26119/8542/55902/131/8228/4204/1621/51478/51744/3156/6770/9227/2260/4923/3631/9563/2230
GO:0016042,lipid catabolic process,301,0.39966068892524,1.73214672169736,1.57113175682378e-05,0.00764355599694771,0.00712384215001942,3302,"tags=41%, list=22%, signal=33%",89869/222236/5465/5333/23659/84830/254552/6783/83752/57406/1384/158584/80724/129807/80339/37/11057/201164/5830/5095/3033/84129/38/1891/6718/9388/116519/338442/11145/6609/337/2110/1892/1593/30/1579/208/257068/8630/32/1576/3295/3032/10449/34/3712/54979/5920/4051/5105/5048/5919/64900/8309/1962/5337/3990/283927/1543/5322/5346/51365/27163/116236/374569/5321/345/6822/83875/9588/313/66002/84693/8647/3028/23417/54363/27329/1066/10455/8529/84681/56898/440503/51390/345557/11001/51/1373/6716/35/81579/10858/6715/3030/1592/3290/5264/338/83667/6653/5106/23111/1581/341/33/2166/375775/26063/84879/55268/254013/1544/1666/57733/8613/4669/8578/10825/2639/23175/549/3248
GO:0044772,mitotic cell cycle phase transition,408,-0.373052542775419,-1.67232825306399,1.47682618649871e-05,0.00764355599694771,0.00712384215001942,4796,"tags=51%, list=32%, signal=36%",23276/51451/8493/9113/8899/7465/8453/11319/51776/2146/5925/4193/51400/995/143384/26271/994/901/86/8556/79184/1642/57695/56658/255374/1017/6881/5933/6602/6873/58493/7023/4331/5218/899/27243/55159/286053/10197/245711/808/51529/1981/92421/57405/10385/5720/898/51434/29117/27085/54908/9032/8870/340152/891/9133/1019/6599/79035/5591/83540/7157/1031/54443/332/605/11065/58480/6491/221150/9833/4361/1062/9319/29766/9928/10459/7517/645121/9212/147841/90/9735/60672/4998/55143/990/23560/5243/8379/11073/5890/10083/11200/79915/1785/6790/56984/220134/10403/5515/890/9184/63967/8883/1033/1063/81853/28984/991/51692/699/9787/23236/10763/1111/701/993/3619/1869/27338/9344/5889/1104/51149/6118/11130/57521/3550/55055/10460/10776/6597/6605/983/163859/56257/90381/57551/641/8766/3306/6241/4683/2029/8317/51514/9150/25949/55626/6240/55743/57082/7175/10926/51143/10457/84930/10537/8450/79027/26060/5932/4602/54617/6929/4085/128866/6598/51347/996/55920/84446/9275/60/580/9088/5885/3688/1021/79621/10657/128239/1030/219771/163786/23122/55198/7319/50484/586/60561/9577/1029/8525/1871/135458/54465/9587/51379/79577/6683/6868/805/5569/5721/9978
GO:0170039,proteinogenic amino acid metabolic process,161,0.458439112419277,1.86382799652957,2.41699157762013e-05,0.0108541514078049,0.0101161372183955,3452,"tags=55%, list=23%, signal=43%",275/137872/9971/11112/6472/1638/5092/4143/10588/1036/27232/38/29968/36/10249/64902/5860/56954/3067/23475/3081/2746/51151/23498/3712/55256/2346/125061/10841/570/23743/144193/4522/4329/4482/10247/80017/2806/169355/3242/256987/51268/443/374569/441024/189/10157/92292/102724560/2184/130013/23464/84245/3028/3034/64087/54363/2731/875/635/5009/445/7054/1373/2653/5053/27165/10295/6999/383/26275/3155/57494/54511/10993/131669/143941/8564/389434/6898/58510/84706/27034/2639/549/2954/8942/2875/2356
GO:0009063,amino acid catabolic process,106,0.527231887473535,1.99026797572286,2.97204069467596e-05,0.0115671823836788,0.0107806865619509,3862,"tags=67%, list=26%, signal=50%",51540/275/137872/11112/4143/1036/38/36/55258/64902/5860/3067/18/1892/152926/3081/2746/23498/3712/64577/125061/10841/144193/4329/10247/2806/169355/3242/51268/189/10157/102724560/2184/130013/23464/3028/3034/64087/2731/875/5009/2653/5053/1757/27165/10295/6999/1629/383/26275/3155/54511/10993/131669/112817/8564/6898/58510/84706/593/27034/549/2954/8942/2875/594/51166/51380/642/7915/138199
GO:0098813,nuclear chromosome segregation,286,-0.407458460728782,-1.76899201297593,2.82328594498486e-05,0.0115671823836788,0.0107806865619509,3926,"tags=51%, list=26%, signal=39%",10274/51529/7155/92421/57405/51203/10592/898/51434/9031/29117/54908/22919/79643/54892/4733/51652/4751/891/9133/151648/6599/83540/24137/9918/332/605/11065/9055/81929/11004/29127/221150/79980/7917/4361/1062/9319/9928/10459/7517/81930/10919/9212/147841/9735/64151/55143/990/22974/9232/2491/83990/8379/1778/55706/3832/5501/11200/6790/259266/56984/10540/220134/10403/23397/3833/9184/3837/1063/25879/9493/90417/10735/991/699/9787/57132/701/150465/3619/5518/23636/1104/2177/23212/23353/11130/2801/3550/55055/4605/10460/56992/1894/6597/6605/983/10300/7320/25936/157777/8766/5901/9126/10051/146909/7153/55743/57082/7175/3796/51143/55166/3192/81620/348235/29128/64105/27436/54617/4085/128866/26065/6598/996/8678/55920/25978/9275/60/387/29781/51115/998/10097/5885/129563/55201/10096/23122/10524/9587/440145/29082/116028/4926
GO:1901605,alpha-amino acid metabolic process,189,0.438309255962739,1.81441764317701,3.35543583217928e-05,0.0122431464926641,0.0114106893529833,3692,"tags=54%, list=25%, signal=42%",51540/275/137872/9971/11112/6472/1638/5092/4143/10588/1036/27232/38/29968/36/10249/55258/64902/5860/56954/3067/23475/3081/2746/51151/23498/3712/64577/55256/2346/125061/10841/570/23743/144193/4522/4329/4482/10247/80017/2806/169355/3242/256987/51268/443/374569/441024/189/10157/92292/102724560/2184/130013/23464/84245/3028/3034/64087/54363/2731/875/635/5009/445/7054/1373/2653/5053/1757/27165/420/10295/6999/22928/3172/383/26275/3155/57494/54511/10993/131669/112817/143941/8564/389434/6898/58510/84706/27034/2639/549/4594/2954/8942/2875/2356/51166/4204/4357/435/51380
GO:0009072,aromatic amino acid metabolic process,37,0.693183422572397,2.13813832888741,4.03004871337624e-05,0.0130707913270503,0.0121820595318373,3423,"tags=73%, list=23%, signal=56%",1638/5092/5860/3067/23475/3081/51151/23498/125061/10841/144193/169355/3242/2184/130013/3034/7054/5053/6999/131669/143941/8564/389434/6898/2639/2954/8942
GO:2000846,regulation of corticosteroid hormone secretion,12,0.861185144791145,2.11792694939324,4.00481617685205e-05,0.0130707913270503,0.0121820595318373,714,"tags=42%, list=5%, signal=40%",84417/654/51738/185/1408
GO:1901606,alpha-amino acid catabolic process,93,0.539085251563722,1.99983767989901,5.06990788472778e-05,0.0143232142932706,0.0133493255949074,3441,"tags=65%, list=23%, signal=50%",51540/275/137872/11112/4143/1036/38/36/55258/64902/5860/3067/3081/2746/23498/3712/64577/125061/10841/144193/4329/10247/2806/169355/3242/51268/189/10157/102724560/2184/130013/23464/3028/3034/64087/2731/875/5009/2653/5053/1757/27165/10295/6999/383/26275/3155/54511/10993/131669/112817/8564/6898/58510/84706/27034/549/2954/8942/2875
GO:0006260,DNA replication,278,-0.4031735413207,-1.74619916653092,5.15223535729159e-05,0.0143232142932706,0.0133493255949074,3639,"tags=40%, list=24%, signal=31%",6749/466/56652/4171/54107/5931/84464/92667/5591/7157/79596/4361/1854/5985/10919/10293/5888/259282/4998/990/27101/11198/7528/23560/5558/51659/11073/25842/79075/10535/79915/4176/6596/10445/8607/3978/890/8318/9768/50485/54108/1111/993/546/253714/6118/1660/8208/9837/83743/55388/5429/56897/4673/8655/10721/983/163859/10036/90381/6418/641/4172/5965/4175/4683/9126/8317/51514/23594/27000/6742/6240/11169/10926/51053/81620/4173/29844/5424/5983/114799/92675/5932/5976/54617/10856/675/580/8099/10269/5111/374393/57697/222229/64769/6282/64318/50484/4174/253461/54465/84083/51377/7270/5442/116028/5982/23595/10973
GO:0042254,ribosome biogenesis,310,-0.391577699758154,-1.71475822716553,4.97754952157865e-05,0.0143232142932706,0.0133493255949074,4445,"tags=54%, list=30%, signal=39%",90459/51504/10360/10528/65083/9188/55813/6232/54475/220064/55759/64434/88745/29960/22984/54059/25926/92342/117246/3669/22907/22803/10775/285855/6129/81554/55127/30836/84273/81691/27042/2091/404672/55646/84946/5394/26284/2197/81875/10885/9221/10514/5591/83732/79954/9816/1736/2752/55226/6041/55505/51118/6194/8886/153443/79631/705/7520/6206/5303/51388/23560/90441/81887/345630/23076/10813/26574/6223/27340/55003/6218/27292/9045/54552/9136/25879/23029/388524/84135/23246/9775/102157402/54505/57647/51096/23160/3692/27341/29063/56915/3921/56902/51729/51187/23212/29777/401466/83743/54955/6229/4869/6202/51491/23481/51042/163859/55695/8568/51018/11224/55661/5901/11137/6169/6175/91893/6165/5036/8780/6217/23016/51335/6227/55636/9277/57602/29889/10557/51077/84294/55319/6201/55299/79050/8450/6205/9669/1662/84154/4809/9326/51441/84864/26155/51575/5393/54512/79029/114049/10200/79039/6155/27043/10799/6130/11056/51406/56342/113000/9092/7514/51154/1029/120379/60314/29081/387338
GO:0007059,chromosome segregation,393,-0.367323018462706,-1.64334184548261,5.95876683593451e-05,0.0158124003582662,0.0147372563516486,4059,"tags=49%, list=27%, signal=37%",348995/245711/7329/157570/292/56852/10286/10274/51529/7155/92421/6188/57405/51203/10592/898/51434/9031/29117/140710/151246/54908/22919/79643/54892/54930/4733/51652/91687/4751/891/9133/151648/6599/83540/24137/9918/127829/332/605/11065/23354/54820/9055/81929/11004/6732/6491/29127/221150/79980/7917/4361/1062/9319/9928/10459/7517/81930/10919/79172/9212/147841/157313/9735/64151/54801/55143/990/22974/9232/29899/23421/2491/11339/54069/83990/8379/1778/55706/203068/3832/5501/11200/79682/6790/259266/56984/10540/387103/220134/10403/23397/55355/6047/3833/9184/3837/1063/25879/9493/90417/10735/991/79023/699/79441/9787/115106/4288/57132/701/150465/3619/5518/23636/1104/2177/23212/23353/11130/2801/79080/3550/55055/4605/10460/56992/1894/6597/6605/983/10300/64946/7320/25936/157777/8766/5901/9126/10051/146909/7153/8780/55743/57082/7175/3796/84085/51143/55166/3192/81620/81624/348235/29128/55142/64105/27436/54617/4085/128866/26065/6598/996/8678/55207/55920/25978/9275/60/387/29781/1453/51115/998/10097/5885/129563/55201/10096/79019/163786/23122/9874/10524/84445/9587/440145/140609/29082/116028/28989/4926
GO:0006635,fatty acid beta-oxidation,69,0.583911201898104,2.06946949619929,7.63694318745576e-05,0.0175806174969472,0.0163852458198951,3278,"tags=59%, list=22%, signal=47%",5465/83752/1384/80724/37/5830/3033/84129/38/1891/2110/1892/30/208/32/3295/3032/10449/34/3712/8309/1962/8647/3028/23417/10455/56898/440503/11001/51/35/3030/83667/33/26063/84879/55268/254013/1666/2639/549
