"Cell_Type","Spearman_r","P_Value"
"Plasmacytoid_dendritic_cell",-0.0747590832701994,0.153986974905865
"Type_17_T_helper_cell",-0.0424852488629717,0.41818622814321
"MDSC",-0.0388588505588281,0.459040362462003
"Activated_CD8_T_cell",-0.0237977607391486,0.650284175498656
"Macrophage",-0.0153192192940677,0.770420521015212
"Central_memory_CD8_T_cell",-0.0103565197434499,0.843606902328151
"Monocyte",0.0137186191307009,0.793836836630719
"Effector_memory_CD8_T_cell",0.0399631807671332,0.446368728663179
"Natural_killer_T_cell",0.0491566372096352,0.348857927198799
"Type_2_T_helper_cell",0.0660280882378345,0.208101915923534
"Effector_memory_CD4_T_cell",0.0723130227060162,0.167940900086947
"Activated_CD4_T_cell",0.0787099942500796,0.133328896917149
"Neutrophil",0.0867502584996409,0.097952541552956
"T_follicular_helper_cell",0.0884621554057889,0.0914851789886156
"Activated_dendritic_cell",0.0885337209388411,0.0912224478891681
"Central_memory_CD4_T_cell",0.0987646308328994,0.0594496858063227
"Activated_B_cell",0.130714939675191,0.0124854577497817
"Type_1_T_helper_cell",0.179783970801263,0.000568799656180282
"B_cell",0.253557423936943,1.00231948366102e-06
