Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
BEX2,4,REML,-1.1841269212706,0.118527947761718,1.68112866912274e-23,0.0013383567711518,3.07550328914101e-06,2.90255297806627,0.406894891985158,0,2,1.06264006298657e-20,2.53514203303709e-19,3.18454136523001e-20
WFDC2,3,REML,-1.26012533009657,0.140610439472631,3.19365316516515e-19,0,0,1.23348050704767,0.539700861272137,0,2,3.26000974593161e-17,2.40801448653453e-15,8.28741520037906e-17
ZG16B,2,REML,-1.6484142880098,0.184973582610683,5.02922233490904e-19,0,0,0.433682504687111,0.510187509466691,0,2,5.90597346337852e-18,2.52802242701428e-15,1.5581189612972e-17
NME5,2,REML,-1.24423246719038,0.144516186789816,7.32898161168282e-18,0,0,0.403981376048508,0.525040238458654,0,2,6.57206677204306e-17,2.76302606760442e-14,1.64383424983263e-16
BMAL1,5,REML,0.745095221822887,0.0883479764519494,3.35070123408506e-17,0.0023696258620805,1.4358067311414e-06,3.41848595906835,0.490380466456807,0,0,2.49393608541556e-14,1.01057149220005e-13,5.54592255134482e-14
PRR4,2,REML,0.935668125561532,0.112156214508071,7.27092589412216e-17,0,0,0.139096942185234,0.709180429388301,0,0,1.07582786070194e-15,1.82742604138937e-13,2.54246734671451e-15
CRYZL2P-SEC16B,4,REML,0.396198200340779,0.0494188762707602,1.08233048328233e-15,0,0,1.66334870468583,0.645112718262949,0,0,2.98856032752624e-13,2.33164909827108e-12,6.28556342246803e-13
STX7,6,REML,-0.236866938862135,0.0299631362714302,2.67335095982847e-15,0,0,4.08327959703554,0.537489164385233,0,0,7.69471774931778e-12,5.03926655927666e-12,1.50442556281229e-11
GUCY1A2,5,REML,0.481179463270973,0.0614660568093317,4.94208251527898e-15,0.000732730405257403,1.87631588594273e-07,4.30785407088044,0.365942639279647,0,0,1.31432069400634e-12,8.28073381448967e-12,2.6769254545672e-12
ASCC3,5,REML,-0.299714975478169,0.0395682655293249,3.6015228634806e-14,0,0,2.08350982448867,0.720402480044937,0,0,3.0609261842731e-11,5.43109647812874e-11,5.78938503183724e-11
ADAMTSL4-AS1,2,REML,0.979717287407832,0.129813828603411,4.45074189711551e-14,0,0,0.181135675362369,0.670399070272253,1,0,4.01141449225015e-13,6.10156252804562e-11,8.38073296524414e-13
SLC23A3,5,REML,0.882531489476722,0.117274328399902,5.25754346251846e-14,0.00616341027631705,5.46140797774195e-06,4.22819871299845,0.376002541161751,1,0,1.93825333772815e-11,6.40844254721914e-11,3.7031369989789e-11
ZNF431,5,REML,-0.51303347704317,0.0683203056476265,5.94722392129025e-14,0.00326927999273537,9.55645263918541e-07,4.14932437187382,0.386174032801454,0,0,8.78527918377561e-12,6.40844254721914e-11,1.71099070245817e-11
VAT1L,5,REML,1.05315954701266,0.140249441198672,5.9494824708931e-14,0,0,1.58774533399055,0.810992978262946,1,0,3.35537031207043e-11,6.40844254721914e-11,6.33596096995018e-11
ECRG4,2,REML,1.31216235350697,0.175219331168499,6.95671496604726e-14,0,0,0.847327975294638,0.357309341198167,2,0,4.10481098913981e-13,6.99381744586618e-11,8.5711090717569e-13
IFI27L1,5,REML,-0.413423753779974,0.055514478036944,9.53897612898301e-14,0.00112877296486983,2.67281459996953e-07,4.76711472018595,0.312038178815819,0,0,1.86069701307518e-11,8.99048500156649e-11,3.55901965463898e-11
EIF3L,6,REML,0.184315641803776,0.0252078454448183,2.63515841963332e-13,0,0,2.94667690818926,0.708206552633737,0,0,7.35331033699012e-10,2.33754052753356e-10,1.29769362061803e-09
LIMS4,5,REML,-0.557767898577165,0.0770086193139593,4.39099480784804e-13,0.0018929404867074,1.10206578092973e-06,7.39211797795872,0.116561605287038,0,0,1.85302671622421e-11,3.67867787235269e-10,3.54479803129025e-11
CTSE,2,REML,-2.0070845234909,0.284032340370032,1.59011137134176e-12,0,0,0.436253298512705,0.508936394351495,0,1,2.0438181328138e-11,1.26204628841231e-09,3.89988326494144e-11
C1QTNF2,2,REML,0.973518033430703,0.137959441594245,1.70684253085964e-12,0,0,0.0232304125994271,0.878859419056607,0,0,1.18587341177591e-11,1.28695926826817e-09,2.29651612297172e-11
HSD3B1,2,REML,-3.14125697392019,0.450889122071081,3.24217600928261e-12,20.9389906899118,0.112887367038423,1.26484598252201,0.260735801538407,0,2,2.84304404163063e-18,2.32819115333246e-09,7.62866621846795e-18
CARS2,5,REML,0.207716003595281,0.030085746287135,5.05108440872468e-12,0.00440701403828776,3.67386975052872e-07,7.19001032017076,0.126181329785149,0,0,1.66547858793747e-10,3.46228876743492e-09,3.03913566143478e-10
PLCZ1,2,REML,1.64730644797305,0.239731640305419,6.35479800042648e-12,0,0,0.223234631411691,0.636586267329458,2,0,3.5410181898415e-11,4.16653712375789e-09,6.68150078863987e-11
FAM131B,4,REML,-0.654889216410783,0.0965846843821189,1.19788456058764e-11,0,0,1.22341995361215,0.747392893208922,0,0,1.259004967989e-09,7.52670798902567e-09,2.19565108329758e-09
TRIP6,5,REML,-0.306031907789083,0.045673499564608,2.07812698705031e-11,10.3112162554754,0.00138530209475845,2.5159599521158,0.64178021485444,0,0,8.61344546926446e-14,1.25352619858874e-08,1.86169926439025e-13
SLC22A15,5,REML,-1.55668223801389,0.234766221821382,3.33926571945592e-11,62.1444099275981,0.149741721339473,9.03344466278612,0.0602689382617466,0,3,6.78412512601426e-60,1.9297938552851e-08,9.47264878706436e-59
TAP2,6,REML,-0.325895820892284,0.0491863510420703,3.45520119978101e-11,2.79736823313531,0.00050836678555001,7.39616426531562,0.192804438500864,0,0,3.74158514830696e-10,1.9297938552851e-08,6.70108123948562e-10
MIS18BP1,5,REML,-0.329789701520049,0.0502360711015927,5.21031502707349e-11,0,0,0.678914310537813,0.953903532716233,0,0,1.35262256420864e-08,2.80612680743815e-08,2.2326563340922e-08
EMP2,6,REML,0.297268401246296,0.0455926445438321,7.02625930440163e-11,7.66913565204255,0.00128661802721213,5.29178252297325,0.381317893436313,0,0,3.52443912741909e-12,3.65365483828885e-08,7.02744176140154e-12
SHISA5,6,REML,-0.195500731914975,0.0300156289500915,7.35185178977726e-11,0,0,4.63865107214919,0.461549362307432,0,0,7.8133900883538e-08,3.6955308329947e-08,1.23494311426869e-07
NUDT16,7,REML,0.243622107725961,0.0382297476382575,1.85874958806019e-10,10.7316416802277,0.00139596712507886,7.14780949629052,0.307394025753302,0,0,3.93123682139803e-16,9.04191735095088e-08,9.49896671473839e-16
SYCE1L,4,REML,0.483963684790206,0.0774503253969048,4.13888599296699e-10,0,0,2.22795354211344,0.526463402986676,0,0,5.20115739238486e-08,1.9504500241857e-07,8.30686861651808e-08
RTKN2,2,REML,-2.74166085717681,0.439158972669818,4.29310726497378e-10,54.8242133459645,0.224723564527561,2.21357517835425,0.136801310707314,0,2,8.41577348973542e-24,1.96181992593347e-07,2.91344959194697e-23
HIRIP3,6,REML,0.261204689398981,0.0428483353090911,1.08735779086895e-09,0.00992306081215282,1.55192691593677e-06,6.17673194698434,0.289400056473802,0,0,2.15479108121632e-07,4.82275161361874e-07,3.32150153375673e-07
TMEM125,3,REML,-0.873187573028932,0.143366776093679,1.12498651477272e-09,0,0,0.418127995890577,0.811343309677109,0,0,3.13434059075181e-08,4.8470847550779e-07,5.06329470900239e-08
MOK,5,REML,0.340899793550563,0.0564554441543806,1.55662829490469e-09,2.27159068285889,0.000432665119674337,3.7958000016822,0.434346071092783,0,0,1.09750739639877e-07,6.52054296865632e-07,1.72184889072965e-07
RBX1,6,REML,-0.209475178705413,0.0352560934536399,2.82372005333694e-09,3.55358322525198e-05,4.94854467554574e-09,6.7736105422143,0.238028941665033,0,0,4.52044773868921e-07,1.1238907969284e-06,6.85867309582788e-07
SLITRK3,3,REML,2.83679511269764,0.477490825042774,2.83208556255166e-09,31.3268359170012,0.219367122301063,2.66086819258852,0.264362477616166,3,0,1.67997383464149e-12,1.1238907969284e-06,3.4051082562357e-12
TMED3,5,REML,-0.536692818833512,0.0904475258122577,2.96096319589879e-09,27.3909144273283,0.0111978822327669,6.63485218451729,0.156489450605383,0,0,1.31376034009042e-14,1.14490576908087e-06,2.95165463774783e-14
ITGA10,5,REML,0.521323493218185,0.0879479687745823,3.07327915247594e-09,0,0,0.464253998164467,0.976886255807502,0,0,9.86705642869516e-07,1.15862624048343e-06,1.46466395260088e-06
WDR83OS,5,REML,0.216627426318713,0.036752121371573,3.76310388239808e-09,8.22629609585778,0.000717549242381055,2.80327483595583,0.591267550577196,0,0,2.09568424706634e-09,1.38408796455032e-06,3.61176210808691e-09
ENO4,4,REML,-0.273905259115702,0.0465703821808873,4.06482852463503e-09,0.0113885317820268,1.55011497037362e-06,4.98562309251647,0.172852924226682,0,0,7.01412343362954e-08,1.44375595648226e-06,1.11176141874221e-07
ZNF529,5,REML,-0.303121593438206,0.0515562871848326,4.11681075124252e-09,13.4653689515252,0.00198660227377408,4.0043041902902,0.405423654301285,0,0,3.4045835866192e-10,1.44375595648226e-06,6.10767552774418e-10
GID4,5,REML,0.284203862123365,0.0484215668320314,4.3746671291389e-09,0.93730681716691,0.000131407095034613,2.8731554697846,0.579271935394463,0,0,4.26171058874695e-07,1.49931773425942e-06,6.47326709088477e-07
MICAL1,5,REML,-0.280922598405238,0.0482566094761507,5.83453425330202e-09,0,0,1.91772864842018,0.750887495030659,0,0,9.27506508288943e-07,1.95295019554161e-06,1.37896067682118e-06
ZNF354C,5,REML,0.357156407603826,0.0613886749862193,5.95727513228872e-09,0.000237508096520379,5.90411924885611e-08,5.61036842556751,0.230197001295969,0,0,3.16252185722117e-07,1.95295019554161e-06,4.83483674035839e-07
MX2,5,REML,-0.581159053819295,0.100580344592801,7.5567809293526e-09,11.2214279825448,0.00721777967960542,2.96676490256951,0.563402532389368,0,0,1.10139020510443e-10,2.42460120031143e-06,2.02869968156526e-10
SDK1,5,REML,0.566248566438032,0.0980634247467285,7.72692875311e-09,0.00775112638196005,5.43364659137711e-06,10.2483396877788,0.0364458882415133,1,0,2.82861651711309e-08,2.42754344993539e-06,4.58612375852762e-08
CBX4,6,REML,-0.479493826611134,0.0831496180749463,8.086803757821e-09,27.0194822130788,0.0110301060703821,7.34416241125774,0.196276725578726,0,0,1.08597038050312e-12,2.48875511567226e-06,2.22264296118175e-12
