Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
NGF,4,0.00246305418719212,1,1,1.47682202819229
BEX2,2,0,0.666666666666667,0.707106781186548,-1.1841269212706
VIP,2,0,0.666666666666667,0.707106781186548,1.04333453530164
FCRLA,2,0,1,3.14018491736755e-16,-1.94307463827641
MS4A2,2,0,1,2.35513868802566e-16,1.68041588001274
WFDC2,0,0,,3.06658683336675e-18,-1.26012533009657
ZG16B,0,0,,3.06658683336675e-18,-1.6484142880098
NME5,0,0,,3.06658683336675e-18,-1.24423246719038
VAT1L,0,0,,3.06658683336675e-18,1.05315954701266
ECRG4,0,0,,3.06658683336675e-18,1.31216235350697
CTSE,0,0,,3.06658683336675e-18,-2.0070845234909
HSD3B1,0,0,,3.06658683336675e-18,-3.14125697392019
PLCZ1,0,0,,3.06658683336675e-18,1.64730644797305
SLC22A15,0,0,,3.06658683336675e-18,-1.55668223801389
RTKN2,0,0,,3.06658683336675e-18,-2.74166085717681
SLITRK3,0,0,,3.06658683336675e-18,2.83679511269764
ZNF714,0,0,,3.06658683336675e-18,-1.00714982948693
PLEKHN1,0,0,,3.06658683336675e-18,-1.13125948617153
IGFBPL1,0,0,,3.06658683336675e-18,-1.24047935064313
CARMIL3,0,0,,3.06658683336675e-18,1.00212804426841
FGF19,0,0,,3.06658683336675e-18,-2.11534522567487
USH2A,0,0,,3.06658683336675e-18,1.69141079914264
COL28A1,0,0,,3.06658683336675e-18,1.64925045948985
CSDC2,0,0,,3.06658683336675e-18,1.20574765529132
DCDC1,0,0,,3.06658683336675e-18,1.29429655266466
SAA1,0,0,,3.06658683336675e-18,2.07837276479729
CADM2,0,0,,3.06658683336675e-18,1.59867239725733
CACNA1H,0,0,,3.06658683336675e-18,1.6196721544894
CES5A,0,0,,3.06658683336675e-18,1.32076511748613
ADGRA3,0,0,,3.06658683336675e-18,1.15319166364371
