Symbol,Module,Degree,Log2FC
NGF,1,4,1.47682202819229
BEX2,1,2,-1.1841269212706
VIP,1,2,1.04333453530164
WFDC2,2,0,-1.26012533009657
ZG16B,3,0,-1.6484142880098
NME5,4,0,-1.24423246719038
VAT1L,5,0,1.05315954701266
ECRG4,6,0,1.31216235350697
CTSE,7,0,-2.0070845234909
HSD3B1,8,0,-3.14125697392019
PLCZ1,9,0,1.64730644797305
SLC22A15,10,0,-1.55668223801389
RTKN2,11,0,-2.74166085717681
SLITRK3,12,0,2.83679511269764
ZNF714,13,0,-1.00714982948693
PLEKHN1,14,0,-1.13125948617153
IGFBPL1,15,0,-1.24047935064313
CARMIL3,16,0,1.00212804426841
FGF19,17,0,-2.11534522567487
USH2A,18,0,1.69141079914264
COL28A1,19,0,1.64925045948985
CSDC2,20,0,1.20574765529132
DCDC1,21,0,1.29429655266466
SAA1,22,0,2.07837276479729
CADM2,23,0,1.59867239725733
FCRLA,24,2,-1.94307463827641
MS4A2,24,2,1.68041588001274
CACNA1H,25,0,1.6196721544894
CES5A,26,0,1.32076511748613
ADGRA3,27,0,1.15319166364371
