"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"RTKN2",360,128,1.16553656387226,1.06082134553056,1.28058837376027,0.00142640236350792,3.18925450447357,0.037086461451206,-2.74166085717681,1.96181992593347e-07,2,"Down","Down-High risk"
"SLC22A15",358,129,1.12443330042084,1.03781015486086,1.21828664055114,0.00413955773834247,2.8673264499342,0.0538142505984521,-1.55668223801389,1.9297938552851e-08,5,"Down","Down-High risk"
"USH2A",365,130,0.905998997281237,0.840754738579899,0.976306341681832,0.00963123750703996,-2.58879513245756,0.083470725061013,1.69141079914264,0.00656777924192855,5,"Up","Up-Protective"
"CTSE",263,97,1.06972582660793,1.00289130392874,1.14101432491166,0.0405918896460248,2.04767464708794,0.263847282699161,-2.0070845234909,1.26204628841231e-09,2,"Down","Down-High risk"
"ZNF714",365,130,1.09305292831167,0.997931406272997,1.19724130995419,0.055443224355008,1.91538655617334,0.288304766646042,-1.00714982948693,3.88452284779678e-05,5,"Down","Down-High risk"
"ZG16B",336,124,1.05322703409934,0.986824022140755,1.12409827939866,0.118576669052668,1.56077575844001,0.38307237258964,-1.6484142880098,2.52802242701428e-15,2,"Down","Down-High risk"
"FCRLA",338,121,0.936972966008294,0.862320662108954,1.01808802410379,0.124345035498612,-1.5367888061243,0.38307237258964,-1.94307463827641,0.0187321078846545,2,"Down","Down-Protective"
"VAT1L",353,128,1.05185924611694,0.985418665367719,1.12277949720876,0.128829177154069,1.5187351421109,0.38307237258964,1.05315954701266,6.40844254721914e-11,5,"Up","Up-High risk"
"VIP",337,116,0.909084642226709,0.80288980797184,1.02932541741948,0.132601975127183,-1.50391996713094,0.38307237258964,1.04333453530164,0.000380916242527161,2,"Up","Up-Protective"
"PLEKHN1",347,123,1.06760641905568,0.975294341324164,1.16865587927168,0.156248284345388,1.41780301275261,0.406245539298008,-1.13125948617153,9.00468636363545e-05,2,"Down","Down-High risk"
"DCDC1",156,58,1.14695901931066,0.927760934075051,1.41794609328922,0.205131744186785,1.26706585273591,0.484856849896038,1.29429655266466,0.0100009328159611,5,"Up","Up-High risk"
"CACNA1H",365,130,0.964949815169234,0.909460243299994,1.02382501341292,0.237700573200685,-1.18075372197778,0.515017908601485,1.6196721544894,0.0276118284654928,5,"Up","Up-Protective"
"MS4A2",275,98,0.941910910554484,0.848748431401477,1.04529932615794,0.260073138931846,-1.12621827745953,0.520146277863691,1.68041588001274,0.0273243117903564,2,"Up","Up-Protective"
"SAA1",363,128,0.975824626095726,0.932641953996368,1.02100671840307,0.289267166325129,-1.05973062448044,0.528871883312048,2.07837276479729,0.0100595287969909,6,"Up","Up-Protective"
"BEX2",347,123,1.02841314139881,0.974794251761911,1.08498135631198,0.305118394218489,1.02551893810922,0.528871883312048,-1.1841269212706,2.53514203303709e-19,4,"Down","Down-High risk"
"NGF",360,130,0.947328344195285,0.841351403517316,1.06665418036271,0.37135872644532,-0.893931156564928,0.551843526916463,1.47682202819229,2.79533321536122e-05,4,"Up","Up-Protective"
"SLITRK3",234,78,1.03288691194785,0.96159233380204,1.10946742748553,0.375232645420093,0.886714470826803,0.551843526916463,2.83679511269764,1.1238907969284e-06,3,"Up","Up-High risk"
"NME5",281,108,0.960201347501927,0.876628234523155,1.05174188034912,0.382045518634474,-0.8741335681344,0.551843526916463,-1.24423246719038,2.76302606760442e-14,2,"Down","Down-Protective"
"CSDC2",279,98,1.03569828764541,0.950714457813843,1.1282787741529,0.421997116644621,0.802961276720452,0.577469738566324,1.20574765529132,0.00973751497130331,2,"Up","Up-High risk"
"HSD3B1",265,93,0.972154378653964,0.896925452590471,1.05369307249171,0.49193864519545,-0.687228662135229,0.639520238754085,-3.14125697392019,2.32819115333246e-09,2,"Down","Down-Protective"
"CADM2",203,78,1.02533098645364,0.930931339913647,1.12930308252325,0.611713796496865,0.507628647196724,0.741172336321587,1.59867239725733,0.0134292481200422,3,"Up","Up-High risk"
"COL28A1",212,84,1.02190089184434,0.931678312210348,1.12086051490752,0.64596004699223,0.459381756175219,0.741172336321587,1.64925045948985,0.00722639580414965,3,"Up","Up-High risk"
"WFDC2",306,109,1.01159744639446,0.955895280285533,1.07054550289872,0.689875410993378,0.399024148374027,0.741172336321587,-1.26012533009657,2.40801448653453e-15,3,"Down","Down-High risk"
"PLCZ1",110,37,0.923846888270562,0.615806816966896,1.38597535696504,0.701908338285684,-0.382745683699367,0.741172336321587,1.64730644797305,4.16653712375789e-09,2,"Up","Up-Protective"
"FGF19",297,110,1.01041445995942,0.95620959102984,1.06769205252956,0.712665708001526,0.368278331296577,0.741172336321587,-2.11534522567487,0.00346001009529623,3,"Down","Down-High risk"
"IGFBPL1",207,77,0.993256896343357,0.902319302672957,1.09335936758876,0.890157134877052,-0.138105378761796,0.890157134877052,-1.24047935064313,0.000207156239317457,2,"Down","Down-Protective"
