Symbol,colorectal,esophagus,kidney,liver,pancreatic
CYP3A4,894,894,894,0,0
DRD2,254,0,0,0,0
FEN1,210,210,0,0,0
PLK1,180,180,180,0,0
PTGS2,117,117,0,0,0
TOP2A,117,117,117,0,0
MET,100,100,100,0,0
BIRC5,87,87,87,0,0
FGFR2,86,0,0,0,0
KIT,85,0,0,0,0
CCND1,84,0,84,0,0
BCL2,82,0,0,0,0
CXCL8,82,82,0,0,0
GRIN2B,76,0,0,0,0
MYC,70,0,70,0,0
RACGAP1,70,0,70,0,0
NR1H4,69,0,0,0,0
ANPEP,68,68,68,0,0
GRIN2A,68,68,68,0,0
CYP2B6,64,0,64,0,0
CDK4,62,0,0,0,0
AURKA,57,57,57,0,0
FCGR3A,54,54,54,0,0
IL1B,51,0,0,0,0
CDK1,50,50,50,0,0
NTRK2,49,49,49,0,0
ABCC2,48,0,0,0,0
GRIN1,48,0,0,0,48
IL6,47,0,0,0,0
ADH1C,45,0,45,0,0
PLAU,42,42,0,0,0
GRIA3,41,0,41,0,0
MAOB,41,41,0,0,0
UGT1A1,40,0,0,0,0
F2,39,0,0,0,0
CD19,38,0,0,0,0
MAOA,37,0,37,0,0
BRCA2,34,0,34,0,0
SERPINE1,34,34,34,0,0
FCGR3B,33,33,33,0,0
MPO,30,0,30,0,0
E2F1,29,29,29,0,0
GCG,27,0,0,0,0
GRIN2D,26,26,26,0,0
MS4A1,26,0,0,0,0
MMP9,25,25,25,0,25
GSTM1,23,0,0,0,0
PRKCG,23,0,0,0,0
UGT1A9,23,0,23,0,0
GRIA4,21,0,0,0,0
MELK,20,20,20,0,0
MMP1,20,20,0,0,0
UGT1A4,20,0,0,0,0
CD44,19,0,19,0,0
LIF,19,19,0,0,0
UGT1A10,19,0,0,0,0
AGT,18,0,0,0,0
CD22,18,0,0,0,0
CXCR2,17,17,0,0,0
UGT1A3,17,0,0,0,0
UGT1A7,17,17,0,0,0
ADH1A,16,16,16,0,0
CXCL10,16,16,16,0,0
NEK2,15,15,15,0,0
SPP1,15,15,0,0,0
UGT1A8,15,0,0,0,0
MMP3,14,14,0,0,14
UGT1A6,14,0,0,0,0
RRM2,13,13,13,0,0
SST,13,0,0,0,0
CXCL2,12,0,0,0,0
IL6R,12,0,0,0,0
MME,11,11,11,0,0
NPY,11,0,0,0,0
ADH6,10,0,10,0,0
GNA11,10,0,0,0,0
GSTA1,10,0,10,0,0
CACNG8,9,0,9,0,0
COL1A2,9,9,9,0,9
IL1A,9,9,0,0,0
BUB1,8,8,8,0,0
CCL21,8,0,8,0,0
CXCL12,8,0,8,0,0
GAL,8,0,0,0,0
UGT2B15,8,0,8,0,0
VIP,8,8,0,8,0
CAMK2A,7,0,7,0,0
COL1A1,7,7,7,0,7
MMP7,7,7,0,0,0
CXCR1,6,0,0,0,6
CYP2C18,6,6,6,0,0
SNAP25,6,0,0,0,0
CCR10,5,0,0,0,0
FCGR1A,5,0,5,0,0
GZMB,5,5,5,0,0
BMP2,4,0,0,0,0
CES2,4,4,0,0,0
COL4A1,4,4,4,0,0
CR2,4,0,4,0,0
CXCL1,4,4,0,0,0
GPX3,4,4,4,0,0
HMMR,4,4,4,0,0
NCAM1,4,0,0,0,0
SHH,4,0,0,0,0
UGT2B17,4,0,4,0,0
ADH1B,3,3,3,0,0
BUB1B,3,3,3,0,0
CCL8,3,3,0,0,0
CCNB1,3,3,3,0,0
CD79B,3,0,0,0,0
CDC6,3,3,3,0,0
CLU,3,0,0,0,0
COL2A1,3,0,0,0,0
EXO1,3,3,3,0,0
IGF1,3,0,0,0,0
SYP,3,0,3,0,0
TTK,3,3,3,0,0
UHRF1,3,3,3,0,0
BGN,2,2,0,0,2
CCL5,2,0,2,0,0
CCR9,2,0,0,0,2
CD7,2,0,2,0,0
CDCA3,2,2,0,0,0
COL5A2,2,2,2,0,2
FOXP3,2,0,2,0,0
HPGDS,2,0,0,0,0
HSD3B2,2,0,2,0,0
ITGA2,2,0,0,0,0
MKI67,2,2,2,0,0
PRKACB,2,0,0,0,0
SAA1,2,0,2,2,0
SLC9A1,2,0,0,0,0
THBS2,2,2,0,0,2
ADCY5,1,0,0,0,0
AKR1C2,1,0,0,0,0
CCL20,1,0,1,0,1
CCL28,1,0,0,0,0
CD36,1,0,1,0,0
CD79A,1,0,0,0,0
CDC25A,1,1,0,0,0
FGF18,1,0,0,0,0
ITGA11,1,1,0,0,1
PAX5,1,0,0,0,0
PTTG1,1,0,1,0,0
SCN4B,1,0,1,0,0
UBE2T,1,1,1,0,0
UGDH,1,0,0,0,0
HPGD,248,248,248,0,0
ABCB1,235,0,235,0,0
FLT3,166,0,0,0,0
NR3C1,134,0,0,0,0
ALK,111,0,0,0,0
AADAC,104,0,0,0,0
THRB,102,0,102,0,0
CHRM1,95,0,0,0,0
TSHR,94,0,0,0,94
ADRB1,88,0,88,0,0
F7,88,0,0,0,0
SLC6A4,88,88,88,0,0
ADRA2A,87,0,0,0,0
ESR2,86,0,0,0,0
TUBB3,83,83,83,0,83
TUBB4A,83,0,83,0,0
PTGS1,82,82,0,0,82
SCN9A,82,82,0,0,0
GABRB3,81,0,0,0,0
GABRP,79,79,79,0,0
GABRD,77,77,77,0,0
ACHE,69,0,0,0,0
SLC2A4,65,65,0,0,0
ABCG2,64,0,0,0,0
AQP9,63,63,63,0,0
PGR,63,0,0,0,0
EPHB1,62,62,0,0,0
SCN11A,62,0,62,0,0
KLK3,60,0,0,0,0
SCN3A,60,0,60,0,0
ABO,59,0,59,0,0
SLC29A1,59,0,0,0,0
EPHB3,58,0,0,0,0
SCN7A,57,57,57,0,0
DPT,55,55,55,0,0
CHRM5,51,0,0,0,0
DPP6,51,51,51,0,0
CNR2,50,0,0,0,0
RAD54L,50,50,50,0,0
NAT2,48,0,48,0,0
ROS1,47,47,0,0,47
AOC1,46,0,46,0,0
ANK3,45,0,45,0,0
CHRNA7,45,0,0,0,0
NRG1,45,45,45,0,0
OPRD1,44,0,0,0,0
HDAC9,43,0,0,0,0
BLK,42,0,0,0,0
CACNA1H,42,0,0,42,0
AQP8,41,0,0,0,0
NTRK3,41,41,41,0,0
BCHE,40,0,40,0,0
XDH,39,0,0,0,0
ASIC1,38,0,0,0,0
MAPK10,38,0,38,0,0
ANK2,37,0,37,0,0
HTR4,37,0,0,0,0
EPHX2,36,36,36,0,0
NR3C2,36,36,36,0,0
FMO5,32,0,32,0,0
ACACB,31,0,31,0,0
EYA2,31,31,31,0,0
MS4A2,31,0,31,31,0
PDE5A,31,0,0,0,0
TG,31,0,0,0,0
CNR1,30,0,0,0,0
HTR7,30,0,0,0,0
PDE4C,29,29,0,0,0
ALPI,26,0,0,0,0
ANXA3,26,26,26,0,0
CA2,26,0,26,0,0
HTR1D,26,26,26,0,0
TRPV4,26,0,26,0,0
USP2,26,26,26,0,0
APOBEC1,25,25,0,0,0
APOC2,25,25,0,0,0
F2R,25,25,0,0,0
SLCO1B3,25,25,0,0,0
ELANE,24,0,0,0,0
MAP3K20,24,0,0,0,0
GRIK2,23,0,23,0,0
LTK,23,0,23,0,0
COL12A1,22,22,0,0,22
EDNRA,22,0,0,0,22
EPHA7,22,0,0,0,0
PDE3A,22,0,0,0,0
ADCYAP1R1,21,21,0,0,0
ARG1,21,21,0,0,21
CDC25B,21,21,0,0,0
CHRNA1,21,0,0,0,0
MYCN,21,0,21,0,0
TH,21,0,0,0,0
ABCC8,20,0,20,0,0
CA1,20,20,0,0,0
CAMK2B,20,0,20,0,0
SLC2A1,20,20,20,0,0
ABCD2,19,0,0,0,0
ADORA3,19,0,19,0,0
CTPS1,19,0,0,0,0
PTGDR2,19,0,0,0,0
SLC26A3,19,0,19,0,0
AMPD1,18,18,0,0,0
KCNQ5,18,0,0,0,0
OXTR,18,0,0,0,0
TNFRSF17,18,0,0,0,0
TYRO3,18,18,18,0,0
AMH,17,0,17,0,0
CASP7,17,0,0,0,0
FABP1,17,0,17,0,0
FOLR1,17,0,17,0,0
GLRA2,17,0,0,0,0
GPM6B,17,0,17,0,0
SSTR2,17,0,17,0,0
COL11A1,16,16,16,0,0
EFNA3,16,0,16,0,0
NPFFR1,16,0,16,0,0
P2RY12,16,0,16,0,0
TUB,16,0,16,0,0
CACNA1A,15,0,0,0,0
COL10A1,15,15,0,0,0
FPR1,15,15,15,0,0
GRM8,15,0,15,0,0
IMPDH1,15,0,0,0,0
KCNA5,15,15,0,0,0
PRKCB,15,0,0,0,0
UGT1A5,15,0,0,0,0
ASGR1,14,0,0,0,0
CA12,14,0,0,0,0
CA9,14,14,14,0,0
CTNNA2,14,0,0,0,0
FCER1A,14,14,0,0,0
GRIK4,14,0,0,0,0
NMUR1,14,14,0,0,0
NOD2,14,0,14,0,0
NR2E3,14,14,0,0,0
RYR1,14,0,0,0,0
SGK2,14,0,14,0,0
CA4,13,0,13,0,0
CTSV,13,0,13,0,0
CYP27B1,13,13,13,0,0
DNER,13,0,13,0,0
DPEP1,13,0,13,0,13
FAP,13,13,13,0,0
HKDC1,13,13,0,0,0
PTH1R,13,0,13,0,0
ATP2A3,12,0,0,0,0
AZGP1,12,0,12,0,12
FOLR2,12,0,0,0,0
FPR2,12,12,0,0,0
GPR55,12,0,12,0,0
TTR,12,0,0,0,0
ABCB11,11,0,0,0,0
ACADS,11,0,0,0,0
AQP7,11,11,11,0,0
GRIK5,11,0,11,0,0
OCA2,11,11,0,0,0
PCSK9,11,11,0,0,0
PRKAA2,11,11,0,0,0
RXRG,11,11,0,0,0
SELE,11,11,11,0,0
SSTR1,11,0,11,0,0
SSTR5,11,0,0,0,0
TP73,11,0,11,0,0
BMP7,10,0,10,0,0
NPY1R,10,10,10,0,0
RIPK2,10,0,0,0,0
SLC28A2,10,0,10,0,0
TLR3,10,10,10,0,0
TRPV6,10,10,10,0,0
ACVRL1,9,0,0,0,0
CACNG4,9,9,0,0,0
GHR,9,0,9,0,0
KCNMA1,9,0,9,0,0
MMP12,9,9,0,0,0
MSLN,9,0,0,0,0
PLIN1,9,0,0,0,0
PTGDR,9,0,0,0,0
SCNN1G,9,9,9,0,0
ADGRL3,8,0,0,0,0
COL19A1,8,8,8,0,8
CTSG,8,8,0,0,0
IL11,8,8,0,0,0
IL23A,8,0,0,0,0
MMP13,8,8,0,0,8
