Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
APLN,STAUROSPORINE,FALSE,"",NCI,1.86442137710305,12215493
APLN,CYCLOOXYGENASE INHIBITOR,FALSE,"",NCI,13.0509496397214,15541902
GRIK3,TEZAMPANEL,FALSE,inhibitor,TdgClinicalTrial; ChEMBL,1.65726344631383,""
GRIK3,TOPIRAMATE,TRUE,inhibitor,ChEMBL,0.169492852463914,""
GRIK3,SELURAMPANEL,FALSE,inhibitor,ChEMBL,0.828631723156913,""
GRIK3,[3H]UBP310,FALSE,inhibitor,GuideToPharmacology,3.72884275420611,""
GRIK3,[3H]SYM2081,FALSE,agonist,GuideToPharmacology,1.06538364405889,""
GRIK3,[3H]KAINATE,FALSE,agonist,GuideToPharmacology,1.86442137710305,""
GRIK3,DYSIHERBAINE,FALSE,agonist,GuideToPharmacology,2.48589516947074,""
COL19A1,PAPAVERINE,TRUE,inhibitor,GuideToPharmacology,0.36252637888115,""
COL19A1,TC-E 5005,FALSE,inhibitor,GuideToPharmacology,6.52547481986069,""
COL19A1,PBF-999,FALSE,inhibitor,GuideToPharmacology,2.1751582732869,""
COL19A1,PDE4 INHIBITOR 16,FALSE,inhibitor,GuideToPharmacology,2.1751582732869,""
COL19A1,MARDEPODECT,FALSE,inhibitor,GuideToPharmacology,3.26273740993035,""
COL19A1,MK-8189,FALSE,inhibitor,GuideToPharmacology,6.52547481986069,""
COL19A1,COMPOUND 19 [PMID: 22142545],FALSE,inhibitor,GuideToPharmacology,6.52547481986069,""
COL19A1,COMPOUND 27 [PMID: 22142545],FALSE,inhibitor,GuideToPharmacology,6.52547481986069,""
SPARC,NAB-PACLITAXEL,FALSE,"",ClearityFoundationBiomarkers,17.4012661862952,""
FSCN1,NP-G2-044,FALSE,"",TTD,52.2037985588855,""
AZGP1,NC00075159,FALSE,activator,GuideToPharmacology,4.35031654657379,""
AZGP1,RETIGABINE DERIVATIVE 10G,FALSE,activator,GuideToPharmacology,2.1751582732869,""
AZGP1,XE991,FALSE,inhibitor,GuideToPharmacology,1.08757913664345,""
AZGP1,FLINDOKALNER,FALSE,activator,GuideToPharmacology,0.543789568321724,""
AZGP1,PYRITHIONE ZINC,TRUE,activator,GuideToPharmacology,0.241684252587433,""
AZGP1,TETRAMETHYLAMMONIUM,FALSE,blocker,GuideToPharmacology,0.241684252587433,""
AZGP1,(S)-N-[1-(3-MORPHOLIN-4-YL-PHENYL)-ETHYL]-3-PHENYL-ACRYLAMIDE,FALSE,activator,GuideToPharmacology,1.4501055155246,""
