Symbol,n_cancers_druggable,cancer_list,mean_n_drugs,mean_lfc,gene_family,any_hub
TUBB3,4,colorectal|esophagus|kidney|pancreatic,83,-0.0484397028973524,Other,FALSE
MMP9,4,colorectal|esophagus|kidney|pancreatic,25,0.081349809187125,Protease,TRUE
COL1A2,4,colorectal|esophagus|kidney|pancreatic,9,-0.213468700311152,Other,TRUE
COL19A1,4,colorectal|esophagus|kidney|pancreatic,8,0.0630705725520575,Other,FALSE
COL1A1,4,colorectal|esophagus|kidney|pancreatic,7,-0.24132960603813,Other,TRUE
MT1H,4,colorectal|esophagus|kidney|pancreatic,7,-0.884390718331755,Other,FALSE
SERPINH1,4,colorectal|esophagus|kidney|pancreatic,6,-0.090127461299965,Other,TRUE
E2F7,4,colorectal|esophagus|kidney|pancreatic,3,0.20734182946284,Other,FALSE
LRRC15,4,colorectal|esophagus|kidney|pancreatic,3,0.122935026729755,Other,FALSE
APLN,4,colorectal|esophagus|kidney|pancreatic,2,-0.0945249246579725,Other,FALSE
COL5A2,4,colorectal|esophagus|kidney|pancreatic,2,-0.0707454501740749,Other,TRUE
INHBA,4,colorectal|esophagus|kidney|pancreatic,2,-0.908319923616145,Other,FALSE
OSM,4,colorectal|esophagus|kidney|pancreatic,2,-0.442705238327,Other,FALSE
FSCN1,4,colorectal|esophagus|kidney|pancreatic,1,-0.0543563579648725,Other,FALSE
SPARC,4,colorectal|esophagus|kidney|pancreatic,1,-0.0748041366296776,Other,TRUE
TREM1,4,colorectal|esophagus|kidney|pancreatic,1,-0.44933017584513,Other,FALSE
CYP3A4,3,colorectal|esophagus|kidney,894,0.562497703526703,Other,TRUE
HPGD,3,colorectal|esophagus|kidney,248,0.810385715946383,Other,FALSE
PLK1,3,colorectal|esophagus|kidney,180,-0.437478983588063,Other,TRUE
TOP2A,3,colorectal|esophagus|kidney,117,0.0114906510433067,DNA Repair/Replication,TRUE
MET,3,colorectal|esophagus|kidney,100,-0.417543107981913,Kinase,TRUE
SLC6A4,3,colorectal|esophagus|kidney,88,-0.26032524440529,Transporter,FALSE
ABAT,3,esophagus|kidney|pancreatic,87,-1.14479196023165,Other,FALSE
BIRC5,3,colorectal|esophagus|kidney,87,-0.142691727984093,Other,TRUE
PTGS1,3,colorectal|esophagus|pancreatic,82,1.18938706252536,Other,FALSE
GABRP,3,colorectal|esophagus|kidney,79,-0.27913347899683,Other,FALSE
GABRD,3,colorectal|esophagus|kidney,77,0.0995070613231367,Other,FALSE
ANPEP,3,colorectal|esophagus|kidney,68,-0.155625152072457,Other,TRUE
GRIN2A,3,colorectal|esophagus|kidney,68,1.65172302836298,Other,TRUE
AQP9,3,colorectal|esophagus|kidney,63,-1.41566703369318,Other,FALSE
AURKA,3,colorectal|esophagus|kidney,57,-0.627417318028437,Other,TRUE
SCN7A,3,colorectal|esophagus|kidney,57,0.589003055907447,Ion Channel,FALSE
DPT,3,colorectal|esophagus|kidney,55,0.83499423690192,Other,FALSE
