Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
colorectal,GO:0006814,sodium ion transport,74/1961,255/18860,0.290196078431373,2.79097299297077,9.80871044105258,8.47517519016954e-17,4.96136755632525e-13,3.83791617559046e-13,6583/6548/162514/2903/6340/92745/9963/54997/54795/11261/6584/6534/201780/54716/1909/288/6335/183/53827/6535/6330/255738/6533/340024/5025/8884/57282/6338/41/2981/10050/83959/5270/1188/8671/23327/130497/6332/285195/5187/6328/6549/5348/11280/482/6550/477/3777/6547/6446/6554/11254/5349/6568/64849/1813/1272/9058/2902/57731/6558/115584/6327/1259/286183/64078/159963/1756/55089/1261/53826/246213/6532/55800,74
colorectal,GO:0035725,sodium ion transmembrane transport,58/1961,187/18860,0.310160427807487,2.98298096300316,9.28324738007042,7.28004194728418e-15,2.13086827797008e-11,1.64835476090613e-11,6548/162514/2903/6340/92745/9963/54997/54795/11261/6534/54716/6335/183/53827/6535/6330/255738/6533/340024/8884/57282/6338/41/10050/83959/8671/23327/130497/6332/285195/6328/6549/5348/11280/482/6550/477/3777/6547/11254/5349/6568/64849/9058/2902/6558/115584/6327/1259/64078/159963/1756/55089/1261/53826/246213/6532/55800,58
colorectal,GO:0042445,hormone metabolic process,66/1961,246/18860,0.268292682926829,2.58031616522183,8.49883319381398,2.40866391084064e-13,4.70010617802036e-10,3.63581478752155e-10,5126/7038/3294/290/10170/79154/5125/57016/3624/54577/6469/54659/653/5959/54884/54658/54576/650/54600/84649/1511/6338/6696/8614/125/441282/53919/1646/9060/51301/2494/4224/7173/2908/1215/10858/7366/126/405753/90527/1056/2690/7367/27284/51083/54905/56603/1562/1734/3284/10699/10202/124/4311/1576/1589/130/590/3249/50506/27344/115111/8912/1393/5653/8608,66
colorectal,GO:0010038,response to metal ion,81/1961,351/18860,0.230769230769231,2.21943278547052,7.85574851237117,3.20442119304763e-12,4.43929636014888e-09,3.43406270860419e-09,3651/9378/63928/9076/3815/4493/595/288/4499/6609/891/79085/3756/596/27132/6469/55532/57817/4494/4495/5025/2696/9456/7782/6833/55512/2354/3158/144402/3706/4501/7474/7036/79901/1894/4496/6261/5243/4208/2562/1800/4502/6263/477/3777/6556/7780/55503/983/1813/845/9058/3552/3778/6558/2167/5563/4017/57699/10235/4489/342618/3625/3934/6279/7020/5350/158062/7139/1261/2742/1373/4583/84059/8912/1393/5009/4884/3779/3745/4504,81
colorectal,GO:0043269,regulation of monoatomic ion transport,96/1961,449/18860,0.21380846325167,2.05631189032458,7.71692490471659,3.79167779308924e-12,4.43929636014888e-09,3.43406270860419e-09,3627/162514/2903/6373/54997/11261/6844/815/1909/288/596/183/150/2149/53827/2906/57817/6330/5023/57214/255738/2946/8787/5025/170850/9456/6833/4283/4318/64805/8614/79026/57628/6717/766/5270/760/1908/56704/2641/2904/84502/5243/4985/23327/2147/389816/130497/6387/5187/287/5348/6781/5028/3755/5205/6352/482/477/80333/5349/5174/5593/51083/1813/3270/845/1272/2852/2902/7070/57731/196051/2273/6327/115352/930/3934/5350/286183/1128/931/1756/4638/53826/9465/9472/3772/29763/6532/816/1804/30818/57158/117/55800,96
colorectal,GO:0030198,extracellular matrix organization,77/1961,331/18860,0.232628398791541,2.23731341214098,7.73633648845887,7.22985585341209e-12,6.51140185089672e-09,5.03696091966945e-09,4316/60495/5268/4147/3673/8516/79148/4312/92949/7045/183/8425/4321/4319/4314/2191/650/25890/1301/7148/1511/55512/1310/4318/6662/84830/5212/81792/55612/60681/23213/4982/11174/25975/4320/1288/4239/8313/1303/1805/2824/1290/10630/1215/2192/7177/7092/1515/1277/9510/2295/871/283208/9509/284217/1311/1278/6624/25903/57188/151887/1282/4017/6423/4629/1991/4148/3249/84627/10218/1280/3569/4322/2303/7448/170692/5645,77
colorectal,GO:0043062,extracellular structure organization,77/1961,332/18860,0.231927710843374,2.23057451632128,7.70602319828778,8.47512316007105e-12,6.51140185089672e-09,5.03696091966945e-09,4316/60495/5268/4147/3673/8516/79148/4312/92949/7045/183/8425/4321/4319/4314/2191/650/25890/1301/7148/1511/55512/1310/4318/6662/84830/5212/81792/55612/60681/23213/4982/11174/25975/4320/1288/4239/8313/1303/1805/2824/1290/10630/1215/2192/7177/7092/1515/1277/9510/2295/871/283208/9509/284217/1311/1278/6624/25903/57188/151887/1282/4017/6423/4629/1991/4148/3249/84627/10218/1280/3569/4322/2303/7448/170692/5645,77
colorectal,GO:0045229,external encapsulating structure organization,77/1961,333/18860,0.231231231231231,2.22387609435034,7.67581752831834,9.92586410900513e-12,6.51140185089672e-09,5.03696091966945e-09,4316/60495/5268/4147/3673/8516/79148/4312/92949/7045/183/8425/4321/4319/4314/2191/650/25890/1301/7148/1511/55512/1310/4318/6662/84830/5212/81792/55612/60681/23213/4982/11174/25975/4320/1288/4239/8313/1303/1805/2824/1290/10630/1215/2192/7177/7092/1515/1277/9510/2295/871/283208/9509/284217/1311/1278/6624/25903/57188/151887/1282/4017/6423/4629/1991/4148/3249/84627/10218/1280/3569/4322/2303/7448/170692/5645,77
colorectal,GO:0009410,response to xenobiotic stimulus,94/1961,443/18860,0.212189616252822,2.04074256120766,7.55098067145328,1.00106963884644e-11,6.51140185089672e-09,5.03696091966945e-09,4316/2903/134147/8647/3651/66002/6799/3673/595/7804/3553/5139/4609/1019/6609/891/79762/2523/54577/32/3291/596/54659/8438/54575/54578/2946/54658/54576/54600/8824/6338/6833/2354/3158/54498/2030/23491/25788/1869/1063/768/5243/6422/4208/2562/2944/10858/7098/11280/7366/6663/6750/1503/1277/7367/3777/2330/6554/27284/5138/51083/54905/79799/1813/1244/56603/1562/2902/2016/5563/9153/6423/1555/3934/10/7161/64078/2938/94274/1576/590/28234/1373/442038/26050/7345/6532/1393/5009/268/117/2327/13,94
colorectal,GO:0006936,muscle contraction,83/1961,372/18860,0.223118279569892,2.14584944043252,7.60364241842104,1.12581770866464e-11,6.5905368665228e-09,5.0981766133424e-09,9499/6548/6641/3815/54795/3673/4151/1909/6335/1134/150/2149/6535/6330/5023/2946/5025/9456/6338/6717/1113/3352/23213/1908/56704/8082/6261/84502/23327/9127/10874/10316/6332/80852/3363/287/6328/2934/5348/6781/11280/6263/124093/1160/477/51761/6547/1813/1311/51086/3270/845/1907/2852/59341/3778/1410/6327/2775/5350/6442/93649/8877/1756/4629/7139/25802/4638/5021/1180/4622/8912/57057/29119/7137/1264/1674/23336/57158/7138/55800/10398/3741,83
