Cluster,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
colorectal,Organismal Systems,Digestive system,hsa04976,Bile secretion,37/1067,90/9378,0.411111111111111,3.61330834114339,8.92561875336671,4.14850740562129e-13,1.41878953272248e-10,1.12228042446808e-10,6548/8647/343/9429/54579/123264/54577/54659/9971/54575/54578/200931/54658/54576/54657/54600/6344/111/366/760/8671/5243/8431/7366/482/10998/6550/5567/477/7367/6554/6513/79799/1244/1576/28234/115072896,37
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,88/1067,370/9378,0.237837837837838,2.09038729451101,7.667521142422,4.93724818085814e-12,8.44269438926743e-10,6.67827780252917e-10,2903/2898/2846/1268/7068/4852/2900/153/2893/1909/27346/2899/1134/10022/183/150/5729/9340/2149/1902/2906/5023/7433/5025/2696/6344/1511/6755/6751/2568/2892/5697/3352/1908/2641/7432/2904/4985/5540/1269/2147/100996758/9127/10874/10316/7253/2562/3363/2908/4828/9934/5028/5745/6752/140/2918/6750/5368/7425/2690/2151/1139/3360/2358/4886/51083/1813/1133/1907/5367/2902/114131/2357/2925/8862/64106/1128/6753/4543/2742/5021/2901/66004/2563/117/283869/5030/5645,88
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,68/1067,298/9378,0.228187919463087,2.00557292289113,6.32071640305985,9.05855214631789e-09,8.47086264446759e-07,6.70055924785525e-07,1237/3627/3576/1271/8600/6373/3557/9966/3598/3570/3553/9518/3624/6374/768211/3976/3590/653/651/650/6368/4283/23495/94/51330/115650/7850/8744/6358/655/4982/2921/3977/608/2919/5008/6369/6387/8771/90865/2920/151449/56477/6846/6352/2826/2690/10913/3589/414062/9560/130399/3552/3579/6372/5196/3625/6366/51561/6355/6364/4804/3577/56832/268/3569/10803/6363,68
colorectal,Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,27/1067,73/9378,0.36986301369863,3.25077351683763,6.91707627001985,9.90744168943578e-09,8.47086264446759e-07,6.70055924785525e-07,54579/27306/54577/2949/4128/54659/54575/54578/2946/54658/54576/54657/54600/125/2944/7366/126/7367/2330/4129/79799/1555/2938/124/1576/130/2327,27
colorectal,Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,18/1067,37/9378,0.486486486486487,4.27579219331797,7.15332646872012,1.89134483004481e-08,1.29367986375065e-06,1.02331709751898e-06,57016/6652/54579/7358/54577/54659/54575/54578/54658/54576/54657/54600/441282/27294/7360/7366/7367/79799,18
colorectal,Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,25/1067,68/9378,0.367647058823529,3.23129720491758,6.61644282305639,4.01399410834266e-08,2.28797664175532e-06,1.80981839621766e-06,10170/54579/54577/54659/54575/5959/54578/54884/54658/54576/54657/54600/125/7366/126/7367/54905/79799/56603/1562/1555/124/1576/130/8608,25
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,30/1067,100/9378,0.3,2.63673851921275,5.89575795629947,3.5041370649002e-07,1.71202125170838e-05,1.35423041455541e-05,1237/3627/3576/6373/3570/6374/6368/4283/6358/2921/2919/6369/6387/2920/56477/6846/6352/2826/414062/9560/3579/6372/5196/6366/6355/6364/3577/3569/10803/6363,30
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,47/1067,199/9378,0.236180904522613,2.07582429485761,5.49613924886178,6.45045799173317e-07,2.75757079146593e-05,2.18127329457293e-05,2903/2898/2900/153/2767/2893/2899/150/2906/5023/5025/2788/64805/2568/2892/111/3352/63910/2904/4985/9127/2562/5579/3363/9934/5028/43/140/2918/5368/2786/5567/1139/3360/5582/1813/1133/2902/94235/2775/1128/2901/246213/6532/2563/6570/5030,47
colorectal,Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,51/1067,226/9378,0.225663716814159,1.9833873817087,5.36177236229871,9.57810334544387e-07,3.63967927126867e-05,2.87903223365974e-05,6548/2903/5143/4852/153/815/2893/1909/5139/51196/2149/489/2906/2696/5602/6755/6751/6662/338442/2892/111/3352/64399/8843/1908/2641/7432/2904/7253/5348/6752/6750/482/5567/477/3360/4886/1813/1907/2902/1259/84699/5350/1128/1261/5021/816/7137/268/117/10398,51
colorectal,Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,52/1067,233/9378,0.223175965665236,1.9615222174401,5.32516361420763,1.0738225944441e-06,3.67247327299881e-05,2.90497270286455e-05,9499/6641/270/3673/8516/288/84665/6712/81624/10529/1301/633/1287/8082/1288/7058/1290/287/2192/8736/161176/127294/23500/482/1277/477/22801/22989/284217/1311/1278/11155/2199/57731/2273/1282/6442/4606/1756/4629/7139/25802/171024/4892/56776/4622/7137/1674/7138/10398/72/2318,52
colorectal,Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,23/1067,70/9378,0.328571428571429,2.88785647342348,5.68037925527488,1.41112811704521e-06,4.38732560026783e-05,3.47042991464707e-05,6799/54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/1646/2944/7366/7367/79799/1562/5743/10/2938/1576,23
colorectal,Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,22/1067,66/9378,0.333333333333333,2.92970946579194,5.63676511244762,1.81363283899903e-06,5.16885359114724e-05,4.08862841774343e-05,3294/10170/79154/54579/54577/3291/54659/54575/5959/54578/54658/54576/54657/54600/1646/6820/7366/7367/79799/3284/1576/1589,22
colorectal,Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,29/1067,103/9378,0.281553398058252,2.47460896625144,5.39170410254405,2.32902246069579e-06,6.12712062736894e-05,4.84662973602283e-05,206358/1360/4225/340024/1301/1310/1287/1288/1303/4224/340267/1290/1295/482/6550/1277/477/81578/6547/1294/1278/6564/1282/1300/4311/7512/169044/1280/5645,29
colorectal,Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,24/1067,79/9378,0.30379746835443,2.67011495616481,5.34108283585296,4.03261973205704e-06,9.85111391688219e-05,7.79235542209518e-05,54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/125/27294/2944/7366/126/7367/79799/1555/2938/124/1576/130,24
colorectal,Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,41/1067,178/9378,0.230337078651685,2.02446215894612,4.94423990329483,6.47595596969741e-06,0.000147651796109101,0.000116794433979806,4316/9620/595/815/147495/4609/340419/84133/54894/1501/2487/8549/85407/1951/5602/51176/7472/85409/7474/8313/7473/6422/8061/7475/4919/5579/59352/7481/23500/5567/8840/5582/284654/6932/147111/6423/6424/7483/816/11211/27123,41
colorectal,Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,24/1067,82/9378,0.292682926829268,2.57242782362219,5.12409431858021,8.26587288274923e-06,0.000167367806626098,0.000132390047100361,4830/6241/54579/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/8824/3614/4353/2944/7366/7367/79799/7498/10/2938/1576,24
colorectal,Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,47/1067,217/9378,0.216589861751152,1.90363610450075,4.82546896287965,8.31945237615106e-06,0.000167367806626098,0.000132390047100361,54852/8600/3838/595/153/990/253152/54579/993/4609/332/54577/596/2053/2949/54659/9314/54575/54578/2946/54658/54576/54657/54600/85315/111/2254/1869/5241/2944/5579/7366/6258/27330/5567/7367/1139/5582/773/79799/2100/2255/84699/1555/8817/2938/1576,47
colorectal,Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,13/1067,31/9378,0.419354838709677,3.68576352148018,5.36660984465642,1.43284901901011e-05,0.00027224131361192,0.000215346314552981,54579/7358/54577/54659/54575/54578/54658/54576/54657/54600/7366/7367/79799,13
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,24/1067,89/9378,0.269662921348315,2.37010203974179,4.65319187750115,3.7333954976643e-05,0.000672011189579575,0.000531569331246386,3673/8516/960/948/7148/1101/3918/6696/1287/1288/7058/1277/22801/284217/5649/1311/3161/1278/1282/2815/9899/341640/1280/7448,24
colorectal,Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,24/1067,94/9378,0.25531914893617,2.24403278230872,4.34325884085991,9.67742176567798e-05,0.00165483912193093,0.00130899862830486,3627/3576/3553/4312/4586/6374/4314/5602/2354/4318/2921/2919/8061/2920/6280/225689/5596/5743/6372/3934/6279/6364/3569/4322,24
colorectal,Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,49/1067,254/9378,0.192913385826772,1.695540517604,4.02656005417237,0.000128887486410152,0.00209902477867962,0.00166035508809068,2277/4233/2903/2263/5333/153/815/2767/1909/113026/51196/2149/489/80310/2906/5023/5137/5025/4916/3706/2254/2904/6261/9127/5579/3363/4915/6263/255231/5567/1139/3360/6547/5582/773/3270/845/1133/2902/2925/2255/8817/5350/1128/8877/4638/5021/816/8912,49
colorectal,Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,19/1067,69/9378,0.27536231884058,2.42019477608899,4.2423692637128,0.000174626676367055,0.00269222319682768,0.0021295825225753,2903/815/2893/7054/4128/2906/2354/2892/111/2904/5579/6804/5567/5582/4129/2902/84699/816/6570,19
colorectal,Organismal Systems,Endocrine system,hsa04911,Insulin secretion,22/1067,86/9378,0.255813953488372,2.24838168304963,4.1670579437522,0.000181055945985487,0.00269222319682768,0.0021295825225753,3651/54795/6844/815/2767/6833/111/2641/6616/5579/3782/6804/482/5567/477/5582/6513/3778/84699/816/3779/117,22
colorectal,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,22/1067,88/9378,0.25,2.19728209934395,4.04312803994326,0.000258628527360986,0.00368545651489405,0.0029152426110427,725/722/2149/1675/2161/5270/717/629/5328/2147/730/1380/2151/5054/1191/2162/3426/3818/733/729/7448/2155,22
colorectal,Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,24/1067,100/9378,0.24,2.1093908153702,3.9961787723493,0.000269964039335199,0.00369310805810552,0.00292129507827984,290/3815/3570/3673/3553/912/960/3590/948/7850/2322/924/1380/2208/3589/933/3552/2815/930/2209/931/4311/3569/909,24
colorectal,Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,14/1067,45/9378,0.311111111111111,2.73439550140581,4.17860470507961,0.000311299896285986,0.00409479094345412,0.00323903130953434,8647/9429/1672/340273/10350/10351/6833/23460/5243/10349/225/23461/1244/26154,14
colorectal,Organismal Systems,Digestive system,hsa04978,Mineral absorption,17/1067,61/9378,0.278688524590164,2.44942922549818,4.06922224783225,0.000323603222648514,0.00409897415354784,0.00324234028150753,4493/1811/4499/4494/4495/340024/140803/4501/79901/4496/4502/482/6550/477/6547/55503/4489,17
colorectal,Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,24/1067,103/9378,0.233009708737864,2.04795224793223,3.83169271566941,0.000432048560544888,0.00510623306759411,0.00403909479338777,3576/2767/3553/912/1511/3918/7850/1287/2921/2919/1288/5579/2920/5567/1277/5582/284217/1278/1282/4583/733/383/3569/909,24
colorectal,Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,23/1067,97/9378,0.237113402061856,2.08402013546025,3.84515062149455,0.000432984675322307,0.00510623306759411,0.00403909479338777,2903/815/2893/2906/2788/2892/111/2904/6261/5579/5187/6263/2786/5567/5582/5593/2902/94235/2775/4543/816/8912/117,23
colorectal,Human Diseases,Substance dependence,hsa05030,Cocaine addiction,14/1067,49/9378,0.285714285714286,2.51117954210738,3.80000427889828,0.000815284620395658,0.0092942446725105,0.00735186482251524,2903/7054/4128/2906/8787/2354/111/2904/5567/4129/1813/2902/84699/6570,14
colorectal,Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,61/1067,362/9378,0.168508287292818,1.48104097303847,3.34439010350496,0.000966118624931051,0.0106584699911748,0.00843098426510289,2277/4233/2846/1944/23035/1946/2263/3815/3570/3673/595/8516/10110/4609/1019/5523/596/2149/80310/1902/5105/2069/2788/374/7148/1101/3918/6696/2254/1287/5008/1288/2322/7058/4915/2786/2690/1277/22801/6446/284217/5649/1311/3479/1278/1282/2255/5563/94235/84699/54541/930/8817/1128/5521/5522/4804/8115/1280/3569/7448,61
colorectal,Genetic Information Processing,Information processing in viruses,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",6/1067,12/9378,0.5,4.39456419868791,4.21584950627991,0.00107681511984869,0.0115084615933828,0.0091033383487208,1134/4684/81607/30835/432/4804,6
colorectal,Human Diseases,Substance dependence,hsa05033,Nicotine addiction,12/1067,41/9378,0.292682926829268,2.57242782362219,3.61531793333061,0.00150578018287288,0.0156053582588644,0.0123440353109515,2903/2893/2906/2568/2892/2904/2562/1139/773/2902/246213/2563,12
colorectal,Cellular Processes,Cell growth and death,hsa04110,Cell cycle,31/1067,158/9378,0.19620253164557,1.7244492425231,3.29047482317589,0.00160199287142337,0.0161141635890233,0.0127465067478577,8318/1030/4998/595/990/4173/993/4171/4609/1019/9319/891/994/8556/23594/9700/4085/90381/9088/113130/81620/1869/699/9232/701/991/10744/5347/983/27085/7272,31
colorectal,Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,7/1067,17/9378,0.411764705882353,3.61905286950769,3.87253302422322,0.00167789236147046,0.0163954053606542,0.012968972538283,762/771/766/760/768/759/1373,7
colorectal,Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,36/1067,193/9378,0.186528497409326,1.63942291350015,3.21599078564893,0.00180581808113887,0.0168684337812901,0.0133431439882781,1237/3627/3576/6373/6374/2788/6368/4283/111/6358/2921/2919/6369/6387/5579/2920/56477/6846/2786/6352/2826/5567/414062/9560/94235/3579/6372/10235/5196/6366/6011/6355/6364/3577/10803/6363,36
colorectal,Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,27/1067,133/9378,0.203007518796992,1.78425914833945,3.26376952333583,0.00186906911858058,0.0168684337812901,0.0133431439882781,2903/815/2893/7054/5523/4128/2788/5602/2892/111/2904/3800/5579/3798/2786/5567/5582/4129/773/1813/94235/84699/2775/5521/5522/816/6570,27
colorectal,Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,22/1067,101/9378,0.217821782178218,1.91446361130958,3.31063165805248,0.00188960590951035,0.0168684337812901,0.0133431439882781,2277/3576/5333/595/113026/3553/1019/51196/596/183/5602/1287/1288/5579/50507/1277/5054/1278/3552/1282/6401/3569,22
colorectal,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,21/1067,95/9378,0.221052631578947,1.94285996152518,3.30942351031883,0.00195769858282474,0.0168684337812901,0.0133431439882781,534/3576/8600/3553/4312/6374/90423/4314/2921/2919/6387/245972/2920/6352/3589/414062/3552/6372/51561/6364/3569,21
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,31/1067,160/9378,0.19375,1.70289362699157,3.21305952732108,0.00197291623172984,0.0168684337812901,0.0133431439882781,4359/9378/139065/137075/9076/1001/8174/8516/9075/3897/257194/4684/58494/94030/9073/57502/57863/51208/933/1272/6614/7122/3135/23562/5010/6900/26050/6401/9080/22865/84189,31
colorectal,Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,22/1067,102/9378,0.215686274509804,1.89569436021831,3.2588703437692,0.00215689491536132,0.0179916600256969,0.0142316301218963,6548/1811/1360/489/8399/6344/111/760/22802/8671/5579/1056/482/477/5582/1179/5408/3778/6558/9635/5407/5645,22
colorectal,Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,39/1067,217/9378,0.179723502304147,1.57961293777722,3.09516654745964,0.00240952986047968,0.0196204574353345,0.0155200294271498,1828/1830/137075/9076/11240/6282/192666/9075/5523/3855/54474/2053/144501/3918/25984/5317/1287/1288/3872/147409/9073/3859/6280/51208/1294/1282/285848/7122/6279/5521/23562/6273/6274/5010/5522/29943/3854/9080/26154,39
colorectal,Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,24/1067,116/9378,0.206896551724138,1.81844035807776,3.17798007187685,0.00250803814227088,0.0199476522013172,0.0157788446160004,2903/2898/2900/2893/2899/2906/2788/9456/2892/111/2904/9762/5579/2918/2786/5567/5582/773/2902/94235/2775/123745/2901/246213,24
colorectal,Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,11/1067,38/9378,0.289473684210526,2.54422137818774,3.41755448632011,0.00258497224721488,0.0200922842851702,0.0158932504194791,6340/3291/6338/23327/4306/5579/482/477/6446/5582/3479,11
colorectal,Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,39/1067,219/9378,0.178082191780822,1.56518724884775,3.03234010383709,0.00285073160993854,0.0211814976930586,0.0167548319701941,7068/153/2767/2980/183/150/57817/7433/2696/2788/2981/6755/6751/111/53919/2641/7432/4985/7253/5745/6752/6750/5368/2786/5567/2690/5593/1813/3479/1734/2100/2852/5367/114131/94235/2775/6753/5021/268,39
colorectal,Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,30/1067,157/9378,0.191082802547771,1.67945128612277,3.07614403589089,0.00287785198077104,0.0211814976930586,0.0167548319701941,84962/595/79981/4609/332/653/1496/650/85407/374/51176/7472/85409/7474/7004/655/8313/7473/7475/151449/7481/5054/6932/7161/5521/7483/5522/29119/11211/268,30
colorectal,Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,5/1067,10/9378,0.5,4.39456419868791,3.84811561790053,0.00291090757770104,0.0211814976930586,0.0167548319701941,8991/58472/23474/9060/7263,5
colorectal,Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,13/1067,50/9378,0.26,2.28517338331771,3.26467521778056,0.00314379252289488,0.022399521725626,0.0177183043505259,1152/4128/8659/26/5831/54498/1610/65263/1160/283208/4129/112817/383,13
colorectal,Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,12/1067,46/9378,0.260869565217391,2.29281610366326,3.14931303330288,0.00434417201775358,0.0303205475524842,0.0239839357371143,54579/54577/54659/54575/54578/54658/54576/54657/54600/7366/7367/79799,12
colorectal,Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,23/1067,115/9378,0.2,1.75782567947516,2.92974574567541,0.00475555412596768,0.0325279902216189,0.0257300507447094,4128/2788/111/3352/7166/2562/5579/3363/2786/5567/3360/5582/4129/773/1562/260293/5742/94235/5743/2775/123745/6532/6570,23
colorectal,Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,14/1067,59/9378,0.23728813559322,2.08555589090274,2.99696081731532,0.00544483733337688,0.0365124385885273,0.0288817996837535,4852/364/153/54979/111/7253/63924/5567/5346/4886/5593/5742/2167/5743,14
colorectal,Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,35/1067,201/9378,0.174129353233831,1.53044524332415,2.7238033439787,0.00654774433045182,0.0430640107887408,0.0340641759701643,4233/7102/3576/2118/54738/4609/597/3248/4314/3002/4318/7850/2892/7704/5328/2322/4208/4353/6258/8354/4211/3479/4613/51804/8356/1671/5079/126961/2209/1991/333932/3195/4804/8968/3569,35
colorectal,Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,21/1067,105/9378,0.2,1.75782567947516,2.79795911291336,0.00679775565417243,0.0432760042450516,0.0342318654693083,59283/6641/3673/153/8516/183/489/27092/111/8082/5567/22801/6547/284217/3479/5350/6442/1756/7139/7137/1674,21
colorectal,Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,10/1067,37/9378,0.27027027027027,2.37544010739887,3.0035397686292,0.00683305330185026,0.0432760042450516,0.0342318654693083,7054/4128/125/4282/7173/126/4129/8639/124/130,10
colorectal,Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,11/1067,43/9378,0.255813953488372,2.24838168304963,2.93976070861041,0.00727197753532256,0.0452184784923694,0.0357683871115387,2168/80168/948/8399/84649/8611/1056/2169/5408/29881/5407,11
esophagus,Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,74/988,217/9378,0.341013824884793,3.2368700908599,11.4400688410674,2.77766475113847e-21,9.36073021133663e-19,8.21603994810431e-19,26285/2312/100506658/51099/5493/3860/6785/29943/6707/6703/3851/126410/3872/196374/6701/84283/6700/2053/140576/388698/338785/7053/2125/1282/57402/55304/23254/6698/192666/6705/6704/7051/1294/6281/3918/7062/1828/9333/3882/5652/3914/1284/1829/147409/121214/6283/3713/79852/3866/6279/3850/3883/11187/6280/6699/3655/3856/3861/204219/26154/51350/1366/338324/23562/6706/9071/8688/3855/3849/286887/8689/3886/144501/1041,74
esophagus,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,30/988,89/9378,0.337078651685393,3.19951780921621,7.15430505950938,3.05169273397548e-09,5.14210225674868e-07,4.51329293814268e-07,6696/375790/7058/284217/3161/22798/1282/1277/1293/1278/3371/3918/3914/1284/3912/1299/22801/1298/51206/3655/5649/9900/1291/7148/1758/341640/1292/2335/3678/7057,30
esophagus,Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,32/988,103/9378,0.310679611650485,2.94894068629378,6.82479679772442,8.99598536871366e-09,1.0105490230855e-06,8.86972592494224e-07,1301/117247/85301/483/1281/1282/1277/1293/1295/1294/1289/59272/1278/5646/477/1300/1290/1284/9056/4311/1299/1298/1310/255631/1303/6547/1291/7512/169044/1292/84570/1803,32
esophagus,Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,76/988,404/9378,0.188118811881188,1.78560548362529,5.53900307261307,2.53411003320379e-07,2.13498770297419e-05,1.87390768244807e-05,7004/7472/4301/117531/1951/1824/1009/2556/6300/3860/5595/2535/2557/3851/29964/23286/3872/196374/56126/51421/338785/56127/8463/5097/55740/192666/2568/56124/57717/1001/27253/7410/56128/259236/5159/2195/1828/4233/3882/2563/1829/147409/55879/2570/2569/1006/6327/3866/56130/3850/10095/29119/3883/11187/56125/3856/3861/28513/64405/10184/10451/51350/2560/79905/7477/1674/1014/8688/89780/3855/3849/286887/8689/3886/1000/144501,76
