ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0032543,mitochondrial translation,130,-0.654021230490124,-2.68505361729652,1e-10,1.2402e-07,1.10842105263158e-07,3912,"tags=60%, list=22%, signal=47%",90480/65003/128308/9801/28977/6182/7284/219927/28958/54534/80222/122704/64978/79072/10128/79590/54938/3396/29093/740/55037/6183/708/29074/85476/64979/56945/51073/23107/9617/92170/54998/60488/84769/55278/64968/64949/51258/51067/84311/28973/11222/51642/54516/28957/10573/6472/51069/51116/29088/28998/26995/84300/54948/9553/283459/10240/64983/23395/7818/51253/78988/10102/63875/115416/55157/51263/124454/55052/26164/51654/64960/51373/51649/54931/57129/65005/2617
GO:0140053,mitochondrial gene expression,169,-0.611780899023713,-2.59696039026524,1e-10,1.2402e-07,1.10842105263158e-07,4144,"tags=59%, list=24%, signal=46%",7019/55005/51081/60493/81892/5442/90480/65003/84705/128308/9801/28977/6182/84148/7284/219927/6832/28958/54534/80222/122704/64978/79072/10128/79590/54938/3396/29093/740/55037/51106/6183/54802/708/29074/85476/64979/56945/51073/23107/9617/92170/54998/60488/84769/55278/3028/64968/64949/55006/51258/51067/55149/84311/28973/11222/57570/51642/54516/28957/10573/6472/51069/51116/80324/9238/29088/28998/26995/51001/84300/54948/9553/283459/10240/64983/23395/7818/51253/78988/10102/63875/56652/115416/55157/87178/51263/124454/55052/26164/51654/64960/64216/51373/51649/84275/54931/57129/65005/2617
GO:0042254,ribosome biogenesis,312,-0.484740848443076,-2.23560772729386,1e-10,1.2402e-07,1.10842105263158e-07,2958,"tags=41%, list=17%, signal=35%",23481/65095/55319/27043/25926/51118/57602/22907/84946/23404/64794/51106/79050/708/51202/11340/51490/29960/51018/55178/84549/84294/22803/9326/51602/9092/92170/27341/84769/55794/6838/55006/60314/4809/26155/22984/51367/117246/54512/27349/54606/83743/57647/23195/4839/23076/27079/10813/81554/26574/113000/4927/5036/84864/55226/55299/10799/56915/9136/88745/79039/54552/2068/51116/23246/163859/57696/81875/51154/54913/29081/57418/9790/29102/56342/51504/26284/25983/51001/83732/6129/79922/27042/51096/9816/55341/79954/1662/9188/7520/51388/56902/55759/5591/81887/23016/387338/55646/6839/55003/55636/54955/10969/115416/51121/23160/5901/23212/2971/10171/26164/8602/23560/1983/92856/51042/285855/10528/114049/64216/1736/8451/84916/9221/55661/25879/8886/10360
GO:0016072,rRNA metabolic process,267,-0.477318243255204,-2.1902085211811,1e-10,1.2402e-07,1.10842105263158e-07,3004,"tags=40%, list=17%, signal=34%",221830/10849/23481/65095/9014/27043/25926/51118/57602/55506/23404/51106/79050/51202/11340/51490/29960/51018/55178/84549/84294/22803/9326/51602/9092/27341/4141/55006/60314/4809/22984/51367/117246/54512/54606/57647/6949/4839/23076/27079/10813/113000/2972/5036/55226/55299/4691/10799/56915/9136/88745/79039/2068/23246/163859/57696/51154/54913/29081/57418/9790/29102/2475/56342/51504/25983/83732/6129/79922/27042/51096/79954/1662/9188/9329/55759/5591/81887/23016/4609/387338/55646/51082/6839/55003/55636/10969/23160/23212/2971/10171/8602/23560/25885/92856/285855/10528/114049/64216/1736/84916/9221/55661/25879/8886/10360/84172
GO:0022613,ribonucleoprotein complex biogenesis,457,-0.446624153503474,-2.12397932749984,1e-10,1.2402e-07,1.10842105263158e-07,2958,"tags=37%, list=17%, signal=31%",23481/65095/55319/27043/25926/6431/545/51118/8683/57602/22907/26121/84946/23404/9879/64794/51106/79050/10992/708/51634/24148/51202/11340/51490/29960/51018/55178/84549/84294/22803/6628/9326/51602/9092/92170/27341/84769/55794/6838/55006/60314/4809/26155/22984/51367/117246/54512/27349/54606/11218/83743/57647/23195/4839/23076/27079/10813/81554/26574/113000/6895/4927/25804/5036/84864/55226/55299/10419/10799/56915/9136/88745/79039/54552/2068/51116/23246/27161/163859/57696/81875/51154/54913/22827/29081/57418/8667/9790/29102/27339/56342/51504/3320/26284/25983/51001/83732/10856/6732/84844/6129/79922/27042/51096/9816/26747/55341/79954/1662/9188/7520/51388/56902/1660/6629/79084/55759/5591/10713/81887/23016/387338/55646/6839/55003/55636/8487/54955/57819/10969/115416/3326/6635/1968/51121/23160/25980/5901/23212/2971/10171/26164/8602/96764/23560/1983/92856/6637/51042/79833/285855/10946/10528/114049/64216/1736/8451/84916/9221/55661/25879/6627/8886/8607/10360/6631/8894
GO:0006520,amino acid metabolic process,278,-0.464592544564603,-2.13712843383123,3.85588040476525e-10,3.98505239832489e-07,3.56161584755948e-07,3699,"tags=43%, list=21%, signal=35%",1491/5096/132949/162417/92292/22928/80755/80222/4507/64577/51582/10667/102724560/7453/339983/55256/64902/2639/64087/4843/189/7915/5860/1757/1892/2730/10249/29920/144193/18/54938/2356/635/54529/2687/84706/10993/2653/875/883/8565/138199/23576/9673/445/3735/1644/55278/9056/4329/56922/4141/3028/1733/92935/27165/2731/51067/4548/2193/58510/23475/7407/23657/389434/5198/5092/6472/10247/670/5184/10588/1036/57470/11315/112817/23464/6611/143941/283459/4842/84331/56954/123688/23395/2744/4522/3242/51268/3376/26227/5831/5053/16/50507/95/6897/55157/124454/84842/4552/65263/440/11112/125061/4948/51540/79731/6999/1800/22929/79814/7054/8659/2617/58478/29968/4953/4143/5723
GO:0006399,tRNA metabolic process,198,-0.509447725812749,-2.2265548649628,9.82791414057325e-10,7.61786194821184e-07,6.80841683554186e-07,4579,"tags=48%, list=26%, signal=36%",25973/9328/1653/79979/54888/55253/207/339175/10557/54859/51010/56931/51493/55687/27304/10978/84705/129450/80755/80222/51002/10667/7453/79042/9330/80746/54517/112970/6741/142940/11128/123263/54938/23404/11102/64118/134637/54802/24140/11340/283989/8565/79693/3735/55278/4141/3028/55006/6894/92935/112487/51367/51067/2193/10785/5435/11062/115708/7407/2972/57570/55226/8270/10799/25940/80324/92675/51605/54913/57470/51504/26995/283459/9329/116461/84520/23536/23016/23395/3376/112858/16/6897/93587/55157/124454/4234/8518/51654/79691/79731/10940/54931/2617/83480
GO:0006364,rRNA processing,220,-0.492866186091672,-2.18961313346597,8.74151126028106e-10,7.61786194821184e-07,6.80841683554186e-07,2958,"tags=42%, list=17%, signal=35%",23481/65095/27043/25926/51118/57602/23404/51106/79050/51202/11340/51490/29960/51018/55178/84549/84294/22803/9326/51602/9092/27341/55006/60314/4809/22984/51367/117246/54512/54606/57647/4839/23076/27079/10813/113000/5036/55226/55299/10799/56915/9136/88745/79039/2068/23246/163859/57696/51154/54913/29081/57418/9790/29102/56342/51504/25983/83732/6129/79922/27042/51096/79954/1662/9188/55759/5591/81887/23016/387338/55646/6839/55003/55636/10969/23160/23212/10171/8602/23560/92856/285855/10528/114049/64216/1736/84916/9221/55661/25879/8886/10360
GO:0006403,RNA localization,197,-0.491440697775269,-2.14123010311615,1.6660996408249e-08,1.14794265252836e-05,1.02596662092902e-05,3833,"tags=42%, list=22%, signal=33%",8570/23144/4928/8086/3181/56339/6426/29118/79902/23636/23279/65110/55164/7919/10212/56943/59343/9883/10128/3192/6741/10643/8563/4076/4600/81929/545/55051/387990/129401/26097/3297/5976/55706/29074/24148/11052/6432/10657/51602/23225/6428/10644/10642/55135/1069/79023/6950/4927/6396/55308/10574/4116/9688/10856/9818/6780/10189/1660/4904/8480/9793/29107/7884/10204/87178/7203/4234/5901/57510/348995/1736/10576/144983/908/55746/22948/11097/10575/55795/8607/636/22916
GO:1901605,alpha-amino acid metabolic process,201,-0.464890979791926,-2.03319282836285,5.50668796556457e-08,3.41469720744659e-05,3.05186443565236e-05,3399,"tags=40%, list=19%, signal=33%",4507/64577/51582/102724560/339983/55256/64902/2639/64087/4843/189/7915/5860/1757/2730/10249/29920/144193/2356/635/54529/84706/10993/2653/875/883/138199/23576/445/9056/4329/56922/3028/27165/2731/4548/58510/23475/23657/389434/5198/5092/6472/10247/670/10588/1036/11315/112817/23464/6611/143941/4842/56954/123688/2744/4522/3242/51268/26227/5831/5053/50507/4552/65263/440/11112/125061/4948/51540/6999/1800/22929/79814/7054/8659/58478/29968/4953/4143/5723
