ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,-0.569849348848036,-2.46078178702769,1e-10,2.5e-09,1.78947368421053e-09,3687,"tags=49%, list=21%, signal=39%",3181/6426/6427/3615/7284/5704/54107/6633/6634/1478/5691/7416/6434/9184/3192/6741/6742/3066/10155/2079/26121/10935/4175/5713/708/6432/6723/1503/5496/10236/3735/56910/6428/328/3183/5245/28973/6950/5036/3939/6418/10549/9136/10574/5707/5478/7965/26354/6240/2739/10856/5688/6599/6732/3068/5690/3336/9188/10921/6629/23016/4609/5634/10054/10213/57819/5902/3376/4830/4176/3015/3326/7203/5901/7027/3251/6637/52/10528/1017/10576/4173/22948/9221/10575/3838/3329/6627/8318/5683/8886/5682/65005/1019/3608/8894/4953/22916
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,-0.545012571973028,-2.35352907487484,1e-10,2.5e-09,1.78947368421053e-09,3669,"tags=50%, list=21%, signal=40%",6426/6427/10714/3609/3070/81611/4172/898/204/5395/25842/10212/3161/6434/6941/4292/6118/5981/4175/3978/23649/5511/11340/1503/6628/203068/9133/6241/1111/81624/1033/11200/9212/5889/3014/29127/8243/4678/23594/146909/5983/79077/10535/84312/7374/5036/10549/27338/9700/9238/5885/332/1786/64785/84844/55723/29089/6749/7283/9837/5591/4609/29028/55646/6839/6119/7884/5902/4830/3149/4176/3015/1434/7037/994/84296/10606/5901/197335/1164/1163/3925/9319/5810/4605/10528/7083/10615/4173/11113/10797/9221/3838/3159/993/5631/6790/1019/3930
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.705225731236095,-2.53964595382236,1.2102047103975e-08,2.01700785066251e-07,1.44375298784264e-07,1941,"tags=67%, list=11%, signal=60%",10244/83743/2193/6949/4839/5245/79077/7374/5036/56915/9136/80324/9238/51154/56342/7965/26354/3336/3177/23082/51388/23223/81887/4609/10196/79711/23160/10171/6573/92856/10528/64216/4173/27346/9221/3329/8886/6652/1019
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,199,-0.416378571635186,-1.79512509807421,1.21380245283624e-05,0.00015172530660453,0.000108603377359032,4131,"tags=48%, list=24%, signal=37%",6632/11065/5887/11004/6558/7112/10036/2130/4288/4928/7150/6426/6427/3609/10951/4172/2176/3980/8140/10212/10772/3161/6434/9184/3192/51776/4212/1869/22809/6118/4175/9156/1874/23649/5976/51659/10432/4331/9133/1111/11104/1033/57082/4751/9212/3014/29127/8243/4678/23594/1841/899/595/4691/10419/27338/9700/6541/5885/332/6599/22974/990/1950/4609/6839/4957/8438/3149/3015/994/7290/7027/3312/1164/1163/3925/1871/4605/11044/9493/1736/8451/6713/9221/3838/3226/8318/3159/993/6790/1019/4953/3930/1058
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,194,0.429674665326873,1.73974825968641,7.36881104866375e-05,0.000614067587388646,0.000439543115183452,3879,"tags=49%, list=22%, signal=39%",7098/3603/912/1435/925/5788/10333/6352/9734/567/10225/355/3683/2589/3717/3001/916/1029/924/7186/3117/11184/1445/3824/9450/356/1520/3606/2533/7903/3135/959/5579/4690/2113/3460/1956/3112/3600/3122/7535/43/919/3560/914/1991/1234/3133/8672/2213/3561/23166/3059/3594/9437/8915/6775/2634/915/6203/7454/5551/961/972/3702/917/8807/3109/3111/926/973/729230/3662/2833/6892/50852/56253/3108/920/896/8477/3593/6223/3105/2000/4689/3848/6189/8664/7096/3566/3689/7040/602/940
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,200,-0.385946619100263,-1.66663419545314,7.30591059708055e-05,0.000614067587388646,0.000439543115183452,3395,"tags=36%, list=19%, signal=29%",8833/8624/57761/6917/7453/8140/10212/5052/5693/5860/9521/51109/10682/60481/3949/9415/3313/47/10061/10452/31/1719/6241/7832/3145/10197/27101/2965/899/7374/3939/23657/9136/6472/3992/6781/5478/3309/3336/26747/56902/7283/5701/10213/10963/6184/26227/6533/80777/7037/4860/2717/3638/5684/5464/440/6715/3251/6510/908/4173/6713/27346/10797/3329/1717/993/6652/6790/8894/29968/5723
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,150,-0.38770691417485,-1.61608428102394,0.00209019764241762,0.0149299831601258,0.0106867247883006,3938,"tags=36%, list=22%, signal=28%",7298/1479/10978/100/8086/10714/3615/23204/1687/5980/8237/9883/5433/5432/11047/6431/6118/9978/3978/23649/1642/5440/30834/2237/1069/5437/10289/5435/5983/6895/2965/2967/5423/2068/286075/6878/6749/5436/29901/10189/8480/4059/51082/6119/4830/4860/10309/3251/10946/9533/51497/7372/155382/22916
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,-0.400153027353007,-1.6090772892506,0.00334312425379726,0.0208945265862329,0.0149560821880404,3062,"tags=30%, list=17%, signal=25%",10897/4801/79094/1981/2521/23404/3313/55738/10113/3014/54512/1978/25804/56915/9136/27257/55033/55770/3309/1662/58477/3376/6897/9531/8602/1163/440/10528/8815/1736/10130/10797/9221/29968
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,195,0.365549354616904,1.47892984481439,0.00381165742664251,0.0211758745924584,0.0151574681293386,4370,"tags=38%, list=25%, signal=29%",4601/5236/30001/51316/7436/2355/10370/8987/2997/7360/596/3099/8991/5507/10397/226/3423/3098/2908/26355/6478/8509/4493/2309/55577/6095/901/1316/2113/1956/55818/5163/7852/538/133/1356/1843/8497/9215/1026/8839/771/694/8406/3162/5033/6513/5228/2651/6518/3669/7538/665/5214/5292/2026/58528/4502/7167/8819/5066/3798/54541/23645/3516/124872/56925/3340/2632/230/5837/23036/25976/302
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,156,-0.357125048507079,-1.50541980237273,0.00504335909264716,0.0252167954632358,0.0180499167526319,2598,"tags=28%, list=15%, signal=24%",2643/988/2907/528/1267/1028/7832/10950/3014/3306/6648/2237/5437/2288/7301/27161/51083/1036/2326/4067/9818/1515/3485/9188/4072/2744/10963/6474/6184/6897/80777/8836/1968/7037/10280/440/1983/1138/80273/1017/1875/5471/725
