ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,26/421,167/16272,0.155688622754491,6.01749470180779,10.621470103759,1.73905102932923e-13,1.12342696494668e-10,1.01048017704183e-10,ACAN/ANOS1/BGN/COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/CTHRC1/DPT/EDIL3/ESM1/FN1/LUM/PRELP/PXDN/SPARC/TGFBI/THBS2,26
GO:0030020,extracellular matrix structural constituent conferring tensile strength,12/421,42/16272,0.285714285714286,11.0430946725484,10.6206911420572,4.21833685538292e-10,1.36252280428868e-07,1.22553786535335e-07,COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1,12
GO:0005539,glycosaminoglycan binding,21/421,228/16272,0.0921052631578947,3.55994499312414,6.34397653302497,5.1671345016574e-07,0.000111265629602356,0.00010007923666368,ACAN/ANOS1/BGN/CCN4/CLEC3B/COL5A1/CXCL10/CXCL11/FN1/GREM2/HAPLN3/HMMR/LIPG/PGF/PRELP/PTN/SAA1/SFRP1/SULF1/THBS2/TNFAIP6,21
GO:0004222,metalloendopeptidase activity,13/421,102/16272,0.127450980392157,4.92608634902892,6.48223483681069,2.24130070534685e-06,0.000361970063913516,0.000325578418250385,ADAM12/ADAMDEC1/ADAMTS12/ADAMTS18/ADAMTS2/ADAMTS6/ADAMTS7/MME/MMP10/MMP11/MMP13/MMP3/MMP9,13
GO:0048407,platelet-derived growth factor binding,5/421,11/16272,0.454545454545455,17.5685597063269,8.95833527381995,4.5995088147745e-06,0.000594256538868865,0.000534511340159057,COL1A1/COL1A2/COL3A1/COL4A1/COL5A1,5
GO:0008237,metallopeptidase activity,16/421,175/16272,0.0914285714285714,3.53379029521547,5.49208257291134,1.29090110393332e-05,0.00125738591290434,0.00113097119752843,ADAM12/ADAMDEC1/ADAMTS12/ADAMTS18/ADAMTS2/ADAMTS6/ADAMTS7/ANPEP/DPEP1/MME/MMP10/MMP11/MMP13/MMP3/MMP9/XPNPEP2,16
GO:0005518,collagen binding,10/421,71/16272,0.140845070422535,5.44377906393229,6.11548012885741,1.36249247528334e-05,0.00125738591290434,0.00113097119752843,CCBE1/FN1/ITGA11/LRRC15/LUM/MMP13/MMP9/SERPINH1/SPARC/TGFBI,10
GO:0008201,heparin binding,15/421,162/16272,0.0925925925925926,3.57878068091845,5.37581088772874,2.06504059233811e-05,0.00166752027831302,0.00149987158811926,ANOS1/CCN4/CLEC3B/COL5A1/CXCL10/CXCL11/FN1/GREM2/LIPG/PGF/PRELP/PTN/SAA1/SFRP1/THBS2,15
GO:0005178,integrin binding,14/421,151/16272,0.0927152317880795,3.58352078778059,5.19785646357029,3.82208414227552e-05,0.00267904631226512,0.00240970109885994,CCN4/COL3A1/COL5A1/EDIL3/ESM1/FAP/FN1/ISG15/NRG1/PTN/SFRP2/SLC6A4/TGFBI/THY1,14
GO:0019838,growth factor binding,13/421,133/16272,0.0977443609022556,3.7779008090297,5.24232668640611,4.14713051434229e-05,0.00267904631226512,0.00240970109885994,ACVR1C/CHRDL1/CNTFR/COL1A1/COL1A2/COL3A1/COL4A1/COL5A1/IGFBP3/KLB/NTRK2/NTRK3/PXDN,13
GO:0008009,chemokine activity,7/421,46/16272,0.152173913043478,5.88164824950945,5.40330521761975,0.000165245036613876,0.00921679552103557,0.0082901598950817,CCL14/CCL20/CCL3L3/CXCL10/CXCL11/CXCL9/GPR15LG,7
