ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474290,Collagen formation,20/292,88/10321,0.227272727272727,8.03315691158157,11.3055739345031,3.06829914751258e-13,2.35031714699463e-10,2.05091574596893e-10,ADAMTS2/COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/LOXL2/MMP13/MMP3/MMP9/P4HA3/PXDN/SERPINH1,20
R-HSA-1442490,Collagen degradation,16/292,62/10321,0.258064516129032,9.12152010605391,10.9441771031315,9.47541352117934e-12,2.70252069035856e-09,2.35825290418811e-09,COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/MMP10/MMP11/MMP13/MMP3/MMP9,16
R-HSA-1474244,Extracellular matrix organization,34/292,312/10321,0.108974358974359,3.85179574991219,8.72776066772614,1.05842846880884e-11,2.70252069035856e-09,2.35825290418811e-09,ACAN/ADAM12/ADAMTS18/ADAMTS2/BGN/CAPN5/CEACAM1/COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/FN1/ITGA11/LOXL2/LUM/MMP10/MMP11/MMP13/MMP3/MMP9/P4HA3/PXDN/SERPINE1/SERPINH1/SPARC/TIMP1,34
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,15/292,59/10321,0.254237288135593,8.98624332482006,10.4967534740903,5.41909131554647e-11,1.03775598692715e-08,9.05558680361054e-09,COL11A1/COL12A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/LOXL2/MMP13/MMP3/MMP9/PXDN,15
R-HSA-1474228,Degradation of the extracellular matrix,21/292,135/10321,0.155555555555556,5.4982496194825,8.97658316706668,1.69072610284504e-10,2.5901923895586e-08,2.26023384275074e-08,ACAN/ADAMTS18/CAPN5/COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/FN1/MMP10/MMP11/MMP13/MMP3/MMP9/TIMP1,21
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,15/292,67/10321,0.223880597014925,7.91325904722961,9.68670411437466,3.83010996913849e-10,4.8897737272668e-08,4.26687689544375e-08,ADAMTS2/COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1/P4HA3/SERPINH1,15
R-HSA-1566977,Fibronectin matrix formation,9/292,20/10321,0.45,15.9056506849315,11.3848864190768,1.31288724686749e-09,1.436673758715e-07,1.25365925076821e-07,CEACAM1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/FN1,9
R-HSA-8948216,Collagen chain trimerization,12/292,44/10321,0.272727272727273,9.63978829389788,9.79938271815259,1.97167344949536e-09,1.88787732789181e-07,1.64738505319678e-07,COL11A1/COL12A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL8A1,12
R-HSA-3000178,ECM proteoglycans,13/292,75/10321,0.173333333333333,6.12662100456621,7.6030374066102,1.49729944632197e-07,1.27436819542515e-05,1.11202941335024e-05,ACAN/BGN/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/FN1/LUM/SERPINE1/SPARC,13
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,16/292,126/10321,0.126984126984127,4.48836703631224,6.72227523515192,4.83542959545321e-07,3.70393907011716e-05,3.23210294011872e-05,BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA5/CDK1/CENPF/CENPI/ERCC6L/KIF18A/KIF2C/MAD2L1/NUF2/PLK1/TUBB3,16
R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells,10/292,48/10321,0.208333333333333,7.36372716894977,7.54025416629335,7.11214604196173e-07,4.95263988012971e-05,4.32173467621598e-05,ANXA3/COL11A1/COL1A1/COL1A2/COL3A1/COL5A1/COL5A2/FN1/KRT7/SLC4A4,10
R-HSA-8874081,MET activates PTK2 signaling,8/292,30/10321,0.266666666666667,9.42557077625571,7.88557974601159,1.269525088615e-06,8.1038018156591e-05,7.07147746728532e-05,COL11A1/COL1A1/COL1A2/COL3A1/COL5A1/COL5A2/FN1/MET,8
R-HSA-8875878,MET promotes cell motility,9/292,41/10321,0.219512195121951,7.75885399264952,7.3989636634584,1.62291879419471e-06,9.56273689502419e-05,8.34456222116306e-05,COL11A1/COL1A1/COL1A2/COL3A1/COL5A1/COL5A2/FN1/MET/TNS4,9
R-HSA-69620,Cell Cycle Checkpoints,24/292,290/10321,0.0827586206896552,2.92517713745867,5.67413988134225,2.3405046521189e-06,0.000128059040251648,0.000111745898804173,BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC45/CDC6/CDK1/CENPF/CENPI/CLSPN/ERCC6L/EXO1/GTSE1/KIF18A/KIF2C/MAD2L1/MCM10/MCM2/NUF2/ORC6/PKMYT1/PLK1/UBE2C,24
R-HSA-156711,Polo-like kinase mediated events,6/292,16/10321,0.375,13.2547089041096,8.37030824370985,3.07196174727901e-06,0.000156874846561048,0.000136890926984012,CCNB1/CENPF/FOXM1/MYBL2/PKMYT1/PLK1,6
R-HSA-2243919,Crosslinking of collagen fibrils,6/292,18/10321,0.333333333333333,11.7819634703196,7.8118647837946,6.78840841454784e-06,0.000324995052846478,0.000283594693634071,COL1A1/COL1A2/COL4A1/COL4A2/LOXL2/PXDN,6
R-HSA-5660526,Response to metal ions,5/292,12/10321,0.416666666666667,14.7274543378995,8.11848176790592,1.17847574051672e-05,0.000531007304256356,0.000463363526457038,MT1A/MT1G/MT1H/MT1M/MT1X,5
R-HSA-141424,Amplification of signal from the kinetochores,12/292,95/10321,0.126315789473684,4.4647440519106,5.78871975673383,1.40813214952233e-05,0.000567699592912689,0.000495381670330572,BIRC5/BUB1/BUB1B/CDC20/CENPF/CENPI/ERCC6L/KIF18A/KIF2C/MAD2L1/NUF2/PLK1,12
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,12/292,95/10321,0.126315789473684,4.4647440519106,5.78871975673383,1.40813214952233e-05,0.000567699592912689,0.000495381670330572,BIRC5/BUB1/BUB1B/CDC20/CENPF/CENPI/ERCC6L/KIF18A/KIF2C/MAD2L1/NUF2/PLK1,12
R-HSA-69618,Mitotic Spindle Checkpoint,13/292,112/10321,0.116071428571429,4.10264799412916,5.63316372997381,1.57427105925101e-05,0.000598223849756955,0.000522017513529842,BIRC5/BUB1/BUB1B/CDC20/CENPF/CENPI/ERCC6L/KIF18A/KIF2C/MAD2L1/NUF2/PLK1/UBE2C,13
