ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0004970,glutamate-gated receptor activity,2/19,18/16272,0.111111111111111,95.1578947368421,13.6656413866784,0.000195443774669613,0.016623045859873,0.00908547040924234,GRIK3/GRIN2A,2
GO:0008066,glutamate receptor activity,2/19,26/16272,0.0769230769230769,65.8785425101215,11.3196158814757,0.000412852308425367,0.016623045859873,0.00908547040924234,GRIK3/GRIN2A,2
GO:0099604,ligand-gated calcium channel activity,2/19,28/16272,0.0714285714285714,61.1729323308271,10.8955926118849,0.000479510938265568,0.016623045859873,0.00908547040924234,GRIK3/GRIN2A,2
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,2/19,46/16272,0.0434782608695652,37.2356979405034,8.41447386943765,0.00129660475726437,0.0245772818161915,0.0134329273084448,GRIK3/GRIN2A,2
GO:0099529,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,2/19,49/16272,0.0408163265306122,34.9559613319012,8.13889867179684,0.00147017288151419,0.0245772818161915,0.0134329273084448,GRIK3/GRIN2A,2
GO:0022824,transmitter-gated monoatomic ion channel activity,2/19,52/16272,0.0384615384615385,32.9392712550607,7.88711920981863,0.00165424012224366,0.0245772818161915,0.0134329273084448,GRIK3/GRIN2A,2
GO:0022835,transmitter-gated channel activity,2/19,52/16272,0.0384615384615385,32.9392712550607,7.88711920981863,0.00165424012224366,0.0245772818161915,0.0134329273084448,GRIK3/GRIN2A,2
GO:0098960,postsynaptic neurotransmitter receptor activity,2/19,61/16272,0.0327868852459016,28.0793787748059,7.24462427865527,0.00226876038213185,0.027940030065973,0.0152708666352484,GRIK3/GRIN2A,2
GO:0005230,extracellular ligand-gated monoatomic ion channel activity,2/19,63/16272,0.0317460317460317,27.187969924812,7.12051084814607,0.00241788721724766,0.027940030065973,0.0152708666352484,GRIK3/GRIN2A,2
GO:0001664,G protein-coupled receptor binding,3/19,265/16272,0.0113207547169811,9.69533267130089,4.87945505447441,0.00341148147630845,0.0354794073536079,0.0193915789179638,GNA15/GPR15LG/VIP,3
GO:0030594,neurotransmitter receptor activity,2/19,81/16272,0.0246913580246914,21.1461988304094,6.21463954527947,0.00396138855569547,0.037453128162939,0.0204703332064646,GRIK3/GRIN2A,2
GO:0015171,amino acid transmembrane transporter activity,2/19,95/16272,0.0210526315789474,18.0299168975069,5.69170645918304,0.00540632843892499,0.0468548464706832,0.0256089241843815,GRIK3/GRIN2A,2
