Symbol,n_cancers,n_up,n_down,mean_lfc
ABAT,3,1,2,-1.14479196023165
ABCA10,3,2,1,0.515490906318171
ABCA12,3,1,2,0.235351952324385
ABCA8,3,2,1,0.978542448126576
ACAN,3,1,2,-1.10192333621238
ACVR1C,3,1,2,-0.492405594318804
ADAM12,3,1,2,-1.09228815806004
ADAMDEC1,3,2,1,0.900260446531605
ADAMTS12,4,2,2,-0.65389604401478
ADAMTS18,3,1,2,-0.389534073365972
ADAMTS2,3,1,2,-0.950897336664947
ADAMTS6,3,1,2,-0.347110006944034
ADAMTS7,3,2,1,0.504009363370015
ADGRV1,3,1,2,-0.614636634788709
ADH1A,3,2,1,0.53227275815046
ADH1B,3,2,1,0.716610351884663
AFF2,3,2,1,0.236766275812951
ANGPTL1,3,2,1,0.553562259874148
ANKRD20A1,3,2,1,0.813419075809852
ANLN,3,1,2,-0.0562845865650181
ANOS1,4,2,2,0.125080756922589
ANPEP,3,1,2,-0.155625152072458
ANXA3,3,1,2,-0.423103489786038
ANXA9,3,1,2,-0.0844889208921001
APLN,4,2,2,-0.0945249246579725
AQP7,3,2,1,0.510798406558012
AQP9,3,1,2,-1.41566703369318
ARG1,3,2,1,0.463280331388707
ASF1B,3,1,2,0.0529319312643412
ASPA,3,2,1,1.20608114843426
ASPG,3,2,1,0.923209961488077
ASPM,3,1,2,0.159936019918199
ATAD2,3,1,2,-0.369893832149144
ATP1A2,3,2,1,1.27306169494649
AURKA,3,1,2,-0.627417318028437
AZGP1,3,0,3,-2.41140918789065
BARX2,3,3,0,1.76749164558423
BCL2A1,3,1,2,-0.383276708210999
BGN,3,1,2,-0.90346946242372
BIRC5,3,1,2,-0.142691727984093
BRINP3,3,2,1,0.145596936791031
BSPRY,3,1,2,-0.432012592410626
BUB1,3,1,2,0.0692004671671995
BUB1B,3,1,2,-0.0487627703759156
C16orf89,3,2,1,0.953723140702281
C1QTNF6,3,2,1,0.4235513383425
C1QTNF7,3,2,1,0.366386445073237
C2,3,1,2,-0.492186644920996
C21orf62,3,1,2,-0.475509007164798
C6,3,2,1,1.24038405929141
C7,3,2,1,0.466439183044221
CA9,3,1,2,-0.226967101556515
CADM2,3,3,0,2.42855669105399
CADM3,3,3,0,2.06628668924788
CALB2,3,3,0,1.72182420315098
CAPN5,3,2,1,0.567362395608372
CCBE1,3,2,1,0.228359334263023
CCL14,3,2,1,0.766439052205913
CCL15-CCL14,3,2,1,0.481154514611449
CCL20,3,2,1,0.827201415498555
CCL3L3,3,1,2,-0.520168050448171
CCL4L2,3,1,2,-0.301446668234426
CCN4,3,1,2,-0.722106138451533
CCNB1,3,1,2,-0.416545647069521
CD300LF,3,2,1,0.71455239680617
CD80,3,2,1,0.597733167078979
CDC20,3,1,2,-0.278242644796437
CDC45,3,1,2,-0.168008044746121
CDC6,3,1,2,-0.298369505202689
CDCA5,3,1,2,-0.362889087735232
CDH3,3,0,3,-2.53814285259613
CDK1,3,1,2,-0.381338854238359
CDKN2B,3,3,0,1.75817072827777
CDKN3,3,1,2,-0.332378201181791
CDT1,3,1,2,-0.112913589348253
CEACAM1,3,2,1,0.660627395542963
CELSR3,3,1,2,-0.665747000890495
CENPF,3,1,2,0.000129621972660384
CENPI,3,1,2,-0.197485222727238
CEP55,3,1,2,-0.160152734649406
CFAP20DC,3,2,1,0.404810395216589
CHAC1,3,1,2,-0.1154633596442
CHAD,3,1,2,-0.644876368813501
CHODL,3,1,2,-0.293461042933648
CHP2,3,1,2,-1.00463191904961
CHRDL1,3,2,1,0.264006922973324
CHST11,3,2,1,0.598090868691687
CILP2,3,2,1,0.938709744158566
CIP2A,3,1,2,-0.447785088811744
CKAP2L,4,2,2,0.589081140264167
CKS2,3,1,2,-0.444137342455759
CLDN11,3,2,1,-0.0298770004352155
CLDN14,3,0,3,-1.91605464926534
CLEC3B,3,2,1,1.0035991385975
CLEC4E,3,1,2,-0.45918614413546
CLEC5A,3,1,2,-0.553725519442445
CLSPN,3,1,2,-0.11097718560183
CNGA1,3,2,1,0.308861014156889
CNTFR,3,2,1,0.709840190654886
CNTN3,3,2,1,0.248168894474174
COL11A1,3,1,2,-3.01925642764097
COL12A1,3,1,2,-0.851865298868254
COL19A1,4,2,2,0.063070572552057
COL1A1,4,2,2,-0.24132960603813
COL1A2,4,2,2,-0.213468700311154
COL28A1,3,2,1,0.268092856457204
COL3A1,3,2,1,-0.0354504512773447
COL4A1,3,1,2,-0.65937313921611
COL4A2,3,2,1,0.10554171107504
COL5A1,3,2,1,0.208986736783645
COL5A2,4,2,2,-0.0707454501740771
COL8A1,3,1,2,-0.679317065147091
CREG2,3,1,2,-0.609500551069117
CSMD2,3,1,2,-0.722018631274218
CST2,3,1,2,-1.95883319346247
CSTA,3,3,0,2.17879276667783
CTHRC1,3,1,2,-1.22578279832739
CWH43,3,2,1,0.87918763140694
CXCL10,3,1,2,-0.367207465330232
CXCL11,3,1,2,-0.65318664977981
CXCL9,3,1,2,-0.135968566493828
