"Cell_Type","Mean_r","SD_r","N_Sig","Cancers"
"Monocyte",0.18474081762385,0.12048487700056,4,"colorectal; esophagus; kidney; pancreatic"
"Type_1_T_helper_cell",0.174223983275724,0.0814565512473291,4,"esophagus; kidney; liver; pancreatic"
"Regulatory_T_cell",0.160791877065947,0.075667693622472,2,"kidney; pancreatic"
"Natural_killer_cell",-0.157418645829448,0.340033281278619,2,"kidney; pancreatic"
"CD56bright_natural_killer_cell",-0.157391234023327,0.339987805064444,2,"kidney; pancreatic"
"Effector_memory_CD4_T_cell",0.155723929866809,0.124514394277051,3,"colorectal; esophagus; kidney"
"Type_2_T_helper_cell",0.146156624209139,0.0734413648049341,3,"colorectal; esophagus; kidney"
"T_follicular_helper_cell",0.1460125861046,0.120644695316858,2,"colorectal; kidney"
"Effector_memory_CD8_T_cell",0.143768874086172,0.156935053338747,3,"colorectal; esophagus; kidney"
"Activated_CD4_T_cell",0.136048522584238,0.0945193035578841,2,"esophagus; kidney"
"Neutrophil",0.12630742167093,0.102313136995754,2,"kidney; pancreatic"
"Central_memory_CD4_T_cell",0.122564186373964,0.120230974784807,2,"esophagus; kidney"
"Macrophage",0.108452998376735,0.0919463706325145,3,"colorectal; esophagus; kidney"
"MDSC",0.0855966339750675,0.11576502014956,2,"esophagus; kidney"
"Activated_CD8_T_cell",0.0835474489361925,0.192274889390272,3,"colorectal; esophagus; kidney"
"Central_memory_CD8_T_cell",0.0786743976131124,0.182021264752314,1,"kidney"
"Activated_dendritic_cell",0.0684655894464084,0.049309231510544,1,"kidney"
"Memory_B_cell",-0.052979137369729,NA,0,""
"Plasmacytoid_dendritic_cell",0.0517953822535802,0.143674124547746,2,"colorectal; kidney"
"Immature_B_cell",-0.0509121380824873,NA,0,""
"Type_17_T_helper_cell",0.0502471797909219,0.197768437330523,4,"colorectal; esophagus; kidney; pancreatic"
"Activated_B_cell",-0.046380232259378,0.128886694959143,4,"esophagus; kidney; liver; pancreatic"
"Mast_cell",-0.0425998194492776,0.0672578074080379,0,""
"CD56dim_natural_killer_cell",0.0381041671331675,0.255558113216351,1,"esophagus"
"B_cell",0.0248620760770895,0.130971876335282,1,"liver"
"Natural_killer_T_cell",0.0189388384912196,0.30472823107429,2,"kidney; pancreatic"
