"Cell_Type","Spearman_r","P_Value","cancer"
"Activated_CD8_T_cell",-0.107599123135906,0.00848016555547633,"colorectal"
"MDSC",-0.0336080826239393,0.411898694107317,"colorectal"
"Neutrophil",-0.00790853839832492,0.846919021679117,"colorectal"
"Central_memory_CD8_T_cell",0.00209648417407106,0.959186024207271,"colorectal"
"B_cell",0.00682563127472585,0.867672081546073,"colorectal"
"Mast_cell",0.0320630685378136,0.433733073414349,"colorectal"
"Type_1_T_helper_cell",0.0343316854511136,0.401900496359907,"colorectal"
"Activated_B_cell",0.0427976421265798,0.295993456179152,"colorectal"
"Activated_dendritic_cell",0.062908918717686,0.124347845564054,"colorectal"
"Central_memory_CD4_T_cell",0.0687601412066446,0.0929648666646449,"colorectal"
"Regulatory_T_cell",0.0751671826954607,0.066236133161296,"colorectal"
"Activated_CD4_T_cell",0.0795362960047893,0.0519148863718428,"colorectal"
"Type_17_T_helper_cell",0.106239905789662,0.00935142890365074,"colorectal"
"Type_2_T_helper_cell",0.110047532484899,0.00709178906260679,"colorectal"
"Monocyte",0.130066668258462,0.0014462826770626,"colorectal"
"Effector_memory_CD4_T_cell",0.132748628205881,0.00114848948400919,"colorectal"
"Plasmacytoid_dendritic_cell",0.139912885402327,0.000607733367108769,"colorectal"
"T_follicular_helper_cell",0.150387366001256,0.000226952350374909,"colorectal"
"Effector_memory_CD8_T_cell",0.159940999574676,8.72946073204893e-05,"colorectal"
"Macrophage",0.16331727032323,6.14661562739927e-05,"colorectal"
"Activated_B_cell",-0.160944693802855,0.0291676832924725,"esophagus"
"Mast_cell",-0.0984434898191135,0.183517917870995,"esophagus"
"CD56bright_natural_killer_cell",-0.0670821213230336,0.365253343063217,"esophagus"
"Natural_killer_cell",-0.0670821213230336,0.365253343063217,"esophagus"
"Memory_B_cell",-0.052979137369729,0.474719371497151,"esophagus"
"Immature_B_cell",-0.0509121380824873,0.492143230304669,"esophagus"
"B_cell",-0.021773805166535,0.769028508422241,"esophagus"
"Plasmacytoid_dendritic_cell",-0.00860318622257325,0.907646474557373,"esophagus"
"T_follicular_helper_cell",0.0341719481420123,0.644857731971556,"esophagus"
"Neutrophil",0.0940263142686521,0.204042916524341,"esophagus"
"Natural_killer_T_cell",0.116728631696558,0.114513197421795,"esophagus"
"Regulatory_T_cell",0.119741480611046,0.105407506810905,"esophagus"
"Central_memory_CD8_T_cell",0.120126755408295,0.104285466547193,"esophagus"
"Activated_dendritic_cell",0.124594016682399,0.0919526435789415,"esophagus"
"Effector_memory_CD8_T_cell",0.149829515902217,0.0424364101084097,"esophagus"
"Activated_CD4_T_cell",0.158910442873379,0.0312894894912409,"esophagus"
"Macrophage",0.161543796112577,0.0285667450204248,"esophagus"
"MDSC",0.172969120225,0.0189758090115884,"esophagus"
"Central_memory_CD4_T_cell",0.173273487314827,0.0187642180805629,"esophagus"
"Activated_CD8_T_cell",0.189273949644584,0.0101664438551417,"esophagus"
"CD56dim_natural_killer_cell",0.218811041975689,0.00289882299416545,"esophagus"
"Type_1_T_helper_cell",0.220255822465373,0.00271480609055327,"esophagus"
"Type_2_T_helper_cell",0.240937373581707,0.00101586038867403,"esophagus"
"Monocyte",0.244919188611277,0.000832663204489628,"esophagus"
"Effector_memory_CD4_T_cell",0.245920903084125,0.000791639469789638,"esophagus"
"Type_17_T_helper_cell",0.293589027373774,5.64399264010355e-05,"esophagus"
"Activated_B_cell",-0.0868865109048498,0.0129429968129059,"kidney"
"B_cell",-0.043714911625719,0.211630788113,"kidney"
"Activated_dendritic_cell",0.0758457480527909,0.0300997502497975,"kidney"
"Type_17_T_helper_cell",0.126051457049533,0.000304547214462364,"kidney"
"CD56bright_natural_killer_cell",0.128324132277411,0.000236063599954542,"kidney"
"Natural_killer_cell",0.128324132277411,0.000236063599954542,"kidney"
"Macrophage",0.195554899732327,1.83189362269039e-08,"kidney"
"Type_2_T_helper_cell",0.205033262767295,3.54042136257524e-09,"kidney"
"MDSC",0.208797961417271,1.80307427436526e-09,"kidney"
"Regulatory_T_cell",0.215859388576677,4.91643134097965e-10,"kidney"
"Neutrophil",0.232649354796994,1.86959183516909e-11,"kidney"
"Type_1_T_helper_cell",0.239850877023071,4.25139800989773e-12,"kidney"
