Symbol,n_cancers,n_up,n_down,mean_lfc,sd_lfc,cancers
PLPP4,4,1,3,-1.23696817144072,2.65344202661047,colorectal|esophagus|kidney|pancreatic
HILPDA,4,3,1,1.07252598651858,2.14057112211996,colorectal|esophagus|kidney|pancreatic
ECRG4,4,3,1,0.925720980026956,2.48795272998517,colorectal|esophagus|kidney|liver
INHBA,4,2,2,-0.908319923616144,3.31472036057712,colorectal|esophagus|kidney|pancreatic
ESM1,4,2,2,-0.89560862329169,3.60868537159981,colorectal|esophagus|kidney|pancreatic
MT1H,4,2,2,-0.884390718331756,4.18791256962072,colorectal|esophagus|kidney|pancreatic
MMP11,4,2,2,-0.755555931406987,3.62895012786437,colorectal|esophagus|kidney|pancreatic
ADAMTS12,4,2,2,-0.65389604401478,2.32570553821003,colorectal|esophagus|kidney|pancreatic
CKAP2L,4,2,2,0.589081140264167,2.12371534636766,colorectal|esophagus|kidney|pancreatic
TREM1,4,2,2,-0.449330175845131,2.52567101430092,colorectal|esophagus|kidney|pancreatic
OSM,4,2,2,-0.442705238327001,2.48991783406956,colorectal|esophagus|kidney|pancreatic
SLC4A4,4,2,2,0.394636165236128,2.54203389810952,colorectal|esophagus|kidney|pancreatic
COL1A1,4,2,2,-0.24132960603813,2.6596035688138,colorectal|esophagus|kidney|pancreatic
KIF14,4,2,2,0.22416154494495,1.95187620418667,colorectal|esophagus|kidney|pancreatic
COL1A2,4,2,2,-0.213468700311154,2.09983754509412,colorectal|esophagus|kidney|pancreatic
E2F7,4,2,2,0.207341829462841,1.9727871792369,colorectal|esophagus|kidney|pancreatic
OLFML2B,4,2,2,0.199972234028686,2.26113749974967,colorectal|esophagus|kidney|pancreatic
ZNF469,4,2,2,-0.165638932350169,1.82789022150531,colorectal|esophagus|kidney|pancreatic
ANOS1,4,2,2,0.125080756922589,1.92635999680027,colorectal|esophagus|kidney|pancreatic
LRRC15,4,2,2,0.122935026729751,3.34181866383472,colorectal|esophagus|kidney|pancreatic
FKBP10,4,2,2,-0.120878484457319,2.07089390902749,colorectal|esophagus|kidney|pancreatic
TBX15,4,2,2,0.119281831175414,3.220991492033,colorectal|esophagus|kidney|pancreatic
PLEKHN1,4,2,2,0.102129217978657,1.79891713037659,colorectal|esophagus|kidney|liver
APLN,4,2,2,-0.0945249246579725,2.53722952235498,colorectal|esophagus|kidney|pancreatic
SERPINH1,4,2,2,-0.0901274612999655,1.51418957332905,colorectal|esophagus|kidney|pancreatic
MMP9,4,2,2,0.0813498091871258,2.52022846315429,colorectal|esophagus|kidney|pancreatic
PKHD1L1,4,2,2,-0.0788634545647909,2.24343338339832,colorectal|esophagus|kidney|pancreatic
SPARC,4,2,2,-0.0748041366296751,1.61774729580234,colorectal|esophagus|kidney|pancreatic
COL5A2,4,2,2,-0.0707454501740771,1.97941306841385,colorectal|esophagus|kidney|pancreatic
COL19A1,4,2,2,0.063070572552057,2.24000437472925,colorectal|esophagus|kidney|pancreatic
TGFBI,4,2,2,0.0548601057777803,2.45679803675731,colorectal|esophagus|kidney|pancreatic
TIMP1,4,2,2,0.0544448660713101,1.72522362896861,colorectal|esophagus|kidney|pancreatic
FSCN1,4,2,2,-0.0543563579648721,1.53342037020226,colorectal|esophagus|kidney|pancreatic
TUBB3,4,2,2,-0.0484397028973494,1.93487776306377,colorectal|esophagus|kidney|pancreatic
TMEM132A,4,2,2,0.0438988254529984,1.83041045774438,colorectal|esophagus|kidney|pancreatic
SPOCD1,4,2,2,0.00897863206794031,2.26632794300116,colorectal|esophagus|kidney|pancreatic
POGLUT2,4,2,2,-0.00361680931574093,1.27997303283903,colorectal|esophagus|kidney|pancreatic
DPEP1,3,0,3,-3.5587081174767,1.45762629914471,colorectal|kidney|pancreatic
COL11A1,3,1,2,-3.01925642764097,4.17831072084171,colorectal|esophagus|kidney
MMP10,3,1,2,-2.8161269509593,4.86733115427946,colorectal|esophagus|pancreatic
MMP3,3,1,2,-2.80362359182596,3.93328390488683,colorectal|esophagus|pancreatic
SLC30A2,3,0,3,-2.74812670934457,0.864282335560841,colorectal|kidney|pancreatic
GRIK3,3,3,0,2.63121104129417,0.914592256250604,colorectal|esophagus|kidney
STRA6,3,0,3,-2.62748280190171,0.586530325641694,colorectal|esophagus|kidney
CDH3,3,0,3,-2.53814285259613,1.44389303535743,colorectal|esophagus|kidney
SLITRK3,3,3,0,2.52043501613484,0.365048358149514,colorectal|esophagus|liver
GPR15LG,3,3,0,2.45033280916446,1.8207264101844,colorectal|esophagus|kidney
CADM2,3,3,0,2.42855669105399,0.773477210822468,colorectal|esophagus|liver
AZGP1,3,0,3,-2.41140918789065,0.789492031404818,colorectal|kidney|pancreatic
HOXB8,3,0,3,-2.35452716717795,1.34994123438981,colorectal|esophagus|kidney
SHISA2,3,0,3,-2.29470751088443,0.468022121462196,colorectal|esophagus|kidney
PADI1,3,2,1,2.27943591506614,2.97683480914052,colorectal|esophagus|kidney
CSTA,3,3,0,2.17879276667783,0.462229167239555,esophagus|kidney|pancreatic
