Symbol,colorectal,esophagus,kidney,pancreatic
CDK1,178,218,230,0
IL6,166,0,0,0
CCNB1,150,176,188,0
CDC20,144,180,178,0
TOP2A,140,162,164,0
IL1B,138,0,0,0
PLK1,138,162,176,0
BUB1,136,182,188,0
BUB1B,136,172,178,0
BIRC5,132,154,160,0
CDC45,128,158,152,0
NUF2,128,158,168,0
DLGAP5,126,166,164,0
RRM2,122,134,134,0
KIF20A,122,156,158,0
CD44,120,0,190,0
TPX2,118,138,146,0
UBE2C,118,134,130,0
MELK,116,146,154,0
CXCL8,114,102,0,0
ASPM,114,144,148,0
AURKA,112,130,128,0
CENPA,112,142,0,0
KIF4A,112,136,142,0
NUSAP1,112,136,138,0
KIF2C,110,142,156,0
CENPF,110,142,150,0
CEP55,108,142,140,0
EXO1,106,128,136,0
MAD2L1,106,144,146,0
TTK,106,138,148,0
HMMR,104,118,130,0
FOXM1,102,112,118,0
HJURP,100,132,146,0
KIF23,100,126,0,0
NEK2,100,110,112,0
ESPL1,98,118,0,0
MKI67,96,112,120,0
MCM10,94,108,108,0
MYC,92,0,112,0
CDCA3,92,120,0,0
CDCA5,92,120,122,0
CDC6,90,104,98,0
CD19,90,0,0,0
PTTG1,86,0,100,0
CCL5,86,0,124,0
RACGAP1,84,0,118,0
KIFC1,84,92,94,0
MMP9,82,100,106,34
MCM4,80,0,0,0
ANLN,80,88,86,0
KIF14,80,106,114,0
NCAPH,78,92,98,0
PRKACB,78,0,0,0
CXCL10,76,88,104,0
CXCL12,76,0,102,0
CDT1,74,86,70,0
COL1A1,72,104,90,48
TRIP13,70,92,86,0
CDKN3,70,88,98,0
H3C12,70,0,0,0
KIF18A,68,86,98,0
IGF1,68,0,0,0
CYP3A4,68,46,66,0
BCL2,66,0,0,0
IL1A,66,76,0,0
CXCR2,66,54,0,0
NCAM1,64,0,0,0
RAD51AP1,62,70,80,0
ECT2,62,74,84,0
CCND1,60,0,76,0
SST,60,0,0,0
KIT,58,0,0,0
MCM2,58,66,56,0
DTL,58,66,68,0
CXCL9,58,62,82,0
FCGR3A,58,34,146,0
CXCR1,58,0,0,0
NPY,56,0,0,0
CXCL1,56,54,0,0
CCL20,56,0,56,0
AGT,54,0,0,0
CXCL2,54,0,0,0
CCL21,54,0,56,0
CCR8,52,44,0,0
GCG,52,0,0,0
CKAP2L,52,60,66,0
CXCL11,50,46,60,0
ASF1B,50,54,60,0
CD36,50,0,78,0
BRCA2,50,0,56,0
CCR10,50,0,0,0
COL1A2,50,80,76,42
CCL19,50,0,52,0
SHCBP1,48,54,0,0
FEN1,48,56,0,0
CXCL5,48,0,0,0
KIF18B,48,52,54,0
TROAP,48,54,56,0
ADCY5,48,0,0,0
ACAN,48,36,46,0
FCGR3B,48,26,112,0
CCR9,48,0,0,0
SKA3,46,0,68,0
CYP2B6,46,0,58,0
ITGA2,44,0,0,0
CDC25A,44,46,0,0
CDK4,44,0,0,0
MYBL2,44,46,48,0
UGT1A6,44,0,0,0
UGT1A1,44,0,0,0
CKS2,44,46,0,0
E2F1,44,44,62,0
F2,44,0,0,0
PPARGC1A,44,0,0,0
CD79A,44,0,0,0
MMP1,42,42,0,0
NCAPG2,42,0,0,0
UGT1A8,42,0,0,0
UGT1A4,42,0,0,0
SPP1,42,50,0,0
ADH1B,42,0,0,0
CXCL3,42,0,0,0
ADH1C,42,0,0,0
CXCL6,42,26,0,0
GSTA1,42,0,0,0
RFC3,40,0,0,0
BMP2,40,0,0,0
TIMP1,40,44,0,16
UBE2T,40,52,52,0
SERPINE1,40,36,0,0
MND1,40,46,62,0
MME,40,0,0,0
MET,38,36,44,0
KPNA2,38,42,0,0
ORC1,38,38,0,0
UGT1A10,38,0,0,0
SYP,38,0,0,0
GRIN2B,38,0,0,0
CKAP2,38,0,0,0
ERCC6L,38,44,44,0
CYP2C18,38,0,0,0
PF4,38,0,0,0
CCL8,38,32,0,0
ADH6,38,0,0,0
UGT1A7,36,28,0,0
SHH,36,0,0,0
CENPI,36,54,58,0
GTSE1,36,44,42,0
CCNF,36,40,0,0
DEPDC1B,36,44,0,0
ITGA11,36,42,0,18
PTGS2,36,50,0,0
MS4A1,36,0,0,0
ADH1A,36,0,0,0
ITGA8,34,0,58,0
HPGDS,34,0,0,0
MMP3,34,42,0,14
UHRF1,34,38,42,0
CLSPN,34,42,0,0
SOX9,34,0,0,0
LEF1,34,0,0,0
WNT5A,34,0,0,0
PAX5,34,0,0,0
GRIN2A,32,0,0,0
FGFR2,32,0,0,0
CAMK2A,32,0,50,0
UGT1A3,32,0,0,0
FGF9,32,0,0,0
MPO,32,0,48,0
GSTM1,32,0,0,0
CCL3L3,32,0,0,0
DRD2,32,0,0,0
COL4A1,32,64,48,0
FGF10,32,0,44,0
IGLL5,32,0,0,0
VTN,32,0,58,0
ANPEP,30,0,46,0
UBE2S,30,0,0,0
BGN,30,58,0,26
GPX3,30,0,0,0
NTRK2,30,0,0,0
XCL2,30,0,0,0
CD22,30,0,0,0
FOXP3,30,0,102,0
RECQL4,30,0,0,0
HSD3B2,30,0,0,0
GRIN1,30,0,0,0
H3C14,30,0,0,0
FGF18,30,0,0,0
H3C15,30,26,0,0
COL2A1,30,0,0,0
FLNC,30,0,0,0
IL6R,28,0,0,0
GNA11,28,0,0,0
GRIA4,28,0,0,0
SHMT2,28,0,44,0
GINS1,28,34,0,0
MAOA,28,0,42,0
UGT1A9,28,0,0,0
GZMB,28,26,98,0
AKR1C2,28,0,0,0
CCL24,28,0,0,0
COL5A2,28,54,0,32
SNAI1,28,0,0,10
CR2,28,0,0,0
PRKCG,28,0,0,0
MAOB,28,28,0,0
ABCC2,28,0,0,0
CD79B,28,0,0,0
FCGR1A,28,0,58,0
SAA1,28,0,0,0
SLC9A1,26,0,0,0
MMP7,26,32,0,0
CACNG8,26,0,0,0
UGDH,26,0,0,0
LIF,26,0,0,0
NR1H4,26,0,0,0
GRIN2D,26,0,0,0
SCN4B,26,0,0,0
GINS2,26,38,0,0
ACKR2,26,0,0,0
CES2,26,0,0,0
GRIA3,26,0,0,0
CHGA,26,0,0,0
VIP,26,0,0,0
PLAU,26,30,0,0
SNAP25,26,0,0,0
CD7,26,0,0,0
THBS2,26,48,0,24
CCL28,26,0,0,0
UGT2B15,26,0,0,0
UGT2B17,26,0,0,0
GAL,26,0,0,0
CLU,26,0,0,0
LCN2,26,0,0,0
CCNB2,0,168,162,0
FN1,0,166,180,70
AURKB,0,156,170,0
CDCA8,0,152,162,0
PBK,0,146,148,0
CENPE,0,126,142,0
ZWINT,0,118,130,0
NDC80,0,112,128,0
PRC1,0,112,120,0
RAD51,0,100,100,0
SPAG5,0,94,102,0
BRCA1,0,88,104,0
DEPDC1,0,86,92,0
CXCR4,0,82,122,0
CDCA2,0,80,80,0
EGF,0,80,118,0
TK1,0,78,0,0
SKA1,0,78,80,0
CDC25C,0,78,84,0
OIP5,0,78,90,0
RFC4,0,74,0,0
SPC25,0,72,78,0
TLR2,0,72,110,0
MMP2,0,72,0,0
CENPM,0,70,80,0
KNL1,0,68,0,0
COL3A1,0,66,54,38
MCM7,0,64,0,0
APOE,0,62,0,0
COL5A1,0,60,42,36
TACC3,0,58,60,0
COL6A1,0,58,0,0
COL4A2,0,56,46,20
WDHD1,0,54,0,0
COL6A2,0,54,0,0
CD80,0,52,112,0
COL6A3,0,50,0,0
KNTC1,0,50,52,0
CYP2E1,0,50,0,0
CCR1,0,50,0,0
ITGA5,0,50,58,0
THBS1,0,50,0,0
CCL3,0,48,70,0
LUM,0,48,52,32
CCL4,0,48,72,0
ITGA6,0,48,0,0
FBN1,0,48,0,0
MAPK3,0,44,0,0
ITGAX,0,44,104,0
COL12A1,0,44,0,22
POSTN,0,42,0,22
VCAM1,0,42,0,0
CXCL13,0,42,0,0
LOX,0,40,0,0
IL18,0,40,0,0
LGALS3,0,40,0,0
IVL,0,40,0,0
IGF2,0,40,66,0
PLOD1,0,38,0,0
CTLA4,0,38,110,0
COL11A1,0,38,0,0
CYP2C9,0,38,66,0
CCL27,0,38,0,0
SERPINH1,0,36,0,18
TIMELESS,0,36,0,0
CD40LG,0,36,100,0
SPARC,0,36,0,18
SPRR3,0,34,0,0
MCM8,0,34,0,0
TGM1,0,34,0,0
ESCO2,0,34,0,0
GP6,0,34,0,0
