Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
CDK1,118,0.00324109614081887,0.321561338289963,1,-0.381338854238359
BUB1,108,0.00340507538520082,0.318600368324125,0.966467587807836,0.0692004671671995
TOP2A,108,0.00198902340122632,0.318600368324125,0.971474561143807,0.011490651043307
CDC20,106,0.00175202356716701,0.318014705882353,0.949431442881388,-0.278242644796437
DLGAP5,104,0.00135701728074787,0.316849816849817,0.967569393196209,0.156049310264908
CCNB1,102,0.00168951062463533,0.316849816849817,0.938156263333984,-0.416545647069521
NUF2,102,0.00169525330109218,0.31511839708561,0.937068890122576,-0.172436099125342
BIRC5,102,0.0010472212786454,0.316270566727605,0.946999604076906,-0.142691727984093
ASPM,98,0.00332359458588565,0.31511839708561,0.924070469602906,0.159936019918199
BUB1B,98,0.00120631449057431,0.315693430656934,0.93594376310078,-0.0487627703759156
MELK,98,0.000904019382052382,0.31511839708561,0.931698597955016,0.0487300855038019
KIF20A,96,0.00295496566479694,0.314545454545455,0.905338540143426,-0.223145864663277
PLK1,94,0.00300795439859193,0.314545454545455,0.861941296480323,-0.437478983588067
CDC45,94,0.00266327481250311,0.311711711711712,0.815223463127704,-0.168008044746121
NUSAP1,94,0.000824653789612557,0.313974591651543,0.919101247633461,-0.0192986442281233
KIF2C,92,0.000480409505116289,0.313405797101449,0.913190432009453,-0.38087593983128
TPX2,92,0.000887529756497385,0.313405797101449,0.901676451974318,-0.201315181613266
UBE2C,90,0.000580772666500348,0.312274368231047,0.872139549330623,-0.268421613141462
RRM2,90,0.00264189820945636,0.312839059674503,0.837022079880628,-0.161254876800356
CEP55,90,0.00104824081620662,0.312839059674503,0.870538543218697,-0.160152734649406
KIF4A,90,0.000693309053715432,0.313405797101449,0.898215650341611,-0.0853118711630108
CENPF,90,0.000688402226777332,0.312839059674503,0.888440235957608,0.000129621972660384
TTK,88,0.000684989004516114,0.312274368231047,0.881363026649726,-0.0455768378023331
MAD2L1,86,0.00101369900307167,0.312274368231047,0.827572892921343,-0.378602141847004
HJURP,84,0.00118988306736365,0.311151079136691,0.827296412773578,-0.102245321651869
AURKA,82,0.0634198762830132,0.372043010752688,0.831997696271108,-0.627417318028437
FOXM1,80,0.00985520900496441,0.325187969924812,0.77024083822673,-0.464512366841182
CDCA5,78,0.000857758092027109,0.306737588652482,0.770139093400625,-0.362889087735232
HMMR,78,0.000335045491047562,0.308928571428571,0.806951678665404,-0.342530713566031
EXO1,78,0.00157448604864402,0.275039745627981,0.686120920297532,-0.274266783529746
MKI67,78,0.000639602982724201,0.308928571428571,0.781797327099643,0.165774844942655
NEK2,74,0.000103960429474098,0.307829181494662,0.799739171210062,-0.238075311765523
KIF14,70,8.22152285279622e-05,0.27244094488189,0.716627062295197,0.22416154494495
KIFC1,68,0.00034261883300097,0.305114638447972,0.699782922528461,-0.0756358971023182
ANLN,68,0.000691274394921421,0.304577464788732,0.710250798993564,-0.0562845865650181
TRIP13,64,7.44137805409054e-05,0.304577464788732,0.716787716256424,-0.764290440213052
FN1,64,0.0763821892235099,0.38876404494382,0.02245373727938,0.713039982957116
MCM10,64,0.000539918187199523,0.271585557299843,0.537591628512672,-0.279689199162501
CDKN3,62,0.00179246558154138,0.302977232924694,0.663945871152048,-0.332378201181791
CDC6,62,0.00207889543367051,0.301393728222997,0.540190066433192,-0.298369505202689
NCAPH,62,0.000308880961592903,0.303508771929825,0.659320871260419,-0.120789069585289
ECT2,56,6.75024261979476e-05,0.300347222222222,0.628960931306372,-0.698550668350226
COL1A1,52,0.012249891411656,0.328897338403042,0.000941065425444351,-0.24132960603813
KIF18A,52,3.37568568719445e-05,0.257440476190476,0.547214484350352,-0.313894707771184
RAD51AP1,50,0.000871869834329049,0.267801857585139,0.484654461514697,-0.360717549672755
