Symbol,colorectal,esophagus,kidney,liver,pancreatic,total
MMP9,1,1,1,0,1,4
COL1A1,1,1,1,0,1,4
COL1A2,1,1,1,0,1,4
CDK1,1,1,1,0,0,3
CCNB1,1,1,1,0,0,3
CDC20,1,1,1,0,0,3
TOP2A,1,1,1,0,0,3
PLK1,1,1,1,0,0,3
BUB1,1,1,1,0,0,3
BUB1B,1,1,1,0,0,3
BIRC5,1,1,1,0,0,3
CDC45,1,1,1,0,0,3
NUF2,1,1,1,0,0,3
DLGAP5,1,1,1,0,0,3
RRM2,1,1,1,0,0,3
KIF20A,1,1,1,0,0,3
TPX2,1,1,1,0,0,3
UBE2C,1,1,1,0,0,3
MELK,1,1,1,0,0,3
ASPM,1,1,1,0,0,3
AURKA,1,1,1,0,0,3
KIF4A,1,1,1,0,0,3
NUSAP1,1,1,1,0,0,3
KIF2C,1,1,1,0,0,3
CENPF,1,1,1,0,0,3
CEP55,1,1,1,0,0,3
EXO1,1,1,1,0,0,3
MAD2L1,1,1,1,0,0,3
TTK,1,1,1,0,0,3
HMMR,1,1,1,0,0,3
FOXM1,1,1,1,0,0,3
HJURP,1,1,1,0,0,3
NEK2,1,1,1,0,0,3
MKI67,1,1,1,0,0,3
MCM10,1,1,1,0,0,3
CDCA5,1,1,1,0,0,3
CDC6,1,1,1,0,0,3
KIFC1,1,1,1,0,0,3
ANLN,1,1,1,0,0,3
KIF14,1,1,1,0,0,3
NCAPH,1,1,1,0,0,3
CXCL10,1,1,1,0,0,3
CDT1,1,1,1,0,0,3
TRIP13,1,1,1,0,0,3
CDKN3,1,1,1,0,0,3
KIF18A,1,1,1,0,0,3
CYP3A4,1,1,1,0,0,3
RAD51AP1,1,1,1,0,0,3
ECT2,1,1,1,0,0,3
MCM2,1,1,1,0,0,3
DTL,1,1,1,0,0,3
CXCL9,1,1,1,0,0,3
FCGR3A,1,1,1,0,0,3
CKAP2L,1,1,1,0,0,3
CXCL11,1,1,1,0,0,3
ASF1B,1,1,1,0,0,3
KIF18B,1,1,1,0,0,3
TROAP,1,1,1,0,0,3
ACAN,1,1,1,0,0,3
FCGR3B,1,1,1,0,0,3
MYBL2,1,1,1,0,0,3
E2F1,1,1,1,0,0,3
TIMP1,1,1,0,0,1,3
UBE2T,1,1,1,0,0,3
MND1,1,1,1,0,0,3
MET,1,1,1,0,0,3
ERCC6L,1,1,1,0,0,3
CENPI,1,1,1,0,0,3
GTSE1,1,1,1,0,0,3
ITGA11,1,1,0,0,1,3
MMP3,1,1,0,0,1,3
UHRF1,1,1,1,0,0,3
COL4A1,1,1,1,0,0,3
BGN,1,1,0,0,1,3
GZMB,1,1,1,0,0,3
COL5A2,1,1,0,0,1,3
THBS2,1,1,0,0,1,3
FN1,0,1,1,0,1,3
COL3A1,0,1,1,0,1,3
COL5A1,0,1,1,0,1,3
COL4A2,0,1,1,0,1,3
LUM,0,1,1,0,1,3
FCER1G,0,1,1,0,1,3
CD44,1,0,1,0,0,2
CXCL8,1,1,0,0,0,2
CENPA,1,1,0,0,0,2
KIF23,1,1,0,0,0,2
ESPL1,1,1,0,0,0,2
MYC,1,0,1,0,0,2
CDCA3,1,1,0,0,0,2
PTTG1,1,0,1,0,0,2
CCL5,1,0,1,0,0,2
RACGAP1,1,0,1,0,0,2
CXCL12,1,0,1,0,0,2
IL1A,1,1,0,0,0,2
CXCR2,1,1,0,0,0,2
CCND1,1,0,1,0,0,2
CXCL1,1,1,0,0,0,2
CCL20,1,0,1,0,0,2
CCL21,1,0,1,0,0,2
CCR8,1,1,0,0,0,2
CD36,1,0,1,0,0,2
BRCA2,1,0,1,0,0,2
CCL19,1,0,1,0,0,2
SHCBP1,1,1,0,0,0,2
FEN1,1,1,0,0,0,2
SKA3,1,0,1,0,0,2
CYP2B6,1,0,1,0,0,2
CDC25A,1,1,0,0,0,2
CKS2,1,1,0,0,0,2
MMP1,1,1,0,0,0,2
SPP1,1,1,0,0,0,2
CXCL6,1,1,0,0,0,2
SERPINE1,1,1,0,0,0,2
KPNA2,1,1,0,0,0,2
ORC1,1,1,0,0,0,2
CCL8,1,1,0,0,0,2
UGT1A7,1,1,0,0,0,2
CCNF,1,1,0,0,0,2
DEPDC1B,1,1,0,0,0,2
PTGS2,1,1,0,0,0,2
ITGA8,1,0,1,0,0,2
CLSPN,1,1,0,0,0,2
CAMK2A,1,0,1,0,0,2
MPO,1,0,1,0,0,2
FGF10,1,0,1,0,0,2
VTN,1,0,1,0,0,2
ANPEP,1,0,1,0,0,2
FOXP3,1,0,1,0,0,2
H3C15,1,1,0,0,0,2
SHMT2,1,0,1,0,0,2
GINS1,1,1,0,0,0,2
MAOA,1,0,1,0,0,2
SNAI1,1,0,0,0,1,2
MAOB,1,1,0,0,0,2
FCGR1A,1,0,1,0,0,2
MMP7,1,1,0,0,0,2
GINS2,1,1,0,0,0,2
PLAU,1,1,0,0,0,2
CCNB2,0,1,1,0,0,2
AURKB,0,1,1,0,0,2
CDCA8,0,1,1,0,0,2
PBK,0,1,1,0,0,2
CENPE,0,1,1,0,0,2
ZWINT,0,1,1,0,0,2
NDC80,0,1,1,0,0,2
PRC1,0,1,1,0,0,2
RAD51,0,1,1,0,0,2
SPAG5,0,1,1,0,0,2
BRCA1,0,1,1,0,0,2
DEPDC1,0,1,1,0,0,2
CXCR4,0,1,1,0,0,2
CDCA2,0,1,1,0,0,2
EGF,0,1,1,0,0,2
SKA1,0,1,1,0,0,2
CDC25C,0,1,1,0,0,2
OIP5,0,1,1,0,0,2
SPC25,0,1,1,0,0,2
TLR2,0,1,1,0,0,2
CENPM,0,1,1,0,0,2
TACC3,0,1,1,0,0,2
CD80,0,1,1,0,0,2
KNTC1,0,1,1,0,0,2
ITGA5,0,1,1,0,0,2
CCL3,0,1,1,0,0,2
CCL4,0,1,1,0,0,2
ITGAX,0,1,1,0,0,2
COL12A1,0,1,0,0,1,2
POSTN,0,1,0,0,1,2
IGF2,0,1,1,0,0,2
CTLA4,0,1,1,0,0,2
CYP2C9,0,1,1,0,0,2
SERPINH1,0,1,0,0,1,2
CD40LG,0,1,1,0,0,2
SPARC,0,1,0,0,1,2
ERBB4,0,1,1,0,0,2
CYP4A11,0,1,1,0,0,2
MUC1,0,1,1,0,0,2
TNFRSF9,0,1,1,0,0,2
IL2RA,0,1,1,0,0,2
CD163,0,1,1,0,0,2
OCLN,0,1,1,0,0,2
PDGFRB,0,1,0,0,1,2
ISG15,0,1,0,0,1,2
LPL,0,1,1,0,0,2
CCRL2,0,1,1,0,0,2
OASL,0,1,0,0,1,2
ALB,0,0,1,0,1,2
IL6,1,0,0,0,0,1
IL1B,1,0,0,0,0,1
CD19,1,0,0,0,0,1
MCM4,1,0,0,0,0,1
PRKACB,1,0,0,0,0,1
H3C12,1,0,0,0,0,1
IGF1,1,0,0,0,0,1
BCL2,1,0,0,0,0,1
NCAM1,1,0,0,0,0,1
SST,1,0,0,0,0,1
KIT,1,0,0,0,0,1
CXCR1,1,0,0,0,0,1
NPY,1,0,0,0,0,1
AGT,1,0,0,0,0,1
CXCL2,1,0,0,0,0,1
GCG,1,0,0,0,0,1
CCR10,1,0,0,0,0,1
CXCL5,1,0,0,0,0,1
